Date,Open,High,Low,Close,Adj. Close,Change,Volume
2023/8/24,25.13,25.2,25.04,25.1,23.75,-0.14%,5581
2023/8/25,25.339,25.42,25.339,25.361,23.998,1.04%,4136
2023/8/28,25.345,25.345,25.345,25.345,23.982,-0.06%,88
2023/8/29,25.395,25.395,25.395,25.395,24.029,0.20%,26
2023/8/30,25.419,25.419,25.419,25.419,24.052,0.09%,62
2023/8/31,25.49,25.51,25.435,25.435,24.067,0.06%,1042
2023/9/1,25.651,25.651,25.651,25.651,24.272,0.85%,80
2023/9/5,25.745,25.745,25.745,25.745,24.361,0.37%,94
2023/9/6,25.75,25.75,25.705,25.705,24.323,-0.16%,126
2023/9/7,25.65,25.68,25.624,25.66,24.28,-0.18%,525
2023/9/8,25.69,25.69,25.61,25.61,24.233,-0.19%,325
2023/9/11,25.815,25.9,25.815,25.827,24.438,0.85%,1746
2023/9/12,25.9,25.9,25.815,25.815,24.427,-0.05%,1004
2023/9/13,25.91,25.91,25.91,25.91,24.517,0.37%,1
2023/9/14,26.135,26.135,26.135,26.135,24.73,0.87%,149
2023/9/15,26.1,26.1,25.97,25.97,24.574,-0.63%,644
2023/9/18,25.92,25.92,25.92,25.92,24.526,-0.19%,3
2023/9/19,25.89,25.89,25.89,25.89,24.498,-0.12%,15
2023/9/20,25.817,25.817,25.817,25.817,24.429,-0.28%,6
2023/9/21,25.674,25.674,25.674,25.674,24.293,-0.55%,0
2023/9/22,25.61,25.665,25.55,25.665,24.285,-0.04%,447
2023/9/25,25.587,25.587,25.587,25.587,24.211,-0.30%,5
2023/9/26,25.57,25.57,25.505,25.505,24.134,-0.32%,206
2023/9/27,25.59,25.59,25.59,25.59,24.214,0.33%,97
2023/9/28,25.71,25.71,25.71,25.71,24.328,0.47%,8
2023/9/29,25.479,25.479,25.479,25.479,24.109,-0.90%,8
2023/10/2,25.365,25.365,25.365,25.365,24.001,-0.45%,7
2023/10/3,25.22,25.22,25.22,25.22,23.864,-0.57%,32
2023/10/4,24.762,24.762,24.762,24.762,23.43,-1.82%,6
2023/10/5,24.73,24.73,24.73,24.73,23.4,-0.13%,7
2023/10/6,24.83,24.83,24.83,24.83,23.495,0.40%,4
2023/10/9,25.146,25.146,25.146,25.146,23.794,1.27%,4
2023/10/10,25.065,25.065,25.065,25.065,23.717,-0.32%,3
2023/10/11,24.94,24.985,24.94,24.985,23.642,-0.32%,200
2023/10/12,25.06,25.06,25.06,25.06,23.713,0.30%,200
2023/10/13,25.385,25.385,25.385,25.385,24.02,1.30%,0
2023/10/16,25.34,25.34,25.34,25.34,23.977,-0.18%,3
2023/10/17,25.393,25.393,25.393,25.393,24.028,0.21%,86
2023/10/18,25.535,25.535,25.535,25.535,24.162,0.56%,4
2023/10/19,25.675,25.675,25.675,25.675,24.294,0.55%,6
2023/10/20,25.525,25.525,25.525,25.525,24.152,-0.58%,10
2023/10/23,25.41,25.41,25.375,25.375,24.011,-0.59%,112
2023/10/24,25.317,25.317,25.317,25.317,23.956,-0.23%,11
2023/10/25,25.3,25.383,25.3,25.383,24.019,0.26%,1293
2023/10/26,25.26,25.26,25.26,25.26,23.902,-0.48%,13
2023/10/27,25.504,25.504,25.504,25.504,24.132,0.97%,9
2023/10/30,25.305,25.305,25.305,25.305,23.944,-0.78%,4
2023/10/31,25.28,25.28,25.28,25.28,23.921,-0.10%,4
2023/11/1,25.275,25.275,25.275,25.275,23.916,-0.02%,80
2023/11/2,25.481,25.481,25.481,25.481,24.111,0.82%,47
2023/11/3,25.479,25.479,25.479,25.479,24.109,-0.01%,20
2023/11/6,25.6,25.6,25.6,25.6,24.223,0.47%,21
2023/11/7,25.196,25.196,25.196,25.196,23.841,-1.58%,183
2023/11/8,25.02,25.02,25.02,25.02,23.675,-0.70%,13
2023/11/9,24.945,24.945,24.945,24.945,23.604,-0.30%,85
2023/11/10,24.905,24.905,24.905,24.905,23.566,-0.16%,1
2023/11/13,25.285,25.285,25.285,25.285,23.925,1.53%,96
2023/11/14,25.273,25.273,25.273,25.273,23.914,-0.05%,18
2023/11/15,25.248,25.248,25.248,25.248,23.89,-0.10%,25
2023/11/16,24.86,24.86,24.86,24.86,23.523,-1.54%,12
2023/11/17,25.01,25.01,25.01,25.01,23.665,0.60%,77
2023/11/20,25.265,25.265,25.265,25.265,23.906,1.02%,3
2023/11/21,25.365,25.365,25.365,25.365,24.001,0.40%,3
2023/11/22,25.12,25.12,25.12,25.12,23.769,-0.97%,111
2023/11/24,24.984,24.984,24.984,24.984,23.641,-0.54%,111
2023/11/27,24.819,24.819,24.819,24.819,23.484,-0.66%,7
2023/11/28,25.08,25.08,25.08,25.08,23.731,1.05%,7
2023/11/29,25.185,25.185,25.185,25.185,23.831,0.42%,77
2023/11/30,24.982,24.982,24.982,24.982,23.639,-0.81%,1
2023/12/1,24.862,24.862,24.862,24.862,23.525,-0.48%,13
