Date,Open,High,Low,Close,Adj. Close,Change,Volume
2018/4/6,50.27,50.27,50.27,50.27,36.41,0,0
2018/4/9,50.6,50.6,50.6,50.6,36.65,0.66%,159
2018/4/10,50.6,50.6,50.6,50.6,36.65,0,0
2018/4/11,50.6,50.6,50.6,50.6,36.65,0,0
2018/4/12,50.6,50.6,50.6,50.6,36.65,0,10
2018/4/13,51.38,51.38,51.275,51.34,37.185,1.46%,496
2018/4/16,51.36,51.36,51.3,51.3,37.157,-0.08%,350
2018/4/17,51.3,51.3,51.3,51.3,37.157,0,0
2018/4/18,51.74,51.74,51.7,51.7,37.446,0.78%,550
2018/4/19,51.7,51.7,51.7,51.7,37.446,0.00%,310
2018/4/20,51.7,51.7,51.7,51.7,37.446,0.00%,95
2018/4/23,51.085,51.085,51.085,51.085,37.001,-1.19%,200
2018/4/24,51.38,51.42,51.28,51.28,37.142,0.38%,1447
2018/4/25,51.16,51.34,51.15,51.34,37.185,0.12%,800
2018/4/26,51.34,51.34,51.34,51.34,37.185,0.00%,0
2018/4/27,51.47,51.47,51.47,51.47,37.28,0.25%,211
2018/4/30,51.46,51.46,51.415,51.415,37.24,-0.11%,1182
2018/5/1,51.3,51.32,51.3,51.32,37.171,-0.18%,661
2018/5/2,51.37,51.37,51.35,51.35,37.193,0.06%,825
2018/5/3,51.234,51.328,51.234,51.328,37.177,-0.04%,284
2018/5/4,51.632,51.632,51.632,51.632,37.397,0.59%,188
2018/5/7,51.632,51.632,51.632,51.632,37.397,0.00%,132
2018/5/8,51.35,51.35,51.35,51.35,37.193,-0.55%,420
2018/5/9,51.82,51.82,51.82,51.82,37.533,0.92%,287
2018/5/10,52.07,52.07,52.07,52.07,37.714,0.48%,211
2018/5/11,52,52,52,52,37.664,-0.13%,404
2018/5/14,51.965,51.965,51.965,51.965,37.638,-0.07%,137
2018/5/15,51.97,51.97,51.86,51.86,37.562,-0.20%,690
2018/5/16,51.86,51.86,51.86,51.86,37.562,0.00%,0
2018/5/17,51.86,51.86,51.86,51.86,37.562,0.00%,0
2018/5/18,51.86,51.86,51.86,51.86,37.562,0.00%,86
2018/5/21,52.26,52.42,52.25,52.42,37.968,1.08%,1162
2018/5/22,52.42,52.42,52.42,52.42,37.968,0.00%,0
2018/5/23,52.42,52.42,52.42,52.42,37.968,0.00%,0
2018/5/24,52.62,52.86,52.62,52.859,38.286,0.84%,626
2018/5/25,52.42,52.42,52.42,52.42,37.968,-0.83%,400
2018/5/29,52.42,52.42,52.42,52.42,37.968,0.00%,10
2018/5/30,52.42,52.42,52.42,52.42,37.968,0.00%,10
2018/5/31,52.42,52.42,52.42,52.42,37.968,0.00%,20
2018/6/1,52.2,52.2,52.2,52.2,37.808,-0.42%,111
2018/6/4,52.02,52.02,52.02,52.02,37.678,-0.34%,500
2018/6/5,52.02,52.02,52.02,52.02,37.678,0.00%,0
2018/6/6,52.02,52.02,52.02,52.02,37.678,0.00%,0
2018/6/7,52.02,52.02,52.02,52.02,37.678,0.00%,0
2018/6/8,52,52,52,52,37.664,-0.04%,1150
2018/6/11,52.05,52.06,52.05,52.06,37.707,0.12%,1000
2018/6/12,52.06,52.06,52.06,52.06,37.707,0.00%,0
2018/6/13,51.88,51.88,51.88,51.88,37.577,-0.35%,518
2018/6/14,51.88,51.88,51.88,51.88,37.577,0.00%,0
2018/6/15,51.05,51.05,50.77,50.77,36.773,-2.14%,680
2018/6/18,50.48,50.585,50.477,50.585,36.639,-0.36%,1100
2018/6/19,50.15,50.15,50.15,50.15,36.324,-0.86%,144
2018/6/20,50.15,50.15,50.15,50.15,36.324,0.00%,0
2018/6/21,50.15,50.15,50.15,50.15,36.324,0.00%,54
2018/6/22,50.499,50.5,50.499,50.5,36.577,0.70%,825
2018/6/25,49.85,49.85,49.85,49.85,36.106,-1.29%,278
2018/6/26,49.53,49.639,49.53,49.639,35.953,-0.42%,400
2018/6/27,49.639,49.639,49.639,49.639,35.953,0.00%,0
2018/6/28,50,50,49.8,49.8,36.07,0.32%,647
2018/6/29,49.8,49.8,49.8,49.8,36.07,0.00%,0
2018/7/2,49.8,49.8,49.8,49.8,36.07,0.00%,22
2018/7/3,49.8,49.8,49.8,49.8,36.07,0.00%,118
2018/7/5,49.8,49.8,49.8,49.8,36.07,0.00%,118
2018/7/6,49.8,49.8,49.8,49.8,36.07,0.00%,0
2018/7/9,49.355,49.355,49.355,49.355,35.748,-0.89%,116
2018/7/10,49.355,49.355,49.355,49.355,35.748,0.00%,48
2018/7/11,49.355,49.355,49.355,49.355,35.748,0.00%,0
2018/7/12,48.31,48.575,48.17,48.575,35.183,-1.58%,895
2018/7/13,48.575,48.575,48.575,48.575,35.183,0.00%,0
2018/7/16,48.575,48.575,48.575,48.575,35.183,0.00%,1
2018/7/17,48.575,48.575,48.575,48.575,35.183,0.00%,20
2018/7/18,48.15,48.15,48.083,48.15,34.875,-0.87%,466
2018/7/19,47.974,47.974,47.974,47.974,34.747,-0.37%,146
2018/7/20,48.19,48.406,48.19,48.406,35.06,0.90%,395
2018/7/23,48.406,48.406,48.406,48.406,35.06,0.00%,0
2018/7/24,48.64,48.64,48.64,48.64,35.23,0.48%,158
2018/7/25,49.13,49.13,49.13,49.13,35.585,1.01%,146
2018/7/26,49.22,49.22,49.07,49.14,35.592,0.02%,28511
2018/7/27,49.14,49.14,49.14,49.14,35.592,0.00%,24
2018/7/30,49.14,49.14,49.14,49.14,35.592,0.00%,23
2018/7/31,49.14,49.14,49.14,49.14,35.592,0.00%,50
2018/8/1,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/2,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/3,49.14,49.14,49.14,49.14,35.592,0.00%,12
2018/8/6,49.14,49.14,49.14,49.14,35.592,0.00%,49
2018/8/7,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/8,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/9,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/10,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/13,49.14,49.14,49.14,49.14,35.592,0.00%,0
2018/8/14,48.49,48.49,48.25,48.25,34.947,-1.81%,290
2018/8/15,48.25,48.25,48.25,48.25,34.947,0.00%,0
2018/8/16,48.25,48.25,48.25,48.25,34.947,0.00%,75
2018/8/17,48.25,48.25,48.25,48.25,34.947,0.00%,0
2018/8/20,48.25,48.25,48.25,48.25,34.947,0.00%,0
2018/8/21,48.25,48.25,48.25,48.25,34.947,0.00%,0
2018/8/22,48.25,48.25,48.25,48.25,34.947,0.00%,5
2018/8/23,48.25,48.25,48.25,48.25,34.947,0.00%,0
2018/8/24,48.25,48.25,48.25,48.25,34.947,0.00%,5
2018/8/27,48.25,48.25,48.25,48.25,34.947,0.00%,0
