Date,Open,High,Low,Close,Adj. Close,Change,Volume
2017/3/31,25.04,25.04,25.04,25.04,18.591,-0.20%,100
2017/4/3,25.04,25.04,25.04,25.04,18.591,0,35
2017/4/4,25.04,25.04,25.04,25.04,18.591,0,40
2017/4/5,25.287,25.289,25.287,25.289,18.776,0.99%,200
2017/4/6,25.3,25.31,25.3,25.305,18.788,0.06%,5010
2017/4/7,25.305,25.305,25.305,25.305,18.788,0.00%,20
2017/4/10,25.58,25.58,25.31,25.31,18.791,0.02%,386
2017/4/11,25.31,25.31,25.31,25.31,18.791,0.00%,40
2017/4/12,25.47,25.57,25.47,25.57,18.984,1.03%,1675
2017/4/13,25.48,25.48,25.43,25.443,18.89,-0.50%,12962
2017/4/17,25.499,25.499,25.49,25.49,18.925,0.18%,1295
2017/4/18,25.35,25.35,25.33,25.33,18.806,-0.63%,1175
2017/4/19,25.34,25.34,25.2,25.2,18.71,-0.51%,1471
2017/4/20,25.071,25.071,25.071,25.071,18.614,-0.51%,140
2017/4/21,25,25,24.95,24.95,18.524,-0.48%,235
2017/4/24,24.925,24.95,24.882,24.92,18.502,-0.12%,2662
2017/4/25,24.82,24.95,24.82,24.82,18.428,-0.40%,23432
2017/4/26,24.84,24.89,24.79,24.8,18.413,-0.08%,825
2017/4/27,24.62,24.62,24.62,24.62,18.279,-0.73%,1129
2017/4/28,24.62,24.62,24.62,24.62,18.279,0.00%,59
2017/5/1,24.658,24.658,24.658,24.658,18.307,0.15%,100
2017/5/2,24.658,24.658,24.658,24.658,18.307,0.00%,0
2017/5/3,24.658,24.658,24.658,24.658,18.307,0.00%,0
2017/5/4,24.658,24.658,24.658,24.658,18.307,0.00%,0
2017/5/5,24.658,24.658,24.658,24.658,18.307,0.00%,0
2017/5/8,24.134,24.134,24.098,24.098,17.891,-2.27%,900
2017/5/9,24.13,24.16,24.097,24.097,17.891,0.00%,3557
2017/5/10,24.097,24.097,24.097,24.097,17.891,0.00%,0
2017/5/11,23.988,23.988,23.988,23.988,17.81,-0.45%,100
2017/5/12,24.2,24.33,24.2,24.288,18.033,1.25%,564
2017/5/15,24.288,24.288,24.288,24.288,18.033,0.00%,0
2017/5/16,24.446,24.446,24.434,24.434,18.141,0.60%,277
2017/5/17,24.546,24.546,24.546,24.546,18.224,0.46%,200
2017/5/18,24.478,24.478,24.478,24.478,18.174,-0.28%,115
2017/5/19,24.5,24.546,24.5,24.546,18.224,0.28%,1223
2017/5/22,24.425,24.425,24.425,24.425,18.135,-0.49%,100
2017/5/23,24.546,24.546,24.546,24.546,18.224,0.50%,300
2017/5/24,24.55,24.63,24.55,24.563,18.237,0.07%,907
2017/5/25,24.563,24.563,24.563,24.563,18.237,0.00%,0
2017/5/26,24.54,24.54,24.54,24.54,18.22,-0.09%,200
2017/5/30,24.459,24.459,24.459,24.459,18.16,-0.33%,312
2017/5/31,24.55,24.55,24.55,24.55,18.227,0.37%,202
2017/6/1,24.648,24.648,24.648,24.648,18.3,0.40%,1043
2017/6/2,24.49,24.49,24.49,24.49,18.183,-0.64%,200
2017/6/5,24.74,24.74,24.74,24.74,18.368,1.02%,155
2017/6/6,24.82,24.869,24.81,24.869,18.464,0.52%,2020
2017/6/7,24.869,24.869,24.869,24.869,18.464,0.00%,0
2017/6/8,24.725,24.725,24.725,24.725,18.357,-0.58%,390
2017/6/9,24.725,24.725,24.725,24.725,18.357,0.00%,0
2017/6/12,24.725,24.725,24.725,24.725,18.357,0.00%,0
2017/6/13,24.725,24.725,24.725,24.725,18.357,0.00%,0
2017/6/14,24.27,24.27,24.27,24.27,18.019,-1.84%,121
2017/6/15,24.27,24.27,24.27,24.27,18.019,0.00%,24
2017/6/16,24.379,24.379,24.379,24.379,18.1,0.45%,226
2017/6/19,24.379,24.379,24.379,24.379,18.1,0.00%,38
2017/6/20,24.068,24.068,24.068,24.068,17.869,-1.28%,200
2017/6/21,24.068,24.068,24.068,24.068,17.869,0.00%,0
2017/6/22,24.068,24.068,24.068,24.068,17.869,0.00%,0
2017/6/23,25.28,25.28,24.794,24.794,18.408,3.02%,200
2017/6/26,23.989,23.989,23.919,23.919,17.758,-3.53%,360
2017/6/27,24.11,24.11,24.02,24.02,17.834,0.42%,1860
2017/6/28,25.16,25.26,25.16,25.26,18.754,5.16%,700
2017/6/29,24.14,24.14,24.088,24.088,17.884,-4.64%,592
2017/6/30,24.12,24.12,24.099,24.099,17.892,0.05%,250
2017/7/3,23.91,23.91,23.91,23.91,17.752,-0.78%,100
2017/7/5,23.8,23.8,23.71,23.71,17.603,-0.84%,300
2017/7/6,23.91,23.95,23.909,23.95,17.782,1.01%,1109
2017/7/7,23.95,23.95,23.95,23.95,17.782,0.00%,0
2017/7/10,23.762,23.762,23.762,23.762,17.642,-0.78%,417
2017/7/11,23.659,23.88,23.659,23.88,17.73,0.50%,1491
2017/7/12,23.88,23.88,23.88,23.88,17.73,0.00%,0
2017/7/13,23.613,23.66,23.613,23.63,17.544,-1.05%,1490
2017/7/14,23.63,23.63,23.63,23.63,17.544,0.00%,0
2017/7/17,23.63,23.63,23.63,23.63,17.544,0.00%,0
2017/7/18,23.63,23.63,23.63,23.63,17.544,0.00%,0
2017/7/19,23.63,23.66,23.63,23.66,17.566,0.13%,525
2017/7/20,23.64,23.64,23.459,23.478,17.431,-0.77%,1259
2017/7/21,23.478,23.478,23.478,23.478,17.431,0.00%,0
2017/7/24,23.7,23.71,23.65,23.67,17.574,0.82%,6400
2017/7/25,23.67,23.67,23.67,23.67,17.574,0.00%,0
2017/7/26,23.53,23.561,23.53,23.561,17.493,-0.46%,561
2017/7/27,23.62,23.62,23.62,23.62,17.537,0.25%,100
2017/7/28,23.824,23.87,23.806,23.87,17.722,1.06%,1927
2017/7/31,23.34,23.7,23.232,23.7,17.596,-0.71%,5300
2017/8/1,23.55,23.55,23.25,23.426,17.393,-1.16%,734
2017/8/2,23.426,23.426,23.426,23.426,17.393,0.00%,0
2017/8/3,23.426,23.426,23.426,23.426,17.393,0.00%,0
2017/8/4,23.47,23.47,23.47,23.47,17.425,0.19%,100
2017/8/7,23.74,23.78,23.74,23.77,17.648,1.28%,808
2017/8/8,23.45,23.45,23.45,23.45,17.41,-1.35%,808
2017/8/9,23.45,23.45,23.45,23.45,17.41,0.00%,0
2017/8/10,23.26,23.26,23.24,23.24,17.255,-0.90%,600
2017/8/11,23.24,23.24,23.24,23.24,17.255,0.00%,0
2017/8/14,23.36,23.57,23.36,23.57,17.5,1.42%,711
2017/8/15,23.57,23.57,23.57,23.57,17.5,0.00%,161
2017/8/16,23.393,23.393,23.393,23.393,17.368,-0.75%,452
2017/8/17,23.73,23.73,23.317,23.396,17.37,0.01%,3426
2017/8/18,24.33,24.34,24.33,24.34,18.071,4.03%,1206
2017/8/21,23.567,23.7,23.567,23.699,17.595,-2.63%,1672
2017/8/22,23.71,23.71,23.586,23.586,17.512,-0.48%,568
2017/8/23,23.637,23.637,23.637,23.637,17.549,0.22%,393
2017/8/24,23.69,23.76,23.682,23.736,17.623,0.42%,800
2017/8/25,23.721,23.721,23.721,23.721,17.612,-0.06%,438
2017/8/28,23.88,23.88,23.856,23.856,17.712,0.57%,432
2017/8/29,23.98,24.17,23.98,24.17,17.945,1.32%,1093
2017/8/30,23.877,23.9,23.85,23.85,17.707,-1.32%,838
2017/8/31,23.92,23.92,23.896,23.896,17.742,0.19%,284
2017/9/1,23.896,23.896,23.896,23.896,17.742,0.00%,20
2017/9/5,23.965,23.972,23.965,23.972,17.798,0.32%,780
2017/9/6,23.941,23.941,23.941,23.941,17.775,-0.13%,100
2017/9/7,23.941,23.941,23.941,23.941,17.775,0.00%,0
2017/9/8,23.77,23.786,23.77,23.786,17.66,-0.65%,500
2017/9/11,23.79,23.79,23.79,23.79,17.663,0.02%,2047
2017/9/12,23.681,23.681,23.681,23.681,17.582,-0.46%,125
2017/9/13,23.66,23.66,23.66,23.66,17.566,-0.09%,303
2017/9/14,23.66,23.66,23.66,23.66,17.566,0.00%,0
2017/9/15,23.66,23.66,23.526,23.526,17.467,-0.57%,100
2017/9/18,23.555,23.58,23.533,23.54,17.477,0.06%,1404
2017/9/19,23.514,23.518,23.514,23.518,17.461,-0.09%,883
2017/9/20,23.91,23.92,23.75,23.75,17.633,0.99%,473
2017/9/21,23.75,23.75,23.75,23.75,17.633,0.00%,0
2017/9/22,23.75,23.75,23.75,23.75,17.633,0.00%,5
2017/9/25,23.537,23.7,23.537,23.7,17.596,-0.21%,1335
2017/9/26,23.6,23.6,23.51,23.541,17.478,-0.67%,2354
2017/9/27,23.49,23.508,23.47,23.5,17.448,-0.17%,37087
2017/9/28,23.5,23.55,23.48,23.54,17.477,0.17%,8513
2017/9/29,23.46,23.46,23.46,23.46,17.418,-0.34%,14317
2017/10/2,23.31,23.38,23.31,23.37,17.351,-0.38%,3376
2017/10/3,23.33,23.33,23.32,23.323,17.316,-0.20%,1134
2017/10/4,23.323,23.323,23.323,23.323,17.316,0.00%,0
2017/10/5,23.59,23.59,23.484,23.484,17.436,0.69%,6829
2017/10/6,23.38,23.45,23.38,23.43,17.396,-0.23%,550
2017/10/9,23.43,23.43,23.43,23.43,17.396,0.00%,0
2017/10/10,23.43,23.43,23.43,23.43,17.396,0.00%,0
2017/10/11,23.68,23.7,23.633,23.653,17.561,0.95%,1000
2017/10/12,23.69,23.71,23.597,23.61,17.529,-0.18%,2771
2017/10/13,23.739,23.75,23.71,23.71,17.603,0.42%,5299
2017/10/16,23.881,23.9,23.811,23.811,17.678,0.43%,1337
2017/10/17,23.733,23.77,23.733,23.77,17.648,-0.17%,2194
2017/10/18,23.73,23.78,23.726,23.78,17.655,0.04%,3791
2017/10/19,23.77,23.77,23.659,23.75,17.633,-0.13%,3461
2017/10/20,23.71,23.71,23.71,23.71,17.603,-0.17%,265
2017/10/23,23.78,23.78,23.78,23.78,17.655,0.30%,122
2017/10/24,23.8,23.8,23.68,23.73,17.618,-0.21%,14215
2017/10/25,23.72,23.732,23.72,23.732,17.62,0.01%,415
2017/10/26,23.81,23.83,23.695,23.83,17.693,0.41%,319
2017/10/27,23.728,23.83,23.728,23.795,17.667,-0.15%,852
2017/10/30,23.77,23.87,23.77,23.87,17.722,0.32%,473
2017/10/31,23.85,23.85,23.814,23.85,17.707,-0.08%,2381
2017/11/1,23.922,23.922,23.922,23.922,17.761,0.30%,1885
2017/11/2,23.87,23.878,23.86,23.878,17.728,-0.18%,1948
2017/11/3,23.88,23.91,23.821,23.86,17.715,-0.08%,2002
2017/11/6,24.06,24.24,23.86,24.24,17.997,1.59%,14535
2017/11/7,24.24,24.24,24.24,24.24,17.997,0.00%,0
2017/11/8,24.09,24.138,24.08,24.128,17.914,-0.46%,5020
2017/11/9,24.128,24.128,24.128,24.128,17.914,0.00%,0
2017/11/10,24.2,24.2,24.2,24.2,17.967,0.30%,997086
2017/11/13,24.14,24.19,24.14,24.157,17.935,-0.18%,8521
2017/11/14,23.94,24.01,23.94,23.99,17.811,-0.69%,14372
2017/11/15,23.9,23.923,23.9,23.92,17.759,-0.29%,2286
2017/11/16,23.95,23.95,23.94,23.94,17.774,0.08%,2239
2017/11/17,23.958,24.01,23.958,24.01,17.826,0.29%,12840
2017/11/20,24.002,24.002,23.95,23.95,17.782,-0.25%,20416
2017/11/21,24.05,24.05,24.01,24.049,17.855,0.41%,9477
2017/11/22,24.199,24.199,24.153,24.153,17.932,0.43%,602
2017/11/24,24.21,24.25,24.18,24.188,17.958,0.14%,980
2017/11/27,24.19,24.24,24.19,24.24,17.997,0.21%,210695
2017/11/28,24.16,24.16,24.16,24.16,17.938,-0.33%,2810
2017/11/29,23.99,23.99,23.99,23.99,17.811,-0.70%,4014
2017/11/30,23.873,23.873,23.873,23.873,17.724,-0.49%,200
2017/12/1,23.873,23.873,23.873,23.873,17.724,0.00%,0
2017/12/4,23.873,23.873,23.873,23.873,17.724,0.00%,0
2017/12/5,23.873,23.873,23.873,23.873,17.724,0.00%,0
2017/12/6,23.64,23.64,23.64,23.64,17.551,-0.98%,1100
2017/12/7,23.64,23.64,23.64,23.64,17.551,0.00%,0
2017/12/8,23.757,23.757,23.737,23.737,17.623,0.41%,210
2017/12/11,23.81,23.81,23.81,23.81,17.678,0.31%,100
2017/12/12,23.81,23.81,23.81,23.81,17.678,0.00%,0
2017/12/13,23.668,23.668,23.66,23.66,17.566,-0.63%,798
2017/12/14,23.66,23.66,23.66,23.66,17.566,0.00%,0
2017/12/15,23.769,23.83,23.769,23.83,17.693,0.72%,3905
2017/12/18,24.23,24.23,23.871,23.871,17.723,0.17%,3752
2017/12/19,23.94,23.94,23.899,23.899,17.76,0.12%,11954
2017/12/20,23.97,24.06,23.97,24.06,17.88,0.67%,700
2017/12/21,24.09,24.16,24.09,24.157,17.952,0.40%,3600
2017/12/22,24.298,24.298,24.29,24.29,18.051,0.55%,1464
2017/12/26,24.51,24.53,24.415,24.5,18.207,0.86%,28011
2017/12/27,24.49,24.52,24.49,24.5,18.207,0.00%,1926
2017/12/28,24.56,24.56,24.54,24.55,18.244,0.20%,6720
2017/12/29,24.58,24.58,24.55,24.553,18.246,0.01%,6288
2018/1/2,24.57,24.58,24.46,24.47,18.185,-0.34%,6760
2018/1/3,24.481,24.629,24.481,24.629,18.303,0.65%,3110
2018/1/4,24.62,24.71,24.62,24.71,18.363,0.33%,828
2018/1/5,24.6,24.6,24.54,24.59,18.274,-0.49%,5770
2018/1/8,24.6,24.6,24.53,24.58,18.266,-0.04%,4182
2018/1/9,24.63,24.76,24.6,24.74,18.385,0.65%,3292
2018/1/10,24.765,24.79,24.765,24.78,18.415,0.16%,1334
2018/1/11,24.9,25.01,24.9,24.947,18.539,0.67%,15215
