Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/12/6,15.745,15.745,15.745,15.745,15.56,1.88%,2
2024/12/9,15.825,15.866,15.825,15.866,15.68,0.77%,429
2024/12/10,16.37,16.37,16.37,16.37,16.178,3.18%,29
2024/12/11,16.41,16.41,16.34,16.34,16.148,-0.18%,102
2024/12/12,16.07,16.1,16.02,16.02,15.832,-1.96%,446
2024/12/13,15.925,15.925,15.925,15.925,15.738,-0.59%,24
2024/12/16,16.085,16.085,16.085,16.085,15.931,1.00%,3
2024/12/17,16.12,16.12,15.98,15.98,15.827,-0.65%,125
2024/12/18,15.525,15.525,15.525,15.525,15.377,-2.85%,25
2024/12/19,15.755,15.755,15.755,15.755,15.604,1.48%,12
2024/12/20,15.95,16.198,15.95,16.19,16.035,2.76%,6672
2024/12/23,16.21,16.269,16.21,16.269,16.113,0.49%,6810
2024/12/24,16.303,16.303,16.303,16.303,16.148,0.21%,9
2024/12/26,16.584,16.76,16.584,16.71,16.55,2.50%,3991
2024/12/27,16.715,16.715,16.715,16.715,16.555,0.03%,26
2024/12/30,17.07,17.07,16.645,16.645,16.486,-0.42%,1378
2024/12/31,17.07,17.07,17.07,17.07,16.907,2.55%,89
2025/1/2,17,17.15,17,17.15,16.986,0.47%,2069
2025/1/3,16.52,16.52,16.52,16.52,16.362,-3.67%,159
2025/1/6,17.1,17.1,16.96,16.96,16.798,2.66%,348
2025/1/7,17.015,17.015,17.015,17.015,16.852,0.32%,259
2025/1/8,16.725,16.725,16.725,16.725,16.565,-1.70%,83
2025/1/10,17.73,17.73,17.73,17.73,17.561,6.01%,455
2025/1/13,18.36,18.36,18.36,18.36,18.185,3.55%,329
2025/1/14,18.54,18.54,18.26,18.26,18.086,-0.54%,197
2025/1/15,18.541,18.6,18.541,18.6,18.422,1.86%,379
2025/1/16,18.25,18.25,18.25,18.25,18.076,-1.88%,104
2025/1/17,18.981,18.981,18.981,18.981,18.799,4.01%,107
2025/1/21,19.4,19.45,19.4,19.45,19.264,2.47%,411
2025/1/22,19,19,19,19,18.818,-2.31%,40
2025/1/23,19.39,19.39,19.39,19.39,19.205,2.05%,81
2025/1/24,19.13,19.13,19.13,19.13,18.947,-1.34%,118
2025/1/27,18.86,18.86,18.86,18.86,18.68,-1.41%,204
2025/1/28,19.1,19.1,19.1,19.1,18.918,1.27%,73
2025/1/29,19.88,19.88,19.88,19.88,19.761,4.08%,117
2025/1/30,19.399,19.399,19.399,19.399,19.283,-2.42%,12
2025/1/31,19.07,19.115,18.826,18.826,18.713,-2.95%,638
2025/2/3,19.171,19.171,19.171,19.171,19.056,1.83%,400
2025/2/4,19.71,19.71,19.71,19.71,19.592,2.81%,155
2025/2/5,19.62,19.62,19.62,19.62,19.503,-0.46%,63
2025/2/6,19.84,19.84,19.84,19.84,19.721,1.12%,21
2025/2/7,19.17,19.17,19.17,19.17,19.055,-3.38%,29
2025/2/10,19.264,19.49,19.264,19.49,19.374,1.67%,671
2025/2/11,19.821,19.821,18.895,18.895,18.782,-3.05%,981
2025/2/12,19.3,19.415,19.3,19.415,19.299,2.75%,250
2025/2/13,19.41,19.525,19.29,19.525,19.408,0.57%,353
2025/2/14,19.751,19.751,19.751,19.751,19.633,1.16%,307
2025/2/18,20.295,20.295,20.295,20.295,20.174,2.75%,58
2025/2/19,20.035,20.035,20.035,20.035,19.915,-1.28%,265
2025/2/20,20.025,20.025,20.025,20.025,19.905,-0.05%,70
2025/2/21,19.69,19.69,19.435,19.435,19.319,-2.95%,114
2025/2/24,18.86,18.86,18.86,18.86,18.747,-2.96%,122
2025/2/25,18.35,18.7,18.35,18.7,18.588,-0.85%,2018
2025/2/26,18.751,18.751,18.52,18.58,18.523,-0.64%,2016
2025/2/27,17.57,17.57,17.57,17.57,17.516,-5.44%,50
2025/2/28,17.7,17.7,16.775,16.775,16.723,-4.52%,258
2025/3/3,16.55,16.55,15.815,15.815,15.766,-5.72%,711
2025/3/4,15.07,15.55,15.07,15.55,15.502,-1.68%,617
2025/3/5,15.654,15.805,15.654,15.805,15.756,1.64%,717
2025/3/6,16.33,16.33,16.33,16.33,16.28,3.32%,55
2025/3/7,16.705,16.705,16.705,16.705,16.654,2.30%,27
2025/3/10,16.94,16.94,16.94,16.94,16.888,1.41%,18
2025/3/11,16.73,16.73,16.73,16.73,16.678,-1.24%,9
2025/3/12,16.185,16.185,16.185,16.185,16.135,-3.26%,87
2025/3/13,16.38,16.38,16.38,16.38,16.33,1.20%,103
2025/3/14,15.985,15.985,15.985,15.985,15.936,-2.41%,16
2025/3/17,16.115,16.115,16.115,16.115,16.065,0.81%,4
2025/3/18,15.945,15.945,15.945,15.945,15.896,-1.05%,7
2025/3/19,16.071,16.205,16.07,16.205,16.155,1.63%,803
2025/3/20,16.62,16.62,16.62,16.62,16.569,2.56%,1
2025/3/21,16.3,16.3,16.3,16.3,16.25,-1.93%,1
2025/3/24,16.38,16.38,16.38,16.38,16.33,0.49%,10
2025/3/25,15.9,15.945,15.9,15.945,15.896,-2.66%,891
2025/3/26,15.475,15.475,15.475,15.475,15.427,-2.95%,24
2025/3/27,15.33,15.33,15.33,15.33,15.33,-0.94%,3
2025/3/28,15.505,15.505,15.505,15.505,15.505,1.14%,111
2025/3/31,15.835,15.835,15.835,15.835,15.835,2.13%,45
2025/4/1,16.035,16.035,16.035,16.035,16.035,1.26%,5
2025/4/2,15.85,15.89,15.81,15.85,15.85,-1.15%,811
2025/4/3,15.95,15.95,15.875,15.875,15.875,0.16%,870
2025/4/4,16.101,16.101,16.101,16.101,16.101,1.42%,1
2025/4/7,16.4,16.4,16.343,16.343,16.343,1.50%,160
2025/4/8,16.541,16.541,16.499,16.499,16.499,0.95%,157
2025/4/9,17.02,17.02,17.02,17.02,17.02,3.16%,119
2025/4/10,17.47,17.66,17.47,17.617,17.617,3.51%,835
2025/4/11,18.08,18.199,18.07,18.16,18.16,3.08%,4503
2025/4/14,18,18.16,17.86,17.86,17.86,-1.65%,675
2025/4/15,17.615,17.615,17.615,17.615,17.615,-1.37%,22
