Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,17.97,18.05,17.874,17.94,15.681,-0.22%,1226503
2015/4/20,17.81,17.93,17.78,17.86,15.611,-0.45%,1002802
2015/4/21,17.78,17.84,17.69,17.73,15.498,-0.73%,1305449
2015/4/22,17.78,17.83,17.71,17.79,15.55,0.34%,762762
2015/4/23,17.86,18.09,17.85,18.01,15.742,1.24%,1057849
2015/4/24,17.99,18.02,17.92,18,15.734,-0.06%,700567
2015/4/27,18.01,18.07,17.96,18,15.734,0.00%,833549
2015/4/28,18.02,18.11,17.98,18.03,15.76,0.17%,815535
2015/4/29,18.04,18.246,18.015,18.15,15.865,0.67%,1774027
2015/4/30,18.16,18.29,18.095,18.29,15.987,0.77%,1166456
2015/5/1,18.19,18.27,18.113,18.27,15.97,-0.11%,2015361
2015/5/4,18.2,18.26,18.17,18.26,15.961,-0.05%,2095204
2015/5/5,18.42,18.49,18.4,18.41,16.092,0.82%,1615291
2015/5/6,18.41,18.68,18.39,18.41,16.092,0.00%,2812448
2015/5/7,18.4,18.4,18.09,18.12,15.839,-1.58%,1007460
2015/5/8,18.11,18.26,18.02,18.22,15.926,0.55%,1711561
2015/5/11,18.22,18.24,18.05,18.14,15.856,-0.44%,1494339
2015/5/12,18.2,18.44,18.19,18.33,16.022,1.05%,1241232
2015/5/13,18.49,18.5,18.34,18.35,16.04,0.11%,1246938
2015/5/14,18.46,18.5,18.36,18.46,16.136,0.60%,2321908
2015/5/15,18.31,18.46,18.254,18.45,16.127,-0.05%,2034862
2015/5/18,18.4,18.43,18.33,18.4,16.083,-0.27%,1773477
2015/5/19,18.21,18.21,17.95,18.01,15.742,-2.12%,1463252
2015/5/20,18.02,18.05,17.95,17.97,15.707,-0.22%,2551101
2015/5/21,18.1,18.25,18.1,18.19,15.9,1.22%,974766
2015/5/22,18.04,18.07,17.96,17.99,15.725,-1.10%,1452212
2015/5/26,17.78,17.81,17.58,17.64,15.419,-1.95%,1366939
2015/5/27,17.49,17.56,17.372,17.4,15.209,-1.36%,1392367
2015/5/28,17.38,17.5,17.3,17.49,15.288,0.52%,3380418
2015/5/29,17.48,17.749,17.46,17.71,15.48,1.26%,1347675
2015/6/1,17.68,17.755,17.6,17.67,15.445,-0.23%,2012975
2015/6/2,17.78,17.9,17.72,17.88,15.629,1.19%,1085513
2015/6/3,17.8,17.86,17.624,17.65,15.428,-1.29%,1091185
2015/6/4,17.55,17.56,17.424,17.49,15.288,-0.91%,1296652
2015/6/5,17.32,17.58,17.28,17.57,15.358,0.46%,1161407
2015/6/8,17.55,17.61,17.52,17.58,15.367,0.06%,1448986
2015/6/9,17.84,17.92,17.81,17.86,15.611,1.59%,1221809
2015/6/10,18.05,18.08,17.895,17.93,15.672,0.39%,1223425
2015/6/11,17.88,17.88,17.73,17.77,15.533,-0.89%,719085
2015/6/12,17.7,17.74,17.58,17.59,15.375,-1.01%,3527765
2015/6/15,17.47,17.56,17.46,17.51,15.305,-0.45%,1343849
2015/6/16,17.51,17.59,17.46,17.56,15.349,0.29%,577092
2015/6/17,17.75,17.8,17.45,17.61,15.393,0.28%,693925
2015/6/18,17.66,17.69,17.59,17.61,15.393,0.00%,1668471
2015/6/19,17.42,17.49,17.36,17.45,15.253,-0.91%,1648645
2015/6/22,17.39,17.55,17.34,17.51,15.305,0.34%,1015161
2015/6/23,17.48,17.73,17.47,17.72,15.489,1.20%,630542
2015/6/24,17.66,17.76,17.565,17.6,15.384,-0.68%,2268051
2015/6/25,17.56,17.65,17.52,17.62,15.402,0.11%,887301
2015/6/26,17.69,17.76,17.59,17.7,15.471,0.45%,550667
2015/6/29,17.64,17.72,17.6,17.62,15.402,-0.45%,2299117
2015/6/30,17.67,18.05,17.65,18,15.734,2.16%,1582618
2015/7/1,17.86,17.89,17.71,17.78,15.541,-1.22%,3885364
2015/7/2,17.8,17.94,17.735,17.75,15.515,-0.17%,1855030
2015/7/6,17.32,17.37,17.14,17.17,15.008,-3.27%,2304875
2015/7/7,17.06,17.1,16.72,17.07,14.921,-0.58%,4409526
2015/7/8,17.03,17.12,16.9,16.99,14.851,-0.47%,4364007
2015/7/9,17.2,17.29,17.11,17.19,15.026,1.18%,2278443
2015/7/10,17.23,17.355,17.16,17.27,15.096,0.47%,1117924
2015/7/13,17.24,17.37,17.11,17.28,15.104,0.06%,2425456
2015/7/14,17.17,17.29,17.14,17.22,15.052,-0.35%,867168
2015/7/15,17.11,17.15,17,17.02,14.877,-1.16%,914516
2015/7/16,17.07,17.2,16.93,16.94,14.807,-0.47%,822375
2015/7/17,16.91,16.91,16.75,16.85,14.728,-0.53%,938200
2015/7/20,16.67,16.73,16.58,16.58,14.492,-1.60%,2006164
2015/7/21,16.63,16.75,16.6,16.65,14.554,0.42%,1044558
2015/7/22,16.51,16.58,16.41,16.41,14.344,-1.44%,2034141
2015/7/23,16.47,16.5,16.27,16.27,14.221,-0.85%,6627699
