Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,14.73,14.88,14.6,14.73,12.931,-0.41%,345056
2015/4/20,14.68,14.92,14.68,14.83,13.019,0.68%,1941093
2015/4/21,14.82,14.89,14.6,14.65,12.861,-1.21%,296536
2015/4/22,14.72,14.83,14.622,14.74,12.94,0.61%,178283
2015/4/23,14.81,15.12,14.8,14.93,13.107,1.29%,657847
2015/4/24,14.92,15.04,14.9,14.98,13.151,0.33%,438931
2015/4/27,15.05,15.088,14.87,14.89,13.072,-0.60%,381145
2015/4/28,14.93,15.041,14.86,14.88,13.063,-0.07%,288998
2015/4/29,14.92,15.2,14.92,15.02,13.186,0.94%,692043
2015/4/30,15.04,15.23,14.98,15.18,13.326,1.07%,547448
2015/5/1,15.13,15.23,15.06,15.23,13.37,0.33%,207037
2015/5/4,15.14,15.21,15.062,15.21,13.353,-0.13%,202798
2015/5/5,15.41,15.5,15.31,15.31,13.44,0.66%,255114
2015/5/6,15.6,15.7,15.29,15.3,13.432,-0.07%,647308
2015/5/7,15.34,15.34,14.89,14.9,13.08,-2.61%,418557
2015/5/8,14.98,15.05,14.76,15.01,13.177,0.74%,533368
2015/5/11,15.05,15.09,14.88,15.06,13.221,0.33%,222330
2015/5/12,15.09,15.4,15.07,15.23,13.37,1.13%,342908
2015/5/13,15.42,15.49,15.16,15.16,13.309,-0.46%,1580007
2015/5/14,15.3,15.33,15.05,15.14,13.291,-0.13%,274430
2015/5/15,14.94,15.12,14.87,15.08,13.238,-0.40%,127953
2015/5/18,15,15.07,14.87,14.98,13.151,-0.66%,175645
2015/5/19,14.74,14.76,14.5,14.52,12.747,-3.07%,695506
2015/5/20,14.68,14.7,14.55,14.61,12.826,0.62%,1753232
2015/5/21,14.88,15.03,14.841,14.96,13.133,2.40%,350967
2015/5/22,14.72,14.83,14.7,14.81,13.001,-1.00%,106486
2015/5/26,14.54,14.58,14.36,14.47,12.703,-2.30%,364952
2015/5/27,14.28,14.448,14.2,14.25,12.51,-1.52%,413503
2015/5/28,14.14,14.31,14.05,14.3,12.554,0.35%,261274
2015/5/29,14.33,14.86,14.33,14.74,12.94,3.08%,754896
2015/6/1,14.75,14.82,14.55,14.72,12.922,-0.14%,186853
2015/6/2,14.83,14.99,14.77,14.97,13.142,1.70%,222409
2015/6/3,14.83,14.95,14.64,14.71,12.914,-1.74%,253824
2015/6/4,14.57,14.6,14.34,14.42,12.659,-1.97%,161550
2015/6/5,14.19,14.73,14.19,14.67,12.879,1.73%,329162
2015/6/8,14.54,14.64,14.43,14.525,12.751,-0.99%,100932
2015/6/9,14.86,14.93,14.8,14.82,13.01,2.03%,262318
2015/6/10,15.14,15.14,14.91,15.01,13.177,1.28%,355922
2015/6/11,15.03,15.04,14.88,14.97,13.142,-0.27%,323474
2015/6/12,14.85,14.93,14.76,14.77,12.966,-1.34%,91666
2015/6/15,14.59,14.79,14.59,14.74,12.94,-0.20%,171828
2015/6/16,14.76,14.89,14.75,14.84,13.028,0.68%,172390
2015/6/17,15.08,15.14,14.65,14.84,13.028,0.00%,318481
2015/6/18,14.92,15.02,14.81,14.94,13.116,0.67%,267184
2015/6/19,14.74,14.8,14.63,14.73,12.931,-1.41%,138943
2015/6/22,14.69,14.923,14.62,14.84,13.028,0.75%,119463
2015/6/23,14.76,15.08,14.73,15.02,13.186,1.21%,144110
2015/6/24,14.94,15.077,14.74,14.82,13.01,-1.33%,127080
2015/6/25,14.74,14.74,14.63,14.67,12.879,-1.01%,735079
2015/6/26,14.57,14.75,14.52,14.69,12.896,0.14%,96174
2015/6/29,14.44,14.5,14.35,14.35,12.598,-2.31%,200869
2015/6/30,14.5,14.69,14.46,14.6,12.817,1.74%,353192
2015/7/1,14.4,14.4,14.13,14.19,12.457,-2.81%,206139
2015/7/2,14.24,14.37,14.06,14.08,12.361,-0.78%,310080
2015/7/6,13.64,13.65,13.1,13.2,11.588,-6.25%,730847
2015/7/7,13.12,13.33,12.68,13.25,11.632,0.38%,717676
2015/7/8,13.19,13.25,12.86,13.1,11.5,-1.13%,280402
2015/7/9,13.31,13.42,13.2,13.31,11.685,1.60%,427646
2015/7/10,13.31,13.4,13.14,13.39,11.755,0.60%,207360
2015/7/13,13.18,13.49,13.16,13.29,11.667,-0.75%,124740
2015/7/14,13.14,13.47,13.1,13.37,11.737,0.60%,217513
2015/7/15,13.16,13.33,12.96,13.03,11.439,-2.54%,310055
2015/7/16,13.08,13.08,12.88,12.91,11.333,-0.92%,203118
2015/7/17,12.89,12.9,12.72,12.88,11.307,-0.23%,204654
2015/7/20,12.8,12.87,12.72,12.75,11.193,-1.01%,340094
2015/7/21,12.84,13,12.81,12.92,11.342,1.33%,233849
2015/7/22,12.79,12.86,12.52,12.55,11.017,-2.86%,189420
2015/7/23,12.64,12.65,12.35,12.39,10.877,-1.27%,426470
2015/7/24,12.41,12.41,12.22,12.34,10.833,-0.40%,182771
2015/7/27,12.18,12.27,12.08,12.08,10.605,-2.11%,296287
2015/7/28,12.19,12.38,12.1,12.23,10.736,1.24%,239082
2015/7/29,12.21,12.57,12.18,12.43,10.912,1.64%,350059
2015/7/30,12.4,12.51,12.348,12.38,10.868,-0.40%,130484
2015/7/31,12.41,12.41,12.03,12.08,10.605,-2.42%,187218
2015/8/3,11.87,11.97,11.63,11.72,10.289,-2.98%,586871
