Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/2/2,24.491,24.55,24.425,24.425,24.038,-1.11%,878
2024/2/5,24.33,24.52,24.32,24.515,24.127,0.37%,717061
2024/2/6,24.63,24.688,24.55,24.605,24.215,0.37%,6562
2024/2/7,24.54,24.67,24.54,24.655,24.264,0.20%,8543
2024/2/8,24.79,24.93,24.79,24.93,24.535,1.12%,3568
2024/2/9,24.95,24.95,24.875,24.875,24.481,-0.22%,747
2024/2/12,24.92,25.01,24.89,24.945,24.55,0.28%,5525
2024/2/13,24.864,24.97,24.825,24.825,24.432,-0.48%,9885
2024/2/14,24.82,24.82,24.61,24.61,24.22,-0.87%,6522
2024/2/15,24.71,24.8,24.69,24.744,24.351,0.54%,8240
2024/2/16,24.85,24.85,24.79,24.799,24.406,0.22%,8531
2024/2/20,24.68,24.715,24.67,24.715,24.323,-0.34%,2104
2024/2/21,24.68,24.74,24.68,24.69,24.299,-0.10%,8728
2024/2/22,24.72,24.77,24.715,24.73,24.338,0.16%,134283
2024/2/23,24.44,24.6,24.44,24.459,24.071,-1.10%,25606
2024/2/26,24.55,24.615,24.5,24.612,24.222,0.63%,2022
2024/2/27,24.769,24.8,24.769,24.77,24.378,0.64%,2448
2024/2/28,24.75,24.78,24.701,24.744,24.352,-0.10%,140473
2024/2/29,24.78,24.78,24.73,24.74,24.348,-0.02%,919
2024/3/1,24.889,24.94,24.84,24.86,24.466,0.49%,11281
2024/3/4,24.87,24.87,24.8,24.859,24.465,0.00%,1267
2024/3/5,24.74,24.77,24.692,24.74,24.348,-0.48%,6987
2024/3/6,24.951,24.951,24.875,24.875,24.481,0.55%,10554
2024/3/7,25.076,25.115,25.054,25.065,24.668,0.76%,3497
2024/3/8,24.91,25.01,24.871,24.978,24.582,-0.35%,7209
2024/3/11,24.99,25.15,24.99,25.135,24.737,0.63%,8660
2024/3/12,25.1,25.22,25.09,25.214,24.814,0.31%,11682
2024/3/13,25.26,25.41,25.26,25.385,24.983,0.68%,3229
2024/3/14,25.52,25.52,25.43,25.467,25.063,0.32%,2495
2024/3/15,25.56,25.56,25.51,25.517,25.113,0.20%,2737
2024/3/18,25.66,25.81,25.65,25.77,25.361,0.99%,5781
2024/3/19,25.695,25.765,25.67,25.765,25.357,-0.02%,3055
2024/3/20,25.53,25.65,25.49,25.646,25.24,-0.46%,134660
2024/3/21,25.525,25.65,25.525,25.625,25.219,-0.08%,8063
2024/3/22,25.53,25.54,25.44,25.485,25.081,-0.55%,10568
2024/3/25,25.52,25.73,25.52,25.721,25.313,0.93%,4516
2024/3/26,25.64,25.68,25.58,25.582,25.177,-0.54%,5094
2024/3/27,25.49,25.592,25.49,25.592,25.187,0.04%,137360
2024/3/28,25.83,25.86,25.81,25.835,25.425,0.95%,4096
2024/4/1,25.973,26.03,25.93,25.96,25.549,0.48%,10957
2024/4/2,26.19,26.23,26.12,26.21,25.795,0.96%,14680
2024/4/3,26.41,26.51,26.39,26.485,26.065,1.05%,11910
2024/4/4,26.43,26.59,26.41,26.587,26.165,0.39%,6405
2024/4/5,26.65,26.81,26.65,26.73,26.306,0.54%,2849
2024/4/8,26.6,26.718,26.55,26.718,26.295,-0.04%,3691
2024/4/9,26.64,26.66,26.58,26.635,26.213,-0.31%,131860
2024/4/10,26.64,26.75,26.56,26.715,26.292,0.30%,6100
2024/4/11,26.58,26.656,26.561,26.656,26.234,-0.22%,7414
2024/4/12,27.06,27.08,26.59,26.63,26.208,-0.10%,7277
2024/4/15,26.44,26.73,26.44,26.68,26.257,0.19%,11817
2024/4/16,26.66,26.66,26.52,26.66,26.238,-0.07%,13045
2024/4/17,26.39,26.39,26.353,26.353,25.935,-1.15%,2612
2024/4/18,26.27,26.3,26.23,26.28,25.864,-0.28%,2678
2024/4/19,26.36,26.47,26.36,26.43,26.011,0.57%,4007
2024/4/22,26.13,26.41,26.13,26.41,25.992,-0.08%,5537
2024/4/23,26.38,26.47,26.37,26.42,26.001,0.04%,5893
2024/4/24,26.44,26.48,26.437,26.48,26.06,0.23%,2404
2024/4/25,26.36,26.56,26.341,26.56,26.139,0.30%,3114
2024/4/26,26.55,26.572,26.54,26.55,26.129,-0.04%,7350
2024/4/29,26.53,26.53,26.5,26.502,26.082,-0.18%,1268
2024/4/30,26.04,26.089,26,26.004,25.592,-1.88%,4887
2024/5/1,26.04,26.04,25.66,25.71,25.303,-1.13%,8508
2024/5/2,25.64,25.7,25.57,25.671,25.264,-0.15%,4690
2024/5/3,25.67,25.672,25.625,25.625,25.219,-0.18%,1440
2024/5/6,25.82,25.84,25.75,25.795,25.386,0.66%,15812
2024/5/7,25.767,25.899,25.767,25.82,25.411,0.10%,3468
2024/5/8,25.719,25.83,25.719,25.805,25.396,-0.06%,5244
2024/5/9,25.79,25.85,25.75,25.85,25.44,0.17%,1993
2024/5/10,25.85,25.85,25.75,25.78,25.371,-0.27%,3122
2024/5/13,25.98,25.98,25.844,25.86,25.45,0.31%,2222
2024/5/14,25.768,25.775,25.74,25.775,25.367,-0.33%,5616
2024/5/15,25.972,26.05,25.972,26.025,25.613,0.97%,4017
2024/5/16,25.98,26.09,25.98,26.055,25.642,0.12%,134266
2024/5/17,26.308,26.41,26.28,26.41,25.992,1.36%,1770
2024/5/20,26.385,26.576,26.385,26.575,26.154,0.62%,5212
2024/5/21,26.66,26.66,26.56,26.62,26.198,0.17%,3523
2024/5/22,26.31,26.31,26.18,26.18,25.765,-1.65%,1296
2024/5/23,26.24,26.24,25.94,26.005,25.593,-0.67%,3789
2024/5/24,26.079,26.15,26.07,26.128,25.714,0.47%,3398
2024/5/28,26.56,26.64,26.48,26.64,26.218,1.96%,3911
2024/5/29,26.44,26.49,26.37,26.37,25.952,-1.01%,373780
2024/5/30,26.16,26.225,26.01,26.02,25.608,-1.33%,7383
2024/5/31,26.09,26.09,25.8,25.86,25.45,-0.61%,6963
2024/6/3,25.785,25.785,25.59,25.59,25.185,-1.04%,4429
2024/6/4,25.36,25.39,25.31,25.34,24.938,-0.98%,8827
2024/6/5,25.295,25.46,25.295,25.46,25.057,0.47%,71339
