Date,Open,High,Low,Close,Adj. Close,Change,Volume
2022/7/1,24.03,24.24,24.02,24.175,24.175,-0.06%,1036854
2022/7/5,23.98,23.98,23.64,23.648,23.648,-2.18%,641
2022/7/6,23.46,23.46,23.229,23.301,23.301,-1.47%,3968
2022/7/7,23.42,23.429,23.3,23.3,23.3,0.00%,91255
2022/7/8,23.29,23.45,23.29,23.33,23.33,0.13%,5768
2022/7/11,23.29,23.29,23.19,23.19,23.19,-0.60%,2014
2022/7/12,23.17,23.17,23.097,23.097,23.097,-0.40%,4436
2022/7/13,23,23.25,23,23.207,23.207,0.48%,3576
2022/7/14,22.882,22.882,22.882,22.882,22.882,-1.40%,85
2022/7/15,22.821,22.821,22.821,22.821,22.821,-0.27%,86
2022/7/18,23.01,23.01,22.85,22.859,22.859,0.17%,806
2022/7/19,22.93,22.94,22.916,22.916,22.916,0.25%,2376
2022/7/20,22.78,22.78,22.71,22.71,22.71,-0.90%,795
2022/7/21,22.829,23.011,22.829,23.011,23.011,1.33%,201
2022/7/22,23.2,23.259,23.08,23.08,23.08,0.30%,591
2022/7/25,23.01,23.01,23.01,23.01,23.01,-0.30%,63
2022/7/26,22.98,23,22.98,23,23,-0.04%,244
2022/7/27,23.285,23.285,23.219,23.219,23.219,0.95%,220
2022/7/28,23.439,23.501,23.439,23.501,23.501,1.21%,3068
2022/7/29,23.587,23.587,23.587,23.587,23.587,0.37%,35
2022/8/1,23.71,23.71,23.71,23.71,23.71,0.52%,20
2022/8/2,23.85,23.86,23.582,23.582,23.582,-0.54%,1245
2022/8/3,23.68,23.68,23.58,23.643,23.643,0.26%,807
2022/8/4,23.94,24.02,23.94,24.02,24.02,1.59%,502
2022/8/5,23.82,23.82,23.768,23.768,23.768,-1.05%,210165
2022/8/8,23.901,23.952,23.901,23.952,23.952,0.77%,216
2022/8/9,24.016,24.07,24.016,24.05,24.05,0.41%,11338
2022/8/10,23.972,23.975,23.972,23.975,23.975,-0.31%,170
2022/8/11,23.913,23.913,23.913,23.913,23.913,-0.26%,170
2022/8/12,24.1,24.15,24.09,24.11,24.11,0.82%,9101
2022/8/15,24.1,24.1,23.825,23.825,23.825,-1.18%,5318
2022/8/16,23.82,23.82,23.787,23.787,23.787,-0.16%,1012
2022/8/17,23.679,23.68,23.636,23.636,23.636,-0.63%,2876
2022/8/18,23.56,23.6,23.56,23.56,23.56,-0.32%,1520
2022/8/19,23.39,23.39,23.39,23.39,23.39,-0.72%,7
2022/8/22,23.269,23.269,23.24,23.24,23.24,-0.64%,945
2022/8/23,23.393,23.393,23.393,23.393,23.393,0.66%,10
2022/8/24,23.459,23.465,23.459,23.465,23.465,0.31%,3306
2022/8/25,23.53,23.53,23.53,23.53,23.53,0.28%,1
2022/8/26,23.47,23.5,23.237,23.267,23.267,-1.12%,5618
2022/8/29,23.266,23.266,23.266,23.266,23.266,0.00%,400
2022/8/30,23.08,23.08,23.08,23.08,23.08,-0.80%,26
2022/8/31,22.931,22.995,22.91,22.91,22.91,-0.74%,1420
2022/9/1,22.59,22.703,22.59,22.703,22.703,-0.90%,1133
2022/9/2,22.94,22.99,22.898,22.898,22.898,0.86%,2060
2022/9/6,22.8,22.8,22.769,22.769,22.769,-0.56%,115
2022/9/7,22.95,23,22.95,22.995,22.995,0.99%,201
2022/9/8,22.861,22.861,22.861,22.861,22.861,-0.58%,74
2022/9/9,23.015,23.015,22.98,22.98,22.98,0.52%,1985
2022/9/12,23.18,23.19,23.103,23.103,23.103,0.54%,1788
2022/9/13,22.84,22.84,22.8,22.8,22.8,-1.31%,306
2022/9/14,22.81,22.81,22.714,22.72,22.72,-0.35%,440800
2022/9/15,22.5,22.5,22.25,22.273,22.273,-1.97%,791
2022/9/16,22.417,22.417,22.417,22.417,22.417,0.65%,159
2022/9/19,22.418,22.418,22.418,22.418,22.418,0.00%,22
2022/9/20,22.29,22.29,22.29,22.29,22.29,-0.57%,725
2022/9/21,22.38,22.392,22.38,22.392,22.392,0.46%,3000
2022/9/22,22.37,22.37,22.37,22.37,22.37,-0.10%,482
2022/9/23,22.03,22.03,21.998,21.998,21.998,-1.66%,37829
2022/9/26,21.776,21.81,21.753,21.753,21.753,-1.11%,2244
2022/9/27,21.791,21.791,21.79,21.79,21.79,0.17%,121
2022/9/28,22.1,22.24,22.1,22.23,22.23,2.02%,1930
2022/9/29,22.19,22.242,22.19,22.242,22.242,0.05%,2075
2022/9/30,22.349,22.349,22.234,22.234,22.234,-0.04%,104
2022/10/3,22.769,22.769,22.769,22.769,22.769,2.41%,201
2022/10/4,23.104,23.104,23.104,23.104,23.104,1.47%,50
2022/10/5,22.986,22.986,22.986,22.986,22.986,-0.51%,29
2022/10/6,22.955,22.955,22.955,22.955,22.955,-0.13%,241
2022/10/7,22.7,22.7,22.7,22.7,22.7,-1.11%,1
