Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,24.48,24.53,24.29,24.37,18.656,-0.61%,48041
2015/4/20,24.61,24.61,24.12,24.15,18.487,-0.90%,18136
2015/4/21,24.16,24.25,24.07,24.17,18.502,0.08%,50524
2015/4/22,24.25,24.25,24.08,24.09,18.441,-0.33%,162464
2015/4/23,24.21,24.44,24.15,24.36,18.648,1.12%,32441
2015/4/24,24.48,24.59,24.451,24.51,18.763,0.62%,48059
2015/4/27,24.71,24.71,24.5,24.54,18.786,0.12%,21868
2015/4/28,24.59,24.669,24.564,24.61,18.839,0.29%,43300
2015/4/29,24.53,24.89,24.53,24.843,19.018,0.95%,144509
2015/4/30,24.93,25.01,24.867,24.99,19.13,0.59%,94093
2015/5/1,24.96,24.97,24.77,24.88,19.046,-0.44%,63242
2015/5/4,25.13,25.13,24.8,24.91,19.069,0.12%,24763
2015/5/5,25.04,25.17,25.04,25.09,19.207,0.72%,34039
2015/5/6,25.07,25.339,25.05,25.1,19.214,0.04%,189958
2015/5/7,25.02,25.06,24.7,24.97,19.115,-0.52%,31926
2015/5/8,25.28,25.28,25,25.26,19.337,1.16%,50636
2015/5/11,25.25,25.25,25.13,25.21,19.299,-0.20%,2085400
2015/5/12,25.31,25.47,25.28,25.44,19.475,0.91%,206062
2015/5/13,25.48,25.96,25.2,25.37,19.421,-0.28%,40290
2015/5/14,25.63,25.63,25.44,25.6,19.597,0.91%,95486
2015/5/15,25.59,25.72,25.53,25.72,19.689,0.47%,105460
2015/5/18,25.78,25.81,25.66,25.76,19.72,0.16%,73105
2015/5/19,25.89,25.89,25.21,25.27,19.345,-1.90%,70027
2015/5/20,25.27,25.28,25.16,25.2,19.291,-0.28%,58496
2015/5/21,25.3,25.43,25.3,25.37,19.421,0.67%,67625
2015/5/22,25.18,25.21,25.02,25.09,19.207,-1.10%,290884
2015/5/26,25.1,25.1,24.62,24.65,18.87,-1.75%,26084
2015/5/27,24.56,24.71,24.518,24.543,18.788,-0.43%,40025
2015/5/28,24.52,24.57,24.432,24.57,18.809,0.11%,27495
2015/5/29,24.54,24.6,24.502,24.57,18.809,0.00%,69241
2015/6/1,24.71,24.74,24.62,24.71,18.916,0.57%,50367
2015/6/2,24.81,25,24.75,25,19.138,1.17%,190348
2015/6/3,25.12,25.12,24.74,24.77,18.962,-0.92%,57379
2015/6/4,24.71,24.71,24.6,24.65,18.87,-0.48%,28942
2015/6/5,24.74,24.74,24.4,24.6,18.832,-0.20%,2010642
2015/6/8,24.68,24.77,24.68,24.75,18.946,0.61%,817942
2015/6/9,24.9,25.01,24.9,24.98,19.123,0.93%,49344
2015/6/10,25.19,25.22,24.97,25.02,19.153,0.16%,75279
2015/6/11,24.87,24.87,24.66,24.66,18.878,-1.44%,23627
2015/6/12,23.73,24.78,23.73,24.55,18.793,-0.45%,20437
2015/6/15,24.46,24.46,24.35,24.37,18.656,-0.73%,44298
2015/6/16,24.3,24.42,24.3,24.38,18.663,0.04%,45124
2015/6/17,24.51,24.58,24.327,24.45,18.717,0.29%,85921
2015/6/18,24.485,24.52,24.383,24.41,18.686,-0.16%,49393
2015/6/19,24.29,24.29,24.149,24.17,18.502,-0.98%,12593
2015/6/22,24.24,24.36,24.176,24.33,18.625,0.66%,16684
2015/6/23,24.29,24.43,24.29,24.39,18.671,0.25%,21114
2015/6/24,24.4,24.5,24.4,24.44,18.709,0.21%,102122
2015/6/25,24.37,24.485,24.32,24.44,18.709,0.00%,17677
2015/6/26,24.507,24.607,24.507,24.53,18.778,0.37%,14550
2015/6/29,24.71,24.71,24.41,24.46,18.724,-0.29%,40682
2015/6/30,24.43,24.8,24.4,24.79,18.977,1.35%,54470
2015/7/1,24.74,24.74,24.513,24.59,18.824,-0.81%,257374
2015/7/2,24.63,24.77,24.57,24.57,18.809,-0.08%,1395267
2015/7/6,24.24,24.313,24.105,24.147,18.485,-1.72%,28251
2015/7/7,24.03,24.03,23.581,23.85,18.258,-1.23%,104019
2015/7/8,23.79,23.9,23.69,23.76,18.189,-0.38%,120979
2015/7/9,24.01,24.08,23.923,23.95,18.334,0.80%,47624
2015/7/10,24.04,24.07,23.95,23.96,18.342,0.04%,209090
2015/7/13,23.62,24.16,23.62,24.12,18.464,0.67%,63065
2015/7/14,24.21,24.28,24.14,24.17,18.502,0.21%,121365
2015/7/15,24.07,24.14,24.01,24.05,18.411,-0.50%,211410
2015/7/16,24.01,24.1,23.93,23.95,18.334,-0.42%,547132
2015/7/17,23.84,23.88,23.75,23.82,18.235,-0.54%,262720
2015/7/20,23.63,23.737,23.58,23.59,18.058,-0.97%,39460
2015/7/21,23.608,23.74,23.55,23.59,18.058,0.00%,141329
2015/7/22,23.47,23.66,23.47,23.54,18.02,-0.21%,18758
2015/7/23,23.5,23.54,23.3,23.33,17.859,-0.89%,41165
2015/7/24,23.21,23.21,23.08,23.11,17.691,-0.94%,94435
2015/7/27,22.98,23.044,22.85,22.85,17.492,-1.13%,235941
2015/7/28,23.04,23.15,22.98,23.11,17.691,1.14%,35189
2015/7/29,23.18,23.27,23.16,23.22,17.775,0.48%,158915
2015/7/30,23.22,23.26,23.09,23.13,17.706,-0.39%,21964
2015/7/31,23.17,23.17,22.93,22.95,17.569,-0.78%,24574
2015/8/3,22.74,22.88,22.74,22.79,17.446,-0.70%,199481
