Date,Open,High,Low,Close,Adj. Close,Change,Volume
2025/2/21,20.3,20.38,19.54,19.547,19.547,-3.55%,81249
2025/2/24,19.6,19.6,19.09,19.381,19.381,-0.85%,44083
2025/2/25,19.34,19.34,18.695,19.035,19.035,-1.79%,35557
2025/2/26,18.96,19.51,18.9,19.415,19.415,2.00%,54673
2025/2/27,19.5,19.5,18.73,18.74,18.74,-3.48%,123069
2025/2/28,18.52,18.88,18.39,18.863,18.863,0.66%,18559
2025/3/3,19.28,19.5,18.82,18.867,18.867,0.02%,109937
2025/3/4,19.048,19.17,18.67,19.03,19.03,0.86%,68904
2025/3/5,19.05,19.84,19.05,19.824,19.824,4.17%,53835
2025/3/6,19.67,19.87,19.389,19.471,19.471,-1.78%,30073
2025/3/7,19.52,19.93,19.191,19.603,19.603,0.68%,42535
2025/3/10,19.6,19.6,18.515,18.681,18.681,-4.70%,53900
2025/3/11,18.84,19.585,18.84,19.582,19.582,4.82%,22194
2025/3/12,19.57,19.92,19.56,19.837,19.837,1.30%,153925
2025/3/13,20,20.57,20,20.42,20.42,2.94%,61603
2025/3/14,20.75,20.8,20.475,20.65,20.65,1.13%,38294
2025/3/17,20.99,21.39,20.86,21.39,21.39,3.58%,52111
2025/3/18,21.88,21.88,21.485,21.51,21.51,0.56%,110600
2025/3/19,21.38,21.62,21.171,21.52,21.52,0.05%,36728
2025/3/20,21.39,21.63,21.25,21.5,21.5,-0.09%,29087
2025/3/21,21.25,21.25,21,21.17,21.17,-1.53%,55489
2025/3/24,21.49,21.49,21.148,21.2,21.2,0.14%,25335
2025/3/25,21.56,21.8,21.56,21.59,21.59,1.84%,42238
2025/3/26,21.64,21.67,21.31,21.35,21.35,-1.11%,21828
2025/3/27,21.63,21.9,21.47,21.9,21.9,2.58%,76968
2025/3/28,22.12,22.3,21.62,21.73,21.73,-0.78%,83803
2025/3/31,21.95,21.95,21.126,21.74,21.74,0.05%,91109
2025/4/1,21.83,21.83,21.4,21.585,21.585,-0.71%,30740
2025/4/2,21.99,21.99,21.369,21.64,21.64,0.25%,35230
2025/4/3,21.48,21.95,21.03,21.65,21.65,0.05%,26691
2025/4/4,21.28,21.28,19.571,19.67,19.67,-9.15%,106865
2025/4/7,19.09,20.67,19.04,19.56,19.56,-0.56%,27588
2025/4/8,20.5,20.561,19.39,19.576,19.576,0.08%,24362
2025/4/9,20.47,21.369,20.19,21.33,21.33,8.96%,37565
2025/4/10,21.55,22.33,21.445,22.23,22.23,4.22%,84125
2025/4/11,23.56,23.56,22.99,23.4,23.4,5.26%,77834
2025/4/14,23.81,23.87,23.165,23.82,23.82,1.79%,79786
2025/4/15,24.44,24.44,23.815,24.02,24.02,0.84%,58471
