Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,115.38,115.79,115.23,115.6,115.6,0.50%,3496313
2015/4/20,114.82,114.95,114.316,114.72,114.72,-0.76%,3932756
2015/4/21,114.72,115.56,114.65,115.38,115.38,0.58%,3317715
2015/4/22,114.83,114.96,113.77,113.83,113.83,-1.34%,5695960
2015/4/23,113.9,114.96,113.81,114.66,114.66,0.73%,3459495
2015/4/24,113.96,114.07,112.77,113.05,113.05,-1.40%,7152913
2015/4/27,113.87,115.82,113.67,115.33,115.33,2.02%,7487557
2015/4/28,115.36,116.62,115.34,116.33,116.33,0.87%,8054361
2015/4/29,116.06,116.39,115.28,115.51,115.51,-0.70%,7170477
2015/4/30,113.88,113.88,112.96,113.47,113.47,-1.77%,9440253
2015/5/1,112.42,113.309,112.28,113.08,113.08,-0.34%,7597006
2015/5/4,114.18,114.44,113.88,114.1,114.1,0.90%,3648052
2015/5/5,114.89,115.11,114.39,114.42,114.42,0.28%,3856520
2015/5/6,114.59,114.75,114.02,114.36,114.36,-0.05%,3280733
2015/5/7,113.84,114.01,113.32,113.42,113.42,-0.82%,5455090
2015/5/8,114.34,114.43,113.59,113.97,113.97,0.48%,9964072
2015/5/11,114.09,114.31,113.08,113.53,113.53,-0.39%,2916745
2015/5/12,114.1,114.67,114.065,114.5,114.5,0.85%,3256715
2015/5/13,115.74,116.93,115.68,116.55,116.55,1.79%,11768224
2015/5/14,117.28,117.75,117.03,117.18,117.18,0.54%,6923017
2015/5/15,116.8,117.63,116.68,117.53,117.53,0.30%,4447333
2015/5/18,117.78,117.88,117.27,117.52,117.52,-0.01%,5079850
2015/5/19,116.55,116.73,115.65,115.89,115.89,-1.39%,5052147
2015/5/20,116.03,116.38,115.76,116.08,116.08,0.16%,4432556
2015/5/21,115.53,116,115.47,115.69,115.69,-0.34%,2514693
2015/5/22,115.51,115.93,115.32,115.6,115.6,-0.08%,1780191
2015/5/26,113.84,114.23,113.7,113.91,113.91,-1.46%,5769580
