Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,23.28,23.34,23.24,23.28,23.28,0.34%,605909
2015/4/20,23.16,23.18,23.04,23.12,23.12,-0.69%,881722
2015/4/21,23.14,23.3,23.1,23.26,23.26,0.61%,977511
2015/4/22,23.16,23.18,22.928,22.96,22.96,-1.29%,677276
2015/4/23,22.96,23.18,22.94,23.12,23.12,0.70%,1112614
2015/4/24,22.98,23,22.72,22.8,22.8,-1.38%,788544
2015/4/27,22.94,23.351,22.92,23.26,23.26,2.02%,811898
2015/4/28,23.24,23.5,23.24,23.46,23.46,0.86%,1152555
2015/4/29,23.38,23.46,23.229,23.28,23.28,-0.77%,725332
2015/4/30,22.96,22.96,22.761,22.88,22.88,-1.72%,1193336
2015/5/1,22.66,22.82,22.62,22.78,22.78,-0.44%,961119
2015/5/4,23.02,23.07,22.96,22.98,22.98,0.88%,695666
2015/5/5,23.16,23.215,23.06,23.06,23.06,0.35%,1597430
2015/5/6,23.12,23.138,22.99,23.06,23.06,0.00%,728038
2015/5/7,22.96,22.99,22.84,22.88,22.88,-0.78%,584909
2015/5/8,23.06,23.06,22.9,23,23,0.52%,571582
2015/5/11,23,23.033,22.8,22.88,22.88,-0.52%,760701
2015/5/12,23.02,23.12,23,23.08,23.08,0.87%,510371
2015/5/13,23.32,23.58,23.32,23.48,23.48,1.73%,1373567
2015/5/14,23.64,23.74,23.6,23.62,23.62,0.60%,928702
2015/5/15,23.56,23.72,23.52,23.68,23.68,0.25%,727015
2015/5/18,23.74,23.78,23.64,23.68,23.68,0.00%,944824
2015/5/19,23.52,23.528,23.32,23.36,23.36,-1.35%,971825
2015/5/20,23.4,23.471,23.34,23.4,23.4,0.17%,1351411
2015/5/21,23.28,23.38,23.28,23.32,23.32,-0.34%,1082146
2015/5/22,23.3,23.36,23.24,23.3,23.3,-0.09%,638537
2015/5/26,22.96,23.02,22.93,22.96,22.96,-1.46%,1705532
2015/5/27,22.94,23,22.91,22.96,22.96,0.00%,894613
2015/5/28,22.96,23.01,22.82,22.98,22.98,0.09%,847544
2015/5/29,23.02,23.072,22.98,23.02,23.02,0.17%,1162186
2015/6/1,23.2,23.284,22.96,23,23,-0.09%,1048478
2015/6/2,23.08,23.11,23.02,23.08,23.08,0.35%,1395056
2015/6/3,23.02,23.06,22.8,22.92,22.92,-0.69%,883771
2015/6/4,22.76,22.808,22.682,22.76,22.76,-0.70%,962978
2015/6/5,22.5,22.67,22.5,22.64,22.64,-0.53%,1011584
2015/6/8,22.66,22.72,22.6,22.7,22.7,0.27%,1096612
2015/6/9,22.82,22.84,22.73,22.74,22.74,0.18%,606588
2015/6/10,23.02,23.02,22.92,22.94,22.94,0.88%,955605
2015/6/11,22.82,22.88,22.76,22.86,22.86,-0.35%,817810
2015/6/12,22.8,22.9,22.78,22.82,22.82,-0.17%,558491
2015/6/15,22.86,23.02,22.82,22.92,22.92,0.44%,1050223
2015/6/16,22.8,22.88,22.74,22.84,22.84,-0.35%,658187
2015/6/17,22.8,23,22.7,22.94,22.94,0.44%,1104746
2015/6/18,23.24,23.32,23.161,23.24,23.24,1.31%,2585356
2015/6/19,23.26,23.29,23.18,23.2,23.2,-0.17%,849562
2015/6/22,22.96,22.97,22.851,22.9,22.9,-1.29%,2096484
2015/6/23,22.76,22.82,22.74,22.78,22.78,-0.52%,1112002
2015/6/24,22.68,22.74,22.64,22.7,22.7,-0.35%,788651
2015/6/25,22.68,22.74,22.65,22.66,22.66,-0.18%,1019279
2015/6/26,22.62,22.72,22.6,22.7,22.7,0.18%,1085614
2015/6/29,22.74,22.83,22.69,22.78,22.78,0.35%,2017492
2015/6/30,22.64,22.79,22.55,22.68,22.68,-0.44%,1571750
2015/7/1,22.62,22.68,22.56,22.6,22.6,-0.35%,1391192
2015/7/2,22.52,22.552,22.46,22.54,22.54,-0.27%,1307806
2015/7/6,22.52,22.7,22.504,22.6,22.6,0.27%,811731
2015/7/7,22.42,22.42,22.2,22.36,22.36,-1.06%,1144330
2015/7/8,22.46,22.528,22.4,22.42,22.42,0.27%,2462170
2015/7/9,22.54,22.56,22.42,22.46,22.46,0.18%,850477
2015/7/10,22.44,22.537,22.38,22.48,22.48,0.09%,659702
2015/7/13,22.26,22.42,22.26,22.4,22.4,-0.36%,721936
2015/7/14,22.38,22.4,22.3,22.34,22.34,-0.27%,720232
2015/7/15,22.18,22.22,22.1,22.2,22.2,-0.63%,788302
2015/7/16,22.12,22.19,22.1,22.12,22.12,-0.36%,853678
2015/7/17,22.02,22.02,21.86,21.9,21.9,-0.99%,2752742
2015/7/20,21.5,21.5,21.28,21.3,21.3,-2.74%,2947309
2015/7/21,21.34,21.44,21.22,21.24,21.24,-0.28%,6100920
2015/7/22,21.04,21.18,21,21.12,21.12,-0.56%,4724790
2015/7/23,21.16,21.24,21,21.04,21.04,-0.38%,3578958
2015/7/24,20.9,21.292,20.85,21.24,21.24,0.95%,1606538
2015/7/27,21.16,21.3,21.1,21.16,21.16,-0.38%,1375241
2015/7/28,21.2,21.24,21.14,21.16,21.16,0.00%,944026
2015/7/29,21.14,21.3,21.06,21.2,21.2,0.19%,1107040
2015/7/30,20.98,21.17,20.94,21.02,21.02,-0.85%,915296
2015/7/31,21.24,21.324,21.12,21.16,21.16,0.67%,1365077
2015/8/3,21.08,21.14,20.98,20.98,20.98,-0.85%,1089974
2015/8/4,21.08,21.14,20.972,21.04,21.04,0.29%,1116429
2015/8/5,21.04,21.08,20.92,20.96,20.96,-0.38%,3905987
2015/8/6,21,21.14,21,21.04,21.04,0.38%,1405604
2015/8/7,21.12,21.26,21.08,21.12,21.12,0.38%,1197320
2015/8/10,21.16,21.43,21.16,21.32,21.32,0.95%,1653387
2015/8/11,21.46,21.49,21.33,21.44,21.44,0.56%,1278077
2015/8/12,21.56,21.76,21.56,21.72,21.72,1.31%,2015417
2015/8/13,21.56,21.617,21.52,21.54,21.54,-0.83%,886289
2015/8/14,21.58,21.66,21.48,21.56,21.56,0.09%,593918
2015/8/17,21.66,21.68,21.58,21.58,21.58,0.09%,605528
2015/8/18,21.52,21.64,21.45,21.6,21.6,0.09%,893198
2015/8/19,21.72,21.92,21.7,21.88,21.88,1.30%,1121674
2015/8/20,22.16,22.32,22.12,22.28,22.28,1.83%,4702141
2015/8/21,22.36,22.46,22.22,22.4,22.4,0.54%,2276373
2015/8/24,22.52,22.62,22.14,22.28,22.28,-0.54%,3815734
2015/8/25,22.18,22.2,21.92,22.04,22.04,-1.08%,2831840
2015/8/26,21.74,21.8,21.6,21.74,21.74,-1.36%,1428331
2015/8/27,21.66,21.79,21.6,21.7,21.7,-0.18%,2778109
