Date,Open,High,Low,Close,Adj. Close,Change,Volume
2021/6/30,17.701,17.701,17.701,17.701,17.701,0.47%,7
2021/7/1,17.71,17.76,17.71,17.755,17.755,0.31%,16725021
2021/7/2,17.826,17.88,17.826,17.88,17.88,0.70%,745
2021/7/6,18.13,18.13,17.95,17.97,17.97,0.50%,2164
2021/7/7,18.035,18.035,18.035,18.035,18.035,0.36%,89
2021/7/8,18.088,18.09,17.98,18.021,18.021,-0.08%,1702
2021/7/9,18.05,18.11,18.04,18.085,18.085,0.36%,786
2021/7/12,18.04,18.08,17.97,18.065,18.065,-0.11%,8159
2021/7/13,18.1,18.15,18.083,18.083,18.083,0.10%,2418
2021/7/14,18.21,18.263,18.21,18.263,18.263,1.00%,10601713
2021/7/15,18.241,18.278,18.223,18.278,18.278,0.08%,49752
2021/7/16,18.24,18.24,18.107,18.107,18.107,-0.94%,88045
2021/7/19,18.14,18.14,18.08,18.116,18.116,0.05%,3209
2021/7/20,18.24,18.24,18.08,18.098,18.098,-0.10%,2960
2021/7/21,17.99,18.047,17.99,18.047,18.047,-0.28%,517
2021/7/22,17.99,18.08,17.99,18.08,18.08,0.18%,13928
2021/7/23,18.03,18.04,17.98,18.016,18.016,-0.35%,3682
2021/7/26,18.01,18.04,17.976,17.976,17.976,-0.22%,3817
2021/7/27,18.05,18.05,17.96,18.005,18.005,0.16%,34974
2021/7/28,17.98,18.1,17.95,18.099,18.099,0.52%,31242
2021/7/29,18.26,18.33,18.26,18.29,18.29,1.06%,50195
2021/7/30,18.25,18.25,18.115,18.137,18.137,-0.84%,11789
2021/8/2,18.1,18.19,18.09,18.13,18.13,-0.04%,7721
2021/8/3,18.14,18.14,18.1,18.107,18.107,-0.13%,9220
2021/8/4,18.3,18.31,18.09,18.119,18.119,0.07%,14412
2021/8/5,18.11,18.11,18.005,18.045,18.045,-0.41%,2145
2021/8/6,17.72,17.72,17.59,17.604,17.604,-2.44%,21478
2021/8/9,17.43,17.43,17.25,17.298,17.298,-1.74%,814903
2021/8/10,17.279,17.316,17.269,17.289,17.289,-0.05%,11428
2021/8/11,17.44,17.53,17.4,17.525,17.525,1.37%,23442
2021/8/12,17.44,17.535,17.44,17.535,17.535,0.06%,18846
2021/8/13,17.73,17.8,17.71,17.8,17.8,1.51%,18419
2021/8/16,17.81,17.89,17.81,17.881,17.881,0.46%,2549
2021/8/17,17.89,17.92,17.83,17.848,17.848,-0.18%,9817
2021/8/18,17.81,17.88,17.81,17.86,17.86,0.07%,3586
2021/8/19,17.819,17.82,17.807,17.807,17.807,-0.30%,52721
2021/8/20,17.81,17.83,17.79,17.822,17.822,0.08%,11367
2021/8/23,18.06,18.06,17.981,18.035,18.035,1.20%,18918
2021/8/24,18.08,18.08,18.02,18.03,18.03,-0.03%,148040
2021/8/25,17.93,17.94,17.83,17.905,17.905,-0.69%,103482
2021/8/26,17.87,17.97,17.84,17.925,17.925,0.11%,84544
2021/8/27,17.92,18.185,17.85,18.185,18.185,1.45%,27889
2021/8/30,18.139,18.149,18.099,18.105,18.105,-0.44%,5057
2021/8/31,18.07,18.144,18.065,18.144,18.144,0.22%,5716
2021/9/1,18.115,18.14,18.09,18.131,18.131,-0.07%,48726
