Date,Open,High,Low,Close,Adj. Close,Change,Volume
2021/3/4,20.05,20.05,19.81,19.826,13.779,-0.74%,4526
2021/3/5,19.73,19.88,19.71,19.829,13.781,0.02%,45124
2021/3/8,19.65,19.715,19.625,19.625,13.639,-1.03%,53663
2021/3/9,20.03,20.03,19.976,19.976,13.883,1.79%,10725
2021/3/10,20.09,20.09,20.09,20.09,13.963,0.57%,10725
2021/3/11,20.1,20.13,20.07,20.07,13.949,-0.10%,12779
2021/3/12,19.95,20.077,19.95,20.077,13.954,0.03%,3480
2021/3/15,20.17,20.22,20.13,20.159,14.011,0.41%,3662
2021/3/16,20.26,20.26,20.155,20.158,14.01,0.00%,4836
2021/3/17,20.26,20.332,20.233,20.332,14.131,0.86%,1420
2021/3/18,20.13,20.22,20.046,20.199,14.038,-0.65%,3477
2021/3/19,20.29,20.33,20.285,20.285,14.098,0.43%,430
2021/3/22,20.25,20.31,20.25,20.31,14.115,0.12%,4127
2021/3/23,20.172,20.172,20.14,20.14,13.997,-0.84%,2007
2021/3/24,20.111,20.24,20.11,20.21,14.046,0.35%,5069
2021/3/25,20.285,20.29,20.16,20.19,14.032,-0.10%,13822
2021/3/26,20.2,20.23,20.126,20.18,14.025,-0.05%,4338
2021/3/29,20.045,20.045,19.891,19.955,13.869,-1.11%,28912
2021/3/30,19.76,19.76,19.57,19.69,13.685,-1.33%,10027
2021/3/31,19.78,19.97,19.78,19.86,13.803,0.86%,13409
2021/4/1,20.13,20.169,20.098,20.12,14.017,1.31%,4646
2021/4/5,20.3,20.3,20.05,20.055,13.972,-0.32%,240936
2021/4/6,20.2,20.25,20.197,20.197,14.071,0.71%,2651
2021/4/7,20.13,20.22,19.85,20.08,13.99,-0.58%,37670
2021/4/8,20.205,20.36,20.2,20.3,14.143,1.10%,25892
2021/4/9,20.131,20.25,20.131,20.177,14.057,-0.61%,4623
2021/4/12,20.1,20.13,20.089,20.105,14.007,-0.36%,2848
2021/4/13,20.11,20.25,20.11,20.205,14.077,0.50%,301
2021/4/14,20.23,20.23,20.05,20.12,14.017,-0.42%,3091
2021/4/15,20.38,20.47,20.32,20.446,14.245,1.62%,14583
2021/4/16,20.61,20.61,20.48,20.53,14.303,0.41%,1718
2021/4/19,20.5,20.55,20.47,20.47,14.261,-0.29%,4436
2021/4/20,20.509,20.59,20.446,20.535,14.307,0.32%,4323
2021/4/21,20.91,20.91,20.67,20.67,14.401,0.66%,4348
2021/4/22,20.65,20.65,20.565,20.565,14.327,-0.51%,4344
2021/4/23,20.58,20.58,20.505,20.505,14.286,-0.29%,4184
2021/4/26,20.545,20.61,20.54,20.575,14.334,0.34%,8700
2021/4/27,20.57,20.59,20.545,20.59,14.345,0.07%,8033
2021/4/28,20.52,20.62,20.47,20.56,14.324,-0.15%,5818
2021/4/29,20.74,20.74,20.36,20.54,14.31,-0.10%,5859
2021/4/30,20.5,20.5,20.41,20.41,14.22,-0.63%,7098
2021/5/3,21.88,21.88,20.636,20.636,14.413,1.11%,3339
2021/5/4,20.609,20.66,20.453,20.453,14.285,-0.89%,2047
2021/5/5,20.59,20.72,20.512,20.54,14.345,0.43%,2641
2021/5/6,20.77,20.9,20.77,20.836,14.552,1.44%,5463
2021/5/7,20.99,21.049,20.918,20.96,14.639,0.60%,3672
2021/5/10,21.06,21.1,21,21.04,14.695,0.38%,5360
2021/5/11,20.98,21.04,20.915,21.01,14.674,-0.14%,32177
2021/5/12,21,21.01,20.884,20.94,14.625,-0.33%,20890
2021/5/13,20.91,20.97,20.78,20.95,14.632,0.05%,6192
2021/5/14,21.06,21.066,21.03,21.065,14.712,0.55%,3177
2021/5/17,21.13,21.32,21.12,21.265,14.852,0.95%,1912
2021/5/18,21.277,21.33,21.23,21.29,14.869,0.12%,5655
2021/5/19,21.47,21.47,21.28,21.37,14.925,0.38%,19095
2021/5/20,21.35,21.479,21.35,21.39,14.939,0.09%,526
2021/5/21,21.65,21.65,21.311,21.385,14.936,-0.02%,5071
2021/5/24,21.42,21.425,21.415,21.425,14.964,0.19%,1343
2021/5/25,21.45,21.65,21.45,21.58,15.072,0.72%,54250
2021/5/26,21.72,21.72,21.53,21.545,15.047,-0.16%,24531
2021/5/27,21.53,21.63,21.509,21.555,15.054,0.05%,15959
2021/5/28,21.56,21.62,21.56,21.604,15.088,0.23%,3781
2021/6/1,21.61,21.619,21.54,21.54,15.081,-0.30%,2105
2021/6/2,22.84,22.84,21.535,21.575,15.106,0.16%,7449
2021/6/3,21.38,21.44,21.19,21.215,14.854,-1.67%,15004
2021/6/4,21.33,21.45,21.33,21.41,14.99,0.92%,3497
2021/6/7,21.406,21.495,21.406,21.495,15.05,0.40%,435
2021/6/8,21.43,21.44,21.425,21.425,15.001,-0.33%,928
2021/6/9,21.43,21.479,21.39,21.39,14.976,-0.16%,1539
2021/6/10,21.51,21.51,21.39,21.48,15.039,0.42%,2664
2021/6/11,21.39,21.39,21.251,21.255,14.882,-1.05%,2154
2021/6/14,21.07,21.145,21.07,21.135,14.798,-0.56%,2030
2021/6/15,21.03,21.08,21.03,21.08,14.759,-0.26%,201
2021/6/16,21,21,20.76,20.76,14.535,-1.52%,4809
2021/6/17,20.16,20.16,20.115,20.14,14.101,-2.99%,3219
2021/6/18,20.09,20.12,20.09,20.096,14.071,-0.22%,1283
2021/6/21,20.18,20.24,20.162,20.195,14.14,0.49%,3842
