Date,Open,High,Low,Close,Adj. Close,Change,Volume
2021/10/6,25.93,26.675,25.234,25.234,18.959,-2.68%,143807
2021/10/7,24.96,25,24.47,24.518,18.421,-2.84%,46330
2021/10/8,24.62,24.65,24.01,24.075,18.088,-1.81%,36527
2021/10/11,24.14,24.41,24.14,24.36,18.302,1.18%,21196
2021/10/12,24.62,24.97,24.41,24.7,18.558,1.40%,37661
2021/10/13,25,25.07,24.75,24.847,18.668,0.60%,32022
2021/10/14,25,25,24.75,24.854,18.673,0.03%,33922
2021/10/15,25,25,24.79,24.825,18.652,-0.12%,20000
2021/10/18,25.05,25.05,24.84,24.95,18.746,0.50%,15047
2021/10/19,25,25.02,24.8,25,18.783,0.20%,65914
2021/10/20,25.13,25.19,25.055,25.14,18.888,0.56%,55125
2021/10/21,25.3,26.37,25.17,25.85,19.422,2.82%,249489
2021/10/22,26.49,26.84,26,26.66,20.03,3.13%,38576
2021/10/25,26.95,27.01,26.83,26.97,20.263,1.16%,54784
2021/10/26,27.25,27.42,26.65,26.93,20.233,-0.15%,296164
2021/10/27,26.5,26.93,26.22,26.441,19.866,-1.82%,116888
2021/10/28,26.54,26.54,26.26,26.41,19.842,-0.12%,204968
2021/10/29,26.39,26.99,26.22,26.98,20.271,2.16%,302338
2021/11/1,27.34,28.37,27.06,28.3,21.262,4.89%,64391
2021/11/2,28.53,28.54,28.1,28.27,21.24,-0.11%,530554
2021/11/3,28.32,28.35,28.15,28.203,21.189,-0.24%,53954
2021/11/4,28.26,28.26,27.905,27.905,20.966,-1.06%,46637
2021/11/5,27.78,27.99,27.65,27.91,20.969,0.02%,52594
2021/11/8,28.06,28.17,27.995,28.132,21.136,0.80%,106285
2021/11/9,28.29,28.54,28.21,28.47,21.39,1.20%,90257
2021/11/10,28.65,29.49,28.545,29.34,22.044,3.06%,93881
2021/11/11,29.44,30.1,29.27,29.94,22.495,2.04%,45095
2021/11/12,30.29,30.29,29.875,30.15,22.652,0.70%,49620
2021/11/15,30.18,31.52,30.18,31.39,23.584,4.11%,106986
2021/11/16,31.4,31.49,30.59,30.64,23.021,-2.39%,108818
2021/11/17,30.69,30.77,30.05,30.64,23.021,0.00%,105476
2021/11/18,30.54,31.41,30.404,31.05,23.329,1.34%,87793
2021/11/19,31.22,31.34,30.7,30.81,23.148,-0.77%,76150
2021/11/22,30.8,31.05,30.8,30.83,23.163,0.06%,141714
2021/11/23,30.83,30.84,30.16,30.342,22.796,-1.58%,39748
2021/11/24,30.14,30.5,26.02,26.5,19.91,-12.66%,357879
2021/11/26,26.75,27.945,26.75,27.255,20.477,2.85%,143375
2021/11/29,27.79,28.551,27.7,28.05,21.075,2.92%,82419
2021/11/30,28.07,28.13,26.97,27.69,20.804,-1.28%,96576
2021/12/1,27.82,28.01,26.8,26.82,20.151,-3.14%,95117
2021/12/2,25.49,25.67,23.391,24.45,18.37,-8.84%,550605
2021/12/3,24.02,24.85,23.786,24.51,18.415,0.25%,343180
2021/12/6,24.66,25.58,24.4,25.55,19.196,4.24%,271183
2021/12/7,26,26.966,25.7,26.12,19.625,2.23%,170247
2021/12/8,26.91,28.09,26.71,28.04,21.067,7.35%,263438
2021/12/9,27.59,27.95,26.963,27,20.286,-3.71%,184168
2021/12/10,27.36,27.36,26.69,26.73,20.083,-1.00%,101343
2021/12/13,26.89,26.89,25.65,25.87,19.437,-3.22%,131365
2021/12/14,25.94,25.94,24.85,25.26,18.978,-2.36%,124243
2021/12/15,25.42,26.21,25.42,26.21,19.692,3.76%,54939
2021/12/16,26.43,26.59,26.07,26.2,19.685,-0.04%,75778
2021/12/17,25.98,25.98,24.975,25.5,19.159,-2.67%,136407
2021/12/20,25.2,25.617,24.9,25.28,18.993,-0.86%,60258
2021/12/21,25.27,25.9,25.27,25.9,19.459,2.45%,102585
2021/12/22,26,26.34,25.67,26.2,19.685,1.16%,30625
2021/12/23,26.46,26.635,26.27,26.3,19.76,0.38%,60573
2021/12/27,26.28,26.865,26.17,26.83,20.158,2.02%,108577
2021/12/28,26.93,27.19,26.7,27.133,20.386,1.13%,65647
2021/12/29,27.49,27.74,27.27,27.58,20.722,1.65%,88075
2021/12/30,27.42,27.9,27.42,27.78,20.872,0.73%,105889
2021/12/31,27.792,28.24,27.75,28.24,21.217,1.66%,55286
2022/1/3,28.18,29.15,28.1,29,21.788,2.69%,114349
2022/1/4,29.3,29.3,28.61,28.78,21.623,-0.76%,63456
2022/1/5,28.47,28.86,28.32,28.75,21.601,-0.10%,101065
2022/1/6,28.675,28.675,27.7,28.11,21.12,-2.23%,56526
2022/1/7,28.12,28.12,27.67,27.82,20.902,-1.03%,53955
2022/1/10,27.66,27.66,26.5,26.91,20.218,-3.27%,113560
2022/1/11,26.75,27,26.28,26.35,19.797,-2.08%,76800
2022/1/12,26.43,26.49,25.78,26.45,19.873,0.38%,138925
2022/1/13,26.795,27.32,26.755,27.1,20.361,2.46%,53331
2022/1/14,26.96,27.1,26.74,26.91,20.218,-0.70%,28939
2022/1/18,26.91,26.95,26.495,26.63,20.008,-1.04%,27685
2022/1/19,26.56,26.59,26.12,26.2,19.685,-1.61%,101782
2022/1/20,25.98,26.24,25.84,25.92,19.474,-1.07%,60042
2022/1/21,25.83,25.83,25.05,25.07,18.836,-3.28%,124996
2022/1/24,24.93,24.93,23.5,24.39,18.325,-2.71%,179096
2022/1/25,24.38,24.79,23.575,24.76,18.603,1.52%,158377
2022/1/26,25.1,25.132,24.4,24.4,18.332,-1.45%,31818
2022/1/27,24,24.979,24,24.56,18.453,0.66%,68179
