Date,Open,High,Low,Close,Adj. Close,Change,Volume
2021/10/6,25,25.003,23.313,23.76,20.545,-7.09%,31779
2021/10/7,23.827,23.993,23.333,23.87,20.64,0.46%,9324
2021/10/8,23.537,23.54,22.8,22.882,19.785,-4.14%,5913
2021/10/11,23.333,23.333,23.232,23.232,20.088,1.53%,3684
2021/10/12,23.175,23.337,23.175,23.222,20.079,-0.04%,8400
2021/10/13,23.173,23.237,22.97,23.237,20.092,0.06%,15885
2021/10/14,24.127,24.343,24.093,24.288,21.002,4.52%,5382
2021/10/15,24.17,24.17,22.933,23.028,19.911,-5.19%,21369
2021/10/18,23.163,23.163,22.554,22.554,19.502,-2.06%,7548
2021/10/19,21.933,21.947,21.667,21.842,18.886,-3.16%,7839
2021/10/20,22.333,22.913,22.333,22.83,19.741,4.52%,11460
2021/10/21,23.025,23.067,22.84,22.84,19.749,0.04%,3636
2021/10/22,23.493,23.493,23.483,23.483,20.306,2.82%,3186
2021/10/25,23.117,23.433,23.117,23.387,20.222,-0.41%,8601
2021/10/26,23.625,23.633,23.422,23.545,20.359,0.68%,8724
2021/10/27,23.52,23.667,23.333,23.565,20.376,0.08%,8760
2021/10/28,23.12,23.367,22.833,23.25,20.104,-1.34%,9621
2021/10/29,23.3,23.3,22.942,22.942,19.837,-1.32%,6432
2021/11/1,23.167,23.167,22.293,22.293,19.277,-2.83%,9126
2021/11/2,23.57,23.57,23.317,23.39,20.225,4.92%,5619
2021/11/3,23.63,23.63,23.466,23.466,20.291,0.32%,20304
2021/11/4,23.677,23.858,23.21,23.325,20.169,-0.60%,9066
2021/11/5,23.283,23.298,23,23.298,20.146,-0.12%,2658
2021/11/8,23.672,23.9,23.48,23.897,20.663,2.57%,7179
2021/11/9,24.01,24.01,23.767,23.767,20.551,-0.54%,1683
2021/11/10,24.44,24.56,24.222,24.447,21.139,2.86%,5904
2021/11/11,24.483,24.82,24.483,24.697,21.355,1.02%,4524
2021/11/12,24.7,24.7,24.453,24.538,21.218,-0.64%,5982
2021/11/15,25.033,25.863,25.033,25.762,22.276,4.99%,6225
2021/11/16,25.667,26.033,25.667,25.916,22.409,0.60%,10071
2021/11/17,26.107,26.107,25.417,25.618,22.151,-1.15%,6069
2021/11/18,25.957,26.633,25.957,26.522,22.933,3.53%,9624
