Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020/7/31,20.58,20.58,20.369,20.369,14.275,1.39%,9904
2020/8/3,20.25,20.455,20.25,20.455,14.335,0.42%,5070
2020/8/4,20.4,20.82,20.3,20.694,14.503,1.17%,1634
2020/8/5,20.7,20.9,20.7,20.83,14.598,0.66%,10964
2020/8/6,21.01,21.02,20.5,20.557,14.406,-1.31%,2926
2020/8/7,20.63,20.63,20.2,20.4,14.296,-0.76%,1444
2020/8/10,20.5,20.72,20.495,20.495,14.363,0.47%,5007
2020/8/11,20.6,20.68,20.3,20.3,14.226,-0.95%,4162
2020/8/12,20.15,20.26,20.1,20.15,14.121,-0.74%,2258
2020/8/13,20.2,20.36,20.125,20.125,14.104,-0.12%,2109
2020/8/14,20,20.15,20,20.12,14.1,-0.02%,2274
2020/8/17,20.65,20.7,20.41,20.41,14.303,1.44%,2880
2020/8/18,20.594,20.594,20.594,20.594,14.432,0.90%,109
2020/8/19,20.58,20.58,20.45,20.45,14.331,-0.70%,850
2020/8/20,20.3,20.31,20.18,20.18,14.142,-1.32%,29359
2020/8/21,20.08,20.08,19.922,20.07,14.065,-0.55%,4141
2020/8/24,21.03,21.16,20.677,20.985,14.706,4.56%,7436
2020/8/25,21.76,21.76,21.24,21.683,15.196,3.33%,9089
2020/8/26,21.9,21.93,21.5,21.56,15.109,-0.57%,24427
2020/8/27,21.99,21.99,21.21,21.425,15.015,-0.63%,1134
2020/8/28,22.37,23.03,21.942,22.037,15.444,2.86%,2473
2020/8/31,22,22,21.745,21.866,15.324,-0.78%,2426
2020/9/1,21.88,21.88,21.25,21.25,14.892,-2.82%,4544
2020/9/2,21.25,21.48,21.168,21.48,15.053,1.08%,1366
2020/9/3,21.85,21.85,21.69,21.69,15.2,0.98%,577
2020/9/4,21.78,21.78,21,21.111,14.795,-2.67%,6195
2020/9/8,20.92,21.12,20.23,20.675,14.489,-2.07%,11726
2020/9/9,21,21.09,20.7,20.723,14.522,0.23%,18387
2020/9/10,21.285,21.285,21.285,21.285,14.916,2.71%,136
2020/9/11,21.445,21.445,21.445,21.445,15.029,0.75%,229
2020/9/14,22.09,22.9,21.88,22.75,15.943,6.09%,7529
2020/9/15,22.78,22.82,22.11,22.17,15.537,-2.55%,7326
2020/9/16,22.5,22.5,22.379,22.497,15.766,1.47%,274
2020/9/17,22.03,22.03,21.67,21.67,15.186,-3.68%,2976
2020/9/18,21.74,21.74,21.5,21.6,15.137,-0.32%,75736
2020/9/21,20.89,20.94,20.376,20.584,14.425,-4.70%,46499
2020/9/22,20.61,21.43,20.55,21.325,14.945,3.60%,45834
2020/9/23,20.74,20.99,20.58,20.635,14.461,-3.24%,30128
2020/9/24,20.26,20.8,19.92,20.6,14.436,-0.17%,11853
