Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,75.6,76.16,75.35,76.13,76.13,0.97%,20263
2015/4/20,74.22,75.08,74.2,74.91,74.91,-1.60%,33019
2015/4/21,75,75.38,74.7,74.85,74.85,-0.08%,43778
2015/4/22,74,74,73.21,73.24,73.24,-2.15%,18776
2015/4/23,73.7,74.8,73.7,74.44,74.44,1.64%,57950
2015/4/24,75.1,75.1,74.53,74.56,74.56,0.16%,10372
2015/4/27,75.356,76.05,75.31,75.4,75.4,1.13%,25132
2015/4/28,74.98,75.64,74.98,75.21,75.21,-0.25%,9399
2015/4/29,75.17,76.05,75.17,75.82,75.82,0.81%,4096
2015/4/30,75.54,75.54,74.57,75.27,75.27,-0.73%,9851
2015/5/1,74.9,75.15,74.81,74.82,74.82,-0.60%,6233
2015/5/4,75.12,76.002,75.03,75.71,75.71,1.19%,19197
2015/5/5,76.81,77.243,76.7,76.81,76.81,1.45%,82339
2015/5/6,77.19,77.19,76.55,76.79,76.79,-0.03%,23854
2015/5/7,76.41,76.49,75.56,75.59,75.59,-1.56%,13406
2015/5/8,77.15,77.65,76.86,77.35,77.35,2.33%,23423
2015/5/11,75.9,76.24,74.83,75.79,75.79,-2.02%,18885
2015/5/12,75.74,76.236,75.6,75.975,75.975,0.24%,9462
2015/5/13,76.38,76.66,75.94,76.1,76.1,0.16%,24099
2015/5/14,75.9,75.9,75.1,75.665,75.665,-0.57%,26119
2015/5/15,76,77,75.903,76.72,76.72,1.39%,34327
2015/5/18,77.36,77.36,75.86,75.86,75.86,-1.12%,11907
2015/5/19,75.88,75.976,75.1,75.11,75.11,-0.99%,25729
2015/5/20,75.6,75.79,74.964,75.2,75.2,0.12%,21009
2015/5/21,75.25,75.79,75.17,75.71,75.71,0.68%,30217
2015/5/22,75.08,76.12,74.65,75.94,75.94,0.30%,19319
2015/5/26,76,76.198,75.584,75.74,75.74,-0.26%,14978
2015/5/27,75.7,76.199,75.7,76.02,76.02,0.37%,19682
2015/5/28,75.9,76.25,75.747,76.215,76.215,0.26%,9749
2015/5/29,75.8,75.961,75.15,75.2,75.2,-1.33%,6222
2015/6/1,75.31,75.5,74.751,74.81,74.81,-0.52%,16450
2015/6/2,74.75,75,74.11,74.31,74.31,-0.67%,23557
2015/6/3,73.85,74.05,72.88,73.48,73.48,-1.12%,76168
2015/6/4,73.15,73.34,73,73.18,73.18,-0.41%,14107
2015/6/5,72.39,73.039,72.35,73.039,73.039,-0.19%,101589
2015/6/8,72.42,72.62,71.95,72.09,72.09,-1.30%,21703
2015/6/9,72.07,72.15,71.75,71.801,71.801,-0.40%,6602
2015/6/10,72.37,72.4,71.7,72.14,72.14,0.47%,27452
2015/6/11,71.9,72.25,71.7,72.208,72.208,0.09%,3927
2015/6/12,71.59,71.73,71.31,71.36,71.36,-1.17%,33508
2015/6/15,71.12,71.6,71,71.06,71.06,-0.42%,23533
2015/6/16,71.24,71.44,70.95,70.96,70.96,-0.14%,11472
2015/6/17,70.8,70.94,69.7,70.02,70.02,-1.32%,34600
2015/6/18,70.21,70.239,69.457,69.7,69.7,-0.46%,28462
2015/6/19,69.65,69.75,68.382,68.45,68.45,-1.79%,46289
2015/6/22,67.8,67.8,66.903,67.49,67.49,-1.40%,28244
2015/6/23,67.35,67.5,67.26,67.39,67.39,-0.15%,20002
2015/6/24,67.5,67.591,67.201,67.26,67.26,-0.19%,16032
2015/6/25,65.95,65.95,64.8,65.6,65.6,-2.47%,112560
2015/6/26,65.2,65.88,64.8,65.6,65.6,0.00%,50985
2015/6/29,64.85,65.1,64.45,64.5,64.5,-1.68%,23058
2015/6/30,65.11,65.3,64.71,65.15,65.15,1.01%,17139
2015/7/1,67.35,68,67.111,67.46,67.46,3.55%,22660
2015/7/2,67.86,67.9,67.05,67.05,67.05,-0.61%,15996
2015/7/6,64.63,65.817,64.57,65.66,65.66,-2.07%,16915
2015/7/7,64.37,64.37,62.15,62.8,62.8,-4.36%,80930
2015/7/8,62.92,63.5,62.44,63.26,63.26,0.73%,41569
2015/7/9,63.26,63.26,61.55,61.67,61.67,-2.51%,31352
2015/7/10,63.4,63.4,62.385,62.96,62.96,2.09%,23270
2015/7/13,63.7,64.65,63.55,63.76,63.76,1.27%,41164
2015/7/14,64.35,64.35,63.05,63.16,63.16,-0.94%,39261
2015/7/15,62.61,62.75,61.66,62.06,62.06,-1.74%,24637
2015/7/16,61.45,61.55,60.9,60.91,60.91,-1.85%,24019
2015/7/17,60,60,59.6,59.74,59.74,-1.92%,36732
2015/7/20,58.95,59.56,58.3,58.56,58.56,-1.98%,39578
2015/7/21,59.52,61,59.52,60.45,60.45,3.23%,38082
2015/7/22,59.41,60.85,59.41,60.66,60.66,0.35%,15461
2015/7/23,61.2,61.2,59.44,59.44,59.44,-2.01%,12439
2015/7/24,59.31,60.65,59.21,60.42,60.42,1.65%,98904
2015/7/27,60.25,60.74,59.21,59.32,59.32,-1.82%,18511
2015/7/28,59.82,60.2,59.728,60.12,60.12,1.35%,27085
2015/7/29,60.2,60.2,59.52,60.01,60.01,-0.18%,31010
2015/7/30,59.85,60.35,59.8,59.96,59.96,-0.08%,13115
2015/7/31,59.79,59.9,59,59.11,59.11,-1.42%,71737
2015/8/3,60.35,60.4,57.45,57.98,57.98,-1.91%,49561
2015/8/4,57.74,58.256,57.551,57.97,57.97,-0.02%,13965
2015/8/5,57.88,58.038,57.4,57.46,57.46,-0.88%,29973
2015/8/6,57.9,58.215,57.876,58.05,58.05,1.03%,38885
2015/8/7,58.46,58.91,57.95,58.09,58.09,0.07%,10401
2015/8/10,58.06,59.55,58.06,58.96,58.96,1.50%,22128
2015/8/11,59.25,59.34,58,58.24,58.24,-1.22%,34379
2015/8/12,58.832,60.68,58.832,60.56,60.56,3.98%,58984
2015/8/13,59.96,60.1,59.44,59.44,59.44,-1.85%,182501
2015/8/14,60.064,60.32,59.66,59.76,59.76,0.54%,108558
2015/8/17,59.5,59.51,59.15,59.38,59.38,-0.64%,9662
2015/8/18,58.03,58.05,57.2,57.71,57.71,-2.81%,49946
2015/8/19,58.3,59.3,58.3,59.16,59.16,2.51%,40700
2015/8/20,59.61,60.31,59.6,60.11,60.11,1.61%,14936
2015/8/21,58.61,58.87,58.162,58.44,58.44,-2.78%,36344
2015/8/24,55.24,55.94,54.9,55.48,55.48,-5.07%,41956
2015/8/25,53.5,53.6,51.7,51.82,51.82,-6.60%,53198
2015/8/26,50.59,51.68,50.43,51.34,51.34,-0.93%,44046
2015/8/27,52.91,55,52.75,54.68,54.68,6.51%,30887
2015/8/28,55.64,57.227,55.64,56.82,56.82,3.91%,26141
2015/8/31,57.35,58.415,56.99,58.02,58.02,2.11%,19517
2015/9/1,56.99,57.25,55.068,55.1,55.1,-5.03%,19299
2015/9/2,56.64,56.64,55.47,56.46,56.46,2.47%,16693
2015/9/3,56.6,57.17,55.41,55.41,55.41,-1.86%,13022
