Date,Open,High,Low,Close,Adj. Close,Change,Volume
2022/8/25,30.38,30.38,30.06,30.06,24.715,-0.64%,2076
2022/8/26,30.385,30.47,30.23,30.425,25.015,1.21%,4995
2022/8/29,30.4,30.549,30.3,30.52,25.093,0.31%,13350
2022/8/30,30.41,30.41,30.27,30.395,24.99,-0.41%,6712
2022/8/31,30.29,30.32,30.2,30.3,24.912,-0.31%,8206
2022/9/1,30.09,30.18,29.8,29.825,24.522,-1.57%,5543
2022/9/2,30.05,30.08,29.945,29.945,24.62,0.40%,904
2022/9/6,29.85,30.03,29.85,30.02,24.682,0.25%,1750
2022/9/7,30.2,30.33,29.801,29.86,24.55,-0.53%,5747
2022/9/8,29.85,29.85,29.661,29.78,24.485,-0.27%,2531
2022/9/9,30.05,30.335,30.05,30.335,24.941,1.86%,740
2022/9/12,30.22,30.54,30.201,30.51,25.085,0.58%,4290
2022/9/13,30.265,30.44,30.265,30.354,24.956,-0.51%,25470
2022/9/14,30.179,30.229,30.145,30.21,24.838,-0.47%,897
2022/9/15,30.33,30.34,30.18,30.185,24.818,-0.08%,2830
2022/9/16,29.901,30.17,29.88,30.145,24.785,-0.13%,1427
2022/9/19,29.95,30.15,29.921,30.122,24.766,-0.08%,9550
2022/9/20,30.3,30.51,30.3,30.51,25.085,1.29%,311
2022/9/21,30.65,30.65,30.289,30.289,24.903,-0.72%,12039
2022/9/22,30.34,30.35,30.34,30.35,24.953,0.20%,1016
2022/9/23,29.779,29.779,29.705,29.725,24.439,-2.06%,1712
2022/9/26,29.92,29.92,29.34,29.34,24.123,-1.30%,794
2022/9/27,29.69,29.69,29.37,29.37,24.148,0.10%,383
2022/9/28,29.579,29.58,29.579,29.58,24.32,0.72%,246
2022/9/29,29.56,29.59,29.56,29.59,24.328,0.03%,365
2022/9/30,29.46,29.46,29.435,29.435,24.201,-0.52%,509
2022/10/3,29.4,29.435,29.4,29.435,24.201,0.00%,770
2022/10/4,29.71,29.71,29.53,29.53,24.279,0.32%,439
2022/10/5,29.58,29.77,29.56,29.76,24.468,0.78%,7727
2022/10/6,29.585,29.59,29.54,29.565,24.308,-0.66%,2643
2022/10/7,29.651,29.67,29.633,29.67,24.394,0.36%,585
2022/10/10,30.01,30.01,29.961,29.975,24.645,1.03%,378
2022/10/11,29.869,29.93,29.82,29.845,24.538,-0.43%,81830
2022/10/12,29.675,29.675,29.675,29.675,24.398,-0.57%,150
2022/10/13,29.66,29.73,29.435,29.675,24.398,0.00%,25067
2022/10/14,29.66,29.66,29.445,29.465,24.226,-0.71%,1101
2022/10/17,29.52,29.53,29.438,29.465,24.226,0.00%,1819
2022/10/18,29.3,29.44,29.3,29.44,24.205,-0.08%,21223
2022/10/19,29.32,29.37,29.32,29.37,24.148,-0.24%,755
2022/10/20,29.397,29.43,29.397,29.415,24.185,0.15%,3224
2022/10/21,29.51,29.51,29.51,29.51,24.263,0.32%,129
2022/10/24,29.371,29.4,29.37,29.4,24.172,-0.37%,958
2022/10/25,29.22,29.298,29.22,29.28,24.074,-0.41%,947
2022/10/26,29.29,29.29,29.175,29.185,23.995,-0.32%,1125
2022/10/27,29.13,29.13,28.96,28.98,23.827,-0.70%,11600
2022/10/28,28.75,28.845,28.64,28.845,23.716,-0.47%,6049
2022/10/31,29.08,29.17,28.991,29.17,23.983,1.13%,4439
2022/11/1,29.3,29.515,29.26,29.46,24.222,0.99%,16766
2022/11/2,29.3,29.36,29.3,29.325,24.111,-0.46%,18053
2022/11/3,29.185,29.195,29.185,29.195,24.004,-0.44%,140
2022/11/4,29.519,29.52,29.485,29.485,24.242,0.99%,748
2022/11/7,29.495,29.629,29.495,29.6,24.337,0.39%,4441
2022/11/8,29.53,29.53,29.465,29.47,24.23,-0.44%,1484
2022/11/9,29.46,29.46,29.395,29.395,24.168,-0.25%,2394
2022/11/10,29.3,29.47,29.3,29.44,24.205,0.15%,2457
2022/11/11,29.55,29.55,29.535,29.535,24.283,0.32%,345
2022/11/14,29.471,29.471,29.45,29.47,24.23,-0.22%,838
2022/11/15,29.41,29.628,29.38,29.61,24.345,0.48%,11874
2022/11/16,29.39,29.48,29.39,29.48,24.238,-0.44%,494
2022/11/17,29.21,29.26,29.19,29.24,24.041,-0.81%,8403
2022/11/18,29.25,29.289,29.24,29.255,24.053,0.05%,740
2022/11/21,29.12,29.3,29.12,29.3,24.09,0.15%,5928
2022/11/22,29.347,29.347,29.347,29.347,24.129,0.16%,41
2022/11/23,29.239,29.24,29.199,29.24,24.041,-0.36%,1574
2022/11/25,29.41,29.41,29.209,29.209,24.015,-0.11%,139
2022/11/28,29.11,29.11,29.01,29.06,23.893,-0.51%,1016
2022/11/29,29.23,29.23,29.161,29.175,23.987,0.40%,1323
2022/11/30,29.36,29.44,29.35,29.415,24.185,0.82%,3246
2022/12/1,29.36,29.37,29.274,29.33,24.115,-0.29%,1307
2022/12/2,29.13,29.209,29.13,29.15,23.967,-0.61%,2055
2022/12/5,29.17,29.17,29.05,29.06,23.893,-0.31%,3301
2022/12/6,28.885,28.885,28.885,28.885,23.749,-0.60%,98
2022/12/7,28.811,28.929,28.801,28.88,23.745,-0.02%,17131
2022/12/8,28.93,28.93,28.93,28.93,23.786,0.17%,85
2022/12/9,28.79,28.79,28.79,28.79,23.671,-0.48%,331
2022/12/12,29.05,29.05,29.035,29.035,23.872,0.85%,1831
2022/12/13,29.3,29.3,29.2,29.2,24.008,0.57%,1098
2022/12/14,29.135,29.2,29.135,29.2,24.008,0.00%,12393
2022/12/15,29.24,29.24,29.145,29.145,23.963,-0.19%,755
2022/12/16,29.085,29.085,29.085,29.085,23.913,-0.21%,1
2022/12/19,28.879,28.889,28.879,28.88,23.926,-0.70%,523
2022/12/20,29.01,29.01,29.01,29.01,24.033,0.45%,59
2022/12/21,29.38,29.395,29.38,29.395,24.352,1.33%,2806
2022/12/22,29.355,29.455,29.355,29.455,24.402,0.20%,100
2022/12/23,29.555,29.649,29.548,29.625,24.543,0.58%,1825
2022/12/27,29.67,29.67,29.525,29.545,24.476,-0.27%,15040
