Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,9.92,9.96,9.92,9.95,9.95,0.51%,237232
2015/4/20,9.89,9.9,9.85,9.87,9.87,-0.80%,340903
2015/4/21,9.88,9.95,9.87,9.93,9.93,0.61%,201389
2015/4/22,9.89,9.9,9.8,9.8,9.8,-1.31%,248404
2015/4/23,9.81,9.9,9.78,9.86,9.86,0.61%,959680
2015/4/24,9.8,9.82,9.71,9.74,9.74,-1.22%,624913
2015/4/27,9.81,9.99,9.79,9.95,9.95,2.16%,757151
2015/4/28,9.94,10.05,9.94,10.01,10.01,0.60%,580663
2015/4/29,9.98,10.02,9.93,9.94,9.94,-0.70%,481221
2015/4/30,9.8,9.81,9.73,9.78,9.78,-1.61%,608803
2015/5/1,9.68,9.75,9.66,9.75,9.75,-0.31%,749914
2015/5/4,9.83,9.863,9.81,9.84,9.84,0.92%,229517
2015/5/5,9.9,9.92,9.85,9.88,9.88,0.41%,601228
2015/5/6,9.87,9.895,9.831,9.85,9.85,-0.30%,322692
2015/5/7,9.82,9.82,9.77,9.77,9.77,-0.81%,247691
2015/5/8,9.85,9.851,9.795,9.83,9.83,0.61%,357282
2015/5/11,9.83,9.85,9.76,9.785,9.785,-0.46%,154491
2015/5/12,9.83,9.88,9.82,9.86,9.86,0.77%,225297
2015/5/13,9.99,10.08,9.974,10.05,10.05,1.93%,270380
2015/5/14,10.11,10.15,10.08,10.09,10.09,0.40%,494707
2015/5/15,10.06,10.12,10.06,10.12,10.12,0.30%,409787
2015/5/18,10.15,10.15,10.1,10.11,10.11,-0.10%,605750
2015/5/19,10.03,10.05,9.96,9.98,9.98,-1.29%,305964
2015/5/20,9.99,10.03,9.98,10.01,10.01,0.30%,265047
2015/5/21,9.96,9.995,9.95,9.975,9.975,-0.35%,211706
2015/5/22,9.96,9.98,9.94,9.95,9.95,-0.25%,187855
2015/5/26,9.8,9.84,9.8,9.81,9.81,-1.41%,348102
2015/5/27,9.8,9.82,9.79,9.81,9.81,0.00%,219985
2015/5/28,9.81,9.83,9.76,9.82,9.82,0.10%,267885
2015/5/29,9.82,9.85,9.81,9.82,9.82,0.00%,214059
