Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,16.05,16.07,15.968,16,16,0,44600
2015/4/20,15.8,15.8,15.62,15.692,15.692,-1.92%,95557
2015/4/21,15.73,15.806,15.667,15.73,15.73,0.24%,68537
2015/4/22,15.64,15.689,15.44,15.53,15.53,-1.27%,90482
2015/4/23,15.5,15.66,15.5,15.62,15.62,0.58%,54086
2015/4/24,15.53,15.57,15.35,15.46,15.46,-1.02%,94031
2015/4/27,15.71,16.2,15.71,16.09,16.09,4.08%,148302
2015/4/28,16.12,16.4,16.12,16.35,16.35,1.62%,64722
2015/4/29,16.38,16.44,16.23,16.24,16.24,-0.67%,62865
2015/4/30,15.73,15.882,15.59,15.84,15.84,-2.46%,118399
2015/5/1,15.78,15.92,15.71,15.92,15.92,0.51%,55331
2015/5/4,16.35,16.39,16.11,16.145,16.145,1.41%,77512
2015/5/5,16.38,16.4,16.23,16.24,16.24,0.59%,102633
2015/5/6,16.35,16.37,16.16,16.22,16.22,-0.12%,50723
2015/5/7,16.22,16.22,16.02,16.02,16.02,-1.23%,25189
2015/5/8,16.2,16.22,16.07,16.19,16.19,1.06%,38111
2015/5/11,16.19,16.25,15.95,16.008,16.008,-1.12%,44341
2015/5/12,16.07,16.31,16.07,16.25,16.25,1.51%,36423
2015/5/13,16.75,16.925,16.71,16.81,16.81,3.45%,161159
2015/5/14,17.14,17.27,17.083,17.12,17.12,1.84%,136147
2015/5/15,17.2,17.27,17.13,17.21,17.21,0.53%,114834
2015/5/18,17.41,17.44,17.29,17.38,17.38,0.99%,177605
2015/5/19,17.13,17.13,16.63,16.84,16.84,-3.11%,118665
2015/5/20,16.92,16.98,16.8,16.82,16.82,-0.12%,50360
2015/5/21,16.82,16.9,16.8,16.85,16.85,0.18%,27254
2015/5/22,16.81,16.87,16.76,16.77,16.77,-0.47%,62147
2015/5/26,16.47,16.59,16.45,16.47,16.47,-1.79%,57742
2015/5/27,16.42,16.442,16.352,16.41,16.41,-0.36%,33062
2015/5/28,16.42,16.44,16.28,16.43,16.43,0.12%,63811
2015/5/29,16.45,16.5,16.42,16.439,16.439,0.05%,44885
2015/6/1,16.7,16.87,16.4,16.47,16.47,0.19%,138263
2015/6/2,16.45,16.54,16.45,16.51,16.51,0.24%,32215
2015/6/3,16.34,16.343,16.141,16.24,16.24,-1.64%,57250
2015/6/4,16.01,16.03,15.86,15.9,15.9,-2.09%,136242
2015/6/5,15.75,15.9,15.71,15.83,15.83,-0.44%,58715
2015/6/8,15.81,15.81,15.67,15.76,15.76,-0.44%,49677
2015/6/9,15.77,15.81,15.7,15.7,15.7,-0.38%,38826
2015/6/10,15.89,15.9,15.71,15.76,15.76,0.38%,56534
2015/6/11,15.76,15.8,15.62,15.76,15.76,0.00%,52496
2015/6/12,15.66,15.72,15.6,15.699,15.699,-0.39%,67384
2015/6/15,15.75,15.99,15.75,15.86,15.86,1.03%,67794
2015/6/16,15.71,15.77,15.63,15.748,15.748,-0.71%,38969
2015/6/17,15.79,16,15.696,15.89,15.89,0.90%,58144
2015/6/18,16.13,16.136,15.88,15.92,15.92,0.19%,75413
2015/6/19,15.91,15.92,15.65,15.83,15.83,-0.57%,54810
2015/6/22,15.77,15.98,15.77,15.93,15.93,0.63%,76954
2015/6/23,15.6,15.66,15.5,15.56,15.56,-2.32%,196458
2015/6/24,15.61,15.66,15.574,15.64,15.64,0.51%,33074
2015/6/25,15.56,15.622,15.54,15.6,15.6,-0.26%,24249
2015/6/26,15.5,15.55,15.44,15.537,15.537,-0.40%,68422
2015/6/29,15.56,15.56,15.43,15.45,15.45,-0.56%,77565
2015/6/30,15.36,15.6,15.23,15.452,15.452,0.01%,110818
2015/7/1,15.35,15.413,15.29,15.34,15.34,-0.72%,88962
2015/7/2,15.43,15.43,15.34,15.38,15.38,0.26%,49529
2015/7/6,15.34,15.566,15.303,15.411,15.411,0.20%,57679
2015/7/7,14.98,15,14.42,14.86,14.86,-3.58%,353026
2015/7/8,14.93,15,14.813,14.88,14.88,0.13%,113169
2015/7/9,15.21,15.26,15.08,15.19,15.19,2.08%,83300
2015/7/10,15.24,15.38,15.17,15.36,15.36,1.12%,81104
2015/7/13,15.08,15.26,15.072,15.24,15.24,-0.78%,41168
2015/7/14,15.21,15.21,15.06,15.117,15.117,-0.81%,43560
2015/7/15,14.8,14.88,14.769,14.84,14.84,-1.83%,121312
2015/7/16,14.76,14.92,14.74,14.78,14.78,-0.40%,57713
2015/7/17,14.7,14.7,14.59,14.66,14.66,-0.81%,155349
2015/7/20,14.56,14.71,14.44,14.46,14.46,-1.36%,140569
2015/7/21,14.59,14.7,14.52,14.56,14.56,0.69%,100073
2015/7/22,14.42,14.63,14.42,14.54,14.54,-0.14%,93246
2015/7/23,14.55,14.555,14.32,14.389,14.389,-1.04%,63118
2015/7/24,14.21,14.47,14.11,14.42,14.42,0.22%,106231
2015/7/27,14.43,14.46,14.3,14.31,14.31,-0.76%,59966
2015/7/28,14.4,14.45,14.4,14.43,14.43,0.84%,64030
2015/7/29,14.46,14.64,14.401,14.56,14.56,0.90%,42880
2015/7/30,14.5,14.56,14.45,14.483,14.483,-0.53%,47563
2015/7/31,14.69,14.75,14.452,14.46,14.46,-0.16%,52993
2015/8/3,14.47,14.47,14.19,14.27,14.27,-1.31%,95558
2015/8/4,14.3,14.39,14.25,14.318,14.318,0.34%,39477
2015/8/5,14.39,14.44,14.28,14.34,14.34,0.15%,38604
2015/8/6,14.33,14.5,14.33,14.37,14.37,0.21%,94953
2015/8/7,14.52,14.77,14.498,14.52,14.52,1.04%,98172
2015/8/10,14.64,15.13,14.64,14.99,14.99,3.24%,147179
2015/8/11,15.02,15.08,14.96,15.05,15.05,0.40%,38940
2015/8/12,15.12,15.308,15.12,15.24,15.24,1.26%,96006
2015/8/13,15.15,15.21,15.095,15.118,15.118,-0.80%,44901
2015/8/14,15.22,15.33,14.92,14.96,14.96,-1.05%,72290
2015/8/17,15.15,15.15,15.043,15.051,15.051,0.61%,22486
2015/8/18,14.56,14.66,14.47,14.61,14.61,-2.93%,171015
2015/8/19,14.8,15.05,14.8,14.99,14.99,2.60%,72794
2015/8/20,15.28,15.32,15.19,15.2,15.2,1.40%,107049
2015/8/21,15.15,15.15,14.87,15.01,15.01,-1.25%,80019
2015/8/24,14.47,14.85,14.43,14.54,14.54,-3.13%,312994
2015/8/25,14.56,14.56,14.31,14.38,14.38,-1.10%,95558
2015/8/26,13.98,13.98,13.73,13.943,13.943,-3.04%,179437
2015/8/27,13.95,14.35,13.92,14.19,14.19,1.77%,53092
2015/8/28,14.26,14.4,14.22,14.33,14.33,0.99%,41598
2015/8/31,14.27,14.4,14.17,14.37,14.37,0.28%,53174
2015/9/1,14.41,14.41,14.28,14.34,14.34,-0.21%,43697
2015/9/2,14.46,14.57,14.2,14.42,14.42,0.56%,66028
2015/9/3,14.41,14.67,14.36,14.43,14.43,0.07%,42669
2015/9/4,14.32,14.36,14.27,14.32,14.32,-0.76%,63044
2015/9/8,14.45,14.639,14.34,14.52,14.52,1.40%,54515
2015/9/9,14.43,14.46,14.32,14.34,14.34,-1.24%,44135
2015/9/10,14.56,14.57,14.38,14.39,14.39,0.35%,42201
2015/9/11,14.19,14.38,14.05,14.35,14.35,-0.28%,69623
2015/9/14,14.14,14.21,14.1,14.17,14.17,-1.25%,45683
2015/9/15,14.08,14.18,14.07,14.18,14.18,0.07%,48076
2015/9/16,14.49,14.7,14.45,14.64,14.64,3.24%,111740
2015/9/17,14.65,14.99,14.64,14.85,14.85,1.43%,69526
2015/9/18,15,15.05,14.83,14.89,14.89,0.27%,188383
2015/9/21,14.91,14.98,14.9,14.93,14.93,0.27%,87519
2015/9/22,14.59,14.59,14.486,14.53,14.53,-2.68%,42278
2015/9/23,14.64,14.643,14.51,14.527,14.527,-0.02%,29741
2015/9/24,14.64,14.89,14.64,14.86,14.86,2.29%,35300
2015/9/25,14.88,14.91,14.79,14.82,14.82,-0.27%,25158
2015/9/28,14.35,14.4,14.24,14.33,14.33,-3.31%,94613
2015/9/29,14.33,14.47,14.33,14.37,14.37,0.28%,24353
2015/9/30,14.3,14.48,14.22,14.26,14.26,-0.77%,61443
2015/10/1,14.36,14.43,14.235,14.27,14.27,0.07%,33316
2015/10/2,14.6,15.04,14.6,14.98,14.98,4.98%,133222
2015/10/5,15.36,15.439,15.22,15.33,15.33,2.34%,121511
2015/10/6,15.57,15.79,15.51,15.52,15.52,1.24%,135159
2015/10/7,15.61,15.805,15.6,15.72,15.72,1.29%,135951
2015/10/8,15.34,15.53,15.32,15.41,15.41,-1.97%,133905
2015/10/9,15.55,15.61,15.45,15.55,15.55,0.91%,66812
2015/10/12,15.75,15.75,15.513,15.55,15.55,0.00%,86823
2015/10/13,15.622,15.7,15.584,15.598,15.598,0.31%,48143
2015/10/14,15.8,15.899,15.74,15.88,15.88,1.81%,56176
2015/10/15,15.81,15.886,15.751,15.83,15.83,-0.31%,61643
2015/10/16,15.78,15.841,15.72,15.78,15.78,-0.32%,41963
2015/10/19,15.65,15.662,15.471,15.55,15.55,-1.46%,68037
2015/10/20,15.58,15.66,15.47,15.628,15.628,0.50%,59651
2015/10/21,15.47,15.47,15.35,15.42,15.42,-1.33%,49329
2015/10/22,15.47,15.62,15.47,15.546,15.546,0.82%,33702
2015/10/23,15.55,15.58,15.46,15.55,15.55,0.03%,36758
2015/10/26,15.61,15.67,15.55,15.58,15.58,0.19%,46944
2015/10/27,15.56,15.65,15.52,15.56,15.56,-0.13%,33650
2015/10/28,15.79,16.05,15.45,15.7,15.7,0.90%,131226
2015/10/29,15.4,15.472,15.28,15.305,15.305,-2.52%,69272
2015/10/30,15.3,15.3,15.22,15.236,15.236,-0.45%,23234
2015/11/2,15.1,15.161,14.99,15.14,15.14,-0.63%,66479
2015/11/3,15,15.038,14.94,14.992,14.992,-0.98%,42654
2015/11/4,14.95,15,14.8,14.81,14.81,-1.21%,47773
2015/11/5,14.72,14.77,14.64,14.728,14.728,-0.55%,41427
2015/11/6,14.54,14.54,14.45,14.49,14.49,-1.62%,146484
2015/11/9,14.4,14.4,14.19,14.3,14.3,-1.31%,164610
2015/11/10,14.07,14.17,14.058,14.14,14.14,-1.12%,55686
2015/11/11,14.08,14.12,14,14.04,14.04,-0.71%,82623
2015/11/12,14.03,14.21,13.94,14.03,14.03,-0.07%,88351
2015/11/13,13.99,13.992,13.94,13.97,13.97,-0.43%,88033
2015/11/16,13.98,14.02,13.95,14.01,14.01,0.29%,94520
2015/11/17,14.04,14.04,13.86,13.93,13.93,-0.57%,103814
2015/11/18,13.9,13.93,13.8,13.92,13.92,-0.07%,68440
2015/11/19,14.02,14.12,13.98,13.99,13.99,0.50%,37535
2015/11/20,14,14,13.837,13.88,13.88,-0.79%,65981
2015/11/23,13.81,13.92,13.81,13.86,13.86,-0.14%,39219
2015/11/24,13.93,14.02,13.9,13.9,13.9,0.29%,51242
2015/11/25,13.85,13.96,13.807,13.91,13.91,0.07%,53771
2015/11/27,13.74,13.9,13.73,13.83,13.83,-0.58%,223198
2015/11/30,13.84,13.89,13.8,13.83,13.83,0.00%,162682
2015/12/1,13.9,13.92,13.818,13.92,13.92,0.65%,60612
2015/12/2,13.86,13.86,13.68,13.76,13.76,-1.15%,95268
2015/12/3,13.84,13.89,13.71,13.87,13.87,0.80%,58764
2015/12/4,14.07,14.339,14.04,14.28,14.28,2.96%,125032
2015/12/7,14.21,14.21,13.97,14.02,14.02,-1.82%,48482
2015/12/8,14.03,14.03,13.86,13.89,13.89,-0.93%,63561
2015/12/9,14.07,14.07,13.88,13.88,13.88,-0.07%,71751
2015/12/10,13.89,13.91,13.83,13.83,13.83,-0.36%,112778
2015/12/11,13.65,13.72,13.55,13.68,13.68,-1.08%,153313
2015/12/14,13.59,13.59,13.43,13.431,13.431,-1.82%,100035
2015/12/15,13.49,13.57,13.43,13.49,13.49,0.44%,63987
2015/12/16,13.82,14.01,13.802,13.82,13.82,2.45%,256435
2015/12/17,13.54,13.54,13.43,13.48,13.48,-2.46%,83951
2015/12/18,13.66,13.91,13.63,13.82,13.82,2.52%,129862
2015/12/21,14.03,14.06,13.94,14.04,14.04,1.59%,115070
2015/12/22,14.04,14.06,13.98,13.98,13.98,-0.43%,65755
2015/12/23,14.01,14.06,13.96,14.04,14.04,0.43%,72167
2015/12/24,14.06,14.13,14.06,14.06,14.06,0.14%,34657
2015/12/28,13.8,13.8,13.61,13.63,13.63,-3.06%,127405
2015/12/29,13.74,13.788,13.65,13.68,13.68,0.37%,176017
2015/12/30,13.56,13.61,13.55,13.59,13.59,-0.66%,233516
2015/12/31,13.57,13.635,13.55,13.56,13.56,-0.22%,114695
2016/1/4,13.85,13.92,13.56,13.56,13.56,0.00%,71029
2016/1/5,13.71,13.76,13.65,13.71,13.71,1.11%,55644
2016/1/6,13.81,13.876,13.677,13.76,13.76,0.36%,38280
2016/1/7,13.88,14.106,13.8,14.03,14.03,1.96%,89828
2016/1/8,13.83,13.83,13.65,13.7,13.7,-2.35%,76040
2016/1/11,13.8,13.8,13.585,13.605,13.605,-0.69%,43800
2016/1/12,13.58,13.58,13.5,13.55,13.55,-0.40%,61585
2016/1/13,13.68,13.92,13.68,13.9,13.9,2.58%,92434
2016/1/14,13.6,13.61,13.5,13.59,13.59,-2.23%,65137
2016/1/15,13.73,13.82,13.54,13.54,13.54,-0.37%,77447
2016/1/19,13.83,13.87,13.75,13.87,13.87,2.44%,69408
2016/1/20,13.81,13.92,13.79,13.89,13.89,0.14%,66329
2016/1/21,13.7,13.87,13.622,13.81,13.81,-0.58%,74208
2016/1/22,13.88,14.056,13.75,13.78,13.78,-0.22%,71355
2016/1/25,13.93,13.98,13.92,13.98,13.98,1.45%,58956
