Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,213.28,214.64,211.04,211.84,211.84,-1.63%,203617
2015/4/20,204.64,206.24,203.68,204.48,204.48,-3.47%,512152
2015/4/21,207.04,208.32,205.6,206.88,206.88,1.17%,232777
2015/4/22,208.96,210.72,208.48,208.8,208.8,0.93%,228622
2015/4/23,205.6,206.88,203.04,204.16,204.16,-2.22%,649439
2015/4/24,204.16,205.28,201.92,203.36,203.36,-0.39%,197831
2015/4/27,197.28,199.04,196.48,198.24,198.24,-2.52%,459175
2015/4/28,200,201.064,198.24,200,200,0.89%,245669
2015/4/29,202.56,206.4,202.24,204.48,204.48,2.24%,411492
2015/4/30,203.52,218.72,202.24,215.36,215.36,5.32%,842190
2015/5/1,217.12,221.28,216.64,219.36,219.36,1.86%,357032
2015/5/4,218.4,223.2,217.44,222.4,222.4,1.39%,269095
2015/5/5,220.64,222.88,218.56,220.64,220.64,-0.79%,308380
2015/5/6,219.84,222.95,218.56,218.72,218.72,-0.87%,216128
2015/5/7,221.44,222.722,214.082,216.8,216.8,-0.88%,345500
2015/5/8,226.08,228.16,223.52,226.08,226.08,4.28%,538686
2015/5/11,226.4,228,220.96,222.56,222.56,-1.56%,277512
2015/5/12,227.84,231.52,227.36,229.12,229.12,2.95%,373693
2015/5/13,227.36,234.72,226.16,231.68,231.68,1.12%,323115
2015/5/14,229.44,238.4,228.4,237.44,237.44,2.49%,378874
2015/5/15,237.28,239.68,234.88,238.08,238.08,0.27%,180692
2015/5/18,239.68,240.48,235.84,238.4,238.4,0.13%,149294
2015/5/19,243.2,244.48,231.61,233.92,233.92,-1.88%,603930
2015/5/20,235.2,236.16,228.64,231.36,231.36,-1.09%,211314
2015/5/21,232.96,238.56,231.2,233.12,233.12,0.76%,406704
2015/5/22,229.6,231.042,226.08,226.4,226.4,-2.88%,196300
2015/5/26,221.28,222.08,218.72,221.12,221.12,-2.33%,293774
2015/5/27,220.64,222.08,219.04,220.48,220.48,-0.29%,272376
2015/5/28,216.16,217.28,209.68,210.72,210.72,-4.43%,618232
2015/5/29,207.68,208.16,204.32,205.92,205.92,-2.28%,483104
2015/6/1,204.32,207.2,204.32,206.24,206.24,0.16%,257546
2015/6/2,204.32,209.92,201.76,209.28,209.28,1.47%,515973
2015/6/3,206.4,207.04,203.68,204.8,204.8,-2.14%,419475
2015/6/4,203.68,206.88,198.72,204,204,-0.39%,560059
2015/6/5,200.8,202.72,200.32,200.64,200.64,-1.65%,446088
2015/6/8,207.36,210.4,206.24,209.92,209.92,4.63%,435242
2015/6/9,217.12,220.96,216.32,219.84,219.84,4.73%,709993
2015/6/10,222.72,225.12,219.2,224.32,224.32,2.04%,562970
2015/6/11,224.48,225.92,218.4,218.88,218.88,-2.43%,513845
2015/6/12,216.96,218.56,212.8,214.08,214.08,-2.19%,382608
2015/6/15,219.68,224.986,218.88,224.48,224.48,4.86%,716692
2015/6/16,221.92,224.8,219.202,224.64,224.64,0.07%,525353
2015/6/17,226.56,228.8,220.32,221.76,221.76,-1.28%,426144
2015/6/18,219.84,222.56,215.04,216.16,216.16,-2.53%,565134
2015/6/19,213.76,219.522,213.44,217.6,217.6,0.67%,279034
2015/6/22,211.36,212.96,211.04,212.32,212.32,-2.43%,373737
2015/6/23,215.52,216.16,210.08,211.36,211.36,-0.45%,270294
2015/6/24,212.48,214.56,211.2,214.08,214.08,1.29%,161937
2015/6/25,216.64,220.32,215.04,219.52,219.52,2.54%,667173
2015/6/26,215.04,217.12,212.48,213.12,213.12,-2.92%,843232
2015/6/29,216.16,218.24,212.48,215.36,215.36,1.05%,439820
2015/6/30,211.52,217.92,211.52,216.96,216.96,0.74%,378082
2015/7/1,216.16,216.48,212,213.44,213.44,-1.62%,303771
2015/7/2,216.96,221.44,216,216.96,216.96,1.65%,520548
2015/7/6,211.36,213.76,211.2,211.52,211.52,-2.51%,548122
2015/7/7,208.96,209.44,206.4,209.12,209.12,-1.13%,330567
2015/7/8,210.88,211.04,205.44,206.4,206.4,-1.30%,448701
2015/7/9,205.92,210.08,203.2,209.6,209.6,1.55%,511222
2015/7/10,213.44,215.416,211.92,212.8,212.8,1.53%,483124
2015/7/13,218.4,221.28,217.76,219.36,219.36,3.08%,410309
2015/7/14,222.24,222.72,216.64,217.76,217.76,-0.73%,306161
2015/7/15,222.08,224.8,220.64,223.04,223.04,2.42%,398163
2015/7/16,222.4,224,218.4,219.84,219.84,-1.43%,437627
2015/7/17,220,221.76,217.92,221.76,221.76,0.87%,222533
2015/7/20,215.52,220.96,215.04,217.44,217.44,-1.95%,385104
2015/7/21,221.44,222.4,219.84,221.92,221.92,2.06%,247963
2015/7/22,223.04,223.36,218.88,222.24,222.24,0.14%,251875
2015/7/23,223.36,226.72,215.52,216.64,216.64,-2.52%,493161
2015/7/24,214.24,215.44,212.48,213.6,213.6,-1.40%,205390
2015/7/27,214.4,216,213.568,213.92,213.92,0.15%,131252
2015/7/28,215.2,218.32,213.76,215.68,215.68,0.82%,241790
2015/7/29,218.08,220,217.28,219.36,219.36,1.71%,236300
2015/7/30,215.84,218.23,212,213.28,213.28,-2.77%,368153
2015/7/31,212.8,212.96,207.52,208.64,208.64,-2.18%,341411
2015/8/3,210.56,211.496,207.68,211.2,211.2,1.23%,240423
2015/8/4,215.52,216.32,212.96,215.2,215.2,1.89%,262460
2015/8/5,218.72,218.88,213.44,213.44,213.44,-0.82%,228783
2015/8/6,209.92,217.6,209.6,215.36,215.36,0.90%,331808
2015/8/7,214.72,216.32,211.68,214.56,214.56,-0.37%,226955
2015/8/10,218.08,218.434,216.16,217.6,217.6,1.42%,195087
