Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,46.35,46.49,46.02,46.16,46.16,-0.39%,330419
2015/4/20,45.89,45.92,45.69,45.75,45.75,-0.89%,188763
2015/4/21,45.65,45.74,45.6,45.71,45.71,-0.09%,146070
2015/4/22,45.78,45.78,45.61,45.709,45.709,0.00%,18820
2015/4/23,45.73,46.079,45.67,45.98,45.98,0.59%,23849
2015/4/24,46.2,46.414,46.12,46.33,46.33,0.76%,86082
2015/4/27,46.63,46.85,46.51,46.72,46.72,0.84%,62358
2015/4/28,46.95,47.036,46.83,46.93,46.93,0.45%,44069
2015/4/29,46.98,47.21,46.927,47.11,47.11,0.38%,248071
2015/4/30,47.18,47.29,46.97,47.27,47.27,0.34%,109389
2015/5/1,47.14,47.159,46.87,47.05,47.05,-0.47%,51553
2015/5/4,47.09,47.19,47.05,47.14,47.14,0.19%,57239
2015/5/5,47.42,47.68,47.42,47.65,47.65,1.08%,47815
2015/5/6,23.79,47.64,23.78,47.35,47.35,-0.63%,145299
2015/5/7,47.26,47.26,46.909,47.04,47.04,-0.65%,14616
2015/5/8,47.92,47.92,46.959,47.22,47.22,0.38%,29918
2015/5/11,47.15,47.15,46.875,46.96,46.96,-0.55%,58269
2015/5/12,47.07,47.36,47.025,47.25,47.25,0.62%,36113
2015/5/13,47.59,47.59,47.3,47.37,47.37,0.25%,36062
2015/5/14,47.5,47.55,47.317,47.45,47.45,0.17%,111582
2015/5/15,47.37,47.49,47.29,47.48,47.48,0.06%,36668
2015/5/18,47.44,47.44,47.19,47.31,47.31,-0.36%,45211
2015/5/19,46.96,46.96,46.619,46.75,46.75,-1.18%,82796
2015/5/20,46.67,46.679,46.525,46.62,46.62,-0.28%,49451
2015/5/21,46.8,46.829,46.72,46.77,46.77,0.32%,101825
2015/5/22,46.51,46.599,46.44,46.49,46.49,-0.60%,27944
2015/5/26,46.17,46.2,46.04,46.09,46.09,-0.86%,21137
2015/5/27,45.87,46.05,45.837,45.92,45.92,-0.37%,36122
2015/5/28,46.17,46.31,46.08,46.28,46.28,0.78%,34214
2015/5/29,46.16,46.19,46.071,46.11,46.11,-0.37%,99844
2015/6/1,46.1,46.28,46.07,46.07,46.07,-0.09%,77078
2015/6/2,46.37,46.44,46.25,46.43,46.43,0.78%,83403
2015/6/3,46,46.54,46,46.3,46.3,-0.28%,39839
2015/6/4,46.18,46.2,46.06,46.15,46.15,-0.32%,20977
2015/6/5,45.86,46.28,45.84,46.04,46.04,-0.24%,28379
2015/6/8,46.14,46.19,46.03,46.14,46.14,0.22%,26406
2015/6/9,46.39,46.55,46.39,46.466,46.466,0.71%,33690
2015/6/10,46.91,46.91,46.466,46.57,46.57,0.22%,21057
2015/6/11,46.38,46.38,46,46.04,46.04,-1.14%,32733
2015/6/12,45.98,46.049,45.9,45.93,45.93,-0.24%,37595
2015/6/15,45.77,45.77,45.59,45.64,45.64,-0.63%,39798
2015/6/16,45.88,45.88,45.56,45.81,45.81,0.37%,24488
2015/6/17,45.97,45.97,45.68,45.84,45.84,0.07%,50069
2015/6/18,45.94,46.02,45.85,45.87,45.87,0.07%,78882
2015/6/19,45.77,45.77,45.546,45.69,45.69,-0.39%,21005
2015/6/22,45.69,46.009,45.61,45.95,45.95,0.57%,33132
2015/6/23,45.85,46.21,45.85,46.16,46.16,0.46%,32777
2015/6/24,46.19,46.269,45.99,46.015,46.015,-0.31%,29304
2015/6/25,46.05,46.16,46.04,46.16,46.16,0.32%,30070
2015/6/26,46.55,46.89,46.35,46.45,46.45,0.63%,80991
2015/6/29,46.4,46.61,46.4,46.5,46.5,0.11%,42743
2015/6/30,46.38,47.18,46.331,47.17,47.17,1.44%,47672
2015/7/1,47.13,47.22,47,47.15,47.15,-0.04%,44998
2015/7/2,47.08,47.39,47.08,47.15,47.15,0.00%,83595
2015/7/6,46.51,46.78,46.51,46.68,46.68,-1.00%,84312
2015/7/7,46.29,46.29,45.7,46.12,46.12,-1.20%,67344
2015/7/8,46.11,46.331,46.07,46.14,46.14,0.04%,101928
2015/7/9,46.61,46.755,46.497,46.52,46.52,0.82%,57392
2015/7/10,46.58,46.68,46.45,46.46,46.46,-0.13%,53749
2015/7/13,47.17,47.17,46.4,46.7,46.7,0.52%,38275
2015/7/14,46.64,46.86,46.58,46.75,46.75,0.11%,28662
2015/7/15,46.65,46.71,46.5,46.66,46.66,-0.19%,25250
2015/7/16,46.63,46.8,46.45,46.46,46.46,-0.43%,33123
2015/7/17,46.32,46.32,46.101,46.25,46.25,-0.45%,27780
2015/7/20,45.89,46.018,45.68,45.69,45.69,-1.21%,29416
2015/7/21,45.68,45.72,45.43,45.44,45.44,-0.55%,42910
2015/7/22,45.04,45.405,44.98,45.166,45.166,-0.60%,66578
2015/7/23,45.2,45.2,44.64,44.67,44.67,-1.10%,46451
2015/7/24,44.47,44.47,44.23,44.34,44.34,-0.74%,39443
2015/7/27,43.9,44.03,43.59,43.59,43.59,-1.69%,33760
2015/7/28,44,44.259,43.94,44.24,44.24,1.49%,47290
2015/7/29,44.19,44.29,44.06,44.09,44.09,-0.34%,150647
2015/7/30,44.26,44.32,44.06,44.14,44.14,0.11%,43083
2015/7/31,44.23,44.23,43.76,43.76,43.76,-0.86%,43304
