Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,158.32,160.52,156.4,158.72,158.72,-0.50%,2723783
2015/4/20,156.88,161.28,156.8,159.12,159.12,0.25%,3107888
2015/4/21,158.56,159.68,154.4,155.6,155.6,-2.21%,2903989
2015/4/22,155.68,157.28,154.08,154.88,154.88,-0.46%,2161831
2015/4/23,156,160.64,155.76,158.08,158.08,2.07%,3176179
2015/4/24,156.72,157.84,155.36,157.36,157.36,-0.46%,2414700
2015/4/27,158.24,159.2,155.519,156.16,156.16,-0.76%,1974107
2015/4/28,156.96,159.04,156.2,156.8,156.8,0.41%,2605850
2015/4/29,157.12,163.2,157.04,160.96,160.96,2.65%,3916665
2015/4/30,161.2,164.4,160.72,164.08,164.08,1.94%,2384363
2015/5/1,162.4,163.36,160.44,163.2,163.2,-0.54%,1818251
2015/5/4,162.08,162.48,160.8,162.24,162.24,-0.59%,1754455
2015/5/5,166.56,168,165.84,166.08,166.08,2.37%,3483208
2015/5/6,169.92,172,166.52,166.56,166.56,0.29%,4421864
2015/5/7,166.32,166.4,160.88,161.6,161.6,-2.98%,3068038
2015/5/8,162.48,163.84,159.76,163.36,163.36,1.09%,2185882
2015/5/11,163.84,164.32,161.44,163.04,163.04,-0.20%,1593679
2015/5/12,163.92,168,163.6,165.92,165.92,1.77%,2444174
2015/5/13,168.52,169.6,164.88,164.88,164.88,-0.63%,2971680
2015/5/14,166.4,167.12,163.201,164.24,164.24,-0.39%,2141219
2015/5/15,161.16,164.4,160.4,164.16,164.16,-0.05%,2107347
2015/5/18,163.52,164.4,161.804,163.52,163.52,-0.39%,1969953
2015/5/19,159.68,160.16,156.64,157.04,157.04,-3.96%,3565047
2015/5/20,158.72,159.76,157.279,158.72,158.72,1.07%,2844482
2015/5/21,162.16,164.72,161.6,164,164,3.33%,3321699
2015/5/22,160.8,162.56,160.72,162,162,-1.22%,1606779
2015/5/26,158.48,159.2,156,157.52,157.52,-2.77%,2549414
2015/5/27,155.68,157.716,155.12,155.84,155.84,-1.07%,2437096
2015/5/28,153.76,156.48,152.729,156.48,156.48,0.41%,3356010
2015/5/29,156.88,164,156.8,162.48,162.48,3.83%,3994232
2015/6/1,162.88,163.84,160.32,162.88,162.88,0.25%,1935475
2015/6/2,164.24,166.4,163.28,165.44,165.44,1.57%,2275820
2015/6/3,163.92,165.92,160.4,161.36,161.36,-2.47%,2090672
2015/6/4,159.36,159.799,156.4,157.28,157.28,-2.53%,2546885
2015/6/5,154,160,153.84,159.2,159.2,1.22%,2639272
2015/6/8,158,159.12,156.4,157.68,157.68,-0.95%,1432136
2015/6/9,161.6,163.12,161.12,161.68,161.68,2.54%,1962007
2015/6/10,166.32,166.4,163.4,165.12,165.12,2.13%,2833489
2015/6/11,164.96,164.96,162.64,163.92,163.92,-0.73%,1160639
2015/6/12,162.08,163.24,161.52,162.16,162.16,-1.07%,1211599
2015/6/15,159.6,161.6,159.52,161.2,161.2,-0.59%,1256466
2015/6/16,161.36,162.72,161.04,162.08,162.08,0.55%,805247
2015/6/17,164.96,165.28,159.2,161.68,161.68,-0.25%,2466847
2015/6/18,162.72,163.6,161.36,162.88,162.88,0.74%,1858017
2015/6/19,160.32,161.2,158.88,160.16,160.16,-1.67%,1774217
2015/6/22,159.36,162.036,159.024,161.28,161.28,0.70%,1408365
2015/6/23,160.16,164.56,159.68,163.76,163.76,1.54%,2267029
2015/6/24,162.96,164.96,160.32,161.68,161.68,-1.27%,2670690
2015/6/25,160.4,160.96,159.36,159.84,159.84,-1.14%,1508495
2015/6/26,158.32,160.72,157.84,159.84,159.84,0.00%,1364360
2015/6/29,156.72,157.84,155.92,156.08,156.08,-2.35%,2362300
2015/6/30,157.92,160,157.2,159.04,159.04,1.90%,1841569
2015/7/1,156.32,156.64,152,152.8,152.8,-3.92%,3128241
2015/7/2,153.28,155.36,151.44,151.44,151.44,-0.89%,2300306
2015/7/6,146.56,146.64,140.64,141.84,141.84,-6.34%,5214381
2015/7/7,140.72,143.28,135.6,142.08,142.08,0.17%,5459003
2015/7/8,140.96,141.6,136.56,139.04,139.04,-2.14%,2958592
2015/7/9,142.4,143.28,140.24,141.68,141.68,1.90%,2158291
2015/7/10,141.2,142.4,139.36,141.36,141.36,-0.23%,2132974
2015/7/13,139.2,142.64,138.8,140.08,140.08,-0.91%,2103157
2015/7/14,138.8,142.88,138.56,141.76,141.76,1.20%,2475303
2015/7/15,140,141.6,137.2,137.84,137.84,-2.77%,3573810
2015/7/16,139.12,139.174,136,136.4,136.4,-1.04%,2428515
2015/7/17,136.32,136.4,134.24,135.92,135.92,-0.35%,2976490
2015/7/20,135.44,135.76,133.52,133.52,133.52,-1.77%,2055688
2015/7/21,134.72,136.64,134.24,135.28,135.28,1.32%,1602140
2015/7/22,133.24,134.48,130.4,130.72,130.72,-3.37%,3386963
2015/7/23,131.52,131.92,128.16,129.12,129.12,-1.22%,2836522
2015/7/24,129.44,129.44,126.88,128.24,128.24,-0.68%,2905769
2015/7/27,126.48,127.2,125.12,125.2,125.2,-2.37%,4755173
2015/7/28,126.08,128.721,125.12,126.8,126.8,1.28%,2749609
2015/7/29,126.56,131.6,126.4,129.92,129.92,2.46%,4339959
2015/7/30,129.68,130.96,128.48,128.8,128.8,-0.86%,1733941
2015/7/31,128.96,129.12,124.32,124.72,124.72,-3.17%,3075245
2015/8/3,122.32,123.72,119.84,120.8,120.8,-3.14%,4349037
2015/8/4,121.68,122.88,120.8,121.76,121.76,0.79%,1817792
2015/8/5,122.48,124.12,119.2,120.24,120.24,-1.25%,3325952
2015/8/6,118.8,119.2,117.44,118.96,118.96,-1.06%,2991626
