Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/5/13,20.32,20.32,20,20.155,10.909,1.10%,4847
2024/5/14,19.9,19.9,19.636,19.76,10.695,-1.96%,7435
2024/5/15,19.78,20.12,19.67,20.114,10.886,1.79%,7602
2024/5/16,20.23,20.23,20.15,20.15,10.906,0.18%,5119
2024/5/17,20.18,20.29,20.18,20.28,10.977,0.65%,3344
2024/5/20,20.21,20.38,20.13,20.226,10.948,-0.27%,9948
2024/5/21,20.08,20.16,19.973,20.104,10.881,-0.60%,11426
2024/5/22,19.82,20.11,19.805,19.805,10.719,-1.49%,3452
2024/5/23,19.98,19.98,19.72,19.77,10.701,-0.18%,34738
2024/5/24,19.9,20.025,19.9,20.025,10.839,1.29%,1645
2024/5/28,20.242,20.32,20.242,20.295,10.985,1.35%,16831
2024/5/29,20.3,20.31,20.275,20.275,10.974,-0.10%,2191
2024/5/30,20.19,20.267,20.01,20.074,10.865,-0.99%,6883
2024/5/31,20.1,20.47,19.82,19.94,10.793,-0.67%,38530
2024/6/3,19.44,19.44,18.56,18.56,10.433,-6.92%,19539
2024/6/4,18.41,18.45,18.15,18.4,10.343,-0.86%,26585
2024/6/5,18.38,18.53,18.38,18.53,10.417,0.71%,7678
2024/6/6,18.57,18.68,18.57,18.66,10.49,0.70%,6020
2024/6/7,18.7,18.713,18.692,18.705,10.515,0.24%,5857
2024/6/10,18.7,18.96,18.7,18.93,10.641,1.20%,5834
2024/6/11,18.917,18.98,18.88,18.965,10.661,0.18%,7909
2024/6/12,19.1,19.1,19,19.07,10.72,0.55%,2483
2024/6/13,19.12,19.15,19.061,19.061,10.715,-0.05%,10463
2024/6/14,19.15,19.24,19.14,19.186,10.785,0.66%,7628
2024/6/17,19.25,19.44,19.25,19.415,10.914,1.19%,6414
2024/6/18,19.46,19.47,19.444,19.444,10.93,0.15%,4787
2024/6/20,19.5,19.62,19.5,19.595,11.015,0.78%,4241
2024/6/21,19.59,19.68,19.56,19.579,11.006,-0.08%,7110
2024/6/24,19.49,19.78,19.49,19.745,11.1,0.85%,10635
2024/6/25,19.733,19.79,19.62,19.63,11.035,-0.58%,4859
2024/6/26,19.65,19.79,19.53,19.602,11.019,-0.14%,8430
2024/6/27,19.77,19.81,19.725,19.79,11.125,0.96%,17495
2024/6/28,19.81,19.88,19.8,19.838,11.152,0.24%,288053
2024/7/1,18.7,18.88,18.64,18.87,11.303,-4.88%,82962
2024/7/2,18.93,18.94,18.76,18.851,11.291,-0.10%,54818
2024/7/3,18.85,18.949,18.77,18.913,11.329,0.33%,50230
2024/7/5,18.99,19.09,18.99,19.01,11.387,0.51%,43579
2024/7/8,18.8,18.9,18.751,18.765,11.24,-1.29%,77262
2024/7/9,18.72,18.8,18.565,18.634,11.161,-0.70%,39368
2024/7/10,18.61,18.84,18.52,18.78,11.249,0.78%,74910
2024/7/11,18.72,18.9,18.63,18.873,11.304,0.50%,24109
2024/7/12,18.91,18.91,18.803,18.852,11.292,-0.11%,25316
2024/7/15,19.19,19.21,18.82,18.88,11.309,0.15%,50191
2024/7/16,18.61,18.73,18.58,18.67,11.183,-1.11%,34926
2024/7/17,18.7,18.83,18.7,18.785,11.252,0.62%,48181
2024/7/18,18.82,18.859,18.782,18.805,11.264,0.11%,25653
2024/7/19,18.76,18.84,18.47,18.515,11.09,-1.54%,32176
2024/7/22,18.34,18.45,18.25,18.425,11.036,-0.49%,62223
2024/7/23,18.3,18.3,18.01,18.22,10.913,-1.11%,70267
2024/7/24,18.25,18.33,18.2,18.263,10.939,0.24%,43161
2024/7/25,18.15,18.41,17.97,18.375,11.006,0.61%,36928
2024/7/26,18.3,18.324,18.02,18.17,10.883,-1.12%,67573
2024/7/29,18.31,18.35,18,18.1,10.842,-0.39%,59121
2024/7/30,17.95,17.96,17.82,17.942,10.747,-0.87%,61067
2024/7/31,17.35,17.42,17.27,17.41,10.889,-2.97%,41429
2024/8/1,17.45,17.49,17.139,17.22,10.771,-1.09%,43381
2024/8/2,16.71,16.71,16.42,16.64,10.408,-3.37%,72002
2024/8/5,16.42,16.59,16.24,16.59,10.377,-0.30%,51240
2024/8/6,16.32,16.63,16.3,16.51,10.327,-0.48%,20063
2024/8/7,16.79,17.06,16.78,17.06,10.671,3.33%,15342
2024/8/8,16.91,17.17,16.91,17.13,10.714,0.41%,16154
2024/8/9,17.19,17.25,17.13,17.22,10.771,0.53%,8116
2024/8/12,17.4,17.58,17.4,17.58,10.996,2.09%,11197
2024/8/13,17.57,17.598,17.52,17.59,11.002,0.06%,8118
2024/8/14,17.569,17.605,17.48,17.55,10.977,-0.23%,6633
2024/8/15,17.59,17.71,17.585,17.65,11.04,0.57%,12631
2024/8/16,17.47,17.51,17.342,17.49,10.939,-0.91%,23179
2024/8/19,17.51,17.51,17.15,17.19,10.752,-1.72%,30017
2024/8/20,17.2,17.28,17.045,17.09,10.689,-0.58%,12526
2024/8/21,17.23,17.23,16.77,16.88,10.558,-1.23%,24822
2024/8/22,16.91,17.22,16.909,17.09,10.689,1.24%,8227
2024/8/23,17.15,17.28,17.15,17.26,10.796,0.99%,14946
2024/8/26,17.32,17.36,17.28,17.32,10.833,0.35%,36607
2024/8/27,17.22,17.22,16.95,17.03,10.652,-1.67%,19720
2024/8/28,16.86,16.92,16.76,16.87,10.552,-0.94%,44155
2024/8/29,17.03,17.172,17.03,17.15,10.727,1.66%,20926
2024/8/30,16.88,16.88,16.675,16.71,10.452,-2.57%,98204
2024/9/3,15.33,15.33,15.01,15.13,10.124,-9.46%,86664
2024/9/4,15.16,15.16,14.76,14.91,9.977,-1.45%,59979
2024/9/5,15.08,15.21,14.92,14.99,10.03,0.54%,39371
2024/9/6,15.07,15.18,14.64,14.83,9.923,-1.07%,42555
2024/9/9,14.73,14.95,14.73,14.87,9.95,0.27%,20089
2024/9/10,14.9,14.94,14.43,14.6,9.769,-1.82%,37680
2024/9/11,14.73,14.88,14.55,14.73,9.856,0.89%,16809
2024/9/12,14.95,15.1,14.85,15.08,10.09,2.38%,18691
2024/9/13,15.12,15.19,15.06,15.16,10.144,0.53%,13760
2024/9/16,15.2,15.29,15.162,15.22,10.184,0.40%,18858
2024/9/17,15.34,15.4,15.29,15.4,10.304,1.18%,15784
2024/9/18,15.32,15.37,15.25,15.3,10.237,-0.65%,12262
2024/9/19,15.48,15.57,15.43,15.52,10.385,1.44%,15667
2024/9/20,15.54,15.6,15.52,15.6,10.438,0.52%,20287
2024/9/23,15.65,15.65,15.5,15.6,10.438,0.00%,29003
2024/9/24,15.67,15.69,15.64,15.68,10.492,0.51%,50488
2024/9/25,15.56,15.6,15.35,15.43,10.324,-1.59%,32517
2024/9/26,15.29,15.29,14.9,15,10.037,-2.79%,50932
2024/9/27,15.01,15.22,15.01,15.2,10.171,1.33%,30173
2024/9/30,15.2,15.29,15.12,15.22,10.184,0.13%,56223
2024/10/1,14.5,14.92,14.475,14.76,10.285,-3.02%,74460
2024/10/2,14.81,14.91,14.81,14.88,10.368,0.81%,31743
2024/10/3,14.89,15.1,14.84,15.06,10.494,1.21%,18388
2024/10/4,15.15,15.196,15.125,15.17,10.57,0.73%,28394
2024/10/7,15.37,15.66,15.37,15.66,10.912,3.23%,52864
2024/10/8,15.39,15.52,15.13,15.34,10.689,-2.04%,40753
2024/10/9,15.09,15.24,15.02,15.2,10.591,-0.91%,29091
2024/10/10,15.27,15.54,15.27,15.54,10.828,2.24%,14264
2024/10/11,15.492,15.6,15.492,15.585,10.86,0.29%,32490
2024/10/14,15.47,15.6,15.46,15.55,10.835,-0.22%,18673
2024/10/15,15.04,15.045,14.82,15.04,10.48,-3.28%,38073
2024/10/16,14.99,15.01,14.76,14.97,10.431,-0.47%,23143
2024/10/17,14.95,15.08,14.89,15.08,10.508,0.73%,8182
2024/10/18,15.01,15.01,14.77,14.91,10.389,-1.13%,34750
2024/10/21,15.02,15.083,14.95,15.03,10.473,0.80%,57487
2024/10/22,15.07,15.17,15.02,15.13,10.543,0.67%,8498
2024/10/23,15.07,15.15,14.95,15.14,10.55,0.07%,16710
2024/10/24,15.16,15.201,14.95,15.04,10.48,-0.66%,10487
2024/10/25,15.14,15.35,15.129,15.322,10.676,1.88%,18191
2024/10/28,14.77,14.89,14.59,14.77,10.292,-3.60%,82260
2024/10/29,14.75,14.76,14.61,14.71,10.25,-0.41%,33897
2024/10/30,14.8,14.988,14.78,14.92,10.396,1.43%,27064
2024/10/31,15.03,15.23,14.97,15.14,10.55,1.47%,66928
2024/11/1,14.39,14.4,14.3,14.36,10.552,-5.15%,62648
2024/11/4,14.41,14.62,14.41,14.57,10.706,1.46%,49341
2024/11/5,14.65,14.73,14.612,14.69,10.794,0.82%,14139
2024/11/6,14.61,14.81,14.53,14.76,10.846,0.48%,77786
2024/11/7,14.64,14.949,14.64,14.86,10.919,0.68%,28174
2024/11/8,14.718,14.718,14.6,14.66,10.772,-1.35%,40412
2024/11/11,14.51,14.61,14.312,14.38,10.567,-1.91%,55742
2024/11/12,14.5,14.559,14.35,14.4,10.581,0.14%,16987
2024/11/13,14.37,14.52,14.285,14.4,10.581,0.00%,23676
2024/11/14,14.53,14.6,14.475,14.52,10.669,0.83%,15124
2024/11/15,14.58,14.58,14.292,14.34,10.537,-1.24%,20941
2024/11/18,14.51,14.74,14.51,14.73,10.824,2.72%,23796
2024/11/19,15.09,15.09,14.54,14.79,10.868,0.41%,17522
2024/11/20,14.81,14.85,14.772,14.85,10.912,0.41%,17380
2024/11/21,14.91,14.94,14.87,14.9,10.949,0.34%,23508
2024/11/22,14.95,15.095,14.902,15.08,11.081,1.21%,16141
2024/11/25,15.14,15.14,14.773,14.84,10.905,-1.59%,52788
2024/11/26,14.972,14.98,14.62,14.78,10.86,-0.40%,36736
2024/11/27,14.775,14.88,14.74,14.85,10.912,0.47%,49057
2024/11/29,14.95,15.23,14.837,14.91,10.956,0.40%,185534
2024/12/2,14.3,14.3,13.84,13.98,10.912,-6.24%,92578
2024/12/3,14.19,14.19,14.054,14.16,11.053,1.29%,105906
2024/12/4,14.21,14.21,13.93,14.02,10.943,-0.99%,52498
2024/12/5,14,14.075,13.928,13.99,10.92,-0.21%,26480
2024/12/6,13.99,13.99,13.8,13.88,10.834,-0.79%,79811
2024/12/9,13.97,14.115,13.97,14.05,10.967,1.22%,23738
2024/12/10,14.11,14.15,14.05,14.09,10.998,0.28%,16709
2024/12/11,14.16,14.241,14.15,14.2,11.084,0.78%,25014
2024/12/12,14.24,14.493,14.18,14.31,11.17,0.77%,33910
2024/12/13,14.31,14.38,14.31,14.35,11.201,0.28%,23777
2024/12/16,14.45,14.49,14.41,14.44,11.271,0.63%,33846
2024/12/17,14.4,14.408,14.259,14.38,11.224,-0.42%,19549
2024/12/18,14.42,14.5,14.33,14.388,11.231,0.06%,21535
2024/12/19,14.5,14.557,14.32,14.32,11.178,-0.47%,22036
2024/12/20,14.34,14.45,14.252,14.44,11.271,0.84%,40877
2024/12/23,14.43,14.48,14.324,14.43,11.263,-0.07%,31663
2024/12/24,14.54,14.56,14.5,14.54,11.349,0.76%,52463
2024/12/26,14.59,14.59,14.535,14.545,11.353,0.03%,51660
2024/12/27,14.58,14.675,14.53,14.575,11.377,0.21%,57637
2024/12/30,14.69,14.76,14.644,14.75,11.513,1.20%,98856
2024/12/31,14.01,14.07,13.94,14.06,11.591,-4.68%,122041
2025/1/2,14.13,14.15,14.12,14.13,11.649,0.50%,58004
2025/1/3,14.16,14.22,14.121,14.22,11.723,0.64%,40172
2025/1/6,14.2,14.27,14.145,14.17,11.682,-0.35%,46692
2025/1/7,14.2,14.28,14.2,14.28,11.772,0.78%,27196
2025/1/8,14.29,14.3,14.14,14.18,11.69,-0.70%,40296
2025/1/10,14.44,14.455,14.39,14.42,11.888,1.69%,48435
2025/1/13,14.52,14.585,14.464,14.58,12.02,1.11%,57814
2025/1/14,14.51,14.59,14.51,14.59,12.028,0.07%,27292
2025/1/15,14.59,14.67,14.577,14.66,12.086,0.48%,19768
2025/1/16,14.64,14.72,14.58,14.72,12.135,0.41%,29464
2025/1/17,14.68,14.75,14.65,14.74,12.152,0.14%,44459
2025/1/21,14.68,14.68,14.33,14.63,12.061,-0.75%,73778
2025/1/22,14.58,14.62,14.52,14.6,12.036,-0.21%,35075
2025/1/23,14.61,14.69,14.45,14.47,11.929,-0.89%,60968
2025/1/24,14.5,14.56,14.485,14.54,11.987,0.48%,75156
2025/1/27,14.55,14.59,14.23,14.36,11.838,-1.24%,129430
2025/1/28,14.46,14.47,14.35,14.47,11.929,0.77%,42563
