Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,10.45,10.51,10.38,10.38,10.38,-0.67%,39356
2015/4/20,10.44,10.59,10.4,10.588,10.588,2.00%,30359
2015/4/21,10.55,10.72,10.4,10.61,10.61,0.21%,41643
2015/4/22,10.63,10.69,10.539,10.58,10.58,-0.28%,23368
2015/4/23,10.682,10.749,10.66,10.666,10.666,0.81%,19527
2015/4/24,10.6,10.6,10.38,10.38,10.38,-2.68%,36013
2015/4/27,10.38,10.38,10.06,10.1,10.1,-2.70%,106717
2015/4/28,10.09,10.17,9.92,10.158,10.158,0.57%,103300
2015/4/29,10.19,10.33,10.13,10.28,10.28,1.20%,71235
2015/4/30,10.37,10.37,10.07,10.15,10.15,-1.26%,55438
2015/5/1,10.147,10.21,9.99,10.1,10.1,-0.49%,50967
2015/5/4,9.99,10.09,9.949,10.07,10.07,-0.30%,68025
2015/5/5,9.96,9.99,9.81,9.92,9.92,-1.49%,113914
2015/5/6,10.02,10.237,9.94,10.2,10.2,2.82%,123252
2015/5/7,10.28,10.29,10.04,10.059,10.059,-1.38%,76400
2015/5/8,10.15,10.26,10.07,10.26,10.26,2.00%,137439
2015/5/11,10.21,10.22,10.1,10.22,10.22,-0.39%,98998
2015/5/12,10.16,10.4,10.14,10.21,10.21,-0.10%,65188
2015/5/13,10.27,10.286,10.01,10.21,10.21,0.00%,74796
2015/5/14,10.32,10.82,10.3,10.765,10.765,5.44%,293341
2015/5/15,10.77,10.8,10.64,10.73,10.73,-0.33%,38908
2015/5/18,10.84,11.06,10.8,10.92,10.92,1.77%,159512
2015/5/19,10.83,10.83,10.61,10.74,10.74,-1.65%,130228
2015/5/20,10.68,10.76,10.55,10.7,10.7,-0.37%,53025
2015/5/21,10.72,10.97,10.71,10.813,10.813,1.06%,97317
2015/5/22,10.938,10.938,10.653,10.77,10.77,-0.40%,57466
2015/5/26,10.74,10.74,10.29,10.32,10.32,-4.18%,102582
2015/5/27,10.17,10.34,10.08,10.15,10.15,-1.65%,249882
2015/5/28,10.25,10.35,10.1,10.2,10.2,0.49%,26736
2015/5/29,10.13,10.18,9.92,9.98,9.98,-2.16%,247031
2015/6/1,9.97,10.32,9.962,10.31,10.31,3.31%,64248
2015/6/2,10.4,10.597,10.26,10.57,10.57,2.52%,151578
2015/6/3,10.56,10.78,10.48,10.51,10.51,-0.57%,87422
2015/6/4,10.5,10.83,10.46,10.8,10.8,2.76%,73636
2015/6/5,10.81,10.96,10.59,10.59,10.59,-1.94%,57965
2015/6/8,10.68,10.911,10.68,10.845,10.845,2.41%,26371
2015/6/9,10.84,11.05,10.84,10.965,10.965,1.11%,74477
2015/6/10,11,11.038,10.61,10.65,10.65,-2.87%,82737
2015/6/11,10.55,10.62,10.44,10.48,10.48,-1.60%,40083
2015/6/12,10.5,10.55,10.432,10.45,10.45,-0.29%,26534
2015/6/15,10.38,10.38,10.14,10.14,10.14,-2.97%,72819
2015/6/16,10.22,10.22,10.1,10.1,10.1,-0.39%,40658
2015/6/17,10.26,10.43,10.134,10.23,10.23,1.29%,48826
2015/6/18,10.24,10.345,10.12,10.15,10.15,-0.78%,67935
2015/6/19,10.17,10.201,10.08,10.147,10.147,-0.03%,25432
2015/6/22,10.21,10.43,10.2,10.39,10.39,2.39%,40058
2015/6/23,10.42,10.781,10.41,10.74,10.74,3.37%,58876
2015/6/24,10.7,10.9,10.61,10.662,10.662,-0.73%,69899
2015/6/25,10.73,10.95,10.669,10.88,10.88,2.04%,59850
2015/6/26,11.29,11.44,11.101,11.39,11.39,4.69%,247667
2015/6/29,11.48,11.75,11.42,11.68,11.68,2.55%,444607
2015/6/30,11.6,12.27,11.44,12.26,12.26,4.97%,366682
2015/7/1,11.93,11.94,11.47,11.74,11.74,-4.24%,364262
2015/7/2,11.56,11.96,11.45,11.71,11.71,-0.26%,225603
2015/7/6,11.42,11.94,11.42,11.88,11.88,1.45%,120401
2015/7/7,11.69,11.72,11.5,11.641,11.641,-2.01%,81142
2015/7/8,11.5,11.66,11.41,11.49,11.49,-1.30%,130821
2015/7/9,11.6,11.63,11.471,11.53,11.53,0.35%,75447
2015/7/10,11.67,11.67,11.31,11.45,11.45,-0.69%,213442
2015/7/13,11.36,11.41,11.23,11.37,11.37,-0.70%,122530
2015/7/14,11.35,11.35,11.25,11.28,11.28,-0.79%,70439
2015/7/15,11.18,11.34,11.16,11.29,11.29,0.09%,80833
2015/7/16,11.32,11.43,11.22,11.23,11.23,-0.53%,60918
2015/7/17,11.16,11.16,10.95,11.08,11.08,-1.34%,146303
2015/7/20,10.95,10.95,10.75,10.75,10.75,-2.98%,106399
2015/7/21,10.68,10.78,10.5,10.51,10.51,-2.23%,178868
2015/7/22,10.44,10.56,10.3,10.34,10.34,-1.62%,110142
2015/7/23,10.47,10.53,10.34,10.46,10.46,1.16%,37947
2015/7/24,10.37,10.37,10.23,10.25,10.25,-2.01%,96742
2015/7/27,10.19,10.26,10.07,10.09,10.09,-1.56%,53927
2015/7/28,10.18,10.35,10.15,10.31,10.31,2.18%,162174
2015/7/29,10.24,10.24,10.03,10.05,10.05,-2.52%,92586
2015/7/30,10.1,10.15,9.95,9.99,9.99,-0.60%,101884
2015/7/31,10.06,10.07,9.95,9.97,9.97,-0.20%,68719
2015/8/3,9.9,10.03,9.85,9.995,9.995,0.25%,124380
2015/8/4,10.09,10.11,9.91,9.93,9.93,-0.65%,108907
2015/8/5,10.02,10.08,9.97,10.07,10.07,1.41%,12158
2015/8/6,10.11,10.216,10.08,10.14,10.14,0.70%,40894
2015/8/7,10.19,10.28,10.09,10.2,10.2,0.59%,58159
2015/8/10,10.24,10.55,10.237,10.47,10.47,2.65%,48270
2015/8/11,10.36,10.36,10.1,10.157,10.157,-2.99%,47320
2015/8/12,10.25,10.28,9.716,9.87,9.87,-2.83%,160957
2015/8/13,9.91,10.09,9.88,10.08,10.08,2.13%,61219
2015/8/14,10.04,10.19,10.01,10.1,10.1,0.20%,62537
2015/8/17,10.1,10.15,9.95,10,10,-0.99%,38696
2015/8/18,9.98,9.98,9.84,9.89,9.89,-1.10%,49372
2015/8/19,9.87,9.901,9.77,9.85,9.85,-0.40%,62564
2015/8/20,9.77,10.06,9.77,10.02,10.02,1.73%,37204
2015/8/21,10,10,9.83,9.89,9.89,-1.30%,34024
2015/8/24,9.84,10.03,9.72,10,10,1.11%,88230
2015/8/25,10.21,10.21,9.82,9.888,9.888,-1.12%,81231
2015/8/26,9.88,9.88,9.75,9.79,9.79,-0.99%,18831
2015/8/27,9.73,9.868,9.66,9.71,9.71,-0.82%,56656
2015/8/28,9.73,9.73,9.58,9.62,9.62,-0.93%,56134
2015/8/31,9.53,9.63,9.47,9.63,9.63,0.10%,83742
2015/9/1,9.66,9.68,9.55,9.56,9.56,-0.73%,80940
2015/9/2,9.56,9.6,9.45,9.49,9.49,-0.73%,23186
2015/9/3,9.47,9.484,9.24,9.24,9.24,-2.63%,94150
2015/9/4,9.31,9.34,9.244,9.318,9.318,0.84%,12942
2015/9/8,9.26,9.44,9.26,9.4,9.4,0.88%,25924
2015/9/9,9.46,9.46,9.351,9.36,9.36,-0.43%,11866
2015/9/10,9.39,9.49,9.39,9.46,9.46,1.07%,14276
2015/9/11,9.49,9.66,9.32,9.63,9.63,1.80%,57716
2015/9/14,9.7,9.939,9.7,9.92,9.92,3.01%,37023
2015/9/15,9.83,9.84,9.75,9.78,9.78,-1.41%,27210
2015/9/16,9.73,9.755,9.55,9.65,9.65,-1.33%,24586
2015/9/17,9.63,9.63,9.53,9.53,9.53,-1.24%,32454
2015/9/18,9.6,9.66,9.49,9.59,9.59,0.63%,152480
2015/9/21,9.59,9.83,9.59,9.79,9.79,2.09%,39050
2015/9/22,9.69,9.8,9.661,9.76,9.76,-0.31%,56602
2015/9/23,9.9,10.01,9.9,9.98,9.98,2.25%,61149
2015/9/24,9.87,9.99,9.795,9.8,9.8,-1.80%,17871
2015/9/25,9.981,10.05,9.98,10.04,10.04,2.45%,58832
2015/9/28,10.1,10.15,9.88,9.98,9.98,-0.60%,46998
2015/9/29,9.919,10.03,9.91,9.91,9.91,-0.70%,22128
2015/9/30,9.98,10.13,9.81,10.08,10.08,1.72%,23932
2015/10/1,10.178,10.262,10.135,10.135,10.135,0.55%,45610
2015/10/2,10.09,10.207,10.02,10.037,10.037,-0.97%,107989
2015/10/5,10.14,10.14,10,10.1,10.1,0.63%,18008
2015/10/6,10.21,10.35,10.192,10.35,10.35,2.48%,52385
2015/10/7,10.4,10.4,10.13,10.14,10.14,-2.03%,27590
2015/10/8,10.239,10.239,10.03,10.06,10.06,-0.79%,36866
2015/10/9,10.11,10.16,9.95,10.042,10.042,-0.18%,118892
2015/10/12,10.04,10.05,9.94,10.03,10.03,-0.12%,24370
2015/10/13,9.98,10.26,9.98,10.219,10.219,1.88%,84550
2015/10/14,10.2,10.2,10,10.018,10.018,-1.97%,16017
2015/10/15,9.99,10.13,9.9,9.9,9.9,-1.18%,94817
2015/10/16,9.97,9.975,9.69,9.75,9.75,-1.52%,109979
2015/10/19,9.63,9.72,9.57,9.59,9.59,-1.64%,39720
2015/10/20,9.61,9.69,9.56,9.66,9.66,0.73%,26330
2015/10/21,9.68,9.76,9.68,9.746,9.746,0.89%,32067
2015/10/22,9.78,9.81,9.651,9.67,9.67,-0.78%,36102
2015/10/23,9.69,9.69,9.54,9.659,9.659,-0.11%,77828
2015/10/26,9.73,10.02,9.73,9.992,9.992,3.45%,74515
2015/10/27,9.98,10.12,9.882,9.91,9.91,-0.82%,30264
2015/10/28,9.91,9.935,9.761,9.927,9.927,0.17%,31154
2015/10/29,9.96,10.051,9.96,10.05,10.05,1.24%,50292
2015/10/30,10.06,10.155,10.037,10.13,10.13,0.80%,24602
2015/11/2,10.07,10.07,9.86,9.88,9.88,-2.47%,18408
2015/11/3,9.9,10.01,9.9,10,10,1.21%,26593
2015/11/4,9.98,10.24,9.873,10.187,10.187,1.87%,36378
2015/11/5,10.11,10.18,10.04,10.1,10.1,-0.85%,25521
2015/11/6,10.03,10.15,10,10.11,10.11,0.10%,19546
2015/11/9,10.05,10.05,9.75,9.76,9.76,-3.46%,34995
2015/11/10,9.75,9.75,9.53,9.63,9.63,-1.33%,101699
2015/11/11,9.63,9.64,9.51,9.63,9.63,0.00%,22919
2015/11/12,9.58,9.66,9.55,9.65,9.65,0.21%,4792
2015/11/13,9.6,9.603,9.51,9.6,9.6,-0.52%,30566
2015/11/16,9.56,9.63,9.545,9.56,9.56,-0.42%,13610
2015/11/17,9.53,9.53,9.372,9.41,9.41,-1.57%,72073
2015/11/18,9.414,9.44,9.351,9.429,9.429,0.20%,43363
2015/11/19,9.45,9.55,9.435,9.514,9.514,0.90%,28020
2015/11/20,9.53,9.56,9.41,9.41,9.41,-1.09%,32431
2015/11/23,9.42,9.65,9.42,9.63,9.63,2.34%,29851
2015/11/24,9.586,9.62,9.45,9.47,9.47,-1.66%,10617
2015/11/25,9.502,9.502,9.46,9.46,9.46,-0.11%,4880
2015/11/27,9.47,9.47,9.29,9.3,9.3,-1.69%,35598
2015/11/30,9.33,9.419,9.32,9.32,9.32,0.22%,9254
2015/12/1,9.305,9.348,9.21,9.22,9.22,-1.07%,26977
