Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/12/6,15.495,15.495,15.495,15.495,15.297,-0.99%,73
2024/12/9,15.617,15.617,15.617,15.617,15.417,0.79%,69
2024/12/10,15.795,15.795,15.795,15.795,15.593,1.14%,19
2024/12/11,15.969,15.969,15.895,15.895,15.692,0.63%,2438
2024/12/12,15.945,15.945,15.685,15.685,15.485,-1.32%,205
2024/12/13,15.275,15.275,15.275,15.275,15.08,-2.61%,14
2024/12/16,15.445,15.445,15.1,15.1,14.94,-1.15%,1761
2024/12/17,14.9,14.9,14.85,14.85,14.693,-1.66%,109
2024/12/18,14.62,14.62,14.62,14.62,14.465,-1.55%,20
2024/12/19,14.185,14.185,14.185,14.185,14.035,-2.98%,6
2024/12/20,14.19,14.19,14.19,14.19,14.04,0.04%,2
2024/12/23,14.6,14.6,14.6,14.6,14.445,2.89%,1
2024/12/24,14.297,14.297,14.297,14.297,14.146,-2.08%,35
2024/12/26,14.685,14.685,14.685,14.685,14.529,2.71%,1
2024/12/27,14.71,14.94,14.71,14.94,14.782,1.74%,252
2024/12/30,15.269,15.269,15.06,15.06,14.9,0.80%,1081
2024/12/31,15.07,15.19,15.03,15.19,15.029,0.86%,508
2025/1/2,14.875,14.875,14.875,14.875,14.717,-2.07%,13
2025/1/3,13.93,13.975,13.93,13.975,13.827,-6.05%,774
2025/1/6,14.6,14.6,14.6,14.6,14.445,4.47%,54
2025/1/7,14.73,14.73,14.73,14.73,14.574,0.89%,8
2025/1/8,14.34,14.34,14.34,14.34,14.188,-2.65%,7
2025/1/10,14.34,14.34,14.34,14.34,14.188,0.00%,166
2025/1/13,14.84,14.84,14.84,14.84,14.683,3.49%,90
2025/1/14,14.924,14.924,14.924,14.924,14.766,0.57%,54
2025/1/15,15.15,15.15,14.98,14.98,14.821,0.38%,250
2025/1/16,14.455,14.455,14.455,14.455,14.302,-3.50%,33
2025/1/17,14.5,14.5,14.5,14.5,14.346,0.31%,14
2025/1/21,15.62,15.62,15.62,15.62,15.454,7.72%,81
