Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/12/16,24.17,24.17,24.17,24.17,23.991,-1.02%,0
2024/12/17,23.78,23.78,23.78,23.78,23.604,-1.61%,0
2024/12/18,23.405,23.405,23.405,23.405,23.232,-1.58%,0
2024/12/19,22.715,22.715,22.715,22.715,22.547,-2.95%,2
2024/12/20,22.725,22.725,22.725,22.725,22.557,0.04%,1899188
2024/12/23,23.384,23.384,23.384,23.384,23.211,2.90%,1
2024/12/24,23.05,23.05,22.866,22.866,22.728,-2.22%,101
2024/12/26,23.55,23.55,23.48,23.48,23.339,2.69%,202
2024/12/27,23.895,23.895,23.895,23.895,23.751,1.77%,9729
2024/12/30,24.075,24.075,24.075,24.075,23.93,0.75%,6
2024/12/31,24.29,24.29,24.29,24.29,24.144,0.89%,2
2025/1/2,23.795,23.795,23.795,23.795,23.652,-2.04%,396
2025/1/3,22.355,22.355,22.355,22.355,22.221,-6.05%,51
2025/1/6,23.355,23.355,23.355,23.355,23.215,4.47%,1
2025/1/7,23.47,23.56,23.47,23.56,23.418,0.88%,101
2025/1/8,22.945,22.945,22.945,22.945,22.807,-2.61%,25
2025/1/10,22.945,22.945,22.945,22.945,22.807,0.00%,0
2025/1/13,23.735,23.735,23.735,23.735,23.592,3.44%,5
2025/1/14,23.874,23.874,23.874,23.874,23.731,0.59%,0
2025/1/15,23.965,23.965,23.965,23.965,23.821,0.38%,0
2025/1/16,23.125,23.125,23.125,23.125,22.986,-3.51%,5
2025/1/17,23.195,23.195,23.195,23.195,23.056,0.30%,1
2025/1/21,24.76,24.975,24.76,24.975,24.825,7.67%,124
2025/1/22,24.49,24.51,24.49,24.51,24.363,-1.86%,518
2025/1/23,24.49,24.49,24.49,24.49,24.343,-0.08%,9
2025/1/24,23.78,23.78,23.55,23.59,23.448,-3.67%,400
2025/1/27,22.855,22.855,22.855,22.855,22.755,-3.12%,41
2025/1/28,23.57,23.686,23.57,23.686,23.583,3.64%,104
2025/1/29,25.11,25.11,25.11,25.11,25,6.01%,0
2025/1/30,25.513,25.513,25.513,25.513,25.401,1.60%,10
2025/1/31,24.988,24.988,24.988,24.988,24.879,-2.06%,41
2025/2/3,25.545,25.545,25.545,25.545,25.433,2.23%,4
2025/2/4,26.539,26.539,26.539,26.539,26.423,3.89%,5
2025/2/5,26.105,26.105,26.105,26.105,25.991,-1.64%,36
2025/2/6,27.495,27.495,27.495,27.495,27.375,5.32%,0
2025/2/7,26.915,26.915,26.915,26.915,26.797,-2.11%,1
2025/2/10,26.665,26.665,26.665,26.665,26.549,-0.93%,49
