Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024/12/4,25,25.07,24.976,24.976,24.842,-0.08%,11329
2024/12/5,24.72,24.85,24.664,24.664,24.532,-1.25%,45701
2024/12/6,24.72,24.72,24.72,24.72,24.588,0.23%,196
2024/12/9,25.4,25.4,25.075,25.075,24.942,1.44%,1670
2024/12/10,25.63,25.69,25.622,25.642,25.505,2.26%,38067
2024/12/11,25.92,26.23,25.872,26.152,26.012,1.99%,30609
2024/12/12,26,26,25.454,25.454,25.318,-2.67%,5435
2024/12/13,25.14,25.14,24.919,24.919,24.785,-2.10%,6719
2024/12/16,25.027,25.08,24.999,24.999,24.865,0.32%,9135
2024/12/17,24.715,24.86,24.715,24.841,24.709,-0.63%,1773
2024/12/18,24.77,24.77,23.43,23.45,23.324,-5.60%,935
2024/12/19,23.55,23.55,23.3,23.393,23.268,-0.24%,5615
2024/12/20,23.86,24.2,23.86,24.051,23.922,2.81%,2414
2024/12/23,23.87,23.93,23.68,23.864,23.737,-0.78%,271091
2024/12/24,23.92,24.13,23.897,24.085,23.956,0.93%,6137
2024/12/26,25.78,25.78,24.28,24.39,24.26,1.27%,2460
2024/12/27,24.28,24.28,23.91,23.923,23.795,-1.91%,4790
2024/12/30,23.76,23.89,23.614,23.782,23.655,-0.59%,1825
2024/12/31,23.83,23.99,23.83,23.954,23.826,0.72%,6156
2025/1/2,24.37,24.47,24.3,24.429,24.299,1.98%,43839
2025/1/3,24.27,24.37,24.254,24.254,24.124,-0.72%,3178
2025/1/6,25.03,25.03,24.2,24.245,24.116,-0.04%,7636
2025/1/7,24.46,24.48,24.33,24.413,24.282,0.69%,4056
2025/1/8,24.3,24.68,24.3,24.596,24.465,0.75%,3542
2025/1/10,24.62,25.36,24.62,25.08,24.946,1.97%,17638
2025/1/13,24.445,24.64,24.445,24.575,24.443,-2.01%,3947
2025/1/14,24.72,24.778,24.49,24.778,24.646,0.83%,2934
2025/1/15,24.912,25.29,24.912,25.208,25.073,1.74%,6216
2025/1/16,25.61,25.695,25.582,25.634,25.497,1.69%,2210
2025/1/17,25.74,25.85,25.542,25.542,25.406,-0.36%,116425
2025/1/21,26,26,25.64,25.907,25.769,1.43%,11690
2025/1/22,26.87,26.87,26.04,26.12,25.981,0.82%,11753
2025/1/23,25.69,26.19,25.69,26.069,25.93,-0.20%,15261
2025/1/24,25.78,26.44,25.78,26.263,26.123,0.74%,2931
2025/1/27,25.74,25.74,25.39,25.609,25.472,-2.49%,141114
2025/1/28,25.829,26.12,25.829,26.079,25.94,1.84%,30691
2025/1/29,25.8,26.23,25.8,26.059,25.919,-0.08%,7335
2025/1/30,26.65,26.88,26.65,26.8,26.657,2.84%,3812
2025/1/31,26.74,26.92,26.477,26.477,26.335,-1.21%,8266
2025/2/3,26.57,26.83,26.57,26.811,26.668,1.26%,16511
2025/2/4,26.51,27.08,26.51,27.029,26.885,0.81%,9930
2025/2/5,27.5,27.5,27.11,27.166,27.021,0.51%,8981
2025/2/6,27.27,27.27,26.815,27.15,27.005,-0.06%,8480
2025/2/7,27.55,27.55,27.16,27.206,27.061,0.21%,8346
2025/2/10,28.23,28.23,27.782,27.949,27.8,2.73%,8669
2025/2/11,27.95,27.95,27.72,27.812,27.663,-0.49%,3610
2025/2/12,28.48,28.48,27.68,27.766,27.618,-0.17%,9666
2025/2/13,27.921,28.294,27.921,28.294,28.143,1.90%,4110
2025/2/14,28.45,28.45,27.418,27.418,27.272,-3.10%,18945
2025/2/18,28.11,28.27,28.08,28.247,28.097,3.02%,17735
2025/2/19,28.54,28.54,28.04,28.226,28.076,-0.07%,7270
2025/2/20,28.18,28.34,28.18,28.255,28.104,0.10%,4063
2025/2/21,28.16,28.23,27.99,27.996,27.846,-0.92%,14209
2025/2/24,28.06,28.21,27.8,28.08,27.93,0.30%,14352
2025/2/25,28.18,28.18,26.85,27.175,27.03,-3.22%,52014
2025/2/26,27.28,27.4,26.86,27.365,27.219,0.70%,21647
2025/2/27,26.99,26.99,26.49,26.518,26.377,-3.10%,22518
2025/2/28,26.25,26.263,25.93,26.263,26.122,-0.96%,10715
2025/3/3,26.31,26.87,26.31,26.564,26.423,1.15%,5076
2025/3/4,26.44,27,26.44,26.958,26.814,1.48%,5761
2025/3/5,26.87,27.13,26.87,27.13,26.986,0.64%,2572
2025/3/6,26.92,27.05,26.801,26.807,26.664,-1.19%,3424
2025/3/7,27.04,27.04,26.68,26.907,26.763,0.37%,3549
2025/3/10,26.53,26.55,25.975,26.067,25.928,-3.12%,48691
2025/3/11,26.58,26.72,26.3,26.627,26.485,2.15%,9544
2025/3/12,27.02,28.05,26.66,27,26.856,1.40%,13857
2025/3/13,27.22,27.58,27.15,27.539,27.392,2.00%,7584
2025/3/14,27.88,27.921,27.73,27.856,27.707,1.15%,11223
2025/3/17,27.9,28.106,27.86,28.06,27.91,0.73%,12622
2025/3/18,28.51,28.51,28.25,28.37,28.219,1.10%,9101
2025/3/19,28.35,28.65,28.325,28.59,28.437,0.78%,8946
2025/3/20,28.47,28.63,28.38,28.508,28.356,-0.29%,7288
2025/3/21,27.99,28.147,27.776,28.112,27.962,-1.39%,6933
2025/3/24,28.28,28.28,28.001,28.07,27.92,-0.15%,6934
2025/3/25,28.37,28.37,28.09,28.191,28.041,0.43%,3645
2025/3/26,28.05,28.05,27.896,27.95,27.95,-0.85%,3297
2025/3/27,27.77,28.52,27.77,28.484,28.484,1.91%,19777
2025/3/28,29.06,29.06,28.49,28.513,28.513,0.10%,70157
2025/3/31,28.63,29.11,28.63,28.999,28.999,1.70%,26053
2025/4/1,29.49,29.49,28.75,29.1,29.1,0.35%,33009
2025/4/2,29.17,29.57,29.1,29.368,29.368,0.92%,9785
2025/4/3,29.23,29.23,28,28.51,28.51,-2.92%,16720
2025/4/4,28.16,29.19,28.16,29.169,29.169,2.31%,17540
2025/4/7,28.09,29.478,27.27,27.539,27.539,-5.59%,40407
2025/4/8,28.18,29.3,27.51,27.817,27.817,1.01%,44347
2025/4/9,28.635,31.592,28.635,31.592,31.592,13.57%,21022
2025/4/10,32.15,33.59,31.414,32.049,32.049,1.45%,34289
2025/4/11,33.04,33.543,31.937,33.254,33.254,3.76%,50668
2025/4/14,33.1,33.1,32.374,32.81,32.81,-1.34%,8929
2025/4/15,32.53,32.98,32.34,32.779,32.779,-0.09%,5228
