Date,Open,High,Low,Close,Adj. Close,Change,Volume
2023/1/12,25.31,25.31,25.31,25.31,23.736,0.92%,0
2023/1/13,25.329,25.329,25.329,25.329,23.754,0.08%,312
2023/1/17,25.15,25.2,25.15,25.2,23.633,-0.51%,147
2023/1/18,25.61,25.61,24.435,25.35,23.774,0.60%,224
2023/1/19,26.039,26.039,26.039,26.039,24.419,2.72%,50
2023/1/20,26.16,26.16,26.015,26.015,24.397,-0.09%,293
2023/1/23,26.045,26.045,26.045,26.045,24.426,0.12%,121
2023/1/24,26.03,26.03,26.03,26.03,24.411,-0.06%,121
2023/1/25,26.04,26.04,26.04,26.04,24.421,0.04%,2
2023/1/26,26.41,26.41,26.275,26.275,24.641,0.90%,147
2023/1/27,26.117,26.117,26.117,26.117,24.493,-0.60%,21
2023/1/30,26.63,26.63,26.45,26.45,24.805,1.28%,405
2023/1/31,26.638,26.638,26.638,26.638,24.982,0.71%,405
2023/2/1,26.57,26.622,26.57,26.622,24.966,-0.06%,110
2023/2/2,26.6,26.6,26.36,26.455,24.81,-0.63%,356
2023/2/3,25.915,25.915,25.915,25.915,24.304,-2.04%,94
2023/2/6,25.68,25.68,25.68,25.68,24.083,-0.91%,38
2023/2/7,25.45,25.55,25.45,25.465,23.881,-0.84%,701
2023/2/8,25.555,25.555,25.42,25.42,23.839,-0.18%,457
2023/2/9,25.73,25.73,25.62,25.62,24.027,0.79%,210
2023/2/10,25.6,25.6,25.5,25.5,23.914,-0.47%,120
2023/2/13,25.405,25.405,25.405,25.405,23.825,-0.37%,89
2023/2/14,25.41,25.41,25.41,25.41,23.83,0.02%,142
2023/2/15,25.449,25.53,25.415,25.42,23.839,0.04%,6688
2023/2/16,25.65,25.72,25.62,25.62,24.027,0.79%,1194
2023/2/17,25.52,25.58,25.445,25.445,23.863,-0.68%,639
2023/2/21,25.949,25.949,25.86,25.86,24.252,1.63%,182
2023/2/22,25.54,25.55,25.5,25.5,23.914,-1.39%,907
2023/2/23,25.276,25.276,25.276,25.276,23.705,-0.88%,435
2023/2/24,24.97,24.97,24.97,24.97,23.417,-1.21%,102
2023/2/27,24.91,24.91,24.81,24.81,23.267,-0.64%,297
2023/2/28,24.895,24.895,24.895,24.895,23.347,0.34%,5
2023/3/1,25.105,25.105,25.105,25.105,23.544,0.84%,2
2023/3/2,24.935,24.935,24.935,24.935,23.384,-0.68%,10
2023/3/3,25.52,25.52,25.328,25.328,23.753,1.58%,160
2023/3/6,25.02,25.02,24.44,24.44,22.92,-3.51%,118
2023/3/7,24.11,24.11,24.11,24.11,22.611,-1.35%,4
2023/3/8,24.053,24.053,23.995,23.995,22.503,-0.48%,111
2023/3/9,24.039,24.039,23.997,23.997,22.505,0.01%,400
2023/3/10,24.08,24.08,24.075,24.075,22.578,0.33%,326
2023/3/13,24.026,24.026,24.026,24.026,22.532,-0.20%,1
2023/3/14,24.05,24.05,24.05,24.05,22.554,0.10%,2
2023/3/15,23.785,23.785,23.785,23.785,22.306,-1.10%,10
2023/3/16,23.515,23.515,23.515,23.515,22.053,-1.14%,10
2023/3/17,23.531,23.531,23.531,23.531,22.068,0.07%,0
2023/3/20,23.39,23.39,23.39,23.39,21.936,-0.60%,35
2023/3/21,23.54,23.54,23.419,23.419,21.963,0.12%,155
2023/3/22,23.561,23.561,23.561,23.561,22.096,0.61%,0
2023/3/23,23.62,23.62,23.6,23.6,22.132,0.17%,200
2023/3/24,23.7,23.7,23.7,23.7,22.226,0.42%,27
2023/3/27,23.73,23.73,23.73,23.73,22.254,0.13%,17
2023/3/28,23.63,23.63,23.63,23.63,22.161,-0.42%,0
2023/3/29,23.74,23.74,23.74,23.74,22.264,0.47%,0
2023/3/30,23.505,23.505,23.505,23.505,22.044,-0.99%,0
2023/3/31,23.54,23.54,23.54,23.54,22.076,0.15%,4
2023/4/3,23.38,23.456,23.315,23.315,21.865,-0.96%,702
2023/4/4,23.315,23.315,23.315,23.315,21.865,0.00%,31
2023/4/5,23.215,23.215,23.215,23.215,21.771,-0.43%,1
2023/4/6,23.135,23.135,23.135,23.135,21.696,-0.34%,8
2023/4/10,23.02,23.02,23.02,23.02,21.589,-0.50%,0
2023/4/11,22.905,22.905,22.905,22.905,21.481,-0.50%,4
2023/4/12,22.92,22.92,22.92,22.92,21.495,0.07%,0
2023/4/13,23,23,23,23,21.57,0.35%,9
2023/4/14,22.975,22.975,22.975,22.975,21.546,-0.11%,27
2023/4/17,23.005,23.005,23.005,23.005,21.574,0.13%,8
2023/4/18,22.99,22.99,22.875,22.875,21.453,-0.57%,304
2023/4/19,22.835,22.835,22.835,22.835,21.415,-0.17%,32
2023/4/20,22.7,22.7,22.58,22.58,21.176,-1.12%,108
2023/4/21,22.322,22.322,22.322,22.322,20.934,-1.14%,0
2023/4/24,22.29,22.29,22.21,22.21,20.829,-0.50%,222
2023/4/25,22.135,22.135,22.135,22.135,20.759,-0.34%,1
2023/4/26,21.93,21.93,21.93,21.93,20.566,-0.93%,0
2023/4/27,22.035,22.035,22.035,22.035,20.665,0.48%,30
2023/4/28,22.061,22.061,22.061,22.061,20.689,0.12%,81
2023/5/1,22.13,22.13,22.078,22.078,20.705,0.08%,1284
2023/5/2,22.055,22.055,22.055,22.055,20.684,-0.10%,0
2023/5/3,21.905,21.905,21.905,21.905,20.543,-0.68%,12
2023/5/4,21.815,21.815,21.815,21.815,20.459,-0.41%,2
2023/5/5,21.945,21.945,21.945,21.945,20.58,0.60%,5
2023/5/8,21.979,22.035,21.979,22.035,20.665,0.41%,116
2023/5/9,22.039,22.11,21.96,21.96,20.594,-0.34%,983
2023/5/10,21.705,21.705,21.705,21.705,20.355,-1.16%,10
2023/5/11,21.41,21.41,21.325,21.325,19.999,-1.75%,192
2023/5/12,21.34,21.45,21.34,21.365,20.036,0.19%,200
2023/5/15,21.17,21.17,21.17,21.17,19.854,-0.91%,0
2023/5/16,21.475,21.475,21.475,21.475,20.14,1.44%,0
2023/5/17,21.475,21.475,21.475,21.475,20.14,0.00%,2
2023/5/18,21.715,21.715,21.715,21.715,20.365,1.12%,98
2023/5/19,21.86,21.86,21.86,21.86,20.501,0.67%,0
2023/5/22,21.681,21.74,21.56,21.74,20.388,-0.55%,1664
2023/5/23,21.481,21.525,21.37,21.525,20.187,-0.99%,524
2023/5/24,21.425,21.425,21.425,21.425,20.093,-0.46%,1
2023/5/25,21.44,21.44,21.415,21.415,20.084,-0.05%,500
2023/5/26,21.56,21.56,21.56,21.56,20.219,0.68%,0
2023/5/30,21.5,21.5,21.43,21.43,20.097,-0.60%,339
2023/5/31,21.355,21.355,21.355,21.355,20.027,-0.35%,0
2023/6/1,21.215,21.215,21.215,21.215,19.896,-0.66%,0
2023/6/2,21.36,21.36,21.36,21.36,20.032,0.68%,17
2023/6/5,21.629,21.65,21.45,21.45,20.116,0.42%,900
2023/6/6,21.51,21.51,21.51,21.51,20.172,0.28%,0
2023/6/7,21.575,21.575,21.575,21.575,20.233,0.30%,0
2023/6/8,21.61,21.61,21.61,21.61,20.266,0.16%,0
2023/6/9,21.88,21.88,21.88,21.88,20.519,1.25%,101
2023/6/12,21.801,21.885,21.8,21.885,20.524,0.02%,300
2023/6/13,22.515,22.515,22.515,22.515,21.115,2.88%,1
2023/6/14,22.755,22.755,22.755,22.755,21.34,1.07%,21
2023/6/15,22.915,22.915,22.915,22.915,21.49,0.70%,0
2023/6/16,23.05,23.05,23.05,23.05,21.617,0.59%,0
2023/6/20,22.95,22.95,22.95,22.95,21.523,-0.43%,1
2023/6/21,22.61,22.61,22.61,22.61,21.204,-1.48%,2
2023/6/22,22.555,22.555,22.555,22.555,21.152,-0.24%,0
2023/6/23,22.41,22.41,22.41,22.41,21.016,-0.64%,1
2023/6/26,22.15,22.15,22.15,22.15,20.773,-1.16%,10
2023/6/27,22.35,22.35,22.35,22.35,20.96,0.90%,0
2023/6/28,22.315,22.315,22.315,22.315,20.927,-0.16%,1
2023/6/29,22.28,22.28,22.28,22.28,20.895,-0.16%,0
2023/6/30,22.34,22.365,22.34,22.365,20.974,0.38%,100
2023/7/3,22.465,22.465,22.465,22.465,21.068,0.45%,3
2023/7/5,22.755,22.755,22.755,22.755,21.34,1.29%,0
2023/7/6,23.29,23.29,23.245,23.245,21.8,2.15%,100
2023/7/7,23.35,23.35,23.28,23.28,21.832,0.15%,269
2023/7/10,23.335,23.335,23.335,23.335,21.884,0.24%,71
2023/7/11,23.35,23.35,23.35,23.35,21.898,0.06%,2
2023/7/12,23.535,23.535,23.535,23.535,22.072,0.79%,25
2023/7/13,23.785,23.785,23.785,23.785,22.306,1.06%,0
2023/7/14,23.805,23.805,23.805,23.805,22.325,0.08%,10
2023/7/17,23.72,23.72,23.68,23.68,22.207,-0.53%,201
2023/7/18,23.045,23.045,23.045,23.045,21.612,-2.68%,0
2023/7/19,22.965,22.965,22.965,22.965,21.537,-0.35%,0
2023/7/20,22.795,22.795,22.795,22.795,21.378,-0.74%,0
2023/7/21,22.665,22.665,22.665,22.665,21.256,-0.57%,0
2023/7/24,22.525,22.525,22.525,22.525,21.124,-0.62%,5
2023/7/25,22.6,22.717,22.6,22.717,21.304,0.85%,145
2023/7/26,22.52,22.52,22.52,22.52,21.12,-0.87%,2
2023/7/27,22.5,22.5,22.139,22.139,20.762,-1.69%,120
2023/7/28,22.03,22.145,22.03,22.145,20.768,0.03%,407
2023/7/31,22.38,22.38,22.38,22.38,20.988,1.06%,5
2023/8/1,22.445,22.445,22.445,22.445,21.049,0.29%,7
2023/8/2,21.98,21.98,21.98,21.98,20.613,-2.07%,5
2023/8/3,21.945,21.945,21.945,21.945,20.58,-0.16%,0
2023/8/4,21.772,21.772,21.772,21.772,20.418,-0.79%,75
2023/8/7,21.57,21.57,21.57,21.57,20.229,-0.93%,5
2023/8/8,21.5,21.52,21.43,21.43,20.097,-0.65%,47478
2023/8/9,21.13,21.13,21.13,21.13,19.816,-1.40%,43
2023/8/10,21.045,21.045,21.045,21.045,19.736,-0.40%,19
2023/8/11,21.06,21.11,20.998,21.025,19.718,-0.10%,10789
2023/8/14,20.73,20.83,20.73,20.765,19.474,-1.24%,1082
2023/8/15,20.51,20.51,20.505,20.505,19.229,-1.25%,477
2023/8/16,20.252,20.27,20.215,20.215,18.958,-1.41%,222
2023/8/17,20.34,20.39,20.31,20.31,19.047,0.47%,2432
2023/8/18,20.24,20.24,20.18,20.18,18.925,-0.64%,379
2023/8/21,20.36,20.36,20.235,20.235,18.977,0.27%,616
2023/8/22,20.505,20.505,20.505,20.505,19.23,1.33%,0
2023/8/23,20.646,20.646,20.646,20.646,19.362,0.69%,3
2023/8/24,20.435,20.435,20.435,20.435,19.164,-1.02%,0
2023/8/25,20.16,20.16,20.085,20.085,18.836,-1.71%,100
2023/8/28,20.13,20.13,20.13,20.13,18.878,0.22%,0
2023/8/29,20.25,20.31,20.25,20.31,19.047,0.89%,104
2023/8/30,20.27,20.27,20.27,20.27,19.01,-0.20%,1
2023/8/31,20.28,20.28,20.09,20.09,18.841,-0.89%,186
2023/9/1,20.4,20.4,20.4,20.4,19.131,1.54%,0
2023/9/5,20.01,20.01,20.01,20.01,18.766,-1.91%,1
2023/9/6,19.835,19.835,19.835,19.835,18.602,-0.87%,0
2023/9/7,19.76,19.76,19.76,19.76,18.531,-0.38%,3
2023/9/8,19.43,19.43,19.43,19.43,18.222,-1.67%,0
2023/9/11,19.585,19.585,19.585,19.585,18.367,0.80%,10
2023/9/12,19.49,19.49,19.49,19.49,18.278,-0.49%,8
2023/9/13,19.495,19.495,19.495,19.495,18.283,0.03%,1
2023/9/14,19.495,19.495,19.495,19.495,18.283,0.00%,0
