Date,Open,High,Low,Close,Adj. Close,Change,Volume
2023/8/10,30.127,30.127,30.127,30.127,29.082,0.12%,37
2023/8/11,29.885,29.885,29.885,29.885,28.848,-0.80%,8
2023/8/14,29.655,29.655,29.655,29.655,28.626,-0.77%,5
2023/8/15,29.32,29.32,29.32,29.32,28.303,-1.13%,15
2023/8/16,29.095,29.095,29.095,29.095,28.085,-0.77%,11
2023/8/17,29.085,29.085,29.085,29.085,28.076,-0.03%,100
2023/8/18,29.08,29.08,29.08,29.08,28.071,-0.02%,50
2023/8/21,29.03,29.03,29.03,29.03,28.023,-0.17%,29
2023/8/22,28.99,28.99,28.99,28.99,27.984,-0.14%,100
2023/8/23,29.105,29.105,29.105,29.105,28.095,0.40%,3
2023/8/24,29.04,29.04,29.04,29.04,28.032,-0.22%,1
2023/8/25,28.815,28.815,28.815,28.815,27.815,-0.77%,6
2023/8/28,28.99,28.99,28.99,28.99,27.984,0.61%,8
2023/8/29,29.08,29.08,29.08,29.08,28.071,0.31%,9
2023/8/30,29.26,29.26,29.26,29.26,28.245,0.62%,4
2023/8/31,29.055,29.055,29.055,29.055,28.047,-0.70%,5
2023/9/1,29.18,29.18,29.18,29.18,28.167,0.43%,3
2023/9/5,28.95,28.95,28.95,28.95,27.945,-0.79%,3
2023/9/6,28.735,28.735,28.735,28.735,27.738,-0.74%,1
2023/9/7,28.46,28.46,28.46,28.46,27.472,-0.96%,1
2023/9/8,28.165,28.165,28.165,28.165,27.188,-1.04%,3
2023/9/11,28.185,28.185,28.185,28.185,27.207,0.07%,5
2023/9/12,28.125,28.125,28.125,28.125,27.149,-0.21%,1
2023/9/13,28.185,28.185,28.185,28.185,27.207,0.21%,100
2023/9/14,28.22,28.22,28.22,28.22,27.241,0.12%,100
2023/9/15,28.265,28.265,28.265,28.265,27.284,0.16%,100
2023/9/18,28.11,28.11,28.11,28.11,27.135,-0.55%,53
2023/9/19,27.92,27.92,27.845,27.845,26.879,-0.94%,100
2023/9/20,27.85,27.85,27.85,27.85,26.884,0.02%,1
2023/9/21,27.675,27.675,27.675,27.675,26.715,-0.63%,7
2023/9/22,27.515,27.515,27.515,27.515,26.56,-0.58%,54
2023/9/25,27.553,27.553,27.553,27.553,26.597,0.14%,100
2023/9/26,27.374,27.374,27.374,27.374,26.424,-0.65%,1
2023/9/27,27.235,27.235,27.235,27.235,26.29,-0.51%,6
2023/9/28,27.325,27.325,27.325,27.325,26.377,0.33%,51
2023/9/29,27.075,27.075,27.075,27.075,26.136,-0.91%,2
2023/10/2,27.245,27.245,27.245,27.245,26.3,0.63%,2
2023/10/3,26.86,26.86,26.86,26.86,25.928,-1.41%,100
2023/10/4,26.6,26.6,26.6,26.6,25.677,-0.97%,100
2023/10/5,26.58,26.58,26.58,26.58,25.658,-0.08%,4
2023/10/6,26.587,26.587,26.587,26.587,25.665,0.03%,1
2023/10/9,26.665,26.665,26.665,26.665,25.74,0.29%,100
2023/10/10,26.7,26.7,26.7,26.7,25.774,0.13%,2
2023/10/11,26.705,26.705,26.705,26.705,25.778,0.02%,100
2023/10/12,26.955,26.955,26.955,26.955,26.02,0.94%,16
2023/10/13,27,27,27,27,26.063,0.17%,100
2023/10/16,26.77,26.77,26.77,26.77,25.841,-0.85%,1
2023/10/17,26.79,26.79,26.79,26.79,25.861,0.07%,1
2023/10/18,26.885,26.885,26.885,26.885,25.952,0.35%,38
2023/10/19,26.74,26.74,26.74,26.74,25.812,-0.54%,8
2023/10/20,26.55,26.55,26.55,26.55,25.629,-0.71%,100
2023/10/23,26.345,26.345,26.345,26.345,25.431,-0.77%,100
2023/10/24,26.3,26.3,26.3,26.3,25.387,-0.17%,2
2023/10/25,26.375,26.375,26.375,26.375,25.46,0.29%,100
2023/10/26,26.125,26.125,26.125,26.125,25.219,-0.95%,1
2023/10/27,26.145,26.145,26.145,26.145,25.238,0.08%,11
2023/10/30,26.05,26.05,26.05,26.05,25.146,-0.36%,100
2023/10/31,26.025,26.025,26.025,26.025,25.122,-0.10%,100
2023/11/1,25.885,25.885,25.885,25.885,24.987,-0.54%,1
2023/11/2,25.855,25.855,25.855,25.855,24.958,-0.12%,1
2023/11/3,26.094,26.094,26.094,26.094,25.188,0.92%,2
2023/11/6,26.31,26.31,26.31,26.31,25.397,0.83%,10
2023/11/7,26.195,26.195,26.195,26.195,25.286,-0.44%,100
2023/11/8,26.1,26.1,26.1,26.1,25.194,-0.36%,8
2023/11/9,26.02,26.02,26.02,26.02,25.117,-0.31%,4
2023/11/10,25.915,25.915,25.915,25.915,25.016,-0.40%,6
2023/11/13,25.86,25.86,25.86,25.86,24.963,-0.21%,1
2023/11/14,26.022,26.022,26.022,26.022,25.119,0.63%,100
2023/11/15,26.434,26.434,26.434,26.434,25.516,1.58%,5
2023/11/16,26.36,26.36,26.36,26.36,25.445,-0.28%,3
2023/11/17,26.165,26.165,26.165,26.165,25.257,-0.74%,1
2023/11/20,26.23,26.23,26.23,26.23,25.32,0.25%,5
2023/11/21,26.33,26.33,26.33,26.33,25.416,0.38%,100
2023/11/22,26.02,26.02,26.02,26.02,25.117,-1.18%,3
2023/11/24,25.94,25.94,25.94,25.94,25.04,-0.31%,100
2023/11/27,25.695,25.695,25.695,25.695,24.803,-0.94%,11
2023/11/28,25.69,25.69,25.69,25.69,24.799,-0.02%,36
2023/11/29,25.74,25.74,25.74,25.74,24.847,0.19%,5
2023/11/30,25.785,25.785,25.785,25.785,24.89,0.17%,9
2023/12/1,25.86,25.86,25.86,25.86,24.963,0.29%,2
2023/12/4,25.795,25.795,25.795,25.795,24.9,-0.25%,36
2023/12/5,25.535,25.535,25.535,25.535,24.649,-1.01%,17
2023/12/6,25.315,25.315,25.315,25.315,24.437,-0.86%,1
2023/12/7,25.46,25.46,25.46,25.46,24.577,0.57%,6
2023/12/8,25.401,25.425,25.401,25.425,24.543,-0.14%,204
2023/12/11,25.559,25.559,25.325,25.325,24.446,-0.39%,136
2023/12/12,25.19,25.231,25.19,25.195,24.321,-0.51%,262
2023/12/13,25.101,25.101,25.101,25.101,24.23,-0.37%,104
2023/12/14,25.365,25.365,25.365,25.365,24.485,1.05%,33
2023/12/15,25.905,25.905,25.905,25.905,25.006,2.13%,2
2023/12/18,26.11,26.11,26.11,26.11,25.204,0.79%,184
2023/12/19,26.025,26.025,26.025,26.025,25.122,-0.33%,20
2023/12/20,26.3,26.3,26.3,26.3,25.388,1.06%,4
2023/12/21,26.06,26.06,26.06,26.06,25.156,-0.91%,4
2023/12/22,26.305,26.305,26.305,26.305,25.392,0.94%,100
2023/12/26,26.425,26.425,26.425,26.425,25.508,0.46%,17
2023/12/27,26.415,26.415,26.415,26.415,25.857,-0.04%,1
2023/12/28,26.35,26.35,26.35,26.35,25.793,-0.25%,4
2023/12/29,26.515,26.515,26.515,26.515,25.955,0.63%,1
2024/1/2,26.43,26.43,26.185,26.185,25.632,-1.24%,244
2024/1/3,25.825,25.825,25.825,25.825,25.279,-1.37%,4
2024/1/4,25.425,25.425,25.425,25.425,24.888,-1.55%,11
2024/1/5,25.34,25.34,25.34,25.34,24.805,-0.33%,23
2024/1/8,25.07,25.07,25.07,25.07,24.54,-1.07%,25
2024/1/9,25.02,25.02,25.02,25.02,24.491,-0.20%,6
2024/1/10,24.962,24.962,24.962,24.962,24.434,-0.23%,37
2024/1/11,24.87,24.87,24.87,24.87,24.344,-0.37%,8
2024/1/12,24.78,24.78,24.78,24.78,24.256,-0.36%,10
2024/1/16,24.6,24.6,24.6,24.6,24.08,-0.73%,65
2024/1/17,24.23,24.23,24.23,24.23,23.718,-1.50%,20
2024/1/18,23.865,23.865,23.865,23.865,23.361,-1.51%,61
