Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/4/17,832,839.92,828.586,835.12,835.12,-0.27%,1421
2015/4/20,840.4,875.12,840.4,864.8,864.8,3.55%,4983
2015/4/21,869.44,869.44,855.047,861.28,861.28,-0.41%,614
2015/4/22,870.96,892.64,866.641,883.99,883.99,2.64%,1683
2015/4/23,887.36,887.52,870.323,873.68,873.68,-1.17%,1677
2015/4/24,883.167,904.08,883.167,891.84,891.84,2.08%,1750
2015/4/27,883.36,883.36,811.68,822.96,822.96,-7.72%,8936
2015/4/28,808.08,814.736,791.2,798.8,798.8,-2.94%,5860
2015/4/29,796,808.994,787.04,808.994,808.994,1.28%,3478
2015/4/30,858.4,876.64,844,844.32,844.32,4.37%,4834
2015/5/1,855.68,865.918,836.72,836.72,836.72,-0.90%,7699
2015/5/4,792,818.16,787.68,816,816,-2.48%,4157
2015/5/5,792.4,806,790.32,800.8,800.8,-1.86%,2814
2015/5/6,796,811.04,794.4,805.12,805.12,0.54%,867
2015/5/7,815.12,828.08,807.6,825.76,825.76,2.56%,1876
2015/5/8,815.84,822.565,806.57,811.12,811.12,-1.77%,1197
2015/5/11,806.56,833.2,805.84,831.76,831.76,2.54%,2268
2015/5/12,819.2,820.96,797.04,803.6,803.6,-3.39%,3504
2015/5/13,756.64,759.2,738.88,749.84,749.84,-6.69%,11150
2015/5/14,719.52,724.663,706.768,716.72,716.72,-4.42%,10208
2015/5/15,717.84,717.84,705.752,712.48,712.48,-0.59%,5264
2015/5/18,697.84,705.199,692.001,698,698,-2.03%,4457
2015/5/19,720.24,761.106,716,739.708,739.708,5.98%,9729
2015/5/20,737.68,743.92,728.081,741.04,741.04,0.18%,6111
2015/5/21,743.52,743.52,734.176,740.88,740.88,-0.02%,2847
2015/5/22,743.2,748.92,736,743.92,743.92,0.41%,3420
2015/5/26,772.88,775.6,760.84,773.28,773.28,3.95%,8242
2015/5/27,778,783.597,773.28,778.08,778.08,0.62%,2461
2015/5/28,778.96,789.52,774.56,777.52,777.52,-0.07%,1377
2015/5/29,771.92,778.799,762.08,775.2,775.2,-0.30%,1700
2015/6/1,767.52,778.864,734.046,772.96,772.96,-0.29%,3864
2015/6/2,772,777.36,765.648,767.36,767.36,-0.72%,1116
2015/6/3,788.198,807.44,782.161,791.28,791.28,3.12%,6522
2015/6/4,799.192,830.959,799.192,825.04,825.04,4.27%,4129
2015/6/5,843.84,845.839,823.6,834.24,834.24,1.12%,3808
2015/6/8,837.2,850.64,837.04,841.84,841.84,0.91%,2433
2015/6/9,837.68,848,835.04,845.68,845.68,0.46%,1484
2015/6/10,839.52,844.16,826.56,840.4,840.4,-0.62%,2085
2015/6/11,842.24,858.64,835.728,838.16,838.16,-0.27%,1583
2015/6/12,851.304,857.6,842.88,846.08,846.08,0.94%,2171
2015/6/15,846,846,813.36,832,832,-1.66%,4171
2015/6/16,850.64,853.52,836.64,841.76,841.76,1.17%,1493
2015/6/17,843.439,848.124,816.96,826.24,826.24,-1.84%,3756
2015/6/18,800,828.4,794.88,823.84,823.84,-0.29%,5451
2015/6/19,824,848.4,823.68,833.44,833.44,1.17%,4584
2015/6/22,839.76,839.76,814.56,823.12,823.12,-1.24%,3142
2015/6/23,860,868.4,850.16,858.96,858.96,4.35%,5080
2015/6/24,858.56,858.56,850.721,854.884,854.884,-0.47%,512
2015/6/25,864,864,852.256,858.368,858.368,0.41%,2111
2015/6/26,871.92,873.6,862.362,864.72,864.72,0.74%,2255
2015/6/29,863.28,876,862.561,871.28,871.28,0.76%,2243
2015/6/30,881.76,896,859.36,868.32,868.32,-0.34%,5463
2015/7/1,884.16,892,877.2,886.64,886.64,2.11%,1331
2015/7/2,880.312,887.84,872.96,877.68,877.68,-1.01%,4305
2015/7/6,886.48,889.44,854.88,872.32,872.32,-0.61%,2520
2015/7/7,927.2,988.96,926.161,939.76,939.76,7.73%,9590
2015/7/8,933.76,941.92,923.56,933.92,933.92,-0.62%,1764
2015/7/9,888.08,908.32,885.24,897.84,897.84,-3.86%,2628
2015/7/10,894.96,899.44,872,884.159,884.159,-1.52%,1990
2015/7/13,896.88,910.8,889.68,892.72,892.72,0.97%,3424
2015/7/14,898.208,911.279,897.6,901.84,901.84,1.02%,498
2015/7/15,941.12,948.96,932.16,935.44,935.44,3.73%,2638
2015/7/16,946,950.32,924.96,947.2,947.2,1.26%,1946
2015/7/17,960.32,968,954,962,962,1.56%,2659
2015/7/20,971.6,989.6,945.2,987.76,987.76,2.68%,7839
2015/7/21,978,978.48,955.2,974,974,-1.39%,5513
2015/7/22,988.24,992.079,961.2,974.4,974.4,0.04%,1776
2015/7/23,974.24,1002.12,972.8,993.639,993.639,1.97%,2069
2015/7/24,1023.2,1030.4,981.968,987.135,987.135,-0.65%,4981
2015/7/27,986.56,1006.8,980.511,1005.04,1005.04,1.81%,2808
2015/7/28,985.52,992,982.407,986.584,986.584,-1.84%,2116
2015/7/29,983.12,992.319,955.12,966.72,966.72,-2.01%,4444
2015/7/30,977.92,985.28,968,981.2,981.2,1.50%,941
2015/7/31,985.68,985.68,940.08,983.12,983.12,0.20%,1627
2015/8/3,976.88,1018.8,976.88,1008.448,1008.448,2.58%,2954
2015/8/4,998.72,1010.479,988.241,999.121,999.121,-0.92%,2131
2015/8/5,996.16,1005.6,980.08,993.92,993.92,-0.52%,4403
2015/8/6,998.64,998.64,975.2,990.4,990.4,-0.35%,2487
2015/8/7,964.8,973.68,935.68,971.92,971.92,-1.87%,3193
2015/8/10,956,956.912,893.6,915.84,915.84,-5.77%,4898
2015/8/11,907.44,913.12,897.92,902.56,902.56,-1.45%,3865
2015/8/12,887.76,890,872,879.92,879.92,-2.51%,5057
2015/8/13,888.64,901.112,882,895.36,895.36,1.75%,4005
2015/8/14,884.8,917.44,868.684,909.12,909.12,1.54%,2099
2015/8/17,895.12,906.079,895.12,897.2,897.2,-1.31%,867
2015/8/18,955.44,971.28,947.44,953.2,953.2,6.24%,3271
2015/8/19,945.888,945.888,893.6,903.68,903.68,-5.20%,6861
2015/8/20,866.4,877.44,862.636,874.4,874.4,-3.24%,4929
2015/8/21,884.64,911.296,879.12,894.08,894.08,2.25%,4963
2015/8/24,970.64,971.84,911.11,948.08,948.08,6.04%,6824
2015/8/25,950.08,984,950.08,974.96,974.96,2.84%,3775
2015/8/26,985.6,1067.12,985.6,1033.84,1033.84,6.04%,6691
2015/8/27,1028.72,1038.96,974.48,999.2,999.2,-3.35%,3005
2015/8/28,988.56,996,964,978.8,978.8,-2.04%,3140
2015/8/31,992.56,1002.719,964.4,968,968,-1.10%,947
2015/9/1,967.2,987.519,962.401,980.24,980.24,1.26%,1993
2015/9/2,970.48,996.559,946,963.488,963.488,-1.71%,3109
2015/9/3,973.52,973.52,928.08,966.72,966.72,0.34%,1495
2015/9/4,985.25,985.536,969.12,977.92,977.92,1.16%,1278
2015/9/8,957.2,968.386,938.399,951.6,951.6,-2.69%,1919
2015/9/9,965.52,979.34,960.64,979.04,979.04,2.88%,1609
2015/9/10,949.44,970.96,946.32,965.441,965.441,-1.39%,2839
2015/9/11,997.6,1016,970.08,970.56,970.56,0.53%,2926
2015/9/14,998.56,1010,995.68,996.32,996.32,2.65%,3382
2015/9/15,1013.04,1013.392,997.12,997.12,997.12,0.08%,1099
2015/9/16,955.28,956.799,926.16,929.76,929.76,-6.76%,5525
2015/9/17,933.28,936.079,890.803,903.92,903.92,-2.78%,3548
2015/9/18,880.88,906.866,880.88,899.68,899.68,-0.47%,1905
2015/9/21,901.28,901.28,888.8,897.92,897.92,-0.20%,2386
2015/9/22,938.08,949.6,938.08,940.96,940.96,4.79%,4570
2015/9/23,927.36,946.24,927.36,943.84,943.84,0.31%,5350
2015/9/24,928.56,929.04,893.68,901.04,901.04,-4.53%,1892
2015/9/25,903.2,912.08,896.88,908.88,908.88,0.87%,1588
2015/9/28,966.56,978.88,960.16,967.76,967.76,6.48%,3276
2015/9/29,969.2,969.84,951.76,961.28,961.28,-0.67%,1791
2015/9/30,982.4,984.08,954.999,977.28,977.28,1.66%,2243
2015/10/1,964.96,980.24,952.64,973.76,973.76,-0.36%,860
2015/10/2,927.04,927.04,868,878.56,878.56,-9.78%,9184
2015/10/5,840.04,849.6,824.001,836.8,836.8,-4.75%,7075
2015/10/6,808.96,816,784.08,815.84,815.84,-2.50%,9874
2015/10/7,803.12,806.48,783.68,793.44,793.44,-2.75%,4848
2015/10/8,833.36,833.759,812,824.641,824.641,3.93%,4903
2015/10/9,808.32,822.88,804,807.84,807.84,-2.04%,1974
2015/10/12,789.44,812.993,787.52,806.4,806.4,-0.18%,3273
2015/10/13,802.32,803.2,791.52,801.12,801.12,-0.65%,2230
2015/10/14,785.68,787.28,772,772.64,772.64,-3.56%,7140
2015/10/15,781.04,787.04,770.401,777.12,777.12,0.58%,2349
2015/10/16,781.28,788.4,774.08,788.4,788.4,1.45%,2483
2015/10/19,796.16,813.28,793.44,806.32,806.32,2.27%,4457
2015/10/20,806.32,815.84,792,799.12,799.12,-0.89%,5898
2015/10/21,817.84,826,816.272,819.84,819.84,2.59%,2101
2015/10/22,810.64,814.48,798.96,805.6,805.6,-1.74%,2717
2015/10/23,805.44,814.8,801.12,803.44,803.44,-0.27%,1737
2015/10/26,796.88,803.76,793.76,803.76,803.76,0.04%,2224
2015/10/27,804.88,805.28,792.4,800.76,800.76,-0.37%,1755
2015/10/28,777.92,813.84,752.64,787.973,787.973,-1.60%,10835
2015/10/29,815.68,832.56,810.08,828.8,828.8,5.18%,6498
2015/10/30,831.6,839.12,826.641,835.12,835.12,0.76%,1967
2015/11/2,853.28,864.799,844,844.64,844.64,1.14%,5783
2015/11/3,859.04,868.8,855.6,861.68,861.68,2.02%,4504
2015/11/4,863.04,884.32,862.56,884.32,884.32,2.63%,6895
2015/11/5,897.52,900.4,885.478,893.68,893.68,1.06%,4536
2015/11/6,918.96,926.232,914.88,921.84,921.84,3.15%,3596
2015/11/9,936.64,960,935.68,946.24,946.24,2.65%,9081
2015/11/10,972.72,976,958.32,965.28,965.28,2.01%,4100
2015/11/11,972.72,984,969.12,980.8,980.8,1.61%,2483
