Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,56.44000,56.61000,55.36000,55.48000,55.48000,-1.51%,669275
2015-03-25,55.42000,56.13000,54.65000,54.69000,54.69000,-1.42%,681619
2015-03-26,54.40000,54.92000,53.15000,54.58000,54.58000,-0.20%,775792
2015-03-27,54.19000,54.64500,52.14000,54.04000,54.04000,-0.99%,1696201
2015-03-30,54.40000,55.02000,53.98000,54.59500,54.59500,1.03%,844457
2015-03-31,54.48000,54.95000,53.74000,53.78500,53.78500,-1.48%,834898
2015-04-01,53.67000,53.87000,52.28000,52.45000,52.45000,-2.48%,1177808
2015-04-02,52.29000,53.30000,52.29000,52.75000,52.75000,0.57%,1095982
2015-04-06,52.62000,53.41000,52.26000,53.07000,53.07000,0.61%,924500
2015-04-07,53.35000,53.74000,52.50000,52.55000,52.55000,-0.98%,986171
2015-04-08,52.71000,53.16000,51.65000,52.72000,52.72000,0.32%,2163556
2015-04-09,52.63000,53.00000,52.27000,52.72000,52.72000,,921296
2015-04-10,53.00000,54.68000,52.95000,54.29000,54.29000,2.98%,1917238
2015-04-13,54.30000,54.86000,53.80000,53.82000,53.82000,-0.87%,828215
2015-04-14,53.86000,54.34000,53.01000,53.15000,53.15000,-1.24%,457910
2015-04-15,53.30000,53.57000,52.75000,52.86000,52.86000,-0.55%,721741
2015-04-16,52.90000,53.26000,52.29000,52.77000,52.77000,-0.17%,602835
2015-04-17,52.43000,53.44000,52.29000,53.37500,53.37500,1.15%,762616
2015-04-20,53.57000,54.27000,53.37000,54.20500,54.20500,1.56%,597900
2015-04-21,58.09000,58.09000,55.99000,56.15000,56.15000,3.59%,1637495
2015-04-22,56.18000,56.26000,55.41000,55.94000,55.94000,-0.37%,955165
2015-04-23,55.90000,56.72500,55.50000,56.01000,56.01000,0.13%,1419541
2015-04-24,60.93000,61.24000,58.88000,59.18000,59.18000,5.66%,3776279
2015-04-27,59.18000,59.89000,58.37000,58.59000,58.59000,-1.00%,1177210
2015-04-28,58.44000,59.56000,57.72000,59.45000,59.45000,1.47%,1110250
2015-04-29,59.32000,60.74000,59.06000,60.18000,60.18000,1.23%,1431939
2015-04-30,59.60000,60.13000,58.76000,58.84000,58.84000,-2.23%,1239182
2015-05-01,58.74000,59.76000,58.55000,59.18000,59.18000,0.58%,1084477
2015-05-04,59.34000,60.61000,59.11000,60.35000,60.35000,1.98%,652323
2015-05-05,60.37000,60.45000,58.77000,59.51000,59.51000,-1.39%,860470
2015-05-06,59.48000,59.58000,58.64000,58.91000,58.91000,-1.01%,721020
