Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,18.05000,18.13000,17.81500,17.83000,17.83000,-0.83%,7673720
2015-03-25,17.82000,17.99000,17.50000,17.52000,17.52000,-1.74%,9581757
2015-03-26,17.44000,17.63000,17.34000,17.44000,17.44000,-0.46%,7598262
2015-03-27,17.57000,17.87500,17.52000,17.83000,17.83000,2.24%,6516489
2015-03-30,17.94000,18.16000,17.84500,18.07000,18.07000,1.35%,8078628
2015-03-31,17.95000,17.95500,17.70000,17.75000,17.75000,-1.77%,8294660
2015-04-01,17.75000,17.82000,17.31000,17.65000,17.65000,-0.56%,9809989
2015-04-02,17.66000,17.83000,17.54000,17.72000,17.72000,0.40%,5569950
2015-04-06,17.62000,17.83000,17.58000,17.68000,17.68000,-0.23%,11406143
2015-04-07,17.73000,17.91000,17.66500,17.69000,17.69000,0.06%,6549194
2015-04-08,17.70000,17.92000,17.68000,17.89000,17.89000,1.13%,10918282
2015-04-09,17.76000,18.13000,17.76000,18.10000,18.10000,1.17%,7349298
2015-04-10,18.10000,18.24000,18.01500,18.10000,18.10000,,7935388
2015-04-13,18.10000,18.23000,17.77000,17.80000,17.80000,-1.66%,6675172
2015-04-14,17.77000,17.91000,17.61500,17.90000,17.90000,0.56%,8542447
2015-04-15,17.98000,18.15000,17.89000,18.04000,18.04000,0.78%,8319832
2015-04-16,18.00000,18.17000,17.99000,18.16000,18.16000,0.67%,7440752
2015-04-17,18.04000,18.40000,17.87000,18.40000,18.40000,1.32%,17765905
2015-04-20,18.42000,18.43500,18.14000,18.19000,18.19000,-1.14%,9604192
2015-04-21,18.24000,18.32000,18.13000,18.31000,18.31000,0.66%,9914466
2015-04-22,18.28000,18.44000,18.22500,18.41000,18.41000,0.55%,7415350
2015-04-23,18.39000,18.49000,18.30000,18.42000,18.42000,0.05%,6662039
2015-04-24,18.40000,18.48000,18.27000,18.34000,18.34000,-0.43%,4823711
2015-04-27,18.38000,18.50000,17.91000,17.98000,17.98000,-1.96%,13436451
2015-04-28,17.84000,17.95000,17.22000,17.75000,17.75000,-1.28%,19394319
2015-04-29,17.69000,17.80000,17.47500,17.59000,17.59000,-0.90%,18931389
2015-04-30,17.46000,18.04000,17.41000,17.82000,17.82000,1.31%,23450505
2015-05-01,17.85000,17.85000,17.41000,17.74000,17.74000,-0.45%,21817947
2015-05-04,17.86000,18.03000,17.79000,17.88000,17.88000,0.79%,9516849
2015-05-05,17.84000,17.84000,17.30000,17.37000,17.37000,-2.85%,11369753
2015-05-06,17.37000,17.47500,17.17000,17.30000,17.30000,-0.40%,9747563
2015-05-07,17.32000,17.41000,17.12000,17.18000,17.18000,-0.69%,7998506
2015-05-08,17.40000,17.57000,17.33000,17.51000,17.51000,1.92%,4921801
2015-05-11,17.45000,17.58000,17.37000,17.47000,17.47000,-0.23%,6128304
2015-05-12,17.34000,17.42000,17.15000,17.27000,17.27000,-1.14%,7323202
2015-05-13,17.24000,17.41000,17.20000,17.23000,17.23000,-0.23%,7501445
2015-05-14,17.34000,17.95000,17.31000,17.91000,17.91000,3.95%,11845989
2015-05-15,17.88000,17.94000,17.77000,17.85000,17.85000,-0.34%,7508732
2015-05-18,17.88000,18.20000,17.86000,18.06000,18.06000,1.18%,7840356
2015-05-19,18.07000,18.15000,17.93000,18.12000,18.12000,0.33%,5825072
2015-05-20,18.10000,18.20000,17.95000,17.98000,17.98000,-0.77%,6047380
2015-05-21,17.91000,17.99000,17.79000,17.87000,17.87000,-0.61%,4508177
2015-05-22,17.84000,17.94000,17.76000,17.83000,17.83000,-0.22%,3607077
2015-05-26,17.72000,17.87000,17.71000,17.77000,17.77000,-0.34%,7217053
2015-05-27,17.93000,18.00000,17.76000,17.99000,17.99000,1.24%,6455027
2015-05-28,17.97000,18.45000,17.90500,18.27000,18.27000,1.56%,26959330
2015-05-29,18.15000,18.62000,18.05000,18.27000,18.27000,,33431640
2015-06-01,18.36000,18.61500,18.23000,18.51000,18.51000,1.31%,10199461
2015-06-02,18.45000,18.45000,18.24000,18.29000,18.29000,-1.19%,6791113
2015-06-03,18.36000,18.39000,18.16500,18.23000,18.23000,-0.33%,5717612
2015-06-04,18.13000,18.18000,17.86000,17.91000,17.91000,-1.76%,6965018
2015-06-05,17.90000,17.91500,17.72000,17.85000,17.85000,-0.34%,5828118
2015-06-08,17.82000,17.85000,17.53000,17.70000,17.70000,-0.84%,13034158
2015-06-09,17.69000,17.76000,17.36000,17.39000,17.39000,-1.75%,11875736
2015-06-10,17.50000,17.76000,17.38000,17.74000,17.74000,2.01%,11729691
2015-06-11,17.74000,17.92000,17.64000,17.81000,17.81000,0.39%,7874201
2015-06-12,17.74000,17.79000,17.53000,17.56000,17.56000,-1.40%,5390726
2015-06-15,17.42000,17.45000,17.21000,17.37000,17.37000,-1.08%,8346481
2015-06-16,17.34000,17.63000,17.31000,17.58000,17.58000,1.21%,7131384
2015-06-17,17.63000,17.77000,17.55500,17.61000,17.61000,0.17%,6413357
2015-06-18,17.65000,18.04000,17.65000,18.02000,18.02000,2.33%,9627548
2015-06-19,18.00000,18.09000,17.82000,17.84000,17.84000,-1.00%,25848726
2015-06-22,17.93000,18.07000,17.89000,17.89000,17.89000,0.28%,6729521
2015-06-23,17.93000,18.06000,17.91000,17.95000,17.95000,0.34%,8247459
2015-06-24,18.01000,18.04500,17.84500,17.94000,17.94000,-0.06%,7616906
2015-06-25,17.97000,18.28000,17.93000,18.23000,18.23000,1.62%,9633260
2015-06-26,18.29000,18.35000,18.01000,18.09000,18.09000,-0.77%,10722756
2015-06-29,17.91000,18.25000,17.78000,17.81000,17.81000,-1.55%,11824050
2015-06-30,17.99000,18.00000,17.62000,17.70000,17.70000,-0.62%,13621663
2015-07-01,17.82000,17.96000,17.70000,17.80000,17.80000,0.56%,8344493
2015-07-02,17.80000,17.80000,17.48000,17.57000,17.57000,-1.29%,7220514
2015-07-06,17.42000,17.68000,17.42000,17.55000,17.55000,-0.11%,11220612
2015-07-07,17.66000,17.83000,17.39000,17.79000,17.79000,1.37%,9335293
2015-07-08,17.68000,17.74000,17.45000,17.45000,17.45000,-1.91%,9052387
2015-07-09,17.67000,17.67500,17.45000,17.45000,17.45000,,6763335
2015-07-10,17.66000,17.72500,17.51000,17.60000,17.60000,0.86%,7325202
2015-07-13,17.79000,17.89000,17.57000,17.67000,17.67000,0.40%,8891660
2015-07-14,17.70000,17.95000,17.68000,17.89000,17.89000,1.25%,8237538
2015-07-15,17.87000,17.87000,17.57000,17.73000,17.73000,-0.89%,4522981
2015-07-16,17.87000,17.95000,17.77500,17.95000,17.95000,1.24%,4126693
2015-07-17,17.92000,17.99000,17.81000,17.94000,17.94000,-0.06%,5927482
2015-07-20,17.92000,17.98000,17.84000,17.88000,17.88000,-0.33%,4136076
2015-07-21,17.85000,17.89000,17.62000,17.76000,17.76000,-0.67%,5299823
2015-07-22,17.78000,18.11000,17.77000,18.02000,18.02000,1.46%,11201732
2015-07-23,17.78000,17.86000,17.25000,17.61000,17.61000,-2.28%,18670558
2015-07-24,17.47000,17.72000,17.31000,17.36000,17.36000,-1.42%,8270206
2015-07-27,17.34000,17.39500,17.04000,17.11000,17.11000,-1.44%,8748611
2015-07-28,17.20000,17.51000,16.96000,17.51000,17.51000,2.34%,10517576
2015-07-29,17.52000,17.57000,17.24500,17.32000,17.32000,-1.09%,7823629
2015-07-30,17.26000,17.37000,17.14000,17.25000,17.25000,-0.40%,5798704
2015-07-31,17.34000,17.47000,17.23500,17.34000,17.34000,0.52%,6842415
2015-08-03,17.38000,17.40000,16.99000,17.11000,17.11000,-1.33%,8510030
2015-08-04,17.19000,17.24000,17.05000,17.09000,17.09000,-0.12%,5973328
2015-08-05,17.20000,17.69000,17.18000,17.67000,17.67000,3.39%,11554846
2015-08-06,17.62000,17.75000,17.33000,17.42000,17.42000,-1.41%,8602642
2015-08-07,17.42000,17.45000,17.05000,17.29000,17.29000,-0.75%,6834262
2015-08-10,17.41000,17.48000,17.22500,17.33000,17.33000,0.23%,5290426
2015-08-11,17.25000,17.38000,17.07000,17.14000,17.14000,-1.10%,4035195
2015-08-12,17.02000,17.31000,16.75000,17.31000,17.31000,0.99%,9548226
2015-08-13,17.33000,17.56000,17.22000,17.25000,17.25000,-0.35%,5679990
2015-08-14,17.20000,17.43000,17.12000,17.43000,17.43000,1.04%,7934431
2015-08-17,17.32000,17.59000,17.19000,17.57000,17.57000,0.80%,5539577
2015-08-18,17.50000,17.63000,17.42000,17.56000,17.56000,-0.06%,6309360
2015-08-19,17.48000,17.57000,17.24200,17.36000,17.36000,-1.14%,6310343
2015-08-20,17.27000,17.31000,16.86000,16.87000,16.87000,-2.82%,8041305
2015-08-21,16.71000,16.75000,16.32000,16.35000,16.35000,-3.08%,11830233
2015-08-24,15.38000,16.19500,14.18000,15.85000,15.85000,-3.06%,11303797
2015-08-25,16.02000,16.46000,15.78000,15.78000,15.78000,-0.44%,11695706
2015-08-26,16.13000,16.38000,15.68000,16.37000,16.37000,3.74%,11465255
2015-08-27,17.00000,17.15000,16.57000,16.94000,16.94000,3.48%,11910996
2015-08-28,16.85000,17.07000,16.85000,17.07000,17.07000,0.77%,8056219
2015-08-31,17.02000,17.13000,16.71000,16.74000,16.74000,-1.93%,5975658
2015-09-01,16.30000,16.41000,15.96000,16.09000,16.09000,-3.88%,10265268
2015-09-02,16.33000,16.51000,16.16000,16.51000,16.51000,2.61%,7200035
2015-09-03,16.55000,16.78000,16.45000,16.53000,16.53000,0.12%,6513862
