Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,35.25500,35.53000,34.99000,35.05500,35.05500,-0.57%,1615846
2015-03-25,35.17500,35.51500,34.35500,34.41500,34.41500,-1.83%,1691274
2015-03-26,34.08500,34.29500,32.61500,34.09500,34.09500,-0.93%,3513076
2015-03-27,34.20500,34.76500,34.20500,34.61000,34.61000,1.51%,1450344
2015-03-30,35.48000,35.83000,35.28500,35.61500,35.61500,2.90%,2076710
2015-03-31,35.50000,35.62500,35.22500,35.34500,35.34500,-0.76%,1980460
2015-04-01,35.28000,35.37000,34.55000,35.23500,35.23500,-0.31%,1723444
2015-04-02,35.23000,35.49000,35.04000,35.18000,35.18000,-0.16%,1993670
2015-04-06,35.09000,35.44800,34.88500,35.30000,35.30000,0.34%,3093658
2015-04-07,35.59000,35.91500,35.24000,35.26000,35.26000,-0.11%,1359564
2015-04-08,35.33000,35.74000,35.29000,35.66000,35.66000,1.13%,1773258
2015-04-09,35.62500,35.88000,35.16500,35.31000,35.31000,-0.98%,1340418
2015-04-10,35.38500,35.52700,34.88000,35.08500,35.08500,-0.64%,1735812
2015-04-13,35.09500,35.70000,35.05500,35.17500,35.17500,0.26%,1459896
2015-04-14,35.20000,35.41500,34.56500,35.00000,35.00000,-0.50%,2074628
2015-04-15,35.30000,35.32500,33.83300,33.89500,33.89500,-3.16%,3248716
2015-04-16,34.32500,34.82000,34.32500,34.65000,34.65000,2.23%,2846306
2015-04-17,34.50000,34.59000,33.85000,34.07500,34.07500,-1.66%,2041264
2015-04-20,34.50000,35.04000,34.50000,34.90500,34.90500,2.44%,2949332
2015-04-21,35.08000,35.64000,35.05000,35.39000,35.39000,1.39%,2590930
2015-04-22,35.40000,35.53500,35.10000,35.45000,35.45000,0.17%,1553600
2015-04-23,35.41000,36.34500,35.23500,36.27000,36.27000,2.31%,2137916
2015-04-24,36.27500,36.89500,36.02500,36.83500,36.83500,1.56%,2828850
2015-04-27,37.00000,37.13000,35.10000,35.39500,35.39500,-3.91%,4146898
2015-04-28,35.89000,36.42500,33.89500,34.52000,34.52000,-2.47%,4604810
2015-04-29,34.51500,34.51500,31.38500,31.97500,31.97500,-7.37%,8180844
2015-04-30,31.96000,32.40000,30.92500,30.99500,30.99500,-3.06%,4469204
2015-05-01,31.07500,31.62000,31.06500,31.45000,31.45000,1.47%,2498254
2015-05-04,31.50000,32.61000,31.50000,32.41500,32.41500,3.07%,4135758
2015-05-05,32.26000,32.46500,31.54500,31.65000,31.65000,-2.36%,2178820
2015-05-06,31.77500,32.19000,31.45500,31.77500,31.77500,0.39%,1846054
2015-05-07,31.64000,32.13500,31.64000,31.96000,31.96000,0.58%,1944640
2015-05-08,32.26500,32.98000,32.26500,32.79000,32.79000,2.60%,2521618
2015-05-11,32.79500,33.29500,32.79500,32.98000,32.98000,0.58%,3129296
2015-05-12,32.80000,33.81000,32.67000,33.72500,33.72500,2.26%,3119366
2015-05-13,33.90000,34.27500,33.61000,33.74500,33.74500,0.06%,2213448
2015-05-14,34.09000,34.26000,33.90000,34.08000,34.08000,0.99%,1755366
2015-05-15,34.16000,34.22900,33.66500,34.05500,34.05500,-0.07%,2380446
2015-05-18,34.16000,34.98500,34.09000,34.88000,34.88000,2.42%,1733958
2015-05-19,34.99000,35.46500,34.89500,35.18500,35.18500,0.87%,1686656
2015-05-20,35.28000,35.73800,35.14500,35.47500,35.47500,0.82%,2231816
2015-05-21,35.34500,35.86000,35.15000,35.79000,35.79000,0.89%,1467394
2015-05-22,35.65500,35.96000,35.45000,35.55500,35.55500,-0.66%,1298142
2015-05-26,35.53500,35.83800,35.34000,35.57000,35.57000,0.04%,2945752
2015-05-27,35.73500,36.25000,35.64500,36.07500,36.07500,1.42%,2671442
2015-05-28,36.00500,36.25000,35.68500,36.20500,36.20500,0.36%,2825288
2015-05-29,36.25000,37.75000,35.72000,37.67000,37.67000,4.05%,11451978
2015-06-01,37.78000,38.12500,37.21000,37.95000,37.95000,0.74%,4754444
2015-06-02,37.85000,37.90500,36.66500,36.86000,36.86000,-2.87%,2571844
2015-06-03,37.04000,37.21000,36.56500,36.78000,36.78000,-0.22%,2340356
2015-06-04,36.58500,36.89000,36.26500,36.41000,36.41000,-1.01%,1574118
2015-06-05,36.45000,36.81000,36.05000,36.69500,36.69500,0.78%,2237168
2015-06-08,36.88000,37.19000,36.58500,36.62500,36.62500,-0.19%,2340190
2015-06-09,36.59000,36.65500,35.91000,36.46500,36.46500,-0.44%,2137250
2015-06-10,36.70000,37.16500,36.42000,36.95000,36.95000,1.33%,2133206
2015-06-11,37.35000,38.04000,37.30500,37.89000,37.89000,2.54%,3529684
2015-06-12,37.54500,38.23500,37.40000,37.69500,37.69500,-0.51%,2077554
2015-06-15,37.64000,39.17500,37.47100,38.88000,38.88000,3.14%,3928496
2015-06-16,38.93500,39.74000,38.91100,39.61000,39.61000,1.88%,2922188
2015-06-17,39.83500,40.00000,39.12500,39.24500,39.24500,-0.92%,2024350
2015-06-18,39.42000,39.97000,39.25500,39.53500,39.53500,0.74%,2388486
2015-06-19,39.59000,40.21000,39.33000,39.74000,39.74000,0.52%,6807716
2015-06-22,40.34000,40.73500,40.12000,40.16500,40.16500,1.07%,2156470
2015-06-23,40.30500,40.42000,39.72000,39.94500,39.94500,-0.55%,2383970
2015-06-24,39.94500,40.04000,39.08500,39.16000,39.16000,-1.97%,1853798
2015-06-25,39.33500,40.90000,39.15500,40.74000,40.74000,4.03%,3464834
2015-06-26,40.93500,41.09000,40.16500,40.18000,40.18000,-1.37%,2773640
2015-06-29,39.73000,40.50500,39.40000,40.24500,40.24500,0.16%,2566118
2015-06-30,40.65000,40.87000,40.00500,40.20000,40.20000,-0.11%,2435956
2015-07-01,40.65500,40.85000,40.20000,40.45000,40.45000,0.62%,1800656
2015-07-02,41.40000,41.50000,36.90500,37.22000,37.22000,-7.99%,17451092
2015-07-06,37.01500,37.02500,34.05500,34.92000,34.92000,-6.18%,15044008
2015-07-07,35.07500,35.74000,33.54500,35.11000,35.11000,0.54%,8465600
2015-07-08,35.11500,36.14000,35.00000,35.34000,35.34000,0.66%,4878468
2015-07-09,35.88000,36.14000,35.40500,35.42500,35.42500,0.24%,4174168
2015-07-10,35.62500,36.52500,35.60000,36.45500,36.45500,2.91%,4345800
2015-07-13,37.00000,37.14500,36.09500,36.50000,36.50000,0.12%,4456284
2015-07-14,36.55500,37.10000,36.25500,36.95000,36.95000,1.23%,4174784
2015-07-15,37.34000,37.84500,36.96500,37.26500,37.26500,0.85%,5129382
2015-07-16,37.69500,37.69500,36.62500,37.31000,37.31000,0.12%,2644532
2015-07-17,37.31500,37.73000,37.09500,37.58500,37.58500,0.74%,2277828
2015-07-20,37.58500,37.60500,37.03000,37.30000,37.30000,-0.76%,2605838
2015-07-21,36.13000,36.42500,35.25000,35.89000,35.89000,-3.78%,4724912
2015-07-22,35.86500,36.22500,35.60500,35.69000,35.69000,-0.56%,3329580
2015-07-23,36.00000,36.10500,35.21500,35.31000,35.31000,-1.06%,2839844
2015-07-24,35.38000,35.64000,34.22000,34.52000,34.52000,-2.24%,3624918
2015-07-27,34.64000,34.85500,34.39500,34.55000,34.55000,0.09%,4545474
2015-07-28,35.14500,35.24700,33.72000,34.83500,34.83500,0.82%,6365352
2015-07-29,34.99000,35.21500,34.25500,34.60500,34.60500,-0.66%,4415406
2015-07-30,34.63500,35.04000,34.11500,34.96500,34.96500,1.04%,3043680
2015-07-31,35.09000,35.68500,34.84500,35.06500,35.06500,0.29%,2843808
2015-08-03,35.23000,35.84500,35.15000,35.48500,35.48500,1.20%,3047080
2015-08-04,35.47000,35.62000,35.00500,35.24500,35.24500,-0.68%,2890884
2015-08-05,35.50500,36.30500,35.42500,35.73000,35.73000,1.38%,2966758
2015-08-06,35.91000,35.94000,34.98500,35.24500,35.24500,-1.36%,3431064
2015-08-07,35.15500,35.77500,34.71000,35.75500,35.75500,1.45%,2968606
2015-08-10,35.94000,36.04500,35.41500,35.84500,35.84500,0.25%,1798438
2015-08-11,35.51500,36.05400,35.31000,35.52500,35.52500,-0.89%,2171168
2015-08-12,35.39000,35.40500,34.06500,34.59500,34.59500,-2.62%,2974148
2015-08-13,34.70000,35.39500,34.54000,35.04500,35.04500,1.30%,3112836
2015-08-14,34.87500,35.25000,34.36500,34.72000,34.72000,-0.93%,2076728
2015-08-17,34.46000,35.99000,34.12000,35.95000,35.95000,3.54%,2693228
2015-08-18,35.76000,36.72500,35.66000,36.28000,36.28000,0.92%,2624884
2015-08-19,36.01000,36.20500,35.32500,35.40000,35.40000,-2.43%,3203682
2015-08-20,35.04500,35.23000,33.22300,33.28000,33.28000,-5.99%,3259440
2015-08-21,32.93500,33.45500,31.91500,32.48500,32.48500,-2.39%,6380516
2015-08-24,30.52500,31.89500,28.78500,30.41500,30.41500,-6.37%,5156922
2015-08-25,31.83000,31.83000,30.25500,30.28500,30.28500,-0.43%,3134286
2015-08-26,30.96500,31.50000,30.15500,31.42500,31.42500,3.76%,2786530
2015-08-27,31.71000,31.91000,30.97000,31.61500,31.61500,0.60%,2687250
2015-08-28,31.50500,31.74000,30.82500,31.26000,31.26000,-1.12%,3371466
2015-08-31,31.25000,31.75000,30.83000,30.86000,30.86000,-1.28%,3727738
2015-09-01,30.17500,30.45000,29.37000,29.66000,29.66000,-3.89%,5368304
2015-09-02,30.01500,30.24000,29.44000,30.08500,30.08500,1.43%,2757682
2015-09-03,30.24000,30.56500,29.83500,29.92000,29.92000,-0.55%,2768084
2015-09-04,29.61000,30.27500,29.49500,29.97500,29.97500,0.18%,2287788
2015-09-08,30.50500,31.01500,30.12500,30.93000,30.93000,3.19%,3005624
2015-09-09,31.17500,31.44500,30.65500,30.73000,30.73000,-0.65%,2357102
2015-09-10,30.68000,31.49500,30.57500,30.96000,30.96000,0.75%,3728674
2015-09-11,30.65500,31.72500,30.63500,31.71500,31.71500,2.44%,2383046
2015-09-14,31.71000,31.93500,31.43000,31.60000,31.60000,-0.36%,2057208
2015-09-15,31.74000,31.77500,31.29000,31.66000,31.66000,0.19%,2102260
2015-09-16,31.73500,32.08000,31.25500,31.92500,31.92500,0.84%,2312576
2015-09-17,31.98000,32.44500,31.64500,31.93500,31.93500,0.03%,1947694
2015-09-18,31.49000,32.00000,31.11500,31.17500,31.17500,-2.38%,4302706
2015-09-21,31.53500,31.72000,30.84500,31.39500,31.39500,0.71%,2903618
2015-09-22,30.99500,31.41000,30.65500,30.92500,30.92500,-1.50%,1975936
2015-09-23,30.90500,31.61500,30.84500,31.39500,31.39500,1.52%,3183872
2015-09-24,31.06500,31.25500,30.14800,30.75000,30.75000,-2.05%,2622734
2015-09-25,30.99500,31.04000,29.23000,29.30500,29.30500,-4.70%,3646766
2015-09-28,29.29500,29.30000,25.46500,26.33000,26.33000,-10.15%,7347794
2015-09-29,26.33500,26.97000,25.96500,26.43500,26.43500,0.40%,5659488
2015-09-30,26.95500,27.84500,26.84500,27.11500,27.11500,2.57%,3945908
2015-10-01,27.03500,27.22500,26.54500,26.88500,26.88500,-0.85%,3585294
2015-10-02,26.61500,28.00500,25.95500,27.98500,27.98500,4.09%,5405020
2015-10-05,28.17000,28.48500,27.51800,27.74000,27.74000,-0.88%,4316418
2015-10-06,27.68500,27.74000,26.01500,26.53500,26.53500,-4.34%,4665328
2015-10-07,26.64000,26.99500,25.87500,26.95500,26.95500,1.58%,3501738
2015-10-08,26.97500,27.60500,26.73000,27.47000,27.47000,1.91%,4537532
2015-10-09,27.38500,28.81000,27.38500,28.67500,28.67500,4.39%,5618442
2015-10-12,28.67500,29.02500,28.34500,28.64000,28.64000,-0.12%,3397698
2015-10-13,28.66000,29.63500,28.50500,28.63000,28.63000,-0.03%,3420282
2015-10-14,28.72000,29.24000,28.18500,28.38000,28.38000,-0.87%,3002056
2015-10-15,28.00000,28.84000,27.59500,28.83500,28.83500,1.60%,2808376
2015-10-16,28.92000,29.30400,28.74000,29.05000,29.05000,0.75%,2741190
2015-10-19,29.02500,30.55300,28.98000,30.32500,30.32500,4.39%,3811868
2015-10-20,30.37500,30.56000,29.78500,29.95500,29.95500,-1.22%,4237078
2015-10-21,30.19000,30.32000,27.74500,29.15000,29.15000,-2.69%,5355044
2015-10-22,28.92000,29.01000,27.00000,27.76500,27.76500,-4.75%,6096040
2015-10-23,27.96000,28.73000,27.79300,28.62500,28.62500,3.10%,4536560
2015-10-26,28.68000,29.16500,28.28500,29.02500,29.02500,1.40%,3559684
2015-10-27,29.37000,30.65500,29.12500,30.42000,30.42000,4.81%,5995044
2015-10-28,30.30000,30.63000,28.89000,30.55000,30.55000,0.43%,6097800
2015-10-29,30.52000,31.00000,30.08500,30.21500,30.21500,-1.10%,3067932
2015-10-30,30.27000,30.54500,29.70000,29.74000,29.74000,-1.57%,2597226
2015-11-02,29.75000,30.77800,29.39000,30.46000,30.46000,2.42%,3160836
2015-11-03,30.25500,30.77500,30.02500,30.68000,30.68000,0.72%,3394376
2015-11-04,30.71500,30.74000,29.63000,30.38500,30.38500,-0.96%,3365406
2015-11-05,30.37000,31.05000,30.24000,30.87000,30.87000,1.60%,2316348
2015-11-06,30.57000,30.97000,30.31500,30.87500,30.87500,0.02%,2475118
2015-11-09,30.68000,30.87000,30.26000,30.54000,30.54000,-1.09%,1833070
2015-11-10,30.50000,30.76800,30.13000,30.42500,30.42500,-0.38%,1869174
2015-11-11,30.62500,30.62500,29.53500,29.55000,29.55000,-2.88%,1842260
2015-11-12,29.35500,29.43000,28.60500,28.63000,28.63000,-3.11%,2707418
2015-11-13,28.48000,28.86000,27.86000,28.63500,28.63500,0.02%,4100092
2015-11-16,28.57500,29.34500,28.47500,29.25500,29.25500,2.17%,2742906
2015-11-17,29.29000,29.88000,28.94500,29.44000,29.44000,0.63%,2379302
2015-11-18,29.44000,29.97000,29.05000,29.73500,29.73500,1.00%,2190852
2015-11-19,29.11000,29.23000,26.96000,27.23500,27.23500,-8.41%,7964500
2015-11-20,27.77500,29.37000,27.72500,28.71000,28.71000,5.42%,5061416
2015-11-23,28.73500,29.39500,28.45500,28.48500,28.48500,-0.78%,2713408
2015-11-24,28.27500,28.67000,28.16500,28.49000,28.49000,0.02%,3184110
2015-11-25,28.58500,28.69600,28.28500,28.38000,28.38000,-0.39%,1682396
2015-11-27,28.47500,29.52400,28.27000,29.36000,29.36000,3.45%,1774690
2015-11-30,29.49500,29.63500,28.69000,28.87500,28.87500,-1.65%,3397410
2015-12-01,29.16000,29.62500,28.74000,29.50500,29.50500,2.18%,3199510
2015-12-02,29.50000,29.89000,29.07000,29.51000,29.51000,0.02%,3267898
2015-12-03,29.60000,29.80000,28.37000,28.41500,28.41500,-3.71%,4022846
2015-12-04,28.34000,29.55000,28.28000,29.34500,29.34500,3.27%,2944256
2015-12-07,29.39500,29.50000,28.64000,28.87500,28.87500,-1.60%,2657416
2015-12-08,28.69500,29.00000,28.35500,28.70000,28.70000,-0.61%,2744298
2015-12-09,28.41500,28.98200,28.16000,28.76000,28.76000,0.21%,3759602
2015-12-10,28.73000,29.25500,28.52000,28.73500,28.73500,-0.09%,3874650
2015-12-11,28.44500,28.84000,28.26000,28.43500,28.43500,-1.04%,2087428
2015-12-14,28.49500,28.97500,27.94500,28.40000,28.40000,-0.12%,2666428
2015-12-15,28.66000,29.40500,28.47500,29.36000,29.36000,3.38%,4584866
2015-12-16,29.65500,30.81500,29.51500,30.68500,30.68500,4.51%,6455550
2015-12-17,30.72500,31.38500,30.62600,30.93000,30.93000,0.80%,6474292
2015-12-18,31.08500,32.73500,31.08500,32.37500,32.37500,4.67%,10182088
2015-12-21,32.32000,32.99000,32.10000,32.60000,32.60000,0.69%,6526574
2015-12-22,32.90000,32.90000,32.19000,32.57500,32.57500,-0.08%,3858284
2015-12-23,32.88000,33.20500,32.66300,32.89500,32.89500,0.98%,3731430
2015-12-24,32.90000,33.05500,32.54000,32.78500,32.78500,-0.33%,1307200
2015-12-28,32.73500,33.23000,32.32500,33.03000,33.03000,0.75%,2266336
2015-12-29,33.16000,33.76500,33.09000,33.37000,33.37000,1.03%,2716020
2015-12-30,33.37500,33.58000,32.95000,33.14500,33.14500,-0.67%,1908398
2015-12-31,32.98500,33.34500,32.84800,32.90500,32.90500,-0.72%,2015860
