Date,Open,High,Low,Close,Adj. Close,Change,Volume
2024-09-24,226.49000,227.83000,222.04000,225.35000,224.32700,-1.31%,2454818
2024-09-25,226.65000,226.65000,221.18000,223.43000,222.41500,-0.85%,1737646
2024-09-26,222.10000,225.60000,222.10000,223.88000,222.86300,0.20%,1206387
2024-09-27,223.50000,225.24000,223.13000,224.92000,223.89900,0.46%,1082543
2024-09-30,225.25000,225.46000,223.67000,225.08000,224.05800,0.07%,1333614
2024-10-01,225.13000,225.50000,223.19000,224.23000,223.21200,-0.38%,1338934
2024-10-02,223.52000,223.60000,221.39000,221.64000,220.63400,-1.16%,1812465
2024-10-03,221.63000,222.40000,220.14000,220.96000,219.95700,-0.31%,1460432
2024-10-04,220.22000,221.15000,219.35000,219.94000,218.94100,-0.46%,1638164
2024-10-07,219.21000,220.49900,218.65000,219.50000,218.50300,-0.20%,1414619
2024-10-08,220.56000,221.33000,219.69000,220.81000,219.80700,0.60%,1598844
2024-10-09,221.61000,222.40000,220.03000,221.16000,220.15600,0.16%,1295003
2024-10-10,221.91000,222.70000,220.82200,222.20000,221.19100,0.47%,1352963
2024-10-11,223.00000,224.71000,222.27000,222.56000,221.54900,0.16%,938026
2024-10-14,222.97000,226.02800,221.95000,224.81000,223.78900,1.01%,1767757
2024-10-15,224.73000,236.41000,224.73000,233.12000,232.06100,3.70%,3260022
2024-10-16,231.53000,236.89000,230.83000,236.57000,235.49600,1.48%,1701005
2024-10-17,234.43000,236.70000,233.58200,235.64000,234.57000,-0.39%,1231775
2024-10-18,236.41000,238.15500,234.83500,237.43000,236.35200,0.76%,1210073
2024-10-21,238.00000,239.11000,236.01000,236.54000,235.46600,-0.37%,848258
2024-10-22,235.80000,235.80000,233.68000,234.17000,233.10700,-1.00%,1020752
2024-10-23,233.73000,234.99000,233.06000,234.52000,233.45500,0.15%,755044
2024-10-24,234.24000,236.95000,233.64000,235.16000,234.09200,0.27%,866868
2024-10-25,234.47000,235.14000,233.34000,234.47000,233.40500,-0.29%,1009552
2024-10-28,235.01000,235.50000,233.41000,233.57000,232.50900,-0.38%,835520
2024-10-29,233.02000,234.73000,231.65000,231.77000,230.71800,-0.77%,966435
2024-10-30,231.28000,231.70000,228.56500,229.48000,228.43800,-0.99%,1205471
2024-10-31,228.85000,231.60000,227.95000,228.08000,227.04400,-0.61%,1263969
2024-11-01,230.67000,237.86500,230.35000,234.27000,233.20600,2.71%,1619694
2024-11-04,235.21000,236.43000,233.24000,233.89000,232.82800,-0.16%,1036939
2024-11-05,234.81000,236.73000,231.92000,233.99000,232.92800,0.04%,1721441
2024-11-06,236.80000,247.39000,236.80000,245.38000,244.26600,4.87%,2215425
2024-11-07,249.04000,250.80000,246.32000,247.76000,246.63500,0.97%,1600347
2024-11-08,249.19000,251.00000,246.25000,248.41000,247.28200,0.26%,1376073
2024-11-11,249.00000,251.52000,248.41000,249.09000,247.95900,0.27%,1246231
2024-11-12,248.50000,251.56000,248.05000,248.79000,247.66000,-0.12%,1279280
2024-11-13,248.99000,251.10000,247.96000,249.97000,248.83500,0.47%,1255501
2024-11-14,248.40000,249.10000,243.15000,243.41000,242.30500,-2.62%,1463892
2024-11-15,242.45000,243.93500,237.47500,240.24000,239.69700,-1.30%,1844676
