Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,86.52000,86.72000,85.93000,85.93000,55.21000,-0.97%,2157494
2015-03-25,85.85000,86.00000,84.35000,84.35000,54.28200,-1.84%,4104165
2015-03-26,84.25000,84.95000,83.88000,84.32000,54.26300,-0.04%,2610077
2015-03-27,84.23000,85.00000,84.10000,84.85000,54.60400,0.63%,2120242
2015-03-30,85.00000,85.75300,84.98000,85.60000,55.08600,0.88%,1800631
2015-03-31,85.39000,85.51000,84.85000,84.90000,54.63600,-0.82%,2513538
2015-04-01,84.78000,84.84000,83.66000,83.90000,53.99200,-1.18%,2697152
2015-04-02,84.08000,84.53000,83.59100,84.19000,54.17900,0.35%,1974503
2015-04-06,83.78000,85.36000,83.51000,84.97000,54.68100,0.93%,1637937
2015-04-07,84.69000,85.99000,84.62000,85.33000,54.91300,0.42%,2637050
2015-04-08,85.36000,85.62000,84.89000,85.35000,54.92600,0.02%,2348258
2015-04-09,85.09000,85.59000,84.91000,85.46000,54.99600,0.13%,1643677
2015-04-10,85.83000,85.84500,84.83000,84.98000,54.68700,-0.56%,2890418
2015-04-13,85.34000,85.58000,84.68000,85.23000,54.84800,0.29%,2373426
2015-04-14,84.93000,85.58000,84.61000,85.48000,55.00900,0.29%,2305588
2015-04-15,85.25000,85.77000,85.25000,85.60000,55.08600,0.14%,2282967
2015-04-16,85.23000,85.78000,85.10000,85.44000,54.98300,-0.19%,2894316
2015-04-17,84.75000,84.80000,83.74000,84.22000,54.19800,-1.43%,3719431
2015-04-20,84.81000,85.18000,84.54000,84.92000,54.64900,0.83%,2687269
2015-04-21,85.12000,85.50000,85.00000,85.20000,54.82900,0.33%,2628987
2015-04-22,85.09000,85.41000,84.63000,85.25000,54.86100,0.06%,4376847
2015-04-23,84.56000,85.14000,83.65000,84.69000,54.50100,-0.66%,7629430
2015-04-24,84.39000,84.54000,83.05000,83.30000,53.60600,-1.64%,5961877
2015-04-27,84.02000,84.30000,83.02000,83.09000,53.47100,-0.25%,4481303
2015-04-28,82.83000,83.28000,82.58000,83.26000,53.58100,0.20%,2485940
2015-04-29,82.96000,83.21000,82.61000,82.80000,53.28500,-0.55%,3327456
2015-04-30,82.70000,82.83000,81.59000,81.88000,52.69200,-1.11%,2940207
2015-05-01,82.09000,82.74000,81.94000,82.52000,53.10400,0.78%,2595397
2015-05-04,82.60000,83.20000,82.53000,82.69000,53.21400,0.21%,1895236
2015-05-05,82.71000,82.97000,82.23000,82.40000,53.02700,-0.35%,2873614
2015-05-06,82.68000,82.95000,81.87000,82.34000,52.98800,-0.07%,3090399
2015-05-07,82.27000,83.47000,82.22000,83.19000,53.53500,1.03%,3754672
2015-05-08,83.85000,84.42000,83.74000,84.03000,54.07600,1.01%,2545839
2015-05-11,83.84000,84.13000,83.56000,83.56000,53.77400,-0.56%,2260103
2015-05-12,83.30000,86.35000,83.27000,86.00000,55.34400,2.92%,9729772
2015-05-13,90.00000,90.25000,86.46000,87.35000,56.21300,1.57%,18878952
2015-05-14,87.98000,88.36000,87.41000,87.84000,56.52800,0.56%,9568624
2015-05-15,87.78000,88.08000,86.34000,86.45000,55.63300,-1.58%,8066997
2015-05-18,86.56000,87.60000,86.56000,87.26000,56.15500,0.94%,4682340
2015-05-19,87.27000,87.44000,86.36000,86.49000,55.65900,-0.88%,3608094
2015-05-20,86.51000,87.24000,86.10000,87.02000,56.00000,0.61%,4110543
2015-05-21,86.99000,87.28000,86.67000,86.90000,55.92300,-0.14%,3815084
2015-05-22,86.95000,87.56000,86.58000,86.61000,55.73600,-0.33%,2937970
2015-05-26,86.56000,86.91400,85.96500,86.18000,55.46000,-0.50%,2694613
2015-05-27,86.17000,87.46000,86.03300,87.42000,56.25800,1.44%,3576693
2015-05-28,87.35000,87.50000,86.78000,87.32000,56.19300,-0.11%,3152760
2015-05-29,87.10000,87.38000,85.99500,86.32000,55.55000,-1.15%,3043630
2015-06-01,86.50000,87.15500,86.05000,86.90000,55.92300,0.67%,2874789
2015-06-02,86.45000,86.92000,86.12000,86.79000,55.85200,-0.13%,2486238
2015-06-03,86.83000,87.43500,86.66000,87.24000,56.14200,0.52%,2379893
2015-06-04,86.56000,86.90000,85.61000,85.80000,55.21500,-1.65%,2747791
2015-06-05,85.62000,85.99000,85.46000,85.89000,55.27300,0.10%,2001515
2015-06-08,85.59000,85.81000,84.85000,84.91000,54.64200,-1.14%,3189467
2015-06-09,85.03000,85.79000,84.70000,85.20000,54.82900,0.34%,2635413
2015-06-10,85.46000,86.11000,85.20000,86.02000,55.35700,0.96%,2389668
2015-06-11,86.25000,86.40000,85.75000,85.93000,55.29900,-0.10%,2292605
2015-06-12,85.82000,85.89000,84.92000,85.05000,54.73200,-1.02%,3206696
2015-06-15,84.60000,84.75000,84.12000,84.46000,54.35300,-0.69%,2418488
2015-06-16,84.35000,84.85000,84.33000,84.63000,54.46200,0.20%,1909850
2015-06-17,84.68000,85.11000,84.42000,84.73000,54.52700,0.12%,2749003
2015-06-18,84.97000,86.43000,84.78000,85.95000,55.31200,1.44%,3461519
2015-06-19,85.95000,86.28000,85.64000,85.84000,55.24100,-0.13%,4174195
2015-06-22,86.25000,86.68000,86.15000,86.25000,55.50500,0.48%,2530688
2015-06-23,86.15000,86.38000,85.66500,85.72000,55.16400,-0.61%,2264396
2015-06-24,85.58000,85.93000,85.33000,85.42000,55.05700,-0.35%,2928331
2015-06-25,85.72000,85.79500,84.89300,85.43000,55.06400,0.01%,2548713
2015-06-26,85.86000,86.03000,85.36000,85.76000,55.27700,0.39%,10251703
2015-06-29,85.14000,85.54000,84.56500,84.75000,54.62600,-1.18%,6000222
2015-06-30,85.27000,85.88000,85.05000,85.59000,55.16700,0.99%,5618703
2015-07-01,86.00000,86.34000,85.70000,86.34000,55.65000,0.88%,5669468
2015-07-02,86.52000,86.93000,86.28000,86.80000,55.94700,0.53%,3782179
2015-07-06,85.93000,86.35000,85.72000,85.87000,55.34800,-1.07%,7219654
2015-07-07,86.21000,87.26000,85.18000,87.07000,56.12100,1.40%,4992469
2015-07-08,86.63000,86.76000,85.65500,85.74000,55.26400,-1.53%,5126221
2015-07-09,86.61000,86.87000,85.72000,85.74000,55.26400,,5154886
2015-07-10,86.45000,86.92000,86.06000,86.65000,55.85000,1.06%,4654491
2015-07-13,87.17000,88.10000,86.99700,88.00000,56.72000,1.56%,4938879
2015-07-14,88.25000,89.02000,88.11000,88.96000,57.33900,1.09%,14034194
2015-07-15,89.13000,89.20000,88.29000,88.33000,56.93300,-0.71%,6055558
2015-07-16,88.68000,88.85000,88.00000,88.70000,57.17200,0.42%,4356812
2015-07-17,88.48000,88.76000,88.24000,88.72000,57.18400,0.02%,2056819
2015-07-20,88.72000,88.84000,88.41000,88.58000,57.09400,-0.16%,2917293
2015-07-21,88.30000,88.54000,87.65000,87.79000,56.58500,-0.89%,3790038
2015-07-22,87.72000,88.29000,87.53000,87.86000,56.63000,0.08%,3831692
