Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,32.96000,32.97000,32.47000,32.59000,32.59000,-1.21%,1299171
2015-03-25,32.68000,32.74000,32.00000,32.03000,32.03000,-1.72%,1575823
2015-03-26,31.84000,32.14500,31.30000,31.94000,31.94000,-0.28%,1605191
2015-03-27,31.99000,32.60500,31.95000,32.49000,32.49000,1.72%,956392
2015-03-30,32.72000,33.24000,32.66000,33.16500,33.16500,2.08%,1122078
2015-03-31,33.15000,33.33500,32.86000,33.02500,33.02500,-0.42%,1770482
2015-04-01,32.90000,32.97000,32.28000,32.57500,32.57500,-1.36%,1494441
2015-04-02,32.65000,33.14500,32.57000,32.94500,32.94500,1.14%,1256428
2015-04-06,32.74000,33.41000,32.56200,33.21000,33.21000,0.80%,3411358
2015-04-07,33.20000,33.58000,32.99500,33.03000,33.03000,-0.54%,1116436
2015-04-08,32.88000,33.30000,32.12000,33.24000,33.24000,0.64%,1224607
2015-04-09,33.35000,33.45000,32.94000,33.40000,33.40000,0.48%,629608
2015-04-10,33.50000,33.56800,33.23000,33.30000,33.30000,-0.30%,647443
2015-04-13,33.27000,33.46000,33.10000,33.17500,33.17500,-0.38%,679966
2015-04-14,33.20000,33.31000,32.95000,33.18000,33.18000,0.02%,897354
2015-04-15,33.26000,33.26000,32.71000,32.74000,32.74000,-1.33%,777139
2015-04-16,32.60000,32.84000,32.56000,32.82000,32.82000,0.24%,804257
2015-04-17,32.66000,32.86000,32.36000,32.46500,32.46500,-1.08%,657148
2015-04-20,32.58000,33.16000,32.51000,33.08000,33.08000,1.89%,1219690
2015-04-21,33.24000,33.52000,32.97000,33.33000,33.33000,0.76%,1636116
2015-04-22,33.37000,33.50000,33.12000,33.26000,33.26000,-0.21%,2260065
2015-04-23,33.16000,33.61000,33.14000,33.42000,33.42000,0.48%,2913868
2015-04-24,33.49000,34.20100,33.31000,33.98500,33.98500,1.69%,1883896
2015-04-27,34.01000,34.02000,33.01500,33.14500,33.14500,-2.47%,2387589
2015-04-28,33.08000,33.30000,32.72000,33.04000,33.04000,-0.32%,2713785
2015-04-29,32.81000,33.22000,32.41500,32.66000,32.66000,-1.15%,2263822
2015-04-30,34.37000,34.65000,33.39000,33.74000,33.74000,3.31%,6511912
2015-05-01,33.99000,34.34700,33.84000,34.00500,34.00500,0.79%,1968579
2015-05-04,34.14000,34.56000,34.00000,34.39500,34.39500,1.15%,2102988
2015-05-05,34.36000,34.66000,33.46000,33.63000,33.63000,-2.22%,2192047
2015-05-06,33.70000,33.75000,33.38000,33.47000,33.47000,-0.48%,1467632
2015-05-07,33.35000,33.88000,32.95000,33.64000,33.64000,0.51%,1062542
2015-05-08,33.95000,34.15000,33.71000,33.99000,33.99000,1.04%,890346
2015-05-11,34.01000,34.34000,33.96000,34.25000,34.25000,0.76%,1024057
2015-05-12,34.06000,34.06000,33.70000,33.84500,33.84500,-1.18%,812483
2015-05-13,33.95000,34.14000,33.74000,34.08000,34.08000,0.69%,1464467
2015-05-14,34.23000,34.40000,33.98000,34.30000,34.30000,0.65%,1041645
2015-05-15,34.31000,34.56800,34.25000,34.44500,34.44500,0.42%,835301
2015-05-18,34.31000,34.71000,34.22000,34.62000,34.62000,0.51%,877800
2015-05-19,34.69000,35.35000,34.61000,35.32000,35.32000,2.02%,1523215
2015-05-20,35.30000,35.30000,34.85000,34.89000,34.89000,-1.22%,1272770
2015-05-21,34.85000,35.01000,34.57000,34.96000,34.96000,0.20%,1146027
2015-05-22,34.87000,35.24000,34.84900,35.05000,35.05000,0.26%,803233
2015-05-26,35.03000,35.08000,34.43000,34.61000,34.61000,-1.26%,2086981
2015-05-27,34.64000,35.50000,34.64000,35.45000,35.45000,2.43%,1721979
2015-05-28,35.34000,35.45000,35.00000,35.29000,35.29000,-0.45%,1880005
2015-05-29,35.24000,35.93000,35.00000,35.77000,35.77000,1.36%,2540473
2015-06-01,36.00000,36.35000,35.77000,36.14000,36.14000,1.03%,1736754
2015-06-02,35.99000,36.36000,35.71000,36.23000,36.23000,0.25%,1512131
2015-06-03,36.35000,36.55000,36.27000,36.43000,36.43000,0.55%,3753851
2015-06-04,36.17000,36.45000,36.08100,36.26000,36.26000,-0.47%,1630224
2015-06-05,36.29000,36.44000,36.02500,36.36500,36.36500,0.29%,1495978
2015-06-08,36.33000,36.45000,36.19000,36.25000,36.25000,-0.32%,1333537
2015-06-09,36.29000,36.58000,36.02000,36.55000,36.55000,0.83%,1437302
2015-06-10,36.71000,37.31000,36.50000,37.10500,37.10500,1.52%,3591225
