Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,55.58800,55.80000,55.08600,55.16500,55.16500,-1.03%,1580614
2015-03-25,55.31000,55.39200,54.29000,54.33300,54.33300,-1.51%,1344296
2015-03-26,53.90600,54.23900,53.70200,53.81400,53.81400,-0.96%,1172194
2015-03-27,53.71800,54.51000,53.60400,54.43100,54.43100,1.15%,1546748
2015-03-30,54.83900,55.33300,54.67500,55.23100,55.23100,1.47%,997264
2015-03-31,55.07100,55.48600,54.73300,54.75300,54.75300,-0.87%,1224566
2015-04-01,54.82700,54.82700,53.80800,54.20400,54.20400,-1.00%,1611990
2015-04-02,54.25900,54.99200,53.93300,54.63900,54.63900,0.80%,1158477
2015-04-06,54.27100,55.44700,53.94100,55.04300,55.04300,0.74%,1815286
2015-04-07,55.05500,55.65900,54.85100,54.85500,54.85500,-0.34%,1139727
2015-04-08,54.87800,55.63800,54.65100,54.94500,54.94500,0.16%,1594132
2015-04-09,54.80800,55.62400,54.72500,55.60800,55.60800,1.21%,1304169
2015-04-10,55.68600,55.86700,55.42400,55.62900,55.62900,0.04%,1265776
2015-04-13,55.65100,56.13700,55.65100,55.74100,55.74100,0.20%,1600410
2015-04-14,55.59600,55.73700,54.78000,55.12900,55.12900,-1.10%,1129843
2015-04-15,55.22000,55.32500,54.88600,54.92000,54.92000,-0.38%,947414
2015-04-16,54.81200,55.04300,54.47500,55.00400,55.00400,0.15%,1029455
2015-04-17,54.58800,54.65900,53.85500,54.22400,54.22400,-1.42%,1120773
2015-04-20,54.52500,54.96100,54.39200,54.77300,54.77300,1.01%,755947
2015-04-21,55.03900,55.14900,54.71400,54.89000,54.89000,0.21%,903317
2015-04-22,54.89400,55.40400,54.67800,55.33700,55.33700,0.81%,1010529
2015-04-23,55.36500,55.94900,55.16900,55.62400,55.62400,0.52%,762536
2015-04-24,55.65100,56.17600,55.08200,55.89800,55.89800,0.49%,1226674
2015-04-27,55.93300,56.01200,54.87100,54.89800,54.89800,-1.79%,763044
2015-04-28,54.81200,55.01200,54.25900,54.91800,54.91800,0.04%,1233338
2015-04-29,54.54100,54.89800,54.18400,54.56900,54.56900,-0.64%,1299995
2015-04-30,54.31400,54.51800,53.59600,53.76500,53.76500,-1.47%,1368666
2015-05-01,53.80000,54.50200,53.69000,54.44700,54.44700,1.27%,1698669
2015-05-04,54.69400,55.96100,54.39200,55.71000,55.71000,2.32%,1958581
2015-05-05,55.57600,55.68600,54.23100,54.24700,54.24700,-2.63%,1624857
2015-05-06,54.24700,54.35300,53.30200,53.50200,53.50200,-1.37%,1442690
2015-05-07,53.48200,53.88600,53.38400,53.72000,53.72000,0.41%,1398101
