Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,93.70000,94.24000,92.01000,92.81000,92.81000,-0.63%,796273
2015-03-25,92.87000,93.00000,89.40000,90.47000,90.47000,-2.52%,1520520
2015-03-26,89.59000,90.95000,87.79000,89.20000,89.20000,-1.40%,1353003
2015-03-27,89.72000,95.72000,89.05000,94.36000,94.36000,5.78%,1401500
2015-03-30,95.85000,96.68000,92.54000,94.19000,94.19000,-0.18%,1256212
2015-03-31,92.90000,93.97000,91.50000,91.66000,91.66000,-2.69%,1038390
2015-04-01,92.30000,92.48000,87.41500,89.44000,89.44000,-2.42%,1227089
2015-04-02,89.56000,89.70000,87.18000,88.79000,88.79000,-0.73%,764691
2015-04-06,88.34000,90.12000,87.41000,88.46000,88.46000,-0.37%,1001825
2015-04-07,88.83000,91.32000,88.29000,89.39000,89.39000,1.05%,662290
2015-04-08,89.64000,92.14000,89.34000,91.63000,91.63000,2.51%,862228
2015-04-09,91.50000,92.38000,90.50000,92.28000,92.28000,0.71%,501970
2015-04-10,92.35000,94.13000,91.05000,93.81000,93.81000,1.66%,781872
2015-04-13,94.14000,102.79000,93.95000,99.83000,99.83000,6.42%,2427925
2015-04-14,98.72000,101.40000,97.66000,98.97000,98.97000,-0.86%,1388813
2015-04-15,99.43000,101.38000,98.50000,100.29000,100.29000,1.33%,1156026
2015-04-16,100.84000,103.74000,100.40000,102.76000,102.76000,2.46%,1752498
2015-04-17,101.76000,102.74000,101.01000,101.66000,101.66000,-1.07%,1768573
2015-04-20,104.12000,105.96000,102.01000,105.51000,105.51000,3.79%,1250520
2015-04-21,106.76000,109.89000,104.73000,109.18500,109.18500,3.48%,1350979
2015-04-22,109.97000,111.93000,107.50000,107.98000,107.98000,-1.10%,1152716
2015-04-23,107.60000,108.43000,106.58100,107.85000,107.85000,-0.12%,1108069
2015-04-24,107.59000,108.55000,106.75000,107.34000,107.34000,-0.47%,854645
2015-04-27,107.42000,107.84000,100.63000,101.38000,101.38000,-5.55%,1431343
2015-04-28,101.73000,104.01000,97.14000,99.60000,99.60000,-1.76%,1931151
2015-04-29,99.64000,102.24000,98.04000,101.67000,101.67000,2.08%,1502902
