Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,102.83000,103.23000,101.93000,101.96000,77.29500,-0.99%,8379742
2015-03-25,101.85000,102.50000,100.34000,100.34000,76.06700,-1.59%,8443719
2015-03-26,99.95000,100.81000,99.56000,100.14000,75.91500,-0.20%,9972371
2015-03-27,100.28000,100.95000,100.15000,100.34000,76.06700,0.20%,5847382
2015-03-30,101.24000,101.86000,100.76000,101.55000,76.98400,1.21%,6060862
2015-03-31,100.97000,101.49000,100.59000,100.60000,76.26400,-0.94%,8027487
2015-04-01,100.46000,100.46000,98.61000,99.15000,75.16500,-1.44%,11368126
2015-04-02,99.44000,99.99000,98.89000,99.64000,75.53600,0.49%,6097146
2015-04-06,98.84000,99.56000,98.04000,99.16000,75.17300,-0.48%,9697048
2015-04-07,99.55000,100.87000,99.43300,100.10000,75.88500,0.95%,7900288
2015-04-08,99.84000,100.45000,99.60000,100.16000,75.93100,0.06%,7354110
2015-04-09,100.57000,101.65000,100.33000,101.33000,76.81800,1.17%,8062314
2015-04-10,101.33000,102.14000,100.93000,102.06000,77.37100,0.72%,6786446
2015-04-13,101.54000,101.98000,100.55000,100.55000,76.22600,-1.48%,10753497
2015-04-14,101.05000,101.46000,100.18500,100.52000,76.20400,-0.03%,9322175
2015-04-15,100.54000,101.24000,100.33000,100.60000,76.26400,0.08%,8237103
2015-04-16,100.27000,100.32000,99.77000,99.79000,75.65000,-0.81%,7324783
2015-04-17,99.37000,99.85200,99.11000,99.58000,75.49100,-0.21%,11079673
2015-04-20,100.26000,100.88000,100.05000,100.21000,75.96900,0.63%,6668541
2015-04-21,100.66000,100.99000,100.16000,100.30000,76.03700,0.09%,6532698
2015-04-22,100.63000,100.80000,99.96000,100.43000,76.13500,0.13%,4764283
2015-04-23,100.50000,100.82000,99.91000,100.46000,76.15800,0.03%,7342331
2015-04-24,100.11000,101.52900,100.00000,101.08000,76.62800,0.62%,6566915
2015-04-27,101.16000,101.60000,100.47000,100.58000,76.24900,-0.49%,9109833
2015-04-28,100.45000,100.94600,99.31000,100.74000,76.37000,0.16%,7484581
2015-04-29,100.51000,100.61000,99.90000,100.39000,76.10500,-0.35%,8919531
2015-04-30,100.07000,100.15000,98.77000,99.20000,75.20300,-1.19%,10170210
2015-05-01,99.62000,100.39000,99.62000,100.13000,75.90800,0.94%,6255973
2015-05-04,100.33000,100.55000,100.16000,100.35000,76.07500,0.22%,5524492
2015-05-05,100.13000,100.29000,99.29000,99.50000,75.43000,-0.85%,8828129
2015-05-06,99.62000,99.87000,98.66000,99.17000,75.18000,-0.33%,8030106
2015-05-07,98.94000,100.00000,98.91000,99.66000,75.55200,0.49%,6401552
2015-05-08,100.48000,101.67000,100.44300,101.47000,76.92400,1.82%,7508622
2015-05-11,101.32000,101.66000,101.01000,101.03000,76.59000,-0.43%,5698876
2015-05-12,100.88000,101.05000,100.28000,100.47000,76.16600,-0.55%,6903070
2015-05-13,100.68000,101.13000,100.47000,100.55000,76.22600,0.08%,5826750
2015-05-14,100.97000,101.87000,100.95000,101.83000,77.19700,1.27%,5453985
2015-05-15,101.98000,102.32000,101.67000,102.30000,77.55300,0.46%,6023443
2015-05-18,102.37000,104.34000,102.32000,103.42000,78.40200,1.09%,10479526
2015-05-19,103.66000,104.12000,103.25500,103.96000,78.81100,0.52%,7724081
2015-05-20,104.42000,104.48000,103.31000,103.60000,78.53800,-0.35%,7144389
2015-05-21,102.91000,103.30100,102.34000,102.42000,78.21200,-1.14%,6875323
2015-05-22,102.27000,102.41000,101.33000,101.35000,77.39500,-1.04%,6216965
2015-05-26,101.23000,101.55000,100.58000,100.82000,76.99100,-0.52%,7911661
2015-05-27,101.01000,101.41000,100.80000,101.13000,77.22700,0.31%,9297634
2015-05-28,101.01000,101.70000,100.81000,101.15000,77.24300,0.02%,5700051
2015-05-29,101.55000,101.62000,99.83000,100.14000,76.47100,-1.00%,9955450
2015-06-01,100.28000,100.60000,99.72000,100.04000,76.39500,-0.10%,7297785
2015-06-02,99.92000,100.24000,99.10000,99.98000,76.34900,-0.06%,8312446
