Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,78.75000,79.24000,78.68000,78.72000,61.49600,0.06%,5854912
2015-03-25,78.84000,79.50000,77.55000,77.60000,60.62100,-1.42%,8133633
2015-03-26,76.94000,77.47000,76.51000,76.61000,60.08600,-1.28%,5591779
2015-03-27,76.54000,77.60000,76.50000,77.38000,60.69000,1.01%,4510282
2015-03-30,77.70000,78.45000,77.70000,78.42000,61.50600,1.34%,3765886
2015-03-31,78.49000,78.84000,77.87000,77.99000,61.16800,-0.55%,5773412
2015-04-01,78.62000,78.73000,75.96500,76.14000,59.71700,-2.37%,8383932
2015-04-02,76.01000,77.12000,75.83000,76.87000,60.29000,0.96%,5113560
2015-04-06,76.31000,77.55000,76.27000,77.36000,60.67400,0.64%,4371983
2015-04-07,77.57000,77.77300,77.15000,77.18000,60.53300,-0.23%,3529602
2015-04-08,77.36000,77.45000,76.30000,76.39000,59.91400,-1.02%,6279630
2015-04-09,76.34000,77.20000,76.08000,77.13000,60.49400,0.97%,4888867
2015-04-10,77.10000,77.96000,77.04000,77.93000,61.12100,1.04%,4521264
2015-04-13,77.60000,78.66000,77.37000,78.08000,61.23900,0.19%,5781953
2015-04-14,78.00000,78.06000,77.44000,77.89000,61.09000,-0.24%,3989246
2015-04-15,78.00000,78.28500,77.71900,77.91000,61.10600,0.03%,3388771
2015-04-16,77.78000,77.98000,76.95000,77.02000,60.40800,-1.14%,4201189
2015-04-17,76.44000,77.30000,76.24400,76.49000,59.99200,-0.69%,5815537
2015-04-20,76.84000,77.40000,76.76000,77.14000,60.50200,0.85%,4248979
2015-04-21,77.49000,77.53000,76.92000,77.08000,60.45500,-0.08%,4265091
2015-04-22,77.40000,78.12000,77.06000,78.01000,61.18400,1.21%,4861137
2015-04-23,77.76000,78.97000,77.55000,78.50000,61.56800,0.63%,4701694
2015-04-24,78.48000,78.48000,77.58000,77.61000,60.87000,-1.13%,4662005
2015-04-27,78.06000,78.15000,75.93000,76.21000,59.77200,-1.80%,8739775
2015-04-28,75.41000,76.77000,74.42100,76.52000,60.01500,0.41%,7761696
2015-04-29,76.15000,76.53000,75.00000,75.69000,59.36400,-1.08%,5655316
2015-04-30,75.26000,75.63000,74.12000,74.45000,58.39200,-1.64%,6331538
2015-05-01,74.01000,75.68000,74.01000,75.60000,59.29400,1.54%,5883214
2015-05-04,76.00000,76.23000,75.73000,75.90000,59.52900,0.40%,3137321
2015-05-05,75.90000,76.15000,74.74000,74.91000,58.75300,-1.30%,3474895
2015-05-06,75.06000,75.25000,73.73000,74.32000,58.29000,-0.79%,4317146
2015-05-07,74.15000,74.81000,74.09000,74.60000,58.51000,0.38%,5003741
2015-05-08,75.25000,76.39000,75.25000,76.21000,59.77200,2.16%,3973165
2015-05-11,76.01000,76.44000,75.93000,76.02000,59.62300,-0.25%,3126526
2015-05-12,75.41000,75.68000,75.06000,75.20000,58.98000,-1.08%,3769988
2015-05-13,75.23000,75.54000,74.57000,74.86000,58.71400,-0.45%,3506507
2015-05-14,75.35000,76.56000,75.16000,76.26000,59.81200,1.87%,3877240
2015-05-15,76.32000,76.42000,75.99000,76.42000,59.93700,0.21%,4528358
2015-05-18,76.61000,77.75500,76.58000,77.47000,60.76100,1.37%,5406509
2015-05-19,77.85000,78.70000,77.71000,78.44000,61.52100,1.25%,6593636
2015-05-20,78.44000,79.08000,78.37000,78.79000,61.79600,0.45%,6868696
2015-05-21,78.68000,78.70000,78.29000,78.41000,61.49800,-0.48%,3537645
2015-05-22,78.27000,78.69000,77.80000,77.82000,61.03500,-0.75%,2965656
2015-05-26,77.39000,77.43000,76.36000,76.57000,60.05500,-1.61%,4505117
2015-05-27,77.43000,77.44000,76.47000,77.32000,60.64300,0.98%,3734874
2015-05-28,77.28000,77.84000,76.94000,77.21000,60.55700,-0.14%,4065912
2015-05-29,77.13000,77.38000,76.32000,76.32000,59.85900,-1.15%,7209418
2015-06-01,77.07000,77.65500,76.32000,76.70000,60.15700,0.50%,6528831
2015-06-02,76.48000,77.44000,76.01000,76.88000,60.29800,0.23%,7768376
2015-06-03,77.06000,77.28000,76.37000,76.83000,60.25900,-0.07%,6447084
2015-06-04,76.36000,76.83000,75.64000,76.04000,59.63900,-1.03%,8645611
2015-06-05,75.78000,75.99000,75.36000,75.46000,59.18400,-0.76%,6422999
2015-06-08,75.49000,75.81000,75.13000,75.14000,58.93300,-0.42%,6486657
2015-06-09,75.31000,75.40000,74.80000,74.92000,58.76100,-0.29%,6448893
2015-06-10,75.20000,76.34000,75.03000,76.16000,59.73300,1.66%,6276469
2015-06-11,76.40000,76.62000,76.08000,76.22000,59.78000,0.08%,5205400
2015-06-12,75.65000,75.97000,75.34000,75.52000,59.23100,-0.92%,5522827
2015-06-15,75.09000,75.70000,74.36000,75.42000,59.15300,-0.13%,5922267
2015-06-16,75.42000,75.75000,75.10200,75.60000,59.29400,0.24%,3727838
2015-06-17,75.56000,76.02000,75.35000,75.71000,59.38000,0.15%,4894138
2015-06-18,75.76000,76.94500,75.76000,76.72000,60.17200,1.33%,4598214
2015-06-19,76.98000,77.25000,76.59000,76.71000,60.16400,-0.01%,7450647
2015-06-22,77.25000,77.44500,76.92000,77.21000,60.55700,0.65%,3791640
2015-06-23,77.53000,77.57000,76.46000,76.61000,60.08600,-0.78%,5044571
2015-06-24,77.02000,77.02000,75.26000,75.27000,59.03500,-1.75%,4880944
2015-06-25,75.55000,76.49000,75.20000,75.48000,59.49800,0.28%,5506285
2015-06-26,75.79000,75.89000,74.97000,75.16000,59.24600,-0.42%,5995474
2015-06-29,74.38000,74.79000,73.24000,73.30000,57.77900,-2.47%,5106495
2015-06-30,74.19000,74.67000,73.66000,74.10000,58.41000,1.09%,7613254
2015-07-01,74.28000,74.71000,73.75000,74.08000,58.39400,-0.03%,5147176
2015-07-02,74.26000,74.35000,73.48000,73.81000,58.18100,-0.36%,4589462
2015-07-06,73.08000,73.98000,72.80000,73.53000,57.96100,-0.38%,6684351
2015-07-07,73.64000,73.80000,72.20100,73.46000,57.90600,-0.10%,7498759
2015-07-08,72.87000,73.54000,72.79000,72.85000,57.42500,-0.83%,5623757
2015-07-09,73.81000,74.20000,73.09000,73.09000,57.61400,0.33%,7005613
2015-07-10,74.09000,74.46000,73.88000,74.37000,58.62300,1.75%,6640789
2015-07-13,74.78000,75.48000,74.78000,75.17000,59.25300,1.08%,5796018
2015-07-14,75.38000,75.91000,75.21000,75.89000,59.82100,0.96%,5485955
2015-07-15,75.86000,76.16000,75.74000,75.95000,59.86800,0.08%,4601774
