Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,65.04000,65.63000,64.92000,65.29000,65.29000,0.46%,514142
2015-03-25,65.31000,66.60000,64.61000,64.62000,64.62000,-1.03%,735481
2015-03-26,64.24000,64.72000,63.30000,64.34000,64.34000,-0.43%,349509
2015-03-27,64.23000,65.44000,64.20000,65.36000,65.36000,1.59%,402033
2015-03-30,65.92000,66.64700,65.57000,66.30000,66.30000,1.44%,485625
2015-03-31,66.26000,67.58000,66.07000,67.29000,67.29000,1.49%,896876
2015-04-01,67.27000,67.43000,65.84000,66.31000,66.31000,-1.46%,1308284
2015-04-02,66.67000,67.71000,66.29800,67.23000,67.23000,1.39%,459479
2015-04-06,66.89000,67.70000,66.67000,67.50000,67.50000,0.40%,424265
2015-04-07,67.70000,67.99000,66.30000,66.53000,66.53000,-1.44%,295160
2015-04-08,66.34000,67.94000,66.09000,67.50000,67.50000,1.46%,791734
2015-04-09,67.28000,67.98000,66.17000,66.71000,66.71000,-1.17%,547653
2015-04-10,66.95000,67.04000,66.27000,66.66000,66.66000,-0.07%,363837
2015-04-13,67.11000,67.53000,66.38000,66.47000,66.47000,-0.29%,455073
2015-04-14,66.90000,66.90000,65.73000,66.35000,66.35000,-0.18%,673998
2015-04-15,66.75000,66.75500,63.75000,64.12000,64.12000,-3.36%,640988
2015-04-16,64.55000,65.15000,64.23000,64.70000,64.70000,0.90%,1044121
2015-04-17,64.16000,64.46200,62.53000,62.97000,62.97000,-2.67%,450010
2015-04-20,63.59000,63.92000,62.84000,62.92000,62.92000,-0.08%,563002
2015-04-21,63.31000,64.15000,63.28800,63.73000,63.73000,1.29%,316124
2015-04-22,63.89000,63.97000,62.28000,63.02000,63.02000,-1.11%,324961
2015-04-23,62.91000,63.99000,62.57000,63.98000,63.98000,1.52%,303574
2015-04-24,64.11000,64.12000,63.62100,63.85000,63.85000,-0.20%,269481
2015-04-27,63.86000,64.49000,61.77000,62.09000,62.09000,-2.76%,335440
2015-04-28,62.60000,63.17000,60.77000,62.92000,62.92000,1.34%,423305
2015-04-29,62.45000,62.48000,59.28000,59.67000,59.67000,-5.17%,890412
2015-04-30,59.56000,60.93000,58.80000,59.23000,59.23000,-0.74%,811047
2015-05-01,59.24000,60.08000,59.15000,59.55000,59.55000,0.54%,437359
2015-05-04,59.55000,60.41000,59.31000,59.80000,59.80000,0.42%,513182
2015-05-05,59.54000,59.87000,57.89000,58.25000,58.25000,-2.59%,764813
2015-05-06,58.80000,59.22000,57.35000,58.34000,58.34000,0.15%,853387
2015-05-07,58.44000,59.61000,57.86000,58.23000,58.23000,-0.19%,763089
2015-05-08,62.02000,66.04000,61.78000,65.12000,65.12000,11.83%,2511647
2015-05-11,65.11000,67.28000,65.11000,65.96000,65.96000,1.29%,944755
2015-05-12,65.64000,68.15000,65.52000,67.86000,67.86000,2.88%,1382009
2015-05-13,67.97000,69.19000,67.81000,68.17000,68.17000,0.46%,981182
2015-05-14,68.44000,69.43000,67.47000,69.17000,69.17000,1.47%,843447
2015-05-15,69.31000,69.75000,68.23000,69.25000,69.25000,0.12%,468146
2015-05-18,69.27000,69.95000,68.80000,69.36000,69.36000,0.16%,653698
2015-05-19,69.50000,71.34000,69.31000,70.12000,70.12000,1.10%,1699944
2015-05-20,70.55000,70.77000,70.00000,70.35000,70.35000,0.33%,601438
2015-05-21,70.35000,71.38000,70.20000,71.15000,71.15000,1.14%,697384
2015-05-22,71.10000,71.98000,70.59000,71.01000,71.01000,-0.20%,1085186
2015-05-26,71.05000,71.56000,70.26000,70.63000,70.63000,-0.54%,641839
2015-05-27,71.00000,72.19000,70.66000,71.61000,71.61000,1.39%,548705
2015-05-28,71.53000,72.07700,70.94000,71.71000,71.71000,0.14%,918144
2015-05-29,71.70000,73.98000,70.38000,72.74000,72.74000,1.44%,1342350
2015-06-01,72.84000,73.04900,71.34000,72.27000,72.27000,-0.65%,806882
2015-06-02,72.17000,72.35000,69.91000,70.35000,70.35000,-2.66%,964209
2015-06-03,70.39000,70.59000,68.25000,68.25000,68.25000,-2.99%,1967488
2015-06-04,67.28000,67.73000,65.84000,66.74000,66.74000,-2.21%,5141539
2015-06-05,66.59000,67.68000,66.59000,67.42000,67.42000,1.02%,1684737
2015-06-08,67.51000,67.98000,67.03000,67.43000,67.43000,0.01%,1128934
2015-06-09,67.20000,67.55000,65.74000,67.51000,67.51000,0.12%,1192227
2015-06-10,67.38000,68.29000,66.98500,68.20000,68.20000,1.02%,863535
2015-06-11,68.20000,68.88000,67.98500,68.72000,68.72000,0.76%,690313
2015-06-12,68.34000,68.73000,67.84000,67.98000,67.98000,-1.08%,853035
2015-06-15,67.91000,69.14000,67.34000,68.20000,68.20000,0.32%,837823
2015-06-16,68.35000,69.13000,68.11000,68.78000,68.78000,0.85%,763383
2015-06-17,69.35000,70.32900,68.29000,68.83000,68.83000,0.07%,1573299
2015-06-18,69.20000,69.46000,68.01000,68.18000,68.18000,-0.94%,642019
2015-06-19,68.31000,69.24000,68.00000,68.87000,68.87000,1.01%,835046
2015-06-22,69.79000,70.31000,69.41000,69.73000,69.73000,1.25%,930069
2015-06-23,69.98000,70.48000,69.53000,70.40000,70.40000,0.96%,670372
2015-06-24,70.00000,70.93000,69.86000,70.15000,70.15000,-0.36%,1115616
2015-06-25,70.22000,72.18000,69.95000,71.53000,71.53000,1.97%,882973
2015-06-26,71.88000,72.31000,70.15000,70.45000,70.45000,-1.51%,830782
2015-06-29,70.13000,71.38000,70.01000,70.09000,70.09000,-0.51%,631203
2015-06-30,70.76000,70.84000,69.74000,70.30000,70.30000,0.30%,6309044
2015-07-01,70.94000,71.59000,70.42500,71.30000,71.30000,1.42%,839440
2015-07-02,72.14000,72.26000,69.25000,69.36000,69.36000,-2.72%,1549962
2015-07-06,68.65000,70.71000,68.03000,70.70000,70.70000,1.93%,1266542
2015-07-07,70.75000,70.75000,67.25000,68.82000,68.82000,-2.66%,899410
2015-07-08,68.56000,68.79000,67.12000,67.53000,67.53000,-1.87%,639497
2015-07-09,68.42000,68.95000,67.83000,67.96000,67.96000,0.64%,490361
2015-07-10,68.74000,69.80000,68.27000,69.71000,69.71000,2.58%,790318
2015-07-13,70.36000,70.69000,69.44000,69.78000,69.78000,0.10%,557418
2015-07-14,69.91000,72.12000,69.90000,71.91000,71.91000,3.05%,814028
2015-07-15,72.25000,73.69000,72.00000,73.13000,73.13000,1.70%,1032228
2015-07-16,73.19000,73.28000,71.41000,72.71000,72.71000,-0.57%,1171568
2015-07-17,72.88000,73.63000,72.46000,73.43000,73.43000,0.99%,615550
2015-07-20,73.43000,73.44000,72.50000,72.98000,72.98000,-0.61%,442845
2015-07-21,72.80000,73.03000,70.95000,72.56000,72.56000,-0.58%,661966
2015-07-22,72.30000,72.80600,71.67000,72.42000,72.42000,-0.19%,524789
2015-07-23,72.98000,73.00000,71.21000,71.34000,71.34000,-1.49%,460702
2015-07-24,70.96000,71.23000,68.83000,69.31000,69.31000,-2.85%,580805
2015-07-27,69.28000,69.45600,67.88000,68.42000,68.42000,-1.28%,629514
2015-07-28,68.86000,69.12000,66.89500,68.57000,68.57000,0.22%,678983
2015-07-29,69.05000,69.21000,67.82000,68.83000,68.83000,0.38%,545272
2015-07-30,68.56000,68.88000,67.28000,68.00000,68.00000,-1.21%,749773
2015-07-31,72.57000,76.97000,72.57000,75.43000,75.43000,10.93%,4000740
2015-08-03,75.71000,77.29500,75.10000,76.61000,76.61000,1.56%,1306040
2015-08-04,77.00000,77.26000,74.80000,75.40000,75.40000,-1.58%,636991
2015-08-05,75.95000,78.48000,75.78000,77.24000,77.24000,2.44%,1316680
2015-08-06,77.55000,77.73300,75.80000,76.32000,76.32000,-1.19%,902794
2015-08-07,75.94000,75.95000,73.99000,75.64000,75.64000,-0.89%,739230
2015-08-10,76.02000,77.04000,75.57000,76.56000,76.56000,1.22%,537935
2015-08-11,75.89000,76.74000,75.59000,76.23000,76.23000,-0.43%,640370
2015-08-12,75.48000,75.61000,73.45000,75.45000,75.45000,-1.02%,538430
2015-08-13,75.85000,78.19000,75.37000,77.34000,77.34000,2.50%,990432
2015-08-14,77.11000,78.41000,76.55000,78.19000,78.19000,1.10%,729855
2015-08-17,78.00000,82.13000,77.59000,81.50000,81.50000,4.23%,1513725
2015-08-18,80.92000,82.37000,80.16000,80.37000,80.37000,-1.39%,679332
2015-08-19,79.95000,80.33000,78.36000,79.20000,79.20000,-1.46%,1519871
2015-08-20,78.60000,78.89000,74.82000,75.13000,75.13000,-5.14%,1348624
