Date,Open,High,Low,Close,Adj. Close,Change,Volume
2018-12-10,18.90000,19.43900,18.00000,18.80000,18.80000,1.08%,4233345
2018-12-11,20.55000,20.66000,17.99000,18.01000,18.01000,-4.20%,3435271
2018-12-12,18.55000,19.48000,18.02000,18.68000,18.68000,3.72%,2590873
2018-12-13,19.25000,19.29000,18.68000,18.76000,18.76000,0.43%,1608629
2018-12-14,18.75000,18.88100,18.25000,18.32000,18.32000,-2.35%,746412
2018-12-17,18.33000,18.47000,16.90000,17.00000,17.00000,-7.21%,1581242
2018-12-18,17.10000,17.25000,16.25000,17.00000,17.00000,,1621904
2018-12-19,16.86000,17.37000,16.00000,16.18000,16.18000,-4.82%,941528
2018-12-20,16.00000,16.14000,14.75000,15.50000,15.50000,-4.20%,2365203
2018-12-21,15.40000,15.50000,13.95000,14.47000,14.47000,-6.65%,2063235
2018-12-24,14.32000,14.32000,13.75000,14.03000,14.03000,-3.04%,665427
2018-12-26,14.15000,14.31000,13.03000,13.52000,13.52000,-3.64%,1817977
2018-12-27,13.49000,14.95000,13.27000,14.65000,14.65000,8.36%,1769545
2018-12-28,14.72000,14.85000,13.81800,14.15000,14.15000,-3.41%,929098
2018-12-31,14.24000,15.30000,14.21300,15.27000,15.27000,7.92%,994726
2019-01-02,14.93000,15.45000,14.51000,15.33000,15.33000,0.39%,2318094
2019-01-03,15.49000,16.08000,15.20000,15.50000,15.50000,1.11%,1588921
2019-01-04,16.00000,17.50000,15.89400,16.96000,16.96000,9.42%,1652033
2019-01-07,17.54000,17.94000,16.18000,16.27000,16.27000,-4.07%,1585442
2019-01-08,17.35000,17.46800,16.05000,16.95000,16.95000,4.18%,1892977
2019-01-09,17.20000,17.25000,16.15000,16.33000,16.33000,-3.66%,1187350
2019-01-10,16.36000,16.51000,16.00000,16.48000,16.48000,0.92%,487284
2019-01-11,16.60000,17.06000,16.53000,17.00000,17.00000,3.16%,580570
2019-01-14,17.00000,17.06000,16.72000,16.74000,16.74000,-1.53%,612922
2019-01-15,17.00000,17.00000,16.41000,16.59000,16.59000,-0.90%,468080
2019-01-16,16.80000,16.95000,16.26000,16.26000,16.26000,-1.99%,272804
2019-01-17,16.05000,16.53000,16.05000,16.31000,16.31000,0.31%,315678
2019-01-18,16.46000,16.80000,16.25000,16.69000,16.69000,2.33%,629965
2019-01-22,16.62000,16.63500,15.35000,15.56000,15.56000,-6.77%,637008
2019-01-23,15.59000,15.92000,14.76000,14.79000,14.79000,-4.95%,652602
2019-01-24,14.90000,15.19500,14.64000,14.64000,14.64000,-1.01%,452909
