Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,33.15000,33.20700,32.73200,32.75100,21.88500,-1.51%,34943202
2015-03-25,32.83700,33.20700,32.51400,32.54300,21.74500,-0.64%,30782745
2015-03-26,32.36200,32.63300,32.21100,32.41000,21.65600,-0.41%,26167479
2015-03-27,32.67600,32.82300,32.47600,32.76100,21.89100,1.08%,24073255
2015-03-30,32.82700,33.41600,32.78000,33.20700,22.18900,1.36%,26890050
2015-03-31,33.10200,33.33000,32.97900,33.00800,22.05600,-0.60%,27937971
2015-04-01,33.05500,33.05500,32.36200,32.57100,21.76400,-1.32%,33984062
2015-04-02,32.65700,32.85600,32.46200,32.61900,21.79600,0.15%,26467887
2015-04-06,32.65700,33.02700,32.47600,32.71300,21.85900,0.29%,22640410
2015-04-07,32.85600,33.10200,32.74200,32.77000,21.89700,0.17%,15105113
2015-04-08,32.74200,33.05000,32.65700,32.86500,21.96100,0.29%,24215097
2015-04-09,32.86500,33.26400,32.61400,33.23500,22.20800,1.13%,30864327
2015-04-10,33.13100,33.65300,33.10700,33.62400,22.46800,1.17%,25668775
2015-04-13,33.53900,33.71000,33.21600,33.29200,22.24600,-0.99%,36155565
2015-04-14,33.25400,33.50100,33.12100,33.23500,22.20800,-0.17%,16844690
2015-04-15,33.58600,33.65300,33.32100,33.40600,22.32200,0.51%,31173231
2015-04-16,33.27300,33.48200,33.22600,33.38700,22.30900,-0.06%,20637789
2015-04-17,33.20700,33.27300,32.99800,33.24500,22.21400,-0.43%,30265602
2015-04-20,33.24500,33.43500,33.15000,33.21600,22.19500,-0.09%,23612516
2015-04-21,33.30200,33.58600,33.01700,33.10200,22.11900,-0.34%,23256943
2015-04-22,33.03600,33.29200,33.01700,33.14000,22.14500,0.11%,15335449
2015-04-23,33.10200,33.58600,33.03600,33.54800,22.41700,1.23%,23931962
2015-04-24,33.39700,33.58200,33.25400,33.46300,22.36000,-0.25%,24032589
2015-04-27,33.52900,33.64300,32.65700,32.81800,21.92900,-1.93%,44775857
2015-04-28,32.96000,33.09300,32.40000,32.71300,21.85900,-0.32%,48659595
2015-04-29,32.41900,32.69400,32.21100,32.53300,21.73900,-0.55%,39572812
2015-04-30,32.36200,32.47200,31.98300,32.19200,21.51100,-1.05%,29205430
2015-05-01,32.12500,32.45700,32.12500,32.33400,21.60600,0.44%,22706703
2015-05-04,32.36200,32.73700,32.30600,32.56200,21.75800,0.71%,24829960
2015-05-05,32.60900,32.66600,32.26800,32.37200,21.63100,-0.58%,23590794
2015-05-06,32.02100,32.16300,31.50900,31.74600,21.39000,-1.93%,28309892
2015-05-07,31.72700,32.02100,31.61800,31.86000,21.46700,0.36%,22669915
2015-05-08,32.07800,32.40000,32.06800,32.27700,21.74800,1.31%,21513990
2015-05-11,32.34300,32.50500,32.20100,32.22000,21.71000,-0.18%,27898862
2015-05-12,32.07800,32.22000,31.99200,32.04900,21.59500,-0.53%,18855920
2015-05-13,32.04000,32.06800,31.76000,31.81200,21.43500,-0.74%,25045669
2015-05-14,31.98300,32.24900,31.93500,32.20100,21.69700,1.22%,18860631
2015-05-15,32.25800,32.31500,32.18200,32.24900,21.72900,0.15%,17798330
2015-05-18,32.23900,32.31500,32.16300,32.23900,21.72300,-0.03%,25948595
2015-05-19,32.13500,32.62800,32.10600,32.45700,21.87000,0.68%,21980861
2015-05-20,32.54300,32.72300,32.51400,32.54300,21.92700,0.26%,16144001
2015-05-21,32.47600,32.72300,32.45700,32.60000,21.96500,0.18%,19090230
2015-05-22,32.56200,32.72300,32.47600,32.52400,21.91400,-0.23%,13674071
2015-05-26,32.42900,32.58100,32.28700,32.36200,21.80600,-0.50%,19880946
2015-05-27,32.45700,32.70400,32.32400,32.54300,21.92700,0.56%,23231651
2015-05-28,32.69400,32.76100,32.51400,32.67600,22.01700,0.41%,16671368
2015-05-29,32.71300,33.19700,32.64700,32.97000,22.21500,0.90%,52787356
2015-06-01,32.98900,33.13100,32.76100,32.78900,22.09300,-0.55%,29039431
2015-06-02,32.86500,32.88400,32.59000,32.72300,22.04900,-0.20%,19674219
2015-06-03,32.78000,32.88400,32.52400,32.64700,21.99700,-0.23%,18130084
2015-06-04,32.44800,32.78900,32.36200,32.48600,21.88900,-0.49%,21774706
2015-06-05,32.43800,32.52400,32.19200,32.34300,21.79300,-0.44%,24313441
2015-06-08,32.23000,32.40500,32.18200,32.23900,21.72300,-0.32%,18624459
2015-06-09,32.30600,32.38100,32.15400,32.26800,21.74200,0.09%,24464487
2015-06-10,32.33400,32.66600,32.30000,32.55200,21.93300,0.88%,24952396
2015-06-11,32.56200,32.79900,32.50500,32.69400,22.02900,0.44%,21243871
2015-06-12,32.54300,32.69400,32.35300,32.45700,21.87000,-0.72%,22856550
2015-06-15,32.31500,32.37200,32.12500,32.29600,21.76100,-0.50%,22064011
2015-06-16,32.31500,32.35300,32.07800,32.29600,21.76100,,21784986
2015-06-17,32.30600,32.42900,32.11600,32.23900,21.72300,-0.18%,22127185
2015-06-18,32.33400,32.74200,32.30600,32.60900,21.97200,1.15%,25834141
2015-06-19,32.47600,32.73700,32.42900,32.42900,21.85000,-0.55%,30386101
2015-06-22,32.58100,32.73200,32.52400,32.55200,21.93300,0.38%,14799008
2015-06-23,32.64700,32.81800,32.58100,32.73200,22.05500,0.55%,19448842
2015-06-24,32.58100,32.75100,32.47600,32.47600,21.88200,-0.78%,24326614
2015-06-25,32.45700,32.58100,32.17700,32.27700,21.74800,-0.61%,24267832
2015-06-26,32.41900,32.53300,32.13500,32.18200,21.68400,-0.29%,37595957
2015-06-29,32.00200,32.36700,31.81700,31.86900,21.47300,-0.97%,30396432
2015-06-30,32.05900,32.05900,31.62200,31.81200,21.43500,-0.18%,36909718
2015-07-01,31.84100,32.12500,31.69800,31.96400,21.53700,0.48%,29742321
2015-07-02,32.01100,32.67600,31.64100,31.66000,21.33300,-0.95%,23849065
2015-07-06,31.59400,31.91700,31.38500,31.54600,21.25600,-0.36%,22125975
2015-07-07,31.63200,32.10400,31.44700,32.00200,21.56300,1.45%,27248838
2015-07-08,31.83100,32.00200,31.67900,31.73600,21.38400,-0.83%,21301186
2015-07-09,32.11600,32.23400,32.00200,32.12500,21.64600,1.23%,23306053
2015-07-10,32.48600,32.67600,32.40000,32.60000,21.96500,1.48%,22288279
2015-07-13,32.75100,33.06500,32.72300,33.03600,22.25900,1.34%,19210442
2015-07-14,32.97900,33.34900,32.93200,33.28300,22.42600,0.75%,19495286
2015-07-15,33.22600,33.31600,33.11700,33.18800,22.36200,-0.29%,20517329
2015-07-16,33.34000,33.39700,33.23500,33.30200,22.43800,0.34%,16138618
2015-07-17,33.21600,33.28300,33.12600,33.27300,22.41900,-0.09%,17681504
2015-07-20,33.33000,33.55800,33.28300,33.43500,22.52800,0.49%,15569874
