Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,33.65000,34.15000,33.65000,34.00000,34.00000,1.01%,357700
2015-03-25,34.10000,34.10000,32.72000,32.80000,32.80000,-3.53%,446800
2015-03-26,32.61000,32.66000,31.94000,32.44000,32.44000,-1.10%,374000
2015-03-27,32.46000,33.47000,32.39000,33.35000,33.35000,2.81%,325800
2015-03-30,33.49000,34.42000,33.42000,34.28000,34.28000,2.79%,430400
2015-03-31,33.84000,34.16000,32.84500,33.35000,33.35000,-2.71%,1214500
2015-04-01,33.16000,33.40000,31.49400,31.85000,31.85000,-4.50%,864100
2015-04-02,31.98000,31.98000,30.13000,30.62000,30.62000,-3.86%,1159500
2015-04-06,30.31000,31.37000,30.28000,30.42000,30.42000,-0.65%,745000
2015-04-07,30.48000,30.95000,30.27000,30.35000,30.35000,-0.23%,406700
2015-04-08,30.11000,31.01000,29.94000,30.32000,30.32000,-0.10%,643500
2015-04-09,30.35000,30.36000,29.50000,30.00000,30.00000,-1.06%,1778300
2015-04-10,30.24000,31.25000,30.19000,30.49000,30.49000,1.63%,1417400
2015-04-13,30.39000,31.43000,30.33000,30.67000,30.67000,0.59%,515000
2015-04-14,30.40000,30.61000,29.73000,29.97000,29.97000,-2.28%,810800
2015-04-15,30.51000,30.87000,29.96000,30.06000,30.06000,0.30%,1002500
2015-04-16,30.01000,30.35000,29.64000,29.99000,29.99000,-0.23%,732300
2015-04-17,29.82000,30.04000,29.42000,29.75000,29.75000,-0.80%,764900
2015-04-20,30.01000,30.84000,30.01000,30.80000,30.80000,3.53%,607300
2015-04-21,30.94000,31.55000,30.88000,30.99000,30.99000,0.62%,625200
2015-04-22,31.08000,31.53000,30.58000,30.79000,30.79000,-0.65%,506200
2015-04-23,30.75000,30.92000,30.37000,30.61000,30.61000,-0.58%,433500
2015-04-24,30.68000,30.97000,30.24000,30.72000,30.72000,0.36%,309100
2015-04-27,30.85000,31.19000,30.22000,30.63000,30.63000,-0.29%,760600
2015-04-28,30.66000,31.45000,29.88000,31.37000,31.37000,2.42%,1167200
2015-04-29,31.06000,31.21000,30.29000,30.30000,30.30000,-3.41%,520900
2015-04-30,30.07000,30.39000,29.64000,29.85000,29.85000,-1.49%,1417000
2015-05-01,26.00000,27.00000,24.95000,26.97000,26.97000,-9.65%,4965000
2015-05-04,28.35000,28.80000,26.86000,27.25000,27.25000,1.04%,1684700
2015-05-05,26.99000,27.29000,26.11000,26.41000,26.41000,-3.08%,682100
2015-05-06,26.41000,26.69000,25.53100,26.23000,26.23000,-0.68%,617200
2015-05-07,26.73000,27.14000,26.37000,26.69000,26.69000,1.75%,612700
2015-05-08,26.90000,27.28000,26.53000,27.16000,27.16000,1.76%,561700
2015-05-11,27.21000,27.52000,26.16000,26.29500,26.29500,-3.18%,737100
2015-05-12,26.09000,26.89000,25.50000,26.65000,26.65000,1.35%,737400
2015-05-13,26.97000,27.37000,26.72000,27.37000,27.37000,2.70%,800300
2015-05-14,27.33000,27.39000,26.88000,27.25000,27.25000,-0.44%,563500
2015-05-15,27.30000,27.30000,26.87000,27.01000,27.01000,-0.88%,480100
2015-05-18,26.99000,27.89000,26.79000,27.85000,27.85000,3.11%,1148700
2015-05-19,27.99000,28.61000,27.36000,28.55000,28.55000,2.51%,1091100
2015-05-20,28.45000,28.77000,27.88000,28.63000,28.63000,0.28%,907600
2015-05-21,28.60000,28.61000,27.85000,28.52000,28.52000,-0.38%,812800
2015-05-22,28.46000,28.59000,27.83000,28.11500,28.11500,-1.42%,445300
2015-05-26,27.94000,28.06000,27.24500,27.71000,27.71000,-1.44%,616500
2015-05-27,27.75000,28.24000,27.52000,28.06000,28.06000,1.26%,311600
2015-05-28,28.08000,28.40000,27.22000,27.35000,27.35000,-2.53%,933200
2015-05-29,29.05000,29.05000,27.96000,28.27000,28.27000,3.36%,870500
2015-06-01,28.30000,29.15000,27.85000,29.02000,29.02000,2.65%,654800
2015-06-02,28.79000,29.50000,28.65000,29.13000,29.13000,0.38%,469300
2015-06-03,29.17000,29.53000,28.91000,29.34000,29.34000,0.72%,444700
2015-06-04,29.08000,29.32000,28.77000,29.27000,29.27000,-0.24%,525600
2015-06-05,29.14000,29.65000,29.03000,29.51000,29.51000,0.82%,497100
2015-06-08,29.60000,30.17000,29.53000,30.01000,30.01000,1.69%,443900
2015-06-09,30.11000,30.16800,29.39000,29.82000,29.82000,-0.63%,1163500
2015-06-10,30.07000,30.44000,29.53000,30.25000,30.25000,1.44%,1133700
2015-06-11,29.99000,30.44000,29.60000,30.32000,30.32000,0.23%,384300
2015-06-12,30.23000,30.35000,29.73000,29.91000,29.91000,-1.35%,456500
2015-06-15,29.79000,30.25000,29.17000,30.10000,30.10000,0.64%,811900
2015-06-16,30.03000,30.60000,29.67000,30.23000,30.23000,0.43%,714800
2015-06-17,30.25000,30.76000,30.22400,30.48000,30.48000,0.83%,505800
2015-06-18,30.61000,31.48000,30.49000,31.31000,31.31000,2.72%,1217900
2015-06-19,31.40000,31.50000,30.97000,31.09000,31.09000,-0.70%,520900
2015-06-22,31.29000,31.45000,30.98000,31.12000,31.12000,0.10%,565200
2015-06-23,31.01000,31.30000,30.85500,31.04000,31.04000,-0.26%,551500
