Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,93.57000,94.33000,93.36000,93.42000,83.08100,-0.31%,961115
2015-03-25,93.52000,94.24000,92.21000,92.29000,82.07600,-1.21%,1190188
2015-03-26,91.90000,92.22500,91.29000,91.53000,81.40000,-0.82%,1049713
2015-03-27,91.26000,92.73000,91.26000,92.56000,82.62300,1.13%,1229695
2015-03-30,93.12000,93.86000,92.81000,93.55000,83.50600,1.07%,1016592
2015-03-31,92.87000,93.58000,92.25000,92.25000,82.34600,-1.39%,1199545
2015-04-01,92.46000,92.58000,90.63000,91.18000,81.39100,-1.16%,2006155
2015-04-02,90.22000,91.87000,90.19000,91.12000,81.33700,-0.07%,1043153
2015-04-06,90.45000,92.18000,90.36000,91.76000,81.90900,0.70%,1152611
2015-04-07,91.94000,92.39000,91.46000,91.48000,81.65900,-0.31%,1038870
2015-04-08,91.68000,92.34000,91.41000,92.02000,82.14100,0.59%,1093376
2015-04-09,91.79000,93.11000,91.61000,93.07000,83.07800,1.14%,1380151
2015-04-10,92.92000,94.06000,92.92000,93.74000,83.67600,0.72%,1102708
2015-04-13,93.36000,93.97000,92.95000,93.10000,83.10500,-0.68%,1334885
2015-04-14,92.90000,93.28000,91.90000,92.54000,82.60500,-0.60%,1478116
2015-04-15,92.58000,92.97000,92.10000,92.29000,82.38200,-0.27%,752132
2015-04-16,92.15000,92.39400,91.78000,92.18000,82.28300,-0.12%,877039
2015-04-17,91.54000,92.79000,91.17000,92.50000,82.56900,0.35%,2042376
2015-04-20,93.00000,93.54000,92.73000,93.35000,83.32800,0.92%,1345311
2015-04-21,94.00000,94.81000,93.73000,94.71000,84.54200,1.46%,1959478
2015-04-22,95.00000,97.30000,95.00000,96.45000,86.09500,1.84%,2463636
2015-04-23,96.45000,97.42000,96.20000,97.18000,86.74700,0.76%,1620228
2015-04-24,96.77000,97.16000,96.47000,96.90000,86.49700,-0.29%,1284524
2015-04-27,97.44000,97.44000,94.50000,94.63000,84.47000,-2.34%,1841082
2015-04-28,94.62000,95.41000,93.55000,95.10000,84.89000,0.50%,1619112
2015-04-29,94.95000,94.95000,93.18000,94.32000,84.19400,-0.82%,1259970
2015-04-30,93.60000,93.99000,91.77500,92.24000,82.33700,-2.21%,1923519
2015-05-01,92.81000,93.45000,92.48000,93.40000,83.37300,1.26%,1275719
2015-05-04,93.65000,94.15000,93.46000,93.63000,83.57800,0.25%,1044971
2015-05-05,93.21000,93.55000,92.47000,92.90000,82.92600,-0.78%,1028689
2015-05-06,93.37000,93.47000,92.13000,92.56000,82.62300,-0.37%,984850
2015-05-07,92.37000,93.28000,92.37000,92.61000,82.66700,0.05%,801515
2015-05-08,93.77000,94.80000,93.49000,94.56000,84.40800,2.11%,1258527
2015-05-11,94.59000,94.88000,94.20000,94.36000,84.22900,-0.21%,741510
2015-05-12,93.98000,94.14000,93.04000,93.08000,83.08700,-1.36%,1098264
2015-05-13,93.15000,93.81000,92.71000,92.91000,82.93500,-0.18%,821373
2015-05-14,93.66000,95.34000,93.34000,95.26000,85.03300,2.53%,1319703
2015-05-15,95.23000,95.68000,95.00000,95.51000,85.25600,0.26%,1260927
2015-05-18,95.69000,96.89000,95.53100,96.59000,86.22000,1.13%,995748
2015-05-19,96.48000,96.96000,96.16000,96.68000,86.30000,0.09%,1025994
2015-05-20,96.67000,97.57000,96.67000,96.78000,86.39000,0.10%,983818
2015-05-21,96.65000,96.84000,96.13000,96.40000,86.05000,-0.39%,744305
2015-05-22,96.19000,96.71000,95.79000,96.44000,86.08600,0.04%,1268718
2015-05-26,96.37000,96.37000,95.30000,95.53000,85.27400,-0.94%,1164382
2015-05-27,96.00000,96.79000,95.55100,96.59000,86.22000,1.11%,889481
2015-05-28,96.46000,96.94000,95.83000,96.24000,85.90800,-0.36%,862552
2015-05-29,96.15000,97.12000,95.73000,96.13000,85.80900,-0.11%,1330016
2015-06-01,96.67000,96.84000,95.44000,96.12000,85.80000,-0.01%,831414
2015-06-02,95.75000,96.63600,95.13900,96.11000,85.79200,-0.01%,776937
2015-06-03,96.45000,96.45000,95.61000,96.04000,85.72900,-0.07%,604992
2015-06-04,95.77000,95.97000,94.73000,95.04000,84.83600,-1.04%,968026
2015-06-05,95.04000,95.38000,94.49000,95.20000,84.97900,0.17%,782969
2015-06-08,94.96000,95.46200,94.60000,94.62000,84.46200,-0.61%,610650
2015-06-09,94.47000,94.74000,93.95000,94.16000,84.05100,-0.49%,757143
2015-06-10,94.50000,96.11000,94.16000,96.01000,85.70200,1.96%,1194562
2015-06-11,96.12000,96.85000,95.87000,96.54000,86.17500,0.55%,798484
2015-06-12,96.11000,96.48500,95.53000,95.67000,85.39900,-0.90%,629206
2015-06-15,95.05000,95.17000,93.90000,94.67000,84.50600,-1.05%,1187631
2015-06-16,94.57000,95.31000,94.37000,95.16000,84.94400,0.52%,720320
2015-06-17,95.34000,95.49500,94.57000,95.10000,84.89000,-0.06%,686146
2015-06-18,95.41000,97.33000,95.37000,97.15000,86.72000,2.16%,1081593
