Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,25.18800,25.29000,25.04800,25.15000,23.42600,-0.11%,1057396
2015-03-25,25.12500,25.14000,24.56300,24.68800,22.99500,-1.84%,883748
2015-03-26,24.45800,24.70800,24.15800,24.61800,22.93000,-0.28%,794232
2015-03-27,24.57500,24.88500,24.40000,24.76000,23.06300,0.58%,743228
2015-03-30,24.95300,25.21300,24.83800,25.16000,23.43500,1.62%,626112
2015-03-31,25.09800,25.25200,24.96000,25.07300,23.35400,-0.35%,517460
2015-04-01,25.07000,25.07000,24.48000,24.98800,23.27400,-0.34%,970288
2015-04-02,25.13500,25.35000,24.58500,24.63000,22.94200,-1.43%,1250008
2015-04-06,24.60500,25.14500,24.54300,25.10300,23.38200,1.92%,2499460
2015-04-07,25.06300,25.56500,24.62500,24.72500,23.03000,-1.51%,1042964
2015-04-08,24.78800,24.98300,24.57300,24.87800,23.17200,0.62%,716408
2015-04-09,24.78800,24.98000,24.63800,24.95800,23.24700,0.32%,445800
2015-04-10,24.94500,25.09000,24.78000,24.99800,23.28400,0.16%,524444
2015-04-13,25.00000,25.18500,24.82800,25.01800,23.30200,0.08%,579720
2015-04-14,25.00000,25.14000,24.79900,24.99000,23.27700,-0.11%,506036
2015-04-15,25.06300,25.35800,24.74000,25.03500,23.31900,0.18%,868696
2015-04-16,25.05500,25.31800,24.83000,25.21500,23.48600,0.72%,956008
2015-04-17,25.09500,25.50900,24.88800,25.25800,23.52600,0.17%,1453904
2015-04-20,25.35000,25.53800,25.10800,25.43800,23.69400,0.71%,1276756
2015-04-21,25.55300,25.71300,25.32800,25.44500,23.70100,0.03%,1091028
2015-04-22,25.53500,25.59000,25.25500,25.46500,23.71900,0.08%,653960
2015-04-23,25.46800,25.70500,25.09400,25.68300,23.92200,0.86%,683148
2015-04-24,25.75000,25.75000,25.18300,25.21300,23.48400,-1.83%,544244
2015-04-27,25.35000,25.44800,24.42100,24.65300,22.96200,-2.22%,696996
2015-04-28,24.69000,24.89300,24.02300,24.67500,22.98300,0.09%,702992
2015-04-29,24.67800,24.97300,24.45800,24.60000,22.91400,-0.30%,611460
2015-04-30,24.56800,24.75300,23.88800,23.99000,22.34500,-2.48%,822876
2015-05-01,24.14300,24.38500,24.04000,24.18300,22.52500,0.80%,793140
2015-05-04,24.22000,24.53000,24.05000,24.21300,22.55300,0.12%,741952
2015-05-05,24.21300,24.73100,23.87500,24.37300,22.70200,0.66%,1246444
2015-05-06,24.40000,24.62300,23.84300,24.58800,22.90200,0.88%,755748
2015-05-07,24.44800,24.71500,24.28500,24.44800,22.77200,-0.57%,542904
2015-05-08,24.64800,24.86300,24.36300,24.64300,22.95300,0.80%,348100
2015-05-11,24.65300,24.69800,24.42500,24.56800,22.88300,-0.30%,442988
