Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,123.59000,124.47000,122.75000,123.14000,123.14000,-0.57%,357533
2015-03-25,123.07000,123.96000,121.46000,121.54000,121.54000,-1.30%,299033
2015-03-26,120.84000,122.29000,120.62000,121.85000,121.85000,0.26%,328217
2015-03-27,122.27000,124.28000,121.78000,124.11000,124.11000,1.85%,346782
2015-03-30,124.64000,125.47000,124.03000,124.94000,124.94000,0.67%,264056
2015-03-31,124.48000,125.86000,124.20000,124.32000,124.32000,-0.50%,300431
2015-04-01,124.02000,124.48000,121.80000,123.47000,123.47000,-0.68%,417493
2015-04-02,123.64000,124.94000,122.96500,124.20000,124.20000,0.59%,338651
2015-04-06,123.57000,126.17000,122.93000,125.63000,125.63000,1.15%,255297
2015-04-07,125.92000,126.61000,124.82000,124.94000,124.94000,-0.55%,262674
2015-04-08,124.90000,126.22000,124.20000,124.92000,124.92000,-0.02%,280101
2015-04-09,125.03000,125.88000,124.61000,125.43000,125.43000,0.41%,344173
2015-04-10,125.75000,126.74000,125.11000,125.77000,125.77000,0.27%,332594
2015-04-13,125.67000,126.04000,124.60000,124.75000,124.75000,-0.81%,309554
2015-04-14,125.00000,125.02000,124.32000,124.56000,124.56000,-0.15%,329805
2015-04-15,125.19000,125.41000,124.07000,124.58000,124.58000,0.02%,289843
2015-04-16,124.12000,125.50000,123.88000,124.94000,124.94000,0.29%,534895
2015-04-17,124.10000,124.94000,123.31000,124.41000,124.41000,-0.42%,472580
2015-04-20,124.94000,125.21000,123.98000,124.02000,124.02000,-0.31%,316141
2015-04-21,124.40000,124.45000,123.48000,124.16000,124.16000,0.11%,393354
2015-04-22,123.68000,124.89000,123.68000,124.08000,124.08000,-0.06%,477385
2015-04-23,123.87000,124.80000,123.38000,124.35000,124.35000,0.22%,357998
2015-04-24,124.25000,124.78400,122.88000,123.54000,123.54000,-0.65%,411044
2015-04-27,123.90000,124.37000,120.79000,122.00000,122.00000,-1.25%,547272
2015-04-28,127.19000,129.41000,122.17000,125.59000,125.59000,2.94%,1012431
2015-04-29,125.55000,126.56000,124.44000,125.45000,125.45000,-0.11%,343485
2015-04-30,124.64000,127.00000,124.18000,125.19000,125.19000,-0.21%,684013
2015-05-01,125.99000,127.08000,125.34000,126.59000,126.59000,1.12%,301864
2015-05-04,126.83000,128.29000,126.48000,127.02000,127.02000,0.34%,274178
2015-05-05,126.58000,127.99000,126.02000,127.69000,127.69000,0.53%,570757
2015-05-06,128.03000,128.52000,127.23500,127.39000,127.39000,-0.23%,595300
2015-05-07,127.23000,128.39000,126.67000,128.06000,128.06000,0.53%,327395
2015-05-08,128.95000,131.34000,128.78500,130.40000,130.40000,1.83%,918540
2015-05-11,130.40000,131.51000,130.00000,131.20000,131.20000,0.61%,640561
2015-05-12,131.04000,131.35000,130.02000,130.82000,130.82000,-0.29%,751342
2015-05-13,130.89000,131.46000,129.46000,129.79000,129.79000,-0.79%,592122
2015-05-14,130.65000,131.12000,129.46000,130.01000,130.01000,0.17%,884184
2015-05-15,130.58000,131.26300,130.24000,130.57000,130.57000,0.43%,698567
2015-05-18,130.70000,131.68000,130.48000,131.49000,131.49000,0.70%,272362
2015-05-19,131.62000,133.91000,131.20000,133.19000,133.19000,1.29%,469836
2015-05-20,133.07000,135.90000,132.91000,134.76000,134.76000,1.18%,595927
2015-05-21,134.93000,135.00000,133.56200,133.84000,133.84000,-0.68%,378244
2015-05-22,133.66000,134.05000,133.16000,133.29000,133.29000,-0.41%,284569
2015-05-26,133.10000,133.33000,132.44000,132.69000,132.69000,-0.45%,380100
2015-05-27,133.27000,134.84000,132.55000,134.72000,134.72000,1.53%,483293
2015-05-28,134.69000,135.03000,133.53000,134.57000,134.57000,-0.11%,357257
2015-05-29,134.58000,134.81000,133.12000,133.62000,133.62000,-0.71%,546517
2015-06-01,134.04000,134.61000,133.17000,133.82000,133.82000,0.15%,325917
2015-06-02,133.48000,135.02000,132.98500,134.09000,134.09000,0.20%,503842
2015-06-03,134.23000,134.72000,133.70000,134.67000,134.67000,0.43%,566265
2015-06-04,134.49000,134.71000,133.60000,133.86000,133.86000,-0.60%,309642
2015-06-05,133.65000,133.95000,132.32000,133.40000,133.40000,-0.34%,369670
2015-06-08,133.14000,133.90000,132.83000,133.22000,133.22000,-0.13%,268641
2015-06-09,132.99000,133.99000,132.38000,133.43000,133.43000,0.16%,271374
2015-06-10,133.84000,134.99000,133.26000,134.82000,134.82000,1.04%,611750
2015-06-11,134.97000,134.98000,133.73000,134.64000,134.64000,-0.13%,345563
2015-06-12,134.27000,134.61000,133.28000,133.94000,133.94000,-0.52%,252583
2015-06-15,133.44000,133.44000,131.33000,132.99000,132.99000,-0.71%,413694
2015-06-16,132.99000,134.75000,132.94000,134.23000,134.23000,0.93%,348890
2015-06-17,134.47000,134.96500,133.42000,134.37000,134.37000,0.10%,307822
2015-06-18,134.79000,137.08000,134.04000,136.50000,136.50000,1.59%,488832
2015-06-19,136.39000,136.99000,136.03000,136.40000,136.40000,-0.07%,889080
2015-06-22,136.92000,137.39000,136.22000,136.36000,136.36000,-0.03%,231423
2015-06-23,136.69000,136.89000,134.82500,135.23000,135.23000,-0.83%,387195
2015-06-24,135.01000,135.52000,133.79000,134.22000,134.22000,-0.75%,280595
2015-06-25,132.72000,132.72000,128.42000,130.22000,130.22000,-2.98%,1532232
2015-06-26,130.85000,131.56000,130.27000,130.78000,130.78000,0.43%,556146
2015-06-29,130.08000,130.99500,127.72000,127.83000,127.83000,-2.26%,427194
2015-06-30,128.68000,129.72000,127.74000,128.38000,128.38000,0.43%,634942
2015-07-01,129.28000,130.00500,127.95000,129.03000,129.03000,0.51%,397001
2015-07-02,129.43000,129.50000,128.09000,129.37000,129.37000,0.26%,344503
2015-07-06,128.72000,130.14000,127.92000,129.61000,129.61000,0.19%,455923
2015-07-07,130.22000,130.22000,127.67000,129.80000,129.80000,0.15%,441392
2015-07-08,128.36000,129.37000,125.35000,125.46000,125.46000,-3.34%,628237
2015-07-09,126.94000,127.22000,125.03000,125.41000,125.41000,-0.04%,564562
2015-07-10,126.90000,128.75000,126.35000,128.53000,128.53000,2.49%,477655
2015-07-13,129.64000,129.82000,128.96000,129.71000,129.71000,0.92%,264343
2015-07-14,130.17000,131.95000,129.56000,131.70000,131.70000,1.53%,391729
2015-07-15,132.06000,132.71000,129.98000,130.41000,130.41000,-0.98%,352816
2015-07-16,131.49000,131.74000,129.98000,130.79000,130.79000,0.29%,294096
2015-07-17,130.30000,131.28000,130.15000,130.88000,130.88000,0.07%,250693
2015-07-20,130.80000,131.47000,129.72000,131.12000,131.12000,0.18%,282113
2015-07-21,131.24000,131.50600,129.79500,130.63000,130.63000,-0.37%,363899
2015-07-22,131.07000,133.51000,130.57000,132.41000,132.41000,1.36%,897797
2015-07-23,133.00000,133.31000,131.47000,131.57000,131.57000,-0.63%,363818
2015-07-24,131.14000,131.97000,130.46000,130.73000,130.73000,-0.64%,246202
2015-07-27,130.30000,130.61000,128.79000,129.87000,129.87000,-0.66%,491187
2015-07-28,131.50000,133.64000,129.36000,130.58000,130.58000,0.55%,847492
2015-07-29,131.64000,133.89000,131.64000,133.38000,133.38000,2.14%,602078
2015-07-30,133.30000,133.30000,131.63500,132.59000,132.59000,-0.59%,559941
2015-07-31,133.42000,134.39000,132.93000,133.49000,133.49000,0.68%,593627
2015-08-03,133.42000,134.00000,132.68000,133.59000,133.59000,0.07%,593711
2015-08-04,133.32000,134.66000,133.25000,134.55000,134.55000,0.72%,538817
2015-08-05,135.41000,136.17000,134.84000,135.14000,135.14000,0.44%,522672
2015-08-06,134.88000,135.28000,131.09000,131.54000,131.54000,-2.66%,309227
2015-08-07,131.26000,132.07000,129.64500,131.94000,131.94000,0.30%,408552
2015-08-10,132.59000,134.40000,132.59000,133.90000,133.90000,1.49%,408192
2015-08-11,133.00000,133.07000,131.18000,132.60000,132.60000,-0.97%,326811
2015-08-12,131.49000,132.45500,127.33000,129.62000,129.62000,-2.25%,881834
2015-08-13,129.38000,130.04000,128.33000,128.62000,128.62000,-0.77%,388300
2015-08-14,128.40000,129.19000,128.25500,128.82000,128.82000,0.16%,306646
2015-08-17,128.32000,129.30000,127.72000,129.24000,129.24000,0.33%,503273
2015-08-18,129.27000,129.69000,128.36000,128.92000,128.92000,-0.25%,311060
2015-08-19,128.67000,129.94000,126.56000,128.76000,128.76000,-0.12%,478055
2015-08-20,127.65000,128.92000,125.79000,125.82000,125.82000,-2.28%,282926
2015-08-21,124.83000,126.08000,122.75000,122.76000,122.76000,-2.43%,526316
2015-08-24,116.41000,121.83900,115.32000,117.77000,117.77000,-4.06%,721511
2015-08-25,120.62000,120.65000,116.80000,116.83000,116.83000,-0.80%,646585
2015-08-26,118.04000,122.88500,117.87000,122.67000,122.67000,5.00%,892872
2015-08-27,124.69000,126.47000,123.43000,125.71000,125.71000,2.48%,598577
2015-08-28,125.04000,126.24500,123.34000,124.81000,124.81000,-0.72%,552273
2015-08-31,124.92000,124.92000,121.06000,121.38000,121.38000,-2.75%,563772
2015-09-01,119.00000,120.35000,117.67000,118.36000,118.36000,-2.49%,756218
2015-09-02,119.50000,122.22000,118.85000,122.22000,122.22000,3.26%,620792
2015-09-03,122.50000,124.30000,121.89000,122.67000,122.67000,0.37%,437903
2015-09-04,121.33000,122.15000,119.13000,120.01000,120.01000,-2.17%,494611
2015-09-08,122.30000,123.64000,121.66000,123.55000,123.55000,2.95%,415538
2015-09-09,124.37000,124.76000,121.42000,121.68000,121.68000,-1.51%,327759
2015-09-10,122.51000,124.00000,121.87000,122.90000,122.90000,1.00%,384764
2015-09-11,122.39000,124.75000,121.88000,124.59000,124.59000,1.38%,371687
2015-09-14,124.35000,124.75000,123.52000,124.16000,124.16000,-0.35%,264402
2015-09-15,124.71000,124.99000,123.55000,124.68000,124.68000,0.42%,403376
2015-09-16,124.57000,124.89000,122.42000,124.50000,124.50000,-0.14%,414509
2015-09-17,124.68000,125.96000,123.72000,124.07000,124.07000,-0.35%,405953
2015-09-18,122.93000,124.15000,121.93000,122.16000,122.16000,-1.54%,675383
2015-09-21,122.56000,123.61000,120.64000,121.19000,121.19000,-0.79%,595165
2015-09-22,119.78000,120.54000,118.64000,119.82000,119.82000,-1.13%,556400
2015-09-23,119.69000,120.95000,119.34000,119.93000,119.93000,0.09%,298684
2015-09-24,118.63000,119.47000,117.87000,118.72000,118.72000,-1.01%,451110
2015-09-25,119.24000,120.36000,116.32000,117.16000,117.16000,-1.31%,523519
2015-09-28,116.39000,116.94000,113.98000,115.23000,115.23000,-1.65%,690870
2015-09-29,115.11000,118.69000,115.11000,117.20000,117.20000,1.71%,586416
