Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,88.00000,88.58000,87.38000,88.00000,60.25500,0.09%,3648222
2015-03-25,87.81000,88.20000,85.47000,85.88000,58.80400,-2.41%,4646429
2015-03-26,84.51000,85.88000,84.36000,84.44000,57.81800,-1.68%,5391449
2015-03-27,84.47000,85.74200,84.00000,85.29000,58.40000,1.01%,3649520
2015-03-30,85.47000,86.22000,84.52000,85.99000,58.87900,0.82%,4232192
2015-03-31,85.69000,86.06000,84.67000,84.68000,57.98200,-1.52%,3563605
2015-04-01,84.72000,84.90000,83.66400,84.26000,57.69400,-0.50%,4926242
2015-04-02,84.41000,86.11000,84.12000,85.97000,58.86500,2.03%,2955231
2015-04-06,85.26000,88.10000,85.24000,88.01000,60.26200,2.37%,6058163
2015-04-07,87.60000,88.25000,87.11000,87.28000,59.76200,-0.83%,3906974
2015-04-08,87.04000,88.43000,86.89000,87.68000,60.03600,0.46%,5501444
2015-04-09,89.50000,93.42000,89.40000,92.62000,63.41900,5.63%,11357081
2015-04-10,92.14000,92.50000,90.25000,92.02000,63.00800,-0.65%,5978565
2015-04-13,91.72000,92.74000,91.30000,91.71000,62.79500,-0.34%,4520513
2015-04-14,91.40000,92.57000,91.08900,91.98000,62.98000,0.29%,2791556
2015-04-15,92.00000,92.66000,91.25000,91.54000,62.67900,-0.48%,5754515
2015-04-16,90.94000,91.29000,89.07000,89.52000,61.29600,-2.21%,7907099
2015-04-17,88.46000,89.59000,85.86000,86.96000,59.54300,-2.86%,15435452
2015-04-20,87.51000,88.22000,86.87000,87.12000,59.65300,0.18%,9361073
2015-04-21,87.28000,88.25000,86.91400,87.09000,59.63200,-0.03%,5183805
2015-04-22,87.04000,87.21000,86.60000,87.02000,59.58400,-0.08%,3485234
2015-04-23,86.89000,87.27000,86.24000,86.69000,59.35800,-0.38%,2942187
2015-04-24,87.16000,87.20000,85.83000,85.98000,58.87200,-0.82%,4104098
2015-04-27,86.69000,86.69000,85.63000,86.12000,58.96800,0.16%,4110226
2015-04-28,85.84000,86.16000,85.42000,86.08000,58.94100,-0.05%,2367006
2015-04-29,85.34000,85.84000,84.24000,84.57000,57.90700,-1.75%,3224450
2015-04-30,84.00000,84.50000,82.64000,82.93000,56.78400,-1.94%,4750193
2015-05-01,82.53000,83.70000,82.53000,83.46000,57.14700,0.64%,2283206
2015-05-04,83.88000,84.70000,83.45000,84.13000,57.60500,0.80%,2410120
2015-05-05,84.01000,84.27000,82.87000,83.14000,56.92700,-1.18%,3073975
2015-05-06,83.22000,83.74000,82.70000,83.10000,56.90000,-0.05%,2418143
2015-05-07,83.09000,85.23000,82.80400,84.23000,57.67400,1.36%,4405486
2015-05-08,84.93000,85.55000,84.58000,85.02000,58.21500,0.94%,2258182
2015-05-11,85.13000,85.46000,84.20000,84.25000,57.68700,-0.91%,2609163
2015-05-12,83.78000,84.91000,83.29000,84.18000,57.64000,-0.08%,2452765
2015-05-13,84.24000,84.99000,83.69000,84.07000,57.56400,-0.13%,2048418
2015-05-14,84.85000,85.41000,84.36000,85.35000,58.44100,1.52%,2430640
2015-05-15,85.77000,86.56500,85.50000,86.47000,59.20800,1.31%,3569655
2015-05-18,86.10000,86.67000,85.66000,86.36000,59.13200,-0.13%,2455699
2015-05-19,86.07000,86.38000,85.53000,85.84000,59.00700,-0.60%,2297533
2015-05-20,85.95000,85.95000,84.66000,84.89000,58.35400,-1.11%,2131438
2015-05-21,84.75000,87.18000,84.51000,87.14000,59.90100,2.65%,3447357
2015-05-22,86.71000,86.99000,86.06000,86.45000,59.42700,-0.79%,2297834
2015-05-26,86.56000,86.71000,84.85000,85.55000,58.80800,-1.04%,3758078
2015-05-27,85.62000,86.82000,85.48500,86.18000,59.24100,0.74%,2166211
2015-05-28,86.34000,86.74000,85.53000,86.05000,59.15200,-0.15%,1648547
2015-05-29,85.85000,86.90000,85.53000,85.84000,59.00700,-0.24%,2980452
2015-06-01,86.17000,86.33800,84.70000,85.98000,59.10400,0.16%,1965861
2015-06-02,86.31000,86.94000,85.77000,86.33000,59.34400,0.41%,2777042
2015-06-03,86.37000,87.11000,85.67000,85.82000,58.99400,-0.59%,3596144
2015-06-04,86.11000,86.37000,84.72000,85.25000,58.60200,-0.66%,3976236
2015-06-05,85.04000,85.61000,83.81000,83.89000,57.66700,-1.60%,2910516
2015-06-08,83.73000,84.11000,82.92000,83.26000,57.23400,-0.75%,2580228
2015-06-09,83.60000,84.62000,83.30000,84.17000,57.85900,1.09%,2998542
2015-06-10,84.53000,85.81000,84.37000,85.49000,58.76700,1.57%,3197752
2015-06-11,85.67000,86.20000,85.50000,85.79000,58.97300,0.35%,3018902
