Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,60.27000,60.51000,60.00000,60.36000,49.13200,-0.07%,2737807
2015-03-25,60.34000,60.34000,57.54000,57.56000,46.85300,-4.64%,3767346
2015-03-26,56.92000,57.89000,56.27000,57.41500,46.73500,-0.25%,2847316
2015-03-27,57.46000,58.87000,57.01000,58.84000,47.89400,2.48%,2521413
2015-03-30,62.10000,64.94500,61.85000,64.81000,52.75400,10.15%,10493727
2015-03-31,64.18000,64.52000,62.86000,63.00000,51.28100,-2.79%,3694153
2015-04-01,62.83000,63.22000,62.01000,62.57000,50.93100,-0.68%,2374673
2015-04-02,62.30000,63.33000,61.95000,62.24000,50.66200,-0.53%,2200634
2015-04-06,61.59000,62.93500,61.33000,62.78000,51.10200,0.87%,2329772
2015-04-07,62.71000,63.66000,62.28000,63.24000,51.47600,0.73%,2118290
2015-04-08,63.13000,63.89000,63.02000,63.67000,51.82600,0.68%,2266234
2015-04-09,63.32000,64.10000,63.23000,64.03000,52.11900,0.57%,1574990
2015-04-10,64.28000,64.39000,63.85300,64.23500,52.28600,0.32%,1274002
2015-04-13,64.25000,64.65000,63.61000,63.75000,51.89100,-0.76%,1475249
2015-04-14,63.63000,63.86000,62.46000,62.57000,50.93100,-1.85%,2292615
2015-04-15,62.93000,64.06000,62.86000,63.92500,52.03400,2.17%,1557016
2015-04-16,63.52000,64.23000,63.49000,64.10500,52.18000,0.28%,1453722
2015-04-17,63.36000,63.76000,63.06500,63.42000,51.62200,-1.07%,2449486
2015-04-20,63.67000,64.41000,63.62000,63.72000,51.86700,0.47%,1509950
2015-04-21,64.15000,64.53500,63.79000,64.37000,52.39600,1.02%,1435947
2015-04-22,64.74000,64.74000,63.67000,64.49000,52.49300,0.19%,1021791
2015-04-23,63.04000,63.82000,62.80000,63.59000,51.76100,-1.40%,2707720
2015-04-24,63.58000,63.60000,61.85000,62.53000,50.89800,-1.67%,3916496
2015-04-27,62.02000,63.27000,62.02000,62.67000,51.01200,0.22%,1689390
2015-04-28,62.68000,63.46000,62.50000,63.22000,51.46000,0.88%,1912504
2015-04-29,63.05000,63.65000,62.31000,62.82000,51.13400,-0.63%,1547464
2015-04-30,62.55000,62.67000,61.29000,61.84000,50.33600,-1.56%,2985884
2015-05-01,62.35000,63.57000,62.34000,63.27000,51.50000,2.31%,3637680
2015-05-04,63.63000,63.90000,63.15000,63.25000,51.48400,-0.03%,1436721
2015-05-05,63.04000,63.04000,61.72000,61.76500,50.27500,-2.35%,1630164
2015-05-06,62.07000,62.26500,61.26000,61.64000,50.17400,-0.20%,1673148
2015-05-07,61.83000,62.62000,61.57000,62.04000,50.49900,0.65%,1760380
2015-05-08,62.75000,63.44000,62.40000,62.72000,51.05300,1.10%,2026877
2015-05-11,62.75000,63.00000,62.63000,62.64000,50.98800,-0.13%,1396679
2015-05-12,62.24000,62.49200,61.59000,62.08000,50.53200,-0.89%,1614440
2015-05-13,62.25000,62.87000,62.03000,62.24000,50.66200,0.26%,1660008
2015-05-14,62.97000,63.83000,62.71000,63.40000,51.60600,1.86%,1918844
2015-05-15,63.89000,63.93000,62.96000,63.17500,51.42300,-0.35%,2333229
2015-05-18,63.23000,63.71000,63.03000,63.36000,51.57400,0.29%,3453560
2015-05-19,63.80000,64.34000,63.30000,63.45000,51.64700,0.14%,4538917
2015-05-20,64.20000,66.85000,64.00000,66.18000,53.86900,4.30%,7012442
2015-05-21,66.00000,66.02000,65.05000,65.49000,53.30700,-1.04%,3560690
2015-05-22,65.54000,67.47000,65.47000,67.09500,54.61400,2.45%,3561352
2015-05-26,66.95000,67.15000,65.94000,66.85000,54.41400,-0.37%,2969952
2015-05-27,66.57000,68.44000,66.48000,68.29000,55.91200,2.15%,2995650
2015-05-28,68.35000,68.75000,67.68000,68.31000,55.92900,0.03%,1722473
2015-05-29,68.50000,68.51000,67.59000,67.96000,55.64200,-0.51%,2371184
2015-06-01,68.41000,68.97000,67.80000,68.75000,56.28900,1.16%,2452991
2015-06-02,68.69000,68.70000,67.51000,67.71000,55.43700,-1.51%,1853073
2015-06-03,68.08000,68.08000,67.19000,67.29000,55.09300,-0.62%,1227759
2015-06-04,66.92000,67.43000,66.62000,66.94000,54.80700,-0.52%,2167466
2015-06-05,66.95000,67.61000,66.41000,67.37000,55.15900,0.64%,1769885
2015-06-08,67.43000,67.52000,65.72000,65.95000,53.99600,-2.11%,2311914
2015-06-09,66.07000,66.39000,65.27000,65.69000,53.78300,-0.39%,2278439
2015-06-10,66.08000,67.88000,65.74000,67.72000,55.44500,3.09%,2998065
2015-06-11,67.74000,67.85000,67.13000,67.22000,55.03600,-0.74%,1384155
2015-06-12,66.75000,66.92000,66.07000,66.26000,54.25000,-1.43%,1241514
2015-06-15,65.75000,66.77000,65.37300,66.70000,54.61000,0.66%,1702953
2015-06-16,66.55000,66.94500,66.34000,66.63000,54.55300,-0.10%,1384838
2015-06-17,66.82000,67.61000,66.82000,67.23000,55.04400,0.90%,2190556
2015-06-18,67.60000,68.63000,67.51000,68.30000,55.92000,1.59%,1989313
2015-06-19,68.34000,68.55000,67.29000,67.91000,55.60100,-0.57%,3150821
2015-06-22,68.34000,68.60000,67.41000,68.02000,55.69100,0.16%,2000602
2015-06-23,68.04000,68.26000,67.39000,67.53000,55.29000,-0.72%,1391803
2015-06-24,67.46000,67.65000,66.75000,66.84000,54.72500,-1.02%,1361902
2015-06-25,67.06000,67.33000,66.30000,66.59000,54.52000,-0.37%,1590096
2015-06-26,66.37000,67.17000,65.26000,65.80000,53.87300,-1.19%,5640186
2015-06-29,65.41000,65.60000,63.83000,63.99000,52.39200,-2.75%,2736499
2015-06-30,64.34000,64.68000,63.82000,64.18500,52.55100,0.30%,1927606
2015-07-01,65.08000,66.28000,64.38000,64.57000,52.86600,0.60%,2100438
2015-07-02,64.58000,64.90000,63.90000,64.38000,52.71100,-0.29%,1861017
2015-07-06,63.85000,64.31000,63.37000,63.59000,52.06400,-1.23%,2055538
2015-07-07,63.47000,63.66000,61.69000,63.38000,51.89200,-0.33%,2417790
2015-07-08,62.80000,62.98000,61.39000,61.94000,50.71300,-2.27%,2945190
2015-07-09,62.82000,63.22000,60.88000,60.89000,49.85300,-1.70%,3328943
2015-07-10,61.40000,62.05000,61.09000,61.51000,50.36100,1.02%,1777324
2015-07-13,62.06000,62.14500,61.65000,61.87000,50.65600,0.59%,1589230
2015-07-14,62.00000,62.77000,61.90000,62.62000,51.27000,1.21%,1968295
2015-07-15,62.24000,63.15000,62.14000,62.92000,51.51500,0.48%,2252365
2015-07-16,62.51000,63.25000,62.24000,62.83000,51.44200,-0.14%,1782806
2015-07-17,62.82000,62.83000,62.06000,62.46000,51.13900,-0.59%,1574374
2015-07-20,62.61000,62.73000,61.95000,61.99000,50.75400,-0.75%,1395250
2015-07-21,61.90000,62.47000,60.60000,62.08000,50.82800,0.15%,1655874
2015-07-22,58.73000,58.95000,57.16000,58.65000,48.01900,-5.53%,5695541
2015-07-23,58.99000,61.22000,58.75000,60.05000,49.16600,2.39%,3235512
2015-07-24,60.37000,60.59000,58.36000,58.49000,47.88800,-2.60%,2506615
2015-07-27,58.22000,58.40000,57.53000,57.89000,47.39700,-1.03%,2084740
2015-07-28,58.27000,59.56000,57.62000,58.99000,48.29800,1.90%,2581462
2015-07-29,58.87000,59.01000,58.25000,58.79000,48.13400,-0.34%,2355073
2015-07-30,58.66000,59.06000,57.98000,58.82000,48.15900,0.05%,2131856
2015-07-31,59.05000,59.05000,58.21000,58.33000,47.75700,-0.83%,1930726
2015-08-03,58.43000,59.03500,58.35000,58.67000,48.03600,0.58%,2262281
2015-08-04,58.53000,59.20000,58.05000,58.48000,47.88000,-0.32%,1620825
2015-08-05,59.14000,60.84000,58.87000,60.70000,49.69800,3.80%,3219359
2015-08-06,60.32000,60.79000,58.73300,58.87000,48.20000,-3.01%,2922613
2015-08-07,58.81000,59.75000,58.00000,59.61000,48.80500,1.26%,2469281
2015-08-10,59.95000,61.22500,59.95000,61.09000,50.01700,2.48%,1957457
2015-08-11,60.61000,60.85000,59.16000,59.38000,48.61700,-2.80%,2065841
2015-08-12,58.78000,60.01000,58.27000,59.74000,48.91200,0.61%,2126998
2015-08-13,59.66000,59.89000,58.87000,59.00000,48.30600,-1.24%,1895762
2015-08-14,58.85000,59.27000,58.53100,58.84000,48.17500,-0.27%,1612574
2015-08-17,58.47000,59.52000,58.30000,59.50000,48.71500,1.12%,1408689
2015-08-18,58.99000,59.42000,57.33000,57.90000,47.40500,-2.69%,4584929
2015-08-19,60.73000,60.82000,57.75000,58.38000,47.79800,0.83%,9485000
2015-08-20,57.26000,57.40000,53.80000,53.82000,44.06500,-7.81%,5913909
2015-08-21,53.35000,55.25000,53.03000,53.78000,44.03200,-0.07%,5870882
2015-08-24,51.49000,54.00000,50.86000,51.67000,42.30500,-3.92%,6843323
2015-08-25,53.30000,53.64000,50.56000,50.61000,41.43700,-2.05%,3945498
2015-08-26,51.89000,54.29000,50.96000,54.22000,44.72000,7.13%,5216318
2015-08-27,54.75000,56.51000,54.62000,56.48000,46.58400,4.17%,5323198
2015-08-28,56.10000,56.98500,55.69000,56.45000,46.55900,-0.05%,3329693
2015-08-31,56.32000,56.41000,55.51000,55.86000,46.07300,-1.05%,2646972
2015-09-01,54.25000,54.88000,53.23000,53.55000,44.16700,-4.14%,3574373
2015-09-02,54.68000,54.68000,53.59000,54.59000,45.02500,1.94%,2095701
2015-09-03,55.25000,55.88000,54.70000,55.17000,45.50300,1.06%,2318720
2015-09-04,54.08000,54.66000,53.70000,53.96000,44.50500,-2.19%,1693651
2015-09-08,55.99000,57.82000,55.46000,57.77000,47.64800,7.06%,4119638
2015-09-09,57.94000,58.65000,56.12000,56.27000,46.41100,-2.60%,2814558
2015-09-10,55.99000,56.55000,55.31000,56.01000,46.19600,-0.46%,3366024
2015-09-11,55.60000,56.46000,55.33000,56.35000,46.47700,0.61%,1762837
2015-09-14,57.28000,57.60000,56.83000,57.56000,47.47500,2.15%,3124899
2015-09-15,57.56000,58.60000,57.56000,58.30000,48.08500,1.29%,2950276
2015-09-16,58.54000,58.55000,57.75000,58.45000,48.20900,0.26%,2085813
2015-09-17,58.38000,58.96000,57.86000,57.93000,47.78000,-0.89%,2521052
2015-09-18,57.12000,57.33000,56.21000,56.67000,46.74100,-2.18%,3925936
2015-09-21,56.88000,57.38000,56.16000,56.63000,46.70800,-0.07%,2856562
2015-09-22,55.90000,56.38000,55.03000,55.18000,45.51200,-2.56%,2912189
2015-09-23,55.58000,56.00000,55.03000,55.20000,45.52800,0.04%,1800072
2015-09-24,54.53000,54.70000,52.48000,54.00000,44.53800,-2.17%,3543961
2015-09-25,54.53000,55.29000,53.88000,54.44000,44.90100,0.81%,2143115
2015-09-28,54.27000,54.94000,53.46000,53.47000,44.10100,-1.78%,2236615
2015-09-29,53.48000,54.31000,53.13000,54.05000,44.58000,1.08%,2369405
2015-09-30,55.02000,56.54000,54.83000,56.41000,46.52600,4.37%,3196205
2015-10-01,56.35000,56.54000,53.71000,54.94000,45.31400,-2.61%,4106810
2015-10-02,54.00000,55.69000,53.70000,55.69000,45.93200,1.37%,3297011
2015-10-05,56.18000,57.81000,55.92000,57.43000,47.36700,3.12%,2778610
2015-10-06,57.38000,57.71500,56.32000,56.89000,46.92200,-0.94%,2523484
2015-10-07,57.60000,58.06000,56.64000,57.87000,47.73000,1.72%,3340281
2015-10-08,57.95000,57.99000,56.59000,57.72000,47.60700,-0.26%,2302969
2015-10-09,57.57000,57.97000,56.50000,56.69000,46.75700,-1.78%,3683410
2015-10-12,56.78000,56.90000,56.33000,56.58000,46.66600,-0.19%,1718111
2015-10-13,56.07000,56.64000,55.96000,56.05000,46.22900,-0.94%,2100305
2015-10-14,56.91000,64.15500,56.75000,60.99000,50.30400,8.81%,11995746
2015-10-15,61.50000,61.76000,60.39000,61.28000,50.54300,0.48%,4908111
2015-10-16,61.31000,61.54000,59.88000,60.19000,49.64400,-1.78%,3067839
2015-10-19,59.94000,60.39000,59.53000,60.22000,49.66900,0.05%,2107902
2015-10-20,60.31000,60.97000,59.84000,60.40000,49.81700,0.30%,1730670
2015-10-21,61.02000,62.50000,61.02000,61.75000,50.93100,2.24%,4552980
2015-10-22,63.28000,63.95000,62.42000,63.40000,52.29100,2.67%,3499184
2015-10-23,64.04000,64.11200,63.10000,63.62000,52.47300,0.35%,2277020
2015-10-26,63.25000,63.39000,61.44000,61.53000,50.74900,-3.29%,2608671
2015-10-27,60.83000,61.78000,60.83000,61.39000,50.63400,-0.23%,1608944
2015-10-28,62.50000,63.20000,60.21000,61.86000,51.02100,0.77%,4532594
2015-10-29,59.96000,60.94500,59.27000,59.98000,49.47100,-3.04%,2390686
2015-10-30,60.21000,60.61000,59.95000,60.12000,49.58600,0.23%,2097556
2015-11-02,60.06000,60.79000,59.83000,60.34000,49.76800,0.37%,1778870
2015-11-03,60.22000,60.94000,60.22000,60.66000,50.03100,0.53%,1140542
2015-11-04,60.61000,60.70000,60.09000,60.49000,49.89100,-0.28%,1444865
2015-11-05,60.83000,60.92000,60.05000,60.36000,49.78400,-0.21%,1202540
2015-11-06,60.42000,61.97900,60.29000,61.70000,50.88900,2.22%,1866472
2015-11-09,61.53000,61.55000,60.56000,60.96000,50.27900,-1.20%,1519594
2015-11-10,59.57000,60.28000,59.54000,59.97000,49.46200,-1.62%,1850431
2015-11-11,60.34000,60.80300,59.80000,59.90000,49.40500,-0.12%,1269161
2015-11-12,59.72000,60.75500,59.33000,59.46000,49.04200,-0.73%,2120780
2015-11-13,59.46000,59.65000,57.80000,58.13000,47.94500,-2.24%,2230206
2015-11-16,58.08000,58.54000,57.78000,58.48000,48.23300,0.60%,2617636
