Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,87.15000,87.60000,86.96000,86.96500,69.93700,-0.39%,1167837
2015-03-25,87.13000,87.15500,84.74000,84.74000,68.14700,-2.56%,1707068
2015-03-26,84.26000,84.77000,83.91100,84.41000,67.88200,-0.39%,1599903
2015-03-27,84.34000,84.91000,84.20000,84.63000,68.05900,0.26%,1424992
2015-03-30,84.96000,86.17000,84.91800,85.89000,69.07200,1.49%,1139776
2015-03-31,85.35000,86.33800,85.18000,85.64000,68.87100,-0.29%,1682183
2015-04-01,85.73000,85.73000,84.33000,85.26000,68.56500,-0.44%,1502882
2015-04-02,85.85000,86.58000,85.47000,85.92000,69.09600,0.77%,1699873
2015-04-06,85.66000,86.66000,85.41500,86.25000,69.36200,0.38%,1449702
2015-04-07,86.23000,86.63000,85.82000,85.85500,69.04400,-0.46%,1039589
2015-04-08,85.69000,86.70000,85.53000,86.57000,69.61900,0.83%,1328525
2015-04-09,86.45000,86.74000,85.67000,86.60000,69.64300,0.03%,1155351
2015-04-10,86.76000,86.79000,86.16000,86.34000,69.43400,-0.30%,1857474
2015-04-13,86.12000,86.70000,85.76000,85.92000,69.09600,-0.49%,1331739
2015-04-14,85.74000,86.14000,85.20000,85.62000,68.85500,-0.35%,1366759
2015-04-15,85.90000,86.08000,85.60500,85.76000,68.96700,0.16%,1481227
2015-04-16,85.56000,85.75000,85.25000,85.38000,68.66200,-0.44%,1463359
2015-04-17,84.64000,85.01000,83.30000,83.53000,67.17400,-2.17%,1965598
2015-04-20,83.84000,84.90500,83.60000,84.80000,68.19500,1.52%,1412630
2015-04-21,85.16000,86.12000,84.80000,85.10000,68.43700,0.35%,1552471
2015-04-22,85.14000,85.49000,84.61000,85.31000,68.60600,0.25%,993563
2015-04-23,85.12000,86.10000,85.02000,85.76500,68.97100,0.53%,1000080
2015-04-24,85.65000,85.65000,84.32000,84.99500,68.35200,-0.90%,1187070
2015-04-27,85.42000,85.46000,84.52000,84.70000,68.11500,-0.35%,1466950
2015-04-28,84.80000,85.64500,84.37000,85.61000,68.84700,1.07%,1639374
