Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,60.68000,61.44000,60.43000,61.07000,61.07000,0.39%,1314569
2015-03-25,60.95000,61.03500,59.35000,59.35000,59.35000,-2.82%,1932369
2015-03-26,58.70000,59.38000,58.46000,58.72000,58.72000,-1.06%,1902913
2015-03-27,58.65000,59.32000,58.48000,58.72000,58.72000,,2385033
2015-03-30,58.86000,59.37000,58.72000,59.30000,59.30000,0.99%,4320748
2015-03-31,58.36000,59.40000,58.36000,58.64000,58.64000,-1.11%,2882630
2015-04-01,57.68000,59.06000,57.21000,58.74000,58.74000,0.17%,3445195
2015-04-02,58.79000,60.07000,58.48800,59.82000,59.82000,1.84%,2533826
2015-04-06,59.26000,60.03000,58.87000,59.71000,59.71000,-0.18%,2329497
2015-04-07,59.81000,61.14000,59.47000,60.68500,60.68500,1.63%,2002681
2015-04-08,60.89000,61.96000,60.78000,61.82500,61.82500,1.88%,2249541
2015-04-09,62.19000,62.87000,61.80000,62.81000,62.81000,1.59%,2030412
2015-04-10,62.49000,63.09000,62.04000,62.74000,62.74000,-0.11%,961328
2015-04-13,62.74000,63.00000,61.75000,61.77000,61.77000,-1.55%,1220993
2015-04-14,61.95000,62.33000,61.42000,62.01000,62.01000,0.39%,2309264
2015-04-15,62.12000,62.42000,61.26000,61.50500,61.50500,-0.81%,2257972
2015-04-16,61.18000,61.76000,60.86000,61.66000,61.66000,0.25%,1067141
2015-04-17,61.01000,61.12000,59.68000,60.35000,60.35000,-2.12%,1911343
2015-04-20,60.82000,61.33000,60.62000,61.04000,61.04000,1.14%,1322813
2015-04-21,61.38000,61.82000,61.19000,61.61000,61.61000,0.93%,1399593
2015-04-22,61.87000,62.23000,61.36000,62.13000,62.13000,0.84%,1097147
2015-04-23,61.87000,63.21000,61.84000,62.75000,62.75000,1.00%,1384412
2015-04-24,62.95000,62.95000,62.11000,62.64000,62.64000,-0.18%,1082904
2015-04-27,62.00000,62.17000,60.35000,60.60000,60.60000,-3.26%,3421562
2015-04-28,60.64000,61.22000,60.20000,60.66000,60.66000,0.10%,1789293
2015-04-29,60.37000,60.97000,59.05000,59.54000,59.54000,-1.85%,2293081
2015-04-30,58.90000,58.92000,56.38000,56.83000,56.83000,-4.55%,5330033
2015-05-01,57.11000,57.68000,56.75000,57.58500,57.58500,1.33%,2042899
2015-05-04,57.65000,58.17000,57.42000,57.75500,57.75500,0.30%,1755318
2015-05-05,57.38000,57.67000,56.54000,56.74000,56.74000,-1.76%,1183604
2015-05-06,57.11000,57.37000,55.77000,56.19000,56.19000,-0.97%,1187041
