Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,2.85000,2.85000,2.76000,2.79000,2.79000,-1.76%,8724501
2015-03-25,2.78000,2.79000,2.56000,2.63000,2.63000,-5.73%,26985252
2015-03-26,2.59000,2.70000,2.53000,2.65000,2.65000,0.76%,28286331
2015-03-27,2.70000,2.80000,2.63000,2.72000,2.72000,2.64%,16844090
2015-03-30,2.73000,2.76000,2.65500,2.70000,2.70000,-0.74%,8558207
2015-03-31,2.66000,2.70000,2.65000,2.68000,2.68000,-0.74%,7025016
2015-04-01,2.66000,2.75000,2.65000,2.69000,2.69000,0.37%,11240503
2015-04-02,2.66000,2.70000,2.65000,2.69000,2.69000,,7047568
2015-04-06,2.68000,2.73000,2.68000,2.70000,2.70000,0.37%,8178519
2015-04-07,2.70000,2.74000,2.69000,2.70000,2.70000,,5738069
2015-04-08,2.68000,2.74000,2.68000,2.71000,2.71000,0.37%,4348995
2015-04-09,2.69000,2.75000,2.69000,2.72000,2.72000,0.37%,7127564
2015-04-10,2.74000,2.78000,2.73000,2.76000,2.76000,1.47%,6184822
2015-04-13,2.76000,2.80000,2.73000,2.78000,2.78000,0.72%,8391501
2015-04-14,2.77000,2.79000,2.65000,2.67000,2.67000,-3.96%,13364127
2015-04-15,2.70000,2.74000,2.65000,2.70000,2.70000,1.12%,15281419
2015-04-16,2.72000,2.94000,2.70000,2.87000,2.87000,6.30%,28617313
2015-04-17,2.53500,2.58000,2.45000,2.57500,2.57500,-10.28%,53185288
2015-04-20,2.56000,2.57000,2.45000,2.49000,2.49000,-3.30%,29164284
2015-04-21,2.53000,2.53000,2.35000,2.35000,2.35000,-5.62%,31279416
2015-04-22,2.35000,2.36000,2.25000,2.28000,2.28000,-2.98%,27634939
2015-04-23,2.28000,2.36000,2.26000,2.33000,2.33000,2.19%,15130407
2015-04-24,2.36000,2.38000,2.30000,2.30000,2.30000,-1.29%,15001242
2015-04-27,2.30000,2.36000,2.29000,2.34000,2.34000,1.74%,13486896
2015-04-28,2.36000,2.37000,2.31000,2.31000,2.31000,-1.28%,11448708
2015-04-29,2.30000,2.33000,2.27000,2.28000,2.28000,-1.30%,11870217
2015-04-30,2.28000,2.31000,2.26000,2.26000,2.26000,-0.88%,11465305
2015-05-01,2.26000,2.31000,2.25000,2.31000,2.31000,2.21%,11662803
2015-05-04,2.31000,2.36000,2.30000,2.31000,2.31000,,9670083
2015-05-05,2.34000,2.34000,2.25000,2.28000,2.28000,-1.30%,12371555
2015-05-06,2.29000,2.30500,2.24000,2.29000,2.29000,0.44%,18492059
2015-05-07,2.32000,2.32000,2.26000,2.32000,2.32000,1.31%,15015605
2015-05-08,2.33000,2.36000,2.30000,2.31000,2.31000,-0.43%,9758803
2015-05-11,2.31000,2.35000,2.31000,2.32000,2.32000,0.43%,10046911
2015-05-12,2.32000,2.35000,2.30000,2.35000,2.35000,1.29%,10017533
2015-05-13,2.36000,2.38000,2.35000,2.37000,2.37000,0.85%,7575944
2015-05-14,2.38000,2.39000,2.33000,2.33000,2.33000,-1.69%,8865090
2015-05-15,2.33000,2.38000,2.32000,2.32000,2.32000,-0.43%,8054813
2015-05-18,2.35000,2.36000,2.33000,2.35000,2.35000,1.29%,4732781
2015-05-19,2.36000,2.37000,2.28000,2.28000,2.28000,-2.98%,9588414
2015-05-20,2.30000,2.33000,2.28000,2.32000,2.32000,1.75%,6947688
2015-05-21,2.31000,2.35000,2.28000,2.28000,2.28000,-1.72%,7127745
2015-05-22,2.30000,2.31000,2.27000,2.28000,2.28000,,12845410
2015-05-26,2.27000,2.28000,2.22000,2.22000,2.22000,-2.63%,10007826
2015-05-27,2.24000,2.28000,2.20000,2.28000,2.28000,2.70%,17511026
2015-05-28,2.28000,2.33000,2.27000,2.27000,2.27000,-0.44%,12354612
2015-05-29,2.27000,2.32000,2.25000,2.28000,2.28000,0.44%,7750487
2015-06-01,2.29000,2.30000,2.25000,2.25000,2.25000,-1.32%,6803664
2015-06-02,2.26000,2.30000,2.25000,2.30000,2.30000,2.22%,7105950
2015-06-03,2.30000,2.32000,2.28000,2.28000,2.28000,-0.87%,8062307
2015-06-04,2.28000,2.33000,2.26000,2.33000,2.33000,2.19%,11575844
2015-06-05,2.31000,2.34000,2.29000,2.33000,2.33000,,7349686
2015-06-08,2.31000,2.33000,2.29000,2.31000,2.31000,-0.86%,6212876
