Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,87.87000,88.16500,87.18000,87.84000,87.84000,0.07%,252435
2015-03-25,87.87000,88.49000,86.36000,86.42000,86.42000,-1.62%,470786
2015-03-26,85.92000,87.07000,85.32000,86.73000,86.73000,0.36%,295388
2015-03-27,86.93000,87.01000,86.03000,86.79000,86.79000,0.07%,296756
2015-03-30,87.46000,88.37000,86.66800,88.12000,88.12000,1.53%,221767
2015-03-31,87.81000,88.96000,87.39000,88.19000,88.19000,0.08%,456379
2015-04-01,87.88000,88.15000,87.29000,88.13000,88.13000,-0.07%,459922
2015-04-02,88.14000,88.99000,86.71000,86.99000,86.99000,-1.29%,571603
2015-04-06,86.59000,89.33000,86.28000,89.30000,89.30000,2.66%,608715
2015-04-07,88.84000,89.64000,88.80000,88.87500,88.87500,-0.48%,432338
2015-04-08,88.84000,89.50000,88.52000,88.66000,88.66000,-0.24%,419707
2015-04-09,88.38000,88.81500,87.80000,88.28000,88.28000,-0.43%,371412
2015-04-10,88.00000,88.99000,87.88000,88.56000,88.56000,0.32%,307548
2015-04-13,88.30000,88.87000,87.47000,87.53000,87.53000,-1.16%,231586
2015-04-14,87.34000,87.59000,86.42000,86.95000,86.95000,-0.66%,330041
2015-04-15,87.23000,87.94000,86.89000,87.40000,87.40000,0.52%,244984
2015-04-16,86.95000,87.93000,86.71000,87.78000,87.78000,0.43%,309787
2015-04-17,87.34000,87.96000,86.24000,86.33000,86.33000,-1.65%,244889
2015-04-20,86.98000,87.05000,86.45000,86.51000,86.51000,0.21%,306999
2015-04-21,86.91000,87.30000,86.39000,86.68000,86.68000,0.20%,305437
2015-04-22,86.73000,87.07000,86.36000,87.02000,87.02000,0.39%,266128
2015-04-23,86.69000,88.61000,86.61000,88.07000,88.07000,1.21%,325121
2015-04-24,88.44000,88.69000,87.35000,87.46000,87.46000,-0.69%,204520
2015-04-27,87.69000,88.04000,86.70000,86.91000,86.91000,-0.63%,231788
2015-04-28,87.08000,87.63000,86.26000,86.69000,86.69000,-0.25%,222473
2015-04-29,86.45000,87.18000,86.02000,86.85000,86.85000,0.18%,351138
2015-04-30,86.25000,86.62000,85.66000,85.84000,85.84000,-1.16%,507852
2015-05-01,86.10000,86.93000,85.62000,86.49000,86.49000,0.76%,260643
2015-05-04,86.77000,87.96000,86.58000,87.49000,87.49000,1.16%,367849
2015-05-05,87.02000,87.93000,86.54000,87.24000,87.24000,-0.29%,595827
2015-05-06,86.76000,87.91000,84.09000,84.32000,84.32000,-3.35%,501758
2015-05-07,84.15000,86.58000,84.14000,86.22000,86.22000,2.25%,643993
2015-05-08,87.09000,87.09000,85.99000,86.69000,86.69000,0.55%,330345
2015-05-11,86.41000,86.87000,86.18000,86.38000,86.38000,-0.36%,298544
2015-05-12,85.66000,86.98000,85.36000,86.90500,86.90500,0.61%,499201
2015-05-13,87.38000,88.29000,86.80000,88.20000,88.20000,1.49%,504391
2015-05-14,88.70000,90.70000,88.34000,90.48000,90.48000,2.59%,946411
2015-05-15,90.23000,90.49000,89.32000,89.70000,89.70000,-0.86%,524112
2015-05-18,89.33000,90.63000,89.08000,90.32000,90.32000,0.69%,247439
2015-05-19,90.65000,90.83000,89.85000,90.11000,90.11000,-0.23%,236048
2015-05-20,90.40000,90.64000,89.97100,90.51000,90.51000,0.44%,304490
2015-05-21,90.25000,90.87000,89.96000,90.22000,90.22000,-0.32%,229053
2015-05-22,90.13000,90.44000,89.88000,90.03000,90.03000,-0.21%,151573
2015-05-26,89.45000,89.45000,88.80000,89.12000,89.12000,-1.01%,263700
2015-05-27,89.04000,89.91000,88.91000,89.83000,89.83000,0.80%,226074
2015-05-28,89.97000,90.03000,89.25000,89.71000,89.71000,-0.13%,189681
2015-05-29,89.71000,89.71000,88.75000,89.00000,89.00000,-0.79%,374827
2015-06-01,89.38000,89.74000,88.40400,89.41000,89.41000,0.46%,272150
2015-06-02,88.93000,89.58000,88.86000,89.53000,89.53000,0.13%,428719
2015-06-03,89.79000,91.15000,89.48000,91.02000,91.02000,1.66%,352738
2015-06-04,90.54000,90.94000,89.53000,89.64000,89.64000,-1.52%,286922
2015-06-05,89.46000,90.13000,88.98000,90.12000,90.12000,0.54%,210985
2015-06-08,90.04000,90.20000,88.80000,88.82000,88.82000,-1.44%,322307
2015-06-09,88.57000,89.12000,88.02000,88.80000,88.80000,-0.02%,299365
2015-06-10,89.06000,90.73000,88.82000,90.51000,90.51000,1.93%,287781
2015-06-11,90.43000,91.99000,90.02000,91.80000,91.80000,1.43%,472828
2015-06-12,91.73000,91.85000,90.70000,90.88000,90.88000,-1.00%,731531
2015-06-15,90.39000,90.74000,87.93000,88.77000,88.77000,-2.32%,423453
2015-06-16,88.93000,90.58000,88.62000,89.87000,89.87000,1.24%,341800
2015-06-17,89.93000,90.10000,89.23000,89.87000,89.87000,,207784
2015-06-18,89.96000,90.80000,89.48000,90.72000,90.72000,0.95%,280532
2015-06-19,90.90000,91.18000,90.38000,90.92000,90.92000,0.22%,498759
2015-06-22,91.53000,91.99000,91.13000,91.80000,91.80000,0.97%,292922
2015-06-23,91.98000,92.18000,91.63000,91.95000,91.95000,0.16%,362587
