Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,37.82000,38.17000,37.72000,37.83000,33.83300,-0.39%,1347437
2015-03-25,37.96000,38.21000,37.21000,37.37000,33.42200,-1.22%,2130108
2015-03-26,37.33000,37.61000,36.76000,36.97000,33.06400,-1.07%,852263
2015-03-27,36.93000,37.84000,36.91000,37.82000,33.82400,2.30%,1063218
2015-03-30,38.05000,38.36000,37.59000,37.75000,33.76100,-0.19%,1066002
2015-03-31,37.50000,37.70000,37.11300,37.24000,33.30500,-1.35%,1214967
2015-04-01,37.20000,37.57000,36.43000,36.74000,32.85800,-1.34%,885633
2015-04-02,36.65000,36.85000,36.51000,36.67000,32.79600,-0.19%,600214
2015-04-06,36.56000,37.08000,36.51900,36.92000,33.01900,0.68%,1007795
2015-04-07,36.95000,37.28400,36.80000,37.18000,33.25200,0.70%,799285
2015-04-08,37.25000,38.08000,37.25000,37.95000,33.94000,2.07%,760194
2015-04-09,37.98000,38.42000,37.79000,38.37000,34.31600,1.11%,852605
2015-04-10,38.48000,38.48000,37.83300,38.42000,34.36100,0.13%,551009
2015-04-13,38.51000,38.71000,38.41000,38.47000,34.40500,0.13%,555682
2015-04-14,38.42000,38.42000,37.76000,38.03000,34.01200,-1.14%,504767
2015-04-15,38.14000,38.56000,37.57000,38.46000,34.39600,1.13%,601040
2015-04-16,38.43000,38.53000,37.93000,38.19000,34.15500,-0.70%,912881
2015-04-17,37.99000,38.08000,37.65500,37.83000,33.83300,-0.94%,276098
2015-04-20,38.04000,38.45000,37.91000,38.31000,34.26200,1.27%,953775
2015-04-21,38.52000,38.78000,38.21000,38.72000,34.62900,1.07%,620775
2015-04-22,38.77000,38.99000,38.36500,38.93000,34.81700,0.54%,476201
2015-04-23,38.94000,39.06000,38.38000,39.02000,34.89700,0.23%,715305
2015-04-24,39.15000,39.32000,38.72000,38.87000,34.76300,-0.38%,547981
2015-04-27,38.87000,39.05000,38.53000,38.73000,34.63800,-0.36%,388719
2015-04-28,38.64000,38.97000,38.33000,38.73000,34.63800,,722996
2015-04-29,38.42000,38.68000,38.21000,38.59000,34.51300,-0.36%,629398
2015-04-30,38.54000,38.91000,38.09000,38.32000,34.27100,-0.70%,683046
2015-05-01,38.45000,38.68200,38.20000,38.67000,34.58400,0.91%,562411
2015-05-04,38.68000,39.05800,38.67000,38.82000,34.71800,0.39%,761357
2015-05-05,38.77000,38.94000,38.53000,38.87000,34.76300,0.13%,802552
2015-05-06,38.80000,38.98200,38.34000,38.64000,34.55700,-0.59%,1000145
2015-05-07,38.00000,38.49000,36.82000,36.97000,33.06400,-4.32%,2135017
2015-05-08,37.03000,37.81000,36.67000,36.70000,32.82200,-0.73%,1468811
2015-05-11,36.63000,36.92000,36.50000,36.71000,32.83100,0.03%,1370215
2015-05-12,36.59000,37.15000,36.50000,36.93000,33.02800,0.60%,831400
2015-05-13,37.00000,37.34000,36.82000,36.99000,33.08200,0.16%,1072111
2015-05-14,37.23000,37.45500,37.09000,37.37000,33.42200,1.03%,682902
2015-05-15,37.47000,37.63000,37.14000,37.58000,33.60900,0.56%,891113
2015-05-18,37.60000,37.73600,37.21000,37.54000,33.57400,-0.11%,597463
2015-05-19,36.70000,37.14000,36.41000,36.77000,32.88500,-2.05%,4584414
2015-05-20,36.77000,36.96000,36.70000,36.72000,32.84000,-0.14%,1241365
2015-05-21,36.79000,37.20000,36.77000,37.10000,33.24100,1.03%,1017783
2015-05-22,37.00000,37.15000,36.84000,37.03000,33.17800,-0.19%,398794
2015-05-26,36.94000,37.16000,36.37000,36.42000,32.63100,-1.65%,1494714
2015-05-27,36.58000,36.92000,36.35000,36.87000,33.03400,1.24%,1056187
2015-05-28,36.76000,36.98000,36.66000,36.95000,33.10600,0.22%,1153291
2015-05-29,36.99000,37.22500,36.76000,37.10000,33.24100,0.41%,2418952
2015-06-01,37.18000,37.24000,36.54000,37.00000,33.15100,-0.27%,1002049
