Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,150.93000,151.95000,149.83000,151.47000,151.47000,0.53%,580594
2015-03-25,152.00000,152.00000,148.38500,148.66000,148.66000,-1.86%,538435
2015-03-26,148.21000,149.28000,147.24000,148.89000,148.89000,0.15%,734791
2015-03-27,148.51000,150.13000,147.94000,148.56000,148.56000,-0.22%,426722
2015-03-30,149.00000,151.64000,148.93000,150.83000,150.83000,1.53%,285500
2015-03-31,149.77000,151.55000,148.93000,150.92000,150.92000,0.06%,827133
2015-04-01,151.02000,152.70000,150.14000,152.51000,152.51000,1.05%,765950
2015-04-02,152.10000,154.00000,151.98000,153.01000,153.01000,0.33%,355101
2015-04-06,151.57000,153.48000,151.35000,152.65000,152.65000,-0.24%,1084245
2015-04-07,153.04000,154.88000,152.91500,154.71000,154.71000,1.35%,459296
2015-04-08,154.99000,156.53000,154.10000,156.27000,156.27000,1.01%,629631
2015-04-09,155.86000,157.00000,154.45000,156.53000,156.53000,0.17%,337830
2015-04-10,157.16000,157.93000,155.88000,157.85000,157.85000,0.84%,505570
2015-04-13,157.97000,159.87000,157.27000,157.39000,157.39000,-0.29%,454121
2015-04-14,157.05000,157.81000,155.63000,157.43000,157.43000,0.03%,365338
2015-04-15,157.44000,159.46000,157.09000,158.61000,158.61000,0.75%,303646
2015-04-16,158.72000,159.12000,157.62000,158.03000,158.03000,-0.37%,203172
2015-04-17,156.73000,156.73000,154.65000,156.22000,156.22000,-1.15%,475986
2015-04-20,156.62000,158.39000,156.25000,158.37000,158.37000,1.38%,277815
2015-04-21,158.73000,159.60000,157.66000,158.24000,158.24000,-0.08%,499914
2015-04-22,158.19000,158.63000,156.86000,158.25000,158.25000,0.01%,769737
2015-04-23,158.02000,163.00000,157.95000,162.66000,162.66000,2.79%,792844
2015-04-24,163.17000,163.61000,161.75000,162.24000,162.24000,-0.26%,434431
2015-04-27,163.32000,165.67000,162.12000,163.46000,163.46000,0.75%,649091
2015-04-28,163.47000,163.79000,160.17000,161.45000,161.45000,-1.23%,472731
2015-04-29,161.15000,163.81000,160.32000,163.22000,163.22000,1.10%,544568
2015-04-30,163.15000,163.50000,160.38000,160.89000,160.89000,-1.43%,761145
2015-05-01,161.75000,164.62000,153.65000,159.13000,159.13000,-1.09%,1384103
2015-05-04,159.41000,159.95000,155.75000,156.46000,156.46000,-1.68%,650131
2015-05-05,156.74000,157.17900,152.73000,154.64000,154.64000,-1.16%,754248
2015-05-06,155.36000,155.36000,151.71000,153.21000,153.21000,-0.92%,468278
2015-05-07,153.47000,154.51000,152.39000,153.36000,153.36000,0.10%,425452
