Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,67.68000,67.83000,67.26000,67.37000,66.98900,-0.43%,3210206
2015-03-25,67.30000,67.34000,65.53000,65.78000,65.40800,-2.36%,4029850
2015-03-26,65.72000,66.46000,64.81000,65.99000,65.61700,0.32%,2971626
2015-03-27,65.78000,66.68000,65.56000,66.55000,66.17400,0.85%,2106322
2015-03-30,67.40000,67.56000,66.24000,66.85000,66.47200,0.45%,2741104
2015-03-31,66.51000,67.96000,66.46000,66.81000,66.43300,-0.06%,4031406
2015-04-01,66.51000,66.55000,65.42000,66.08000,65.70700,-1.09%,3712978
2015-04-02,66.25000,66.90000,65.75000,66.68000,66.30300,0.91%,2021634
2015-04-06,66.24000,68.06000,66.00000,67.94000,67.55600,1.89%,6375385
2015-04-07,68.24000,69.75000,67.99000,68.20000,67.81500,0.38%,3817132
2015-04-08,68.26000,68.92000,67.81000,68.21000,67.82500,0.01%,2566703
2015-04-09,68.32000,68.35000,66.82000,67.74000,67.35700,-0.69%,2577520
2015-04-10,67.60000,67.99000,66.94000,67.64000,67.25800,-0.15%,1952963
2015-04-13,67.76000,68.32000,67.00000,67.08000,66.70100,-0.83%,2130953
2015-04-14,67.12000,67.41000,66.30000,66.91000,66.53200,-0.25%,1937976
2015-04-15,67.27000,67.51000,66.98000,67.21000,66.83000,0.45%,2140189
2015-04-16,66.67000,68.21000,66.65000,67.91000,67.52600,1.04%,2269293
2015-04-17,67.16000,67.16000,65.44000,65.81000,65.43800,-3.09%,3788729
2015-04-20,66.19000,67.05000,66.19000,66.90000,66.52200,1.66%,1945182
2015-04-21,67.39000,67.94000,67.11000,67.38000,66.99900,0.72%,2223673
2015-04-22,67.38000,68.12000,67.02000,67.71000,67.32800,0.49%,2051362
2015-04-23,67.36000,69.08000,67.26000,68.47000,68.08300,1.12%,3518194
2015-04-24,68.60000,68.71000,67.38000,67.83000,67.44700,-0.93%,1911547
2015-04-27,68.46000,68.93500,67.70000,67.84000,67.45700,0.01%,2643190
2015-04-28,67.97000,68.34000,66.57000,66.89000,66.51200,-1.40%,2832620
2015-04-29,66.31000,78.46000,65.89000,74.65000,74.22800,11.60%,28221932
2015-04-30,72.19000,74.00000,71.00000,72.82000,72.40900,-2.45%,17488195
2015-05-01,73.37000,74.50000,72.00000,73.36000,72.94600,0.74%,9210823
2015-05-04,72.27000,72.37000,71.01000,71.60000,71.19600,-2.40%,5058512
2015-05-05,71.50000,76.18000,71.00000,72.75000,72.33900,1.61%,19995189
2015-05-06,73.65000,75.53000,72.80000,73.79000,73.37300,1.43%,11118082
2015-05-07,74.08000,74.77000,73.40000,74.52000,74.09900,0.99%,4376907
2015-05-08,72.00000,73.50000,71.76000,72.40000,71.99100,-2.84%,6155894
2015-05-11,71.48000,72.28000,71.20000,71.20000,70.79800,-1.66%,4048498
