Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,39.96500,40.03500,39.79000,39.80000,39.80000,-0.79%,1510772
2015-03-25,39.82000,39.82000,38.91500,38.91500,38.91500,-2.22%,1678084
2015-03-26,38.70500,39.33000,38.65000,39.21500,39.21500,0.77%,1623920
2015-03-27,39.13000,39.31500,38.99500,39.20000,39.20000,-0.04%,1464902
2015-03-30,39.43000,39.92800,39.40200,39.86500,39.86500,1.70%,1205320
2015-03-31,39.66000,39.95000,39.44500,39.70000,39.70000,-0.41%,2010600
2015-04-01,39.68500,39.79000,39.23500,39.79000,39.79000,0.23%,1963192
2015-04-02,39.66000,40.04000,39.58500,39.81500,39.81500,0.06%,1914804
2015-04-06,39.49500,40.10500,39.41500,39.91500,39.91500,0.25%,1550700
2015-04-07,39.86000,40.03000,39.66000,39.66000,39.66000,-0.64%,1183506
2015-04-08,39.70500,40.22000,39.68000,40.15000,40.15000,1.24%,1693024
2015-04-09,40.08000,40.13500,39.55500,40.00500,40.00500,-0.36%,1225106
2015-04-10,39.96000,39.96000,39.22500,39.52800,39.52800,-1.19%,2892488
2015-04-13,39.49000,39.91500,39.38000,39.47500,39.47500,-0.13%,1698148
2015-04-14,39.42500,39.59000,39.17000,39.30500,39.30500,-0.43%,1375520
2015-04-15,39.31500,39.63000,39.30000,39.44000,39.44000,0.34%,1217012
2015-04-16,39.32500,39.44500,39.18500,39.32500,39.32500,-0.29%,1427074
2015-04-17,38.99000,39.10500,38.46000,38.71500,38.71500,-1.55%,1962402
2015-04-20,38.86500,39.20200,38.82000,39.08000,39.08000,0.94%,1418160
2015-04-21,39.32000,39.50000,39.02000,39.27300,39.27300,0.49%,1668372
2015-04-22,39.36000,39.55500,39.09000,39.46500,39.46500,0.49%,1122520
2015-04-23,39.30000,39.95500,39.30000,39.87300,39.87300,1.03%,1446020
2015-04-24,40.01500,40.01500,39.39000,39.63500,39.63500,-0.60%,1474130
2015-04-27,39.75500,39.83500,39.45000,39.55500,39.55500,-0.20%,1870968
2015-04-28,39.35500,39.78500,39.28500,39.76000,39.76000,0.52%,1915680
2015-04-29,39.51500,39.75000,39.31000,39.41000,39.41000,-0.88%,1724250
2015-04-30,39.18000,39.41000,38.68000,38.80000,38.80000,-1.55%,2491498
2015-05-01,39.03500,39.40000,38.91500,39.33000,39.33000,1.37%,2584746
2015-05-04,39.34500,39.54000,39.25000,39.31000,39.31000,-0.05%,2272820
2015-05-05,39.10500,39.47000,38.55000,38.74000,38.74000,-1.45%,2512828
2015-05-06,39.24500,40.39500,38.53500,39.44500,39.44500,1.82%,5382158
2015-05-07,39.30500,39.74600,39.26000,39.60000,39.60000,0.39%,2240484
2015-05-08,39.88500,40.30000,39.78000,40.07000,40.07000,1.19%,1562108
2015-05-11,40.00000,40.45000,39.92000,40.10500,40.10500,0.09%,2442926
2015-05-12,39.99500,40.16500,39.56000,39.99000,39.99000,-0.29%,1868352
2015-05-13,40.11000,40.50000,39.95500,40.09500,40.09500,0.26%,1526088
2015-05-14,40.40500,40.50000,40.18000,40.44000,40.44000,0.86%,2197888
2015-05-15,40.70500,40.77500,40.32500,40.49000,40.49000,0.12%,1874466
2015-05-18,40.40500,40.83000,40.40500,40.73000,40.73000,0.59%,1986088
2015-05-19,40.71500,40.77500,40.43500,40.50500,40.50500,-0.55%,1736424
2015-05-20,40.43500,40.79000,40.35800,40.55500,40.55500,0.12%,1587424
2015-05-21,40.43000,40.60000,40.33500,40.45000,40.45000,-0.26%,1269852
2015-05-22,40.31500,40.52000,40.28500,40.28500,40.28500,-0.41%,1118070
2015-05-26,40.25000,40.25000,39.69500,39.88000,39.88000,-1.01%,1401246
2015-05-27,39.99000,40.47000,39.77500,40.39000,40.39000,1.28%,1394730
2015-05-28,40.29500,40.48500,40.12500,40.39500,40.39500,0.01%,1031582
2015-05-29,40.33500,40.33500,39.97000,40.07500,40.07500,-0.79%,2584688
2015-06-01,40.30000,40.45500,39.78000,40.28000,40.28000,0.51%,1260680
2015-06-02,39.98500,40.31500,39.84500,40.23500,40.23500,-0.11%,1954370
2015-06-03,40.43500,40.74500,40.19500,40.69000,40.69000,1.13%,1760734
2015-06-04,40.57000,40.66000,40.04000,40.10000,40.10000,-1.45%,1866598
2015-06-05,40.01500,40.21000,39.78000,40.11000,40.11000,0.02%,1360968
2015-06-08,40.13000,40.24000,39.79500,39.79500,39.79500,-0.79%,1157052
2015-06-09,39.80500,39.99000,39.58500,39.62000,39.62000,-0.44%,1541802
2015-06-10,39.74000,40.37000,39.63500,40.21000,40.21000,1.49%,2340214
2015-06-11,40.18500,40.65000,40.16500,40.49000,40.49000,0.70%,1610480
2015-06-12,40.34500,40.44000,40.10000,40.16000,40.16000,-0.82%,993404
2015-06-15,39.77000,40.00000,39.51000,39.77800,39.77800,-0.95%,1617092
2015-06-16,39.69500,40.39000,39.69500,40.31500,40.31500,1.35%,1881372
2015-06-17,40.39500,40.65000,40.24000,40.46300,40.46300,0.37%,2610664
2015-06-18,40.66000,41.35000,40.63500,41.34500,41.34500,2.18%,4436742
2015-06-19,42.55000,42.74500,42.04500,42.63500,42.63500,3.12%,10107068
2015-06-22,42.79000,43.19000,42.64500,43.02000,43.02000,0.90%,3521676
2015-06-23,43.19000,43.19500,42.68000,42.85000,42.85000,-0.40%,2707840
2015-06-24,42.85500,43.06500,42.49500,42.50000,42.50000,-0.82%,2787684
2015-06-25,42.57000,42.71000,42.36000,42.44000,42.44000,-0.14%,1993072
2015-06-26,42.38500,42.59500,42.24000,42.50500,42.50500,0.15%,3216502
2015-06-29,42.24000,42.24000,41.32800,41.41500,41.41500,-2.56%,2853462
2015-06-30,41.79500,41.86000,41.30000,41.41500,41.41500,,2396616
2015-07-01,41.73000,42.14500,41.60000,42.05500,42.05500,1.55%,2143734
2015-07-02,42.05500,42.23000,41.67000,41.92500,41.92500,-0.31%,1891424
2015-07-06,41.66000,42.19000,41.62000,42.15500,42.15500,0.55%,1797470
2015-07-07,42.17500,42.48000,41.58000,42.48000,42.48000,0.77%,3218734
2015-07-08,42.26500,42.46500,41.65000,41.70500,41.70500,-1.82%,1771612
2015-07-09,42.21000,42.47500,41.99500,42.22300,42.22300,1.24%,1949966
2015-07-10,42.70500,43.25000,42.62000,43.17500,43.17500,2.25%,2402356
2015-07-13,43.42500,43.65000,43.19800,43.54500,43.54500,0.86%,2328042
2015-07-14,43.64500,43.77000,43.43000,43.70000,43.70000,0.36%,1804100
2015-07-15,43.49000,43.82500,43.41000,43.59500,43.59500,-0.24%,2146320
2015-07-16,43.97000,44.20000,43.68500,44.11500,44.11500,1.19%,1751478
2015-07-17,44.07500,44.14000,43.88000,44.02000,44.02000,-0.22%,1568064
2015-07-20,44.07500,44.32500,44.03500,44.07000,44.07000,0.11%,2059110
2015-07-21,44.04500,44.17800,43.64000,43.67500,43.67500,-0.90%,1976610
2015-07-22,43.67000,44.12500,43.67000,43.98500,43.98500,0.71%,1432972
2015-07-23,43.92000,43.97500,43.18000,43.33500,43.33500,-1.48%,2425634
2015-07-24,43.33500,43.46500,42.89000,42.99500,42.99500,-0.78%,2210168
2015-07-27,42.92500,43.12500,42.47500,42.53000,42.53000,-1.08%,2732384
2015-07-28,42.70500,42.93000,42.34500,42.82000,42.82000,0.68%,3281188
2015-07-29,42.82000,44.09000,42.68000,43.90500,43.90500,2.53%,2981454
2015-07-30,43.38000,44.38500,42.66000,43.79000,43.79000,-0.26%,3983726
2015-07-31,44.02500,44.05000,43.42500,43.43000,43.43000,-0.82%,2387348
2015-08-03,43.42500,43.82500,43.14500,43.66000,43.66000,0.53%,2210866
2015-08-04,43.64500,44.29800,43.56500,43.87500,43.87500,0.49%,2115802
2015-08-05,44.13500,44.60000,44.01500,44.27000,44.27000,0.90%,2208028
2015-08-06,44.20500,44.35500,43.45500,43.52500,43.52500,-1.68%,1817466
2015-08-07,43.50000,43.85000,43.38500,43.75500,43.75500,0.53%,2222276
2015-08-10,44.01500,44.74500,43.90000,44.42000,44.42000,1.52%,1955446
2015-08-11,44.16000,44.34000,43.84000,44.02500,44.02500,-0.89%,1670108
2015-08-12,43.69500,44.36800,43.27500,44.26500,44.26500,0.55%,2805764
2015-08-13,44.25000,44.91000,44.12500,44.58000,44.58000,0.71%,1520732
2015-08-14,44.43500,44.90000,44.35000,44.79000,44.79000,0.47%,1145642
2015-08-17,44.62500,45.12000,44.26300,45.05500,45.05500,0.59%,1434690
2015-08-18,45.02000,45.19000,44.84800,45.14000,45.14000,0.19%,967426
2015-08-19,44.99500,45.27000,44.53500,44.90000,44.90000,-0.53%,1425890
2015-08-20,44.48000,44.81000,44.20500,44.21000,44.21000,-1.54%,2039922
2015-08-21,43.80000,43.97000,42.42500,42.43500,42.43500,-4.01%,3582192
2015-08-24,40.63000,42.11000,38.98000,40.70500,40.70500,-4.08%,6281430
2015-08-25,41.70500,41.77000,40.02500,40.03500,40.03500,-1.65%,4191008
2015-08-26,41.04500,42.36500,40.58000,42.31500,42.31500,5.70%,4288180
2015-08-27,42.74000,43.39000,42.38500,43.28000,43.28000,2.28%,3736940
2015-08-28,43.15500,43.49500,42.95500,43.39000,43.39000,0.25%,1902436
2015-08-31,42.90500,43.26000,42.61500,42.63500,42.63500,-1.74%,2456218
2015-09-01,41.71500,42.08500,41.20000,41.43500,41.43500,-2.81%,2948498
2015-09-02,41.91000,42.59500,41.66000,42.59000,42.59000,2.79%,3074810
2015-09-03,43.01500,43.22500,42.50000,42.86500,42.86500,0.65%,2204286
2015-09-04,42.11500,42.50500,41.85000,42.05500,42.05500,-1.89%,2288110
2015-09-08,42.86000,43.32000,42.07000,43.28500,43.28500,2.92%,2737052
2015-09-09,43.72000,43.86000,42.46000,42.55500,42.55500,-1.69%,2007954
2015-09-10,42.43500,43.37500,42.29300,42.96000,42.96000,0.95%,1868236
2015-09-11,42.60500,43.12000,42.56500,43.03500,43.03500,0.17%,2393860
2015-09-14,42.99000,43.03500,42.56000,42.60500,42.60500,-1.00%,2172242
2015-09-15,42.83000,43.48500,42.54000,43.35000,43.35000,1.75%,2620748
2015-09-16,43.30500,43.74500,43.16500,43.65000,43.65000,0.69%,1995324
2015-09-17,43.72500,44.44000,43.67800,43.80000,43.80000,0.34%,2018546
2015-09-18,43.21000,44.09500,43.04500,43.26500,43.26500,-1.22%,3863482
2015-09-21,43.58500,44.13500,43.51500,43.90500,43.90500,1.48%,1814938
2015-09-22,43.15500,43.57000,42.98800,43.14000,43.14000,-1.74%,3468906
2015-09-23,43.14000,43.81000,43.02500,43.69000,43.69000,1.27%,2183326
2015-09-24,43.23500,43.93500,43.12500,43.82000,43.82000,0.30%,2510396
2015-09-25,44.23500,44.61300,43.65000,43.89000,43.89000,0.16%,2373058
2015-09-28,43.72500,43.89500,42.26000,42.26500,42.26500,-3.70%,3718556
2015-09-29,42.43500,42.60000,42.24000,42.38000,42.38000,0.27%,3665678
2015-09-30,42.92500,43.34500,42.72000,43.30500,43.30500,2.18%,2467190
2015-10-01,43.45500,43.75500,43.06000,43.75500,43.75500,1.04%,2741600
2015-10-02,43.14000,44.12000,42.70500,44.11000,44.11000,0.81%,3082392
2015-10-05,44.62000,44.78000,44.43000,44.68000,44.68000,1.29%,2226350
2015-10-06,44.50000,44.73000,44.12000,44.20500,44.20500,-1.06%,1937174
2015-10-07,44.46000,44.92500,44.28000,44.77500,44.77500,1.29%,1808210
2015-10-08,44.56000,45.70000,44.44500,45.67000,45.67000,2.00%,2387388
