Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,60.36000,63.10000,60.36000,62.51500,62.51500,3.19%,2890326
2015-03-25,62.70000,62.79000,60.05000,60.09000,60.09000,-3.88%,2662241
2015-03-26,59.53000,60.39000,58.61000,59.62000,59.62000,-0.78%,2022704
2015-03-27,59.40000,60.09000,58.79000,59.61000,59.61000,-0.02%,1321991
2015-03-30,59.72000,61.05000,59.72000,60.69000,60.69000,1.81%,1535358
2015-03-31,60.03000,60.69000,59.42200,59.79000,59.79000,-1.48%,1797348
2015-04-01,59.84000,61.31000,59.01000,60.83000,60.83000,1.74%,1760435
2015-04-02,61.00000,61.95000,60.78000,61.19000,61.19000,0.59%,1228124
2015-04-06,60.72000,62.00000,60.50000,61.51000,61.51000,0.52%,1224486
2015-04-07,61.56000,62.65000,61.24000,61.27000,61.27000,-0.39%,1456007
2015-04-08,61.58000,61.77000,60.01000,60.64500,60.64500,-1.02%,1894449
2015-04-09,60.50000,61.49000,60.50000,61.18000,61.18000,0.88%,968157
2015-04-10,61.36000,61.70000,61.02000,61.30000,61.30000,0.20%,774350
2015-04-13,61.40000,61.70000,61.09000,61.41000,61.41000,0.18%,823529
2015-04-14,61.54000,61.70000,60.52000,61.07000,61.07000,-0.55%,918507
2015-04-15,61.46000,64.09000,60.90000,63.73500,63.73500,4.36%,3716840
2015-04-16,63.71000,63.71000,62.13000,62.89000,62.89000,-1.33%,1939281
2015-04-17,62.34000,62.84000,61.28100,61.94000,61.94000,-1.51%,1798138
2015-04-20,62.26000,62.57000,61.52000,62.25000,62.25000,0.50%,1077518
2015-04-21,62.45000,63.12000,61.80000,63.11000,63.11000,1.38%,1453855
2015-04-22,63.44000,64.40000,63.00000,63.88500,63.88500,1.23%,1934582
2015-04-23,64.00000,65.09000,63.30000,64.75000,64.75000,1.35%,1584138
2015-04-24,65.42000,65.50000,63.16000,63.43000,63.43000,-2.04%,1507253
2015-04-27,63.86000,64.25000,62.71000,62.91500,62.91500,-0.81%,1332511
2015-04-28,62.87000,63.71000,62.10000,63.57000,63.57000,1.04%,1585298
2015-04-29,63.13000,63.47000,61.69000,61.94000,61.94000,-2.56%,1979674
2015-04-30,61.73000,62.35500,59.36000,59.67000,59.67000,-3.66%,3440715
2015-05-01,57.50000,59.97000,56.60000,57.34000,57.34000,-3.90%,6218669
2015-05-04,57.13000,57.82000,56.32000,56.78000,56.78000,-0.98%,2829955
2015-05-05,56.83000,57.78000,56.50000,56.81000,56.81000,0.05%,2777164
2015-05-06,57.03000,57.22000,55.15000,55.66000,55.66000,-2.02%,2207895
2015-05-07,55.29000,56.56600,54.57000,56.32000,56.32000,1.19%,2771852
2015-05-08,56.91000,56.97000,56.10000,56.37000,56.37000,0.09%,1670813
2015-05-11,56.41000,56.93200,56.30000,56.38000,56.38000,0.02%,1300116
2015-05-12,56.19000,56.47000,55.37000,56.05000,56.05000,-0.59%,1259878
2015-05-13,56.14000,57.15000,56.01000,56.77000,56.77000,1.28%,1040378
2015-05-14,57.05000,57.09000,56.23000,56.56000,56.56000,-0.37%,1132042
2015-05-15,56.35000,56.97000,56.15000,56.72000,56.72000,0.28%,839636
