Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-04-02,26.72000,27.27000,25.83000,26.50000,26.50000,1.34%,5166089
2015-04-06,26.72000,26.80000,25.35000,25.80000,25.80000,-2.64%,2090996
2015-04-07,25.84000,25.85000,25.16000,25.24000,25.24000,-2.17%,939392
2015-04-08,25.35000,25.48000,25.00000,25.15000,25.15000,-0.36%,921678
2015-04-09,25.10000,26.47000,25.05000,26.32000,26.32000,4.65%,751643
2015-04-10,26.34000,26.80000,25.00000,25.29000,25.29000,-3.91%,966330
2015-04-13,25.24000,25.59000,25.12000,25.37000,25.37000,0.32%,347103
2015-04-14,25.25000,25.90000,25.25000,25.80000,25.80000,1.69%,274632
2015-04-15,25.88000,26.05000,25.03000,25.12000,25.12000,-2.64%,355281
2015-04-16,25.04000,25.25000,24.55000,24.78000,24.78000,-1.35%,1111002
2015-04-17,24.55000,25.60000,24.50000,25.16000,25.16000,1.53%,493387
2015-04-20,25.19000,25.49000,25.04000,25.14000,25.14000,-0.08%,322500
2015-04-21,25.18000,25.24000,24.64000,24.78000,24.78000,-1.43%,533220
2015-04-22,24.76000,24.88000,24.73000,24.77000,24.77000,-0.04%,190006
2015-04-23,24.75000,25.08000,24.75000,25.05000,25.05000,1.13%,225874
2015-04-24,24.90000,25.66000,24.90000,25.63000,25.63000,2.32%,370138
2015-04-27,25.75000,26.40000,25.73000,26.16000,26.16000,2.07%,715610
2015-04-28,26.22000,26.22000,24.87000,25.15000,25.15000,-3.86%,474622
2015-04-29,24.86000,25.25000,24.79000,24.88000,24.88000,-1.07%,251329
2015-04-30,24.90000,25.42000,24.90000,25.07000,25.07000,0.76%,149257
2015-05-01,25.19000,26.05000,24.91000,25.96000,25.96000,3.55%,483248
2015-05-04,26.00000,26.25000,25.68100,25.98000,25.98000,0.08%,207399
2015-05-05,25.96000,26.10000,25.29000,25.42000,25.42000,-2.16%,185089
2015-05-06,25.45000,25.55000,24.15000,24.54000,24.54000,-3.46%,718167
2015-05-07,24.69000,25.49000,24.52500,24.81000,24.81000,1.10%,363704
2015-05-08,25.28000,25.40000,24.53000,24.88000,24.88000,0.28%,525728
2015-05-11,26.25000,26.29000,25.57000,25.68000,25.68000,3.22%,1211112
2015-05-12,26.10000,27.73000,25.75000,26.77000,26.77000,4.24%,2299841
2015-05-13,26.69000,27.50000,26.40000,26.50000,26.50000,-1.01%,1450009
2015-05-14,26.64000,27.10000,26.12000,26.23000,26.23000,-1.02%,445450
2015-05-15,26.23000,26.89000,26.05000,26.51000,26.51000,1.07%,423929
2015-05-18,26.50000,26.99000,26.22000,26.23000,26.23000,-1.06%,394173
2015-05-19,26.31000,26.50000,25.51200,25.94000,25.94000,-1.11%,418264
2015-05-20,25.89000,26.80000,25.89000,26.38000,26.38000,1.70%,315097
2015-05-21,26.62000,26.68000,25.49000,25.60000,25.60000,-2.96%,587512
2015-05-22,25.75000,26.65000,25.75000,26.10000,26.10000,1.95%,519255
2015-05-26,26.03000,26.75000,25.56000,26.42000,26.42000,1.23%,332874
2015-05-27,26.50000,27.21000,26.39000,26.98000,26.98000,2.12%,348926
2015-05-28,26.87000,27.20000,26.63000,26.66000,26.66000,-1.19%,257487
2015-05-29,26.62000,27.07000,26.33500,26.93000,26.93000,1.01%,276836
2015-06-01,27.13000,27.48000,26.86000,27.09000,27.09000,0.59%,281249
2015-06-02,27.09000,28.15000,27.05900,27.63000,27.63000,1.99%,428989
2015-06-03,27.85000,29.06000,27.80500,28.91000,28.91000,4.63%,493536
