Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,24.37000,24.48000,24.11000,24.12000,9.42100,-1.19%,5534050
2015-03-25,24.16000,24.21000,23.31000,23.31000,9.10500,-3.36%,5406378
2015-03-26,23.18000,23.46900,23.02000,23.28000,9.09300,-0.13%,5679209
2015-03-27,23.39000,23.42000,23.10000,23.35500,9.12200,0.32%,4053739
2015-03-30,23.49000,23.70000,23.37000,23.55000,9.19800,0.83%,3223532
2015-03-31,23.44000,23.67500,23.28000,23.36500,9.12600,-0.79%,4245659
2015-04-01,22.94000,23.38000,22.94000,23.33000,9.11300,-0.15%,3651162
2015-04-02,23.38000,23.63000,23.27000,23.55000,9.19800,0.94%,3130268
2015-04-06,23.35000,23.96000,23.24000,23.83000,9.30800,1.19%,3707099
2015-04-07,23.89000,23.92500,23.73000,23.80000,9.29600,-0.13%,3860312
2015-04-08,23.64000,24.20000,23.52000,24.01000,9.37800,0.88%,4840631
2015-04-09,24.01000,24.34000,23.86000,24.22500,9.46200,0.90%,3564718
2015-04-10,24.32000,26.15000,24.19000,25.58000,9.99100,5.59%,12753076
2015-04-13,24.75000,24.99000,24.05000,24.13500,9.42700,-5.65%,11057023
2015-04-14,24.12000,24.28000,23.71000,23.81000,9.30000,-1.35%,4855443
2015-04-15,23.95000,24.04000,23.74000,23.79000,9.29200,-0.08%,4606210
2015-04-16,23.75000,24.34500,23.71000,24.29500,9.48900,2.12%,5685262
2015-04-17,24.00000,25.10000,23.85000,24.24000,9.46800,-0.23%,9829793
2015-04-20,24.50000,24.56000,24.13000,24.19000,9.44800,-0.21%,5144242
2015-04-21,24.37000,24.60000,24.04500,24.10000,9.41300,-0.37%,4501307
2015-04-22,24.23000,24.43000,24.08000,24.36000,9.51500,1.08%,3253892
2015-04-23,24.32000,24.78000,24.26000,24.64000,9.62400,1.15%,3035600
2015-04-24,24.79000,24.80000,24.48000,24.67000,9.63600,0.12%,2575938
2015-04-27,24.71000,24.93000,24.56000,24.83000,9.69800,0.65%,3461411
2015-04-28,24.76000,24.98500,24.68000,24.95000,9.74500,0.48%,3648962
2015-04-29,24.76000,25.00000,24.69000,24.89500,9.72400,-0.22%,3273285
2015-04-30,24.75000,25.00000,24.65000,24.92500,9.73600,0.12%,4438457
2015-05-01,24.99000,25.23000,24.88000,25.13500,9.81800,0.84%,2956790
2015-05-04,25.03000,25.41000,24.96000,25.32000,9.89000,0.74%,3064372
2015-05-05,25.20000,25.25000,24.88000,24.89500,9.72400,-1.68%,3679134
2015-05-06,24.97000,25.05000,24.66000,24.94000,9.74100,0.18%,3691188
2015-05-07,24.88000,25.07000,24.71000,24.98000,9.75700,0.16%,2545698
2015-05-08,25.30000,25.58000,24.73000,25.53000,9.97200,2.20%,3577946
2015-05-11,25.41000,25.67000,25.15000,25.43500,9.93500,-0.37%,3640015
2015-05-12,25.30000,25.36000,24.94000,25.14000,9.81900,-1.16%,3163629
2015-05-13,25.22000,25.38000,25.08500,25.32000,9.89000,0.72%,2784173
2015-05-14,25.54000,25.92000,25.54000,25.90000,10.11600,2.29%,4263312
2015-05-15,25.61000,25.89000,24.25000,24.48000,9.56200,-5.48%,10951589
2015-05-18,24.49000,26.16000,24.49000,25.19000,9.83900,2.90%,6535201
2015-05-19,25.14000,25.23000,25.03000,25.10000,9.80400,-0.36%,3843683
2015-05-20,25.16000,25.25000,24.95000,25.03000,9.77700,-0.28%,2569115
2015-05-21,25.00000,25.15000,24.91000,25.06500,9.79000,0.14%,1706349
