Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,23.50000,23.61000,23.40100,23.41000,17.83200,-0.26%,6116069
2015-03-25,23.45000,23.56500,22.68500,22.71000,17.29900,-2.99%,9335758
2015-03-26,22.61000,22.62000,22.25000,22.47000,17.11600,-1.06%,12019873
2015-03-27,22.52000,22.77000,22.41000,22.74000,17.32100,1.20%,4843152
2015-03-30,22.90000,23.30000,22.89500,23.24000,17.70200,2.20%,6636921
2015-03-31,23.13000,23.13000,22.61000,22.68000,17.27600,-2.41%,8067427
2015-04-01,22.62000,22.66000,22.19000,22.25000,16.94800,-1.90%,9290231
2015-04-02,22.21000,22.43500,22.07000,22.32000,17.00200,0.31%,9155035
2015-04-06,22.22000,22.47000,22.10000,22.37000,17.04000,0.22%,8828930
2015-04-07,22.37000,22.38000,21.97000,22.00000,16.75800,-1.65%,8084110
2015-04-08,22.04000,22.17500,21.76000,22.06000,16.80300,0.27%,11006739
2015-04-09,22.04000,22.28000,22.01000,22.24000,16.94100,0.82%,8297098
2015-04-10,22.28000,22.43000,22.19000,22.42000,17.07800,0.81%,6751000
2015-04-13,22.47000,22.72000,22.33000,22.36000,17.03200,-0.27%,6653675
2015-04-14,22.39000,22.49000,22.08000,22.34000,17.01700,-0.09%,7289701
2015-04-15,22.42000,22.58000,22.32000,22.33000,17.00900,-0.04%,7181423
2015-04-16,22.27000,22.75000,22.25000,22.64000,17.24500,1.39%,9309703
2015-04-17,22.43000,22.46000,22.10000,22.46000,17.10800,-0.80%,9955924
2015-04-20,22.58000,22.92000,22.53000,22.68000,17.27600,0.98%,8010917
2015-04-21,22.86000,22.90000,22.40000,22.61000,17.22200,-0.31%,8106518
2015-04-22,22.50000,22.59000,22.05000,22.44000,17.09300,-0.75%,7870496
2015-04-23,22.36000,22.98000,22.36000,22.79000,17.36000,1.56%,10749139
2015-04-24,22.85000,22.87000,22.44000,22.52000,17.15400,-1.18%,7346387
2015-04-27,22.56000,22.80000,22.30000,22.38000,17.04700,-0.62%,12914026
2015-04-28,22.30000,22.36000,21.76000,22.07000,16.81100,-1.39%,16599689
2015-04-29,21.77000,21.78000,20.87000,21.36000,16.27000,-3.22%,22633673
2015-04-30,21.28000,21.43500,20.70000,20.93000,15.94300,-2.01%,14806616
2015-05-01,21.02000,21.45000,21.02000,21.44000,16.33100,2.44%,10765843
2015-05-04,21.45000,21.62000,21.41000,21.44000,16.33100,,6281683
2015-05-05,21.35000,21.42800,20.70000,20.80000,15.84400,-2.99%,11100445
2015-05-06,20.87000,21.09000,20.59000,21.06000,16.04200,1.25%,13314088
2015-05-07,21.04000,21.19000,20.90000,21.04000,16.02700,-0.09%,11614411
2015-05-08,21.18000,21.40000,21.07000,21.15000,16.11000,0.52%,8717329
2015-05-11,21.09000,21.50000,21.07600,21.31000,16.23200,0.76%,8352593
2015-05-12,21.14000,21.26000,20.98000,20.99000,15.98800,-1.50%,5946858
2015-05-13,20.98000,21.25000,20.81000,21.08000,16.05700,0.43%,10999176
2015-05-14,21.25000,21.39000,21.12000,21.37000,16.27800,1.38%,5990809
2015-05-15,21.40000,21.46000,21.24000,21.29000,16.21700,-0.37%,5953849
2015-05-18,21.25000,21.46000,21.25000,21.35000,16.26300,0.28%,7848387
2015-05-19,21.45000,21.62000,21.20000,21.49000,16.36900,0.66%,9458858
2015-05-20,21.43000,21.76000,21.37000,21.59000,16.44500,0.47%,8403616
2015-05-21,21.68000,22.05000,21.64000,21.82000,16.62100,1.07%,9715350
2015-05-22,21.79000,21.82000,21.50000,21.50000,16.37700,-1.47%,7743939
2015-05-26,21.38000,21.40000,21.00000,21.21000,16.15600,-1.35%,9092152
2015-05-27,21.19000,21.21000,20.89000,21.13000,16.18700,-0.38%,9760571
2015-05-28,21.16000,21.16000,20.83000,21.05000,16.12500,-0.38%,8575769
2015-05-29,21.04000,21.12000,20.81000,20.92000,16.02600,-0.62%,9786358
2015-06-01,20.98000,21.10000,20.81000,20.88000,15.99500,-0.19%,8118669
2015-06-02,20.86000,21.00000,20.82000,20.85000,15.97200,-0.14%,8397599
2015-06-03,20.95000,20.99000,20.79000,20.80000,15.93400,-0.24%,8205253
2015-06-04,20.75000,20.76000,20.43000,20.65000,15.81900,-0.72%,12959308
2015-06-05,20.59000,20.77000,20.43000,20.71000,15.86500,0.29%,8754940
2015-06-08,21.20000,21.20000,20.70000,20.76000,15.90300,0.24%,14186295
2015-06-09,20.77000,20.77000,20.31000,20.63000,15.80300,-0.63%,10989897
2015-06-10,20.64000,21.02000,20.64000,21.02000,16.10200,1.89%,12288596
2015-06-11,21.00000,21.09000,20.77000,20.80000,15.93400,-1.05%,8644515
2015-06-12,20.68000,20.84000,20.54500,20.75000,15.89500,-0.24%,7674298
2015-06-15,20.66000,20.66000,20.26000,20.38000,15.61200,-1.78%,11146341
2015-06-16,20.60000,20.99000,20.50000,20.90000,16.01000,2.55%,14505924
2015-06-17,20.98000,21.12000,20.75000,20.91000,16.01800,0.05%,6967735
2015-06-18,20.99000,21.28700,20.97000,21.22000,16.25500,1.48%,7743691
2015-06-19,21.17000,21.19200,20.94000,20.94000,16.04100,-1.32%,9573017
2015-06-22,21.11000,21.14000,20.91000,21.06000,16.13300,0.57%,7942210
2015-06-23,21.03000,21.06000,20.88000,20.97000,16.06400,-0.43%,6724920
2015-06-24,20.87000,20.98000,20.55500,20.77000,15.91100,-0.95%,13667482
2015-06-25,20.90000,20.92000,20.52000,20.55000,15.74200,-1.06%,8792983
2015-06-26,20.51000,20.60000,20.33000,20.33000,15.57400,-1.07%,14401700
2015-06-29,20.22000,20.24000,19.66000,19.70000,15.09100,-3.10%,13547057
2015-06-30,19.90000,20.06000,19.57000,19.73000,15.11400,0.15%,15155652
2015-07-01,19.87000,20.02500,19.70000,19.80000,15.16800,0.35%,8697095
2015-07-02,19.86000,19.97000,19.64000,19.70000,15.09100,-0.51%,7447585
2015-07-06,19.51000,19.83000,19.42000,19.62000,15.03000,-0.41%,8651585
2015-07-07,19.60000,19.63000,19.09000,19.57000,14.99100,-0.25%,14206494
2015-07-08,19.37000,19.38000,19.14000,19.14000,14.66200,-2.20%,9430970
2015-07-09,19.46000,19.59000,19.12000,19.16000,14.67700,0.10%,10142404
2015-07-10,19.34000,19.38000,19.12000,19.28000,14.76900,0.63%,8702230
2015-07-13,18.96000,19.16000,18.67000,19.15000,14.67000,-0.67%,17219714
2015-07-14,19.15000,19.32000,19.13000,19.25000,14.74600,0.52%,7544727
2015-07-15,19.30000,19.31000,18.97000,19.06000,14.60100,-0.99%,8866874
2015-07-16,19.38000,19.62000,19.33000,19.54000,14.96800,2.52%,10976983
2015-07-17,19.43000,19.52000,19.08000,19.08000,14.61600,-2.35%,11535597
2015-07-20,19.10000,19.10000,18.90000,18.91000,14.48600,-0.89%,9543523
2015-07-21,18.82000,18.92000,18.58000,18.75000,14.36300,-0.85%,12235802
2015-07-22,18.64000,18.85000,18.46000,18.78000,14.38600,0.16%,12196495
2015-07-23,18.83000,19.03000,18.71000,18.78000,14.38600,,9955312
2015-07-24,18.72000,18.82000,18.45000,18.58000,14.23300,-1.06%,11529486
2015-07-27,18.44000,18.66000,18.31000,18.45000,14.13400,-0.70%,13062415
2015-07-28,18.65000,18.71000,18.06000,18.37000,14.07200,-0.43%,15400247
2015-07-29,18.26000,18.65000,18.05000,18.54000,14.20200,0.93%,15920361
2015-07-30,18.55000,18.78000,18.46000,18.63000,14.27100,0.49%,9830214
2015-07-31,18.75000,18.81000,18.63000,18.68000,14.31000,0.27%,10523123
2015-08-03,18.60000,18.64000,18.11000,18.19000,13.93400,-2.62%,14348913
2015-08-04,18.19000,18.43500,18.18000,18.28000,14.00300,0.49%,9883092
2015-08-05,18.39000,18.64000,18.31000,18.37000,14.07200,0.49%,7521563
2015-08-06,18.28000,18.37500,18.12000,18.26000,13.98800,-0.60%,8624535
2015-08-07,18.28000,18.32000,18.06000,18.13000,13.88800,-0.71%,6357763
2015-08-10,18.25000,18.50000,18.21000,18.46000,14.14100,1.82%,7615868
