Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-10-20,16.25000,16.93000,16.25000,16.87000,7.61700,1.93%,709632
2015-10-21,17.25000,17.35000,16.40000,16.48000,7.44100,-2.31%,78598
2015-10-22,16.71000,17.05000,16.24000,16.95000,7.65300,2.85%,110000
2015-10-23,17.25000,17.25000,16.85000,17.00000,7.67600,0.29%,59910
2015-10-26,17.11000,17.11000,16.31000,16.42000,7.41400,-3.41%,514799
2015-10-27,16.56000,16.75000,15.60000,15.73000,7.10200,-4.20%,636017
2015-10-28,15.90000,16.35000,15.84500,16.28000,7.35000,3.50%,296321
2015-10-29,16.01000,16.27000,15.55000,15.95000,7.20100,-2.03%,290446
2015-10-30,15.90000,16.10000,14.72000,14.72000,6.64600,-7.71%,2449278
2015-11-02,14.99000,15.17000,13.86000,14.49000,6.54200,-1.56%,40865891
2015-11-03,14.07000,14.71000,13.67500,14.36000,6.48400,-0.90%,40205612
2015-11-04,14.39000,14.51000,13.61000,13.66000,6.16800,-4.87%,31516491
2015-11-05,13.64000,13.89000,13.12000,13.28000,5.99600,-2.78%,22189959
2015-11-06,13.18000,14.48000,13.15000,14.40000,6.50200,8.43%,30049669
2015-11-09,14.26000,14.48000,14.13000,14.20000,6.41100,-1.39%,17528088
2015-11-10,14.13000,14.44000,14.01000,14.41000,6.50600,1.48%,14777765
2015-11-11,14.20000,14.31000,14.09000,14.11000,6.37100,-2.08%,11009387
2015-11-12,13.81000,13.82000,13.59000,13.70000,6.18600,-2.91%,20371666
2015-11-13,13.61000,13.76000,13.15000,13.39000,6.04600,-2.26%,14924533
2015-11-16,13.37000,13.61000,13.14000,13.38000,6.04100,-0.07%,13781375
2015-11-17,13.38000,13.49000,13.12000,13.22000,5.96900,-1.20%,12420759
2015-11-18,13.48000,13.73000,13.18900,13.64000,6.15800,3.18%,13020475
2015-11-19,13.53000,13.89000,13.52000,13.78000,6.22200,1.03%,13171491
2015-11-20,13.78000,14.63000,13.68000,14.21000,6.41600,3.12%,18558586
2015-11-23,14.17000,14.21000,13.57000,13.85000,6.25300,-2.53%,15317345
2015-11-24,13.58000,14.02500,13.50000,13.69000,6.18100,-1.16%,24108918
2015-11-25,13.91000,14.86000,13.84000,14.12000,6.37500,3.14%,22674894
2015-11-27,14.12000,14.64000,14.05000,14.35000,6.47900,1.63%,6041718
2015-11-30,14.23000,15.00000,14.18000,14.86000,6.70900,3.55%,29096030
2015-12-01,14.88000,15.88000,14.85000,15.61000,7.04800,5.05%,25106264
2015-12-02,15.37000,15.54000,14.87000,14.95000,6.75000,-4.23%,12681067
2015-12-03,15.00000,15.34000,14.58000,14.62000,6.60100,-2.21%,18905240
2015-12-04,14.39000,15.29500,14.24000,15.22000,6.87200,4.10%,12001085
2015-12-07,15.00000,15.48000,14.92000,15.45000,7.00100,1.51%,9545947
2015-12-08,15.09000,15.29000,14.62000,15.17000,6.87400,-1.81%,11617601
2015-12-09,14.99000,15.39000,14.68000,14.85000,6.72900,-2.11%,14261925
2015-12-10,14.79000,14.81000,14.53000,14.72000,6.67000,-0.88%,11350207
2015-12-11,14.99000,15.40000,14.14000,14.18000,6.42500,-3.67%,10614763
2015-12-14,14.30000,14.50000,13.92000,14.44000,6.54300,1.83%,11527694
2015-12-15,14.51000,14.98000,14.48500,14.56000,6.59700,0.83%,12888739
2015-12-16,14.62000,14.81000,14.55000,14.70000,6.66100,0.96%,7840968
2015-12-17,14.61000,14.72000,14.22000,14.31000,6.48400,-2.65%,7625458
2015-12-18,14.27000,14.38500,14.00000,14.16000,6.41600,-1.05%,19307237
2015-12-21,14.12000,14.40000,13.87000,14.02000,6.35300,-0.99%,9863255
2015-12-22,14.04000,14.14000,13.92000,14.06000,6.37100,0.29%,7292476
2015-12-23,14.19000,14.97000,14.05000,14.91000,6.75600,6.05%,11252128
2015-12-24,14.81000,15.17000,14.79000,15.02000,6.80600,0.74%,2178459
2015-12-28,14.89000,15.28000,14.82000,15.23000,6.90100,1.40%,5930636
2015-12-29,15.29000,15.43700,15.18000,15.20000,6.88700,-0.20%,6275753
2015-12-30,15.29000,15.48000,15.15000,15.28000,6.92400,0.53%,6275778
2015-12-31,15.23000,15.31000,15.10000,15.20000,6.88700,-0.52%,6767773
